job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
Data Architect/Data Engineer,"$119,000 - $134,000 a year",FinTrust Search Group,"Tampa, FL",,,"A rapidly growing data analytics firm in Tampa, FL is seeking a Data Architect/Data Engineer to support the firms innovative cloud SaaS products and customer…",5 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BPFfOeXLqbbbxNZgJSU388B04MS0a7_82gtA0JkIKSRROcVutAi3Kn1wUxQI2HKKPLtciUzvfN_ryb2NV1hf15NZU1avY5f1bMBYy-5H6kE-2Ih5zY4qM62AuMIjcmMPjFUpDfhwvKmfA5_3zzHuJtWI0NDjRkDo4FFB5bRadNwxy1UaHOfDkGaUQofXIgsQ1-choq_dbi6hKc7eIHSsD4eZefYEyxeHh2I3_LGvsEwqej1eRzLZUp713xoOTRUMdaKl4TPN4znwc0Nw7d4WFyyORfdYqJmezMoRkL7uY7CuL08f6zsxpe0CwsfqVmfRJrwCTAE3NuXDYlz4D7II3e590ie7xSaHfdgcDLPd1ZGzGZzbMR6alSVZP3BOBwhuRWD_d9jr8v6vJwt9HuMnN2ZZSLQolvAQ9Ztiu2OFqCpMDvCz8_0cW15XbriUhIF6JfmxzacLRDfLmk1FjMmln5U8TZrjc3zmk=&p=0&fvj=1&vjs=3
Machine Learning Engineer,,Novetta,"Tampa, FL",,3.5,"Provide thought-leadership in the areas of machine learning, artificial intelligence, analytics and data science;",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=47e3cd6e1337f761&fccid=1d69e9a5b2cfbeca&vjs=3
Machine Learning Engineer,,Nielsen,"Oldsmar, FL",,3.8,"Creativity and lateral thinking are crucial to achieve the challenging goals we face.
Our Data Scientists develop software solutions for the International Media…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=142178e12d37fb31&fccid=683f563b5cc25b70&vjs=3
Innovation Engineer Associate - Summer/Fall 2021,,PRICE WATERHOUSE COOPERS,"Tampa, FL",,4.0,"You would focus on incorporating the latest in machine learning, Big Data, NoSQL, cutting edge development languages, and advanced data processing techniques.",27 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=206931ae92d6cdf5&fccid=5e964c4afc56b180&vjs=3
Customer Engineer - Active Directory Engineer,"$68,739 - $89,000 a year",JDA Technical Services Group,United States,Temporarily remote,4.3,"Understand risks associated with Domain Controllers has virtual machines.
CE’s are some of the most distinguished & highly accredited engineers in the world.",29 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BHUG_3ayLhII14Y5cvDVfdL_mMdinyvrblje7frGdMn6-Ntgf7wBbIyKL6hF8p2lB8nZy0NtPEz3RGhmOGvtcjMozvXrWtqHr416SbSwGldl0dg60Jz8T9uX7I2TM6jBIBDUnC4capB0uBkV9FEQuH6gHx9zq2OBsV-wgdyoKwQsiTMlH6HHK6CafXGH-I6SJSVQrCPDNDD7vx7XvgudejjsRYjVGsAlwWa6EfN7e9_9zoO_GKiA0GKcyC-gAt0dmBaXCDWs3ZVCRUDez2sC1PByygHKLAQQvxSTciOcV5mu_E2427rMjD8BQ7jJtuTh26ui8kWhoAFQrhwMChykFamXDDZVnc9OTS4Zp3rifi9BXQfxRHF2vxCPC3TTW52tY-n5uQoPFMTftt1LEfbGW0hQzUGang07TVuzYKspg16xrCIpbsD4ilnAhduH_LWAXcjxWUahmIEDtnD8lsUD-outDzDNK5T1XV4A8Xe6s_EA==&p=4&fvj=1&vjs=3
Robotics Engineer,,Masonite,"Tampa, FL",,3.4,"Proficiency with machine learning application.
Apply machine learning techniques as appropriate.
Assess production processes and define optimized, automated…",30+ days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AU1HJPZ1-di_zi3qDzqasbFWCsr5c3NQ4-Qdh9xr5E9OkTlwTKTNSsvfO9V8iIbRGfl1052vDuGk8WX03EreL1IwST1w6c1uIss3NareDZoA7HE_XYOMFkIbf2NUey1K47s8H5D20wsRxUhPo9_-FR-w8u6hKO6mI8SVfcHVfKlb2vAa1vGh3BxeN-B-CXUm6Nzq7tZmWVFdEvh9iQrnvH67f2eHeopnNVJXwMVowG4SUyD17iuyDpo2RQ8_uEACpwrSxc-NMwuMn4B0hqej5GOb51AF30Z0Zp0hxR03b6-Oko7hTAqXlITdSX2rBWueUd1j9LRWH4fCEJYQIkZI7TazaN1wppLh1Ryr4Pkv3WHQwfUZMfSrJ0CZrdN_ahWfX_5KbYehRNWsZVnP4K8wEvY2MVoJMWsFCcI1_spIHpkxXsCPJxW9wKpyRgT7ZD4L39pScdBF6GpbWh-C5WIn6fy-eq9yWc1t6_NRPVnB3l56scgVhOjaLkVxzLGq8mzgwf1LPezXko8DrUCNXTjvBtAcGZ9ii5-B_QgCwutEv-xn36QBuO4L1RNS7-QZW3oKYyEC-MlUU0xhxLvuh7arG-Ulbn_t8N1kolUKALdsdoXw==&p=5&fvj=1&vjs=3
Machine Learning and Artificial Intelligence Developer,,Deloitte,"Tampa, FL",,4.0,"Experience with deep learning tools such as Tensorflow, Spark, Theano, PyTorch, Scikit-learn, Keras, Nvidia DIGITS.
Provides coaching to junior staff.",Today,2021-01-15,https://www.indeed.com/rc/clk?jk=9512eb1c9d7a4233&fccid=9e215d88a6b33622&vjs=3
Data Engineer,,Novetta,"Tampa, FL",,3.5,"The JAIC program aims to ""Increase combat effectiveness by accelerating military decision-making and operations."".",Today,2021-01-15,https://www.indeed.com/rc/clk?jk=babfbf045c7e1ec0&fccid=1d69e9a5b2cfbeca&vjs=3
Innovation Engineer Intern - Summer 2021,,PRICE WATERHOUSE COOPERS,"Tampa, FL",,4.0,"You would focus on incorporating the latest in machine learning, Big Data, NoSQL, cutting edge development languages, and advanced data processing techniques.",27 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=ff5e867e134d7f09&fccid=5e964c4afc56b180&vjs=3
Mainframe Engineer,,GalaxE.Solutions,"Tampa, FL",,2.5,"Design, code and debug complex software applications.
Perform software analysis, risk analysis, reliability analysis.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=edbeb0faa96ac79e&fccid=5b75a1df86adb527&vjs=3
J&J Technology Co-Op - Fall 2021,,Johnson & Johnson Family of Companies,"Tampa, FL",,4.2,"Analytics co-op will have the opportunity to work with various aspects of Johnson & Johnson's business collecting data, analyzing, and applying machine learning…",Today,2021-01-15,https://www.indeed.com/rc/clk?jk=a11ceaf7817f4c17&fccid=0bed8e17bc113980&vjs=3
"Machine Learning Engineer 2, R&D",,CAE Inc.,"Tampa, FL",,3.7,"Build deep learning-based training pipelines, leveraging latest deep learning and machine learning libraries.
Share knowledge with team members & participate in…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=0174f975ee18fb70&fccid=b839f9af280b111f&vjs=3
Sr Multi-Disciplined Eng II,,Raytheon Intelligence & Space,"Tampa, FL",,3.9,"Clearance type TS/SCI - Current.
RBT intends to offer a proposal in support of the potential SOCOM GAP contract.
Chief Architect (Data Science experience).",7 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=42a1e97b7a97842b&fccid=aa53b551f9df0210&vjs=3
Optical Engineer,"$76,960 a year",Kaligia Biosciences,"Largo, FL",,,Teach other team members (software engineers & machine learning engineers) about biomedical engineering knowledge through consultations.,4 days ago,2021-01-15,https://www.indeed.com/company/Kaligia-Biosciences/jobs/Optical-Engineer-78b7f0624e7c42f2?fccid=f9c770e5c76f719c&vjs=3
Intelligent Enterprise Solution Engineer,,Elutions,"Tampa, FL",,,"The Engineering Team is seeking a motivated, hard-working Intelligent Enterprise Solutions Engineer with the ability to integrate energy conservation strategies…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=e58ac6978d193462&fccid=e459f9c9a038dba6&vjs=3
Software Engineer - React,,Chargebacks911,"Clearwater, FL",,3.5,"A React software engineer with years of experience.
Able to build a React SPA from scratch with React, AWS Apis, GraphQL, and third party component libraries in…",30+ days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CykYQJ_HNbHdf5kOJPY5sE24vqGraE2ZSwnV1hzCdY-tYR83QnSGjU7lBm2fMGIvghPh5zjADeVSR8h5xlbwpRmvjFDe5Yx8fKOqYMczRYe2sUZ3UVL3CGMITGkaEZ5K6o8UQnT6gTEbJc3YWlwrquA1si0DBUxp1WhZRyj--YQdMQxULihn0Gx-BgKUFGG6xGVyjWyKzkTzIxFb_gAaBgVr17_kVyvEaAhhNDKoazFs45tFWmkbNiv8pPe_aWHIq_xppC2l-t-62xKgV9ealuAuxUvKfc12k6rQYxjYpZbqvZcbt2TbJe5Wmg-nw_YL3UdJGJVuUuphHa_vRIEu90tgL547lKtcu3mNCgswhWB42LGKbrpFIs14OOiVTV2-vH6iwvbj_CndccVB5ZdmX_UbN0s_c1wNlqZAffTQUWQc7lIK3Gysn4fQeG02bHfhwfgekMDRlbhBdtXDp1dkZILjhRJTzA7VM=&p=0&fvj=1&vjs=3
Customer Engineer - Active Directory Engineer,"$68,739 - $89,000 a year",JDA Technical Services Group,United States,Temporarily remote,4.3,"Understand risks associated with Domain Controllers has virtual machines.
CE’s are some of the most distinguished & highly accredited engineers in the world.",29 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BHUG_3ayLhII14Y5cvDVfdL_mMdinyvrblje7frGdMn6-Ntgf7wBbIyKL6hF8p2lB8nZy0NtPEz3RGhmOGvtcjMozvXrWtqHr416SbSwGldl0dg60Jz8T9uX7I2TM6jBIBDUnC4capB0uBkV9FEQuH6gHx9zq2OBsV-wgdyoKwQpZNA7qqIf01ZZiC8HynqxXtA5iX9ebiJ5581NBElKS5VwtvAnMop5O5UekhUVXtWwIFYuj__1mcAhAkWA5J_eEoKfENKnZUJBAgb110XUCL2zjiyWwfWSO6Lsd4leHp6dwXZYMjoyxlkQ2NDffT7DsJzkLEQVqjbemvzxlOnDx9StghUym6Da70K1iVkGCRoOv9GdkZpeyIf4tjeg2I-BBT5HawSK4CsvBLAZMpubSAvVXkW-Z2ZEMDZzc7zU_ehi-G4rT0g1KBt3wsfIrs2VW_nftGapXOg4N8evAzOWhUFrZGS1ewp3xaVH2ERSCVyg==&p=1&fvj=1&vjs=3
Optical Engineer,"$76,960 a year",Kaligia Biosciences,"Largo, FL",,,Teach other team members (software engineers & machine learning engineers) about biomedical engineering knowledge through consultations.,4 days ago,2021-01-15,https://www.indeed.com/company/Kaligia-Biosciences/jobs/Optical-Engineer-78b7f0624e7c42f2?fccid=f9c770e5c76f719c&vjs=3
Intelligent Enterprise Solution Engineer,,Elutions,"Tampa, FL",,,"The Engineering Team is seeking a motivated, hard-working Intelligent Enterprise Solutions Engineer with the ability to integrate energy conservation strategies…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=e58ac6978d193462&fccid=e459f9c9a038dba6&vjs=3
"Software Engineer 1, R&D",,CAE Inc.,"Tampa, FL",,3.7,"This role routinely uses standard office equipment such as computers, phones, photocopiers, filing cabinets and fax machines.
This is an entry-level position.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=bbad7311852a27fd&fccid=b839f9af280b111f&vjs=3
