job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
"Acoustic Signal Processing Engineer - Data Scientist, Machine Learning",,Signal Systems Corporation,"Washington, DC",Temporarily remote,,"Can design and build state-of-the-art machine learning and deep learning algorithms.
\* You will collaborate with engineers from other organizations to support…",4 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0A2NX-yk-5saWumjHCeW1U7wjRG-yaZl6appTnwIWK0f0j4yN2ZzSx2dhxoGkkKUc4oHx9AVk35NQ2mWW5M7wRXVYzWzuXaH3MrLu-Bqkj-ydT8O2stfApo1ta1FPXJdRab4QptONSsVyWrV57W_vL7wakE7U-jKsdBXTz-EPYrswy5acvUV-_poOykK9KgqHRCCATdzDu7vN0IRtMTYHGnp9Zd_zUB7grANlcBLM8dwX7JUCqrc-eZ_cR9dK-YGw7ZVWI2CfiIX9z5DVyPgrLS3Cfe46fiyNV-T72E-I3kFupd9Q70KvX2NXw6S05D_YowUW7tOllmAZcBMvKghs0MuH1W5Fev7_mwVKs-TChRlDl6JH7N0LcEBU1y--rZW3vSYw7prH3SRRRMkW0cQdf0_8NofIqXLw6-My5cTy3FbzSRnVNTP8R7ih7b7Hqj7MEuhh_VZmjhWig9BVt9ABxP7hhcXLeQazYlkDkI_D9JIdb2GOIgbZvDF_cN-Gk83aeI80NxDKo4Shywn9lMkpicnTHiScH2uEU=&p=0&fvj=1&vjs=3
"Lead, Machine Learning Engineer",,Comcast,"Washington, DC",,3.7,A successful candidate will have extensive experience in building novel machine learning models and algorithms as part of PhD research experience or previous…,30+ days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Cj-KmZPsf9w80C8b1WzNVrlanjD2SXJjxuCbUWHsXPZkFBy4Qr63BQsiS8gW3X23objzBpFc6ppVlsO8_pgwpCwPebGS5RMgbUHZXR0DzrZvD-B65S6wxXk7qm0fOkjLFQeA16dTEwQfp4-gY9qYdQrv0ib6rNus3aZZcwSQLSREPhN8xUSvEvc3RlfbafaDeG5fonml8vwfMrP1VaPXesNbOIJikoit2MHIoyYByd0szEn-ZT9Al2RcFJRBGAOLy5hW87PaPQHYGfomcga4S0wi8mFbrFKG3rO2gEHfhzAWm2Z7alK881twWlrpWMzTa_qKCDYSrklDTB2XtU9zMvFUidkAfSAb2dD1cpJqIIFW5Xb4t5_-pUOg3EONCSAmfq1fZYCf90_IjGEGCKB_z1QhXqnwCp2iyC8tgyGRJ5mqnlE6DqJFLye8goXnFinj0A_RbeEYyJSn4WZbrcPVXJpF4YQJTajLwLChb27VM2l4Bug4eICEeC42yOu8q5T42pQh5zU9-1qJYVc-Xq0PFQ4T4Ae-IILMKWle3xPq500uztI9VOqOk3_SnabziabCEf2MUnYWjF9d69m2mHQCJxr3M0GYLVSr9UcAFj_9BjW0pGTervjGTtZIhQv89MlSJXgG54hSnW_WEpN8ZVuPchZ2hz7yZjhKupXXLjY5eUb8prnwm6aHNFCbzG52KGzNruR012pGX6PaG3KWbupMSixFe5vDb4jRecILLATrm1tWD9pskm5cfEC3UdrMNOHD2k0IyJ_iLNnC97cT8WS3NIB0R0GWBixSZ_l_s7Md4MdlG8_9PZIZW0YIPoj0cta3DbgvqqziXdQFIKG-niSgvYkawWzcvFBS1x1I0ximDVfmB9GojRGY9hZ5aSTdYRBbZdMVhiaFVwqejzMw934YpgvDTwgurH9fnXlwKQHtr8a5aOka3XyxC_Gc4SxK6dN1PSbVJ0vYit5_zKUAy6jLYXFBbbXN8SvurL7RJpTrYVVgUw7wXrwR76Wtui6D1VcR08Xmxqs0KsbjybIaTEiXCMKLonzYFvIqj7gOzHJMDTS7ZJl-ao8pDJqXu1G7SWV4FeT9oKd3_Xeg==&p=1&fvj=0&vjs=3
"U.S. based Sr. Data Engineer (SQL, ETL) - Fulltime role","$100,000 - $210,000 a year",Arc,United States,Remote,,"Data & machine learning infrastructure engineer: 3 years (Required).
You have brought machine learning models to production.
Deploy ML models to production.",3 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0B_dnYsI8o5iQo9YW05EcLsXtdZZ5qtsY7g9VcDsqYRQCU7zDSXFfp6PKe7fZom7ejK3DMSVTOUaKCzq3rRqeR4yS7DZ1WQ0jzQccT7qzPNYlBDzvJJeRqoaaEG6hzkNXUV5moQXlqebqe9mJLlvoDLLeHZLX1ecPyL1-_CZcOOLTabhLNJ4dbKsvC7Jty8EENEN9Mbu1OSTOdr1Dzws8vGWivXLG4Cf2lpLgCwrQaQI_vajWTgxCQiIq9GJbLIJE4SAX6oadWvqqBYC6f2a1geegZJUIjuoj7gkvN0q6Su4fc0NUoqgopQ4w3wKknjknykpSnFoPVSGcohytvmHAWIvfQMQelOhvzlQKm-TMIjTz5Sm6ICLiWhSwf2bAfTI6QPExlhVNY_mxJHOW4f8g0gvHwAcE2KHXogtddLC_l0rgixNmzLAe8Ql4fIb_cLSh5DNmtvhUUJGApzEjmj2TUXAA1n4OYlbvW63mGsNyEAxD5mFc5UjqsLoug4UHQF7Mg=&p=2&fvj=1&vjs=3
Junior Artificial Intelligence/ Machine Learning Engineer,,"Modern Technology Solutions, Inc.","Washington, DC",,4.4,"Hands-On Experience with one or more popular deep learning frameworks: TensorFlow, Keras, Caffe, Torch, Theano, mxnet, Deeplearning4j.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=396097eecc737271&fccid=ea0c1f50cbe7289b&vjs=3
Machine Learning Engineer,,Comcast,"Washington, DC",,3.7,"Responsible for developing and deploying machine learning algorithms.
Evaluates accuracy and functionality of machine learning algorithms.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=9e6ea3bdc38ecbae&fccid=ea25315ee9da22e5&vjs=3
AI / Machine Learning Engineer,,"Enterprise Resource Performance, Inc. (ERPi)","Arlington, VA",,,"Extensive knowledge of machine learning model evaluation metrics and best practices.
Use machine learning and analytical techniques to create scalable solutions…",2 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=a1a58fe2469f5b35&fccid=f39bf5ba974d55d8&vjs=3
Data Science and Machine Learning Engineer,,Booz Allen Hamilton,"Washington, DC",,3.9,"Experience with building systems based on machine learning or deep learning methods.
4+ years of experience with computer vision (CV) machine learning,…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=db1ab0dcfef4d70f&fccid=4e041af1d0af1bc8&vjs=3
Machine Learning Engineer,,IVYSYS TECHNOLOGIES LLC,"Arlington, VA",,,"Experience working with machine learning techniques, such as artificial neural networks, clustering, and decision tree learning.",10 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=29171be05a53baa6&fccid=bc31f8223cda143c&vjs=3
Data Scientist/Machine Learning Engineer,,Atlas Research,"Washington, DC",,3.4,"Help identify, recruit, lead, and develop a world-class team of data scientists, data engineers, machine learning engineers, and artificial intelligence…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=ff3ebda5483dbd98&fccid=2f5a8f611b6bc20c&vjs=3
Associate Machine Learning Engineer,,Mitre Corporation,"McLean, VA",,4.0,"Strong software development skills, preferably with knowledge of machine learning and/or deep learning frameworks.
1+ years of relevant experience.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=76efefaf9bf69938&fccid=30bd8a58380c700b&vjs=3
