job_title,salary,company,location,job_summary,post_date,extract_date,job_url
Senior Accountant,,Corvid Technologies LLC,"Mooresville, NC","You’ll be involved in everything from providing your thoughts on business strategy to organizing contract files and journal entries.
2-5 years of experience.",30+ days ago,2020-11-26,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Bhg8u1w9r_kD05juVR7y2SCtq2ZqWPaYG6Na1NIAG2HXVlgBYasEVQHgwhU-2YlD0cTM6vo8Uu6QKopK3Rvk5sH_rZrss66FT5LaeH-RnZ1BBqmznxUZ_GrIQTnv5NzmKvDs8P3Pt64XdMXD3EbX_MH9VPIwfa5ACCgJb2WIN8THjqPY5Rp0wzOY5wm5f-CBEf24Hqmg97k50oMw15494G_YdOMTPgqNQaDlwJDaFDbn2EDv7-WawI6RxFgw5rbyvOAaplrB449SohV_lqc5UGHLyiWrjQUwEo6Fp3QEnLk3rj9Fv00PBGvuPqQL2_LOCsnzokNsdPSBygrAxxNhd1QI66Z_ol1FoFN2K41Peltrgvf8nAkgJNv5DVBGuBESZbqEY0P4AjCi4joOBj_OAWfwoH7-gmjmjHR_x2x1cPB7oLzkgliIa6U5suJZ9EItngsLagGTnxWLLL34_5qZoO&p=0&fvj=1&vjs=3
CPA Senior Tax Accountant,,Ken R Adams CPAs PA,"Charlotte, NC","We offer 401k match. health insurance and paid vacation off every friday after tax season! .
Job Types: Full-time, Part-time.",12 days ago,2020-11-26,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0A_00Q_tH0hnVh1sObUpCTEv8eW_HRxuzprptC2Rn6K3qWJqnsjSNzQumo29dEM0SpF13iQBYzvE6gb4gRmEyUCVjXpdElqPd2ZY96YeRiGRkEWwCXwCa48LfJ_oVCBwL1TUhN8u_ezqhyia_FBvx_HQiKvtOVdWWjmianaEXerjeaXJRWhWbdqhFG74OkSDI8vO4TXjn1UaxYeubHk2pDbAZ_mrerR5hhbTLjesrepJqU2wKso-w3nZueteHuBAdaSPuFSQ6GNppT_Zt_CJYSeHwzus69JjN5mF3ntxesk5AfSLIvpMVwc5F8KK6i97GVOGoKjb9SB9sXzdBMEA7zJtLEnypnvSdb94Ud-8DiNk7xGDAS_8Tbg5WlJJ9s0Ax-Gkyg3l59hEeQD5zAwuCbPEG-E4J9Mc5LqCPAcrzZmoKAQOOkpA1jLqThk9IAwGIHtms15A5TMsvxGZZt1jRTv&p=1&fvj=1&vjs=3
Senior Revenue Accountant,,AccruePartners,"Charlotte, NC","3-5 years of public accounting experience in a large firm.
Guide junior accountants and other team members by answering questions and coordinating information…",Just posted,2020-11-26,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Cmq1pj5Dwku4j-j-jMxiR3p8DjIx5wPgrGZP7N5_dynGcPrp9S6jFTghBGlLhymrC2PeMMYObPYHFxv2Nw3CUu679la0BvBHizm877tdjeIfaLHYnwahvZtsTjn6YX1YHEQyrnJJ1pBOxbObv7AEQNzKZ0vuavT99zL7UXtkhoZTC88p4DBthY0KvZo9eYRvaiY6TvCkYiuYhHoJimIJUsDONhds_E8EWjNiMumyp-aI3VhKcpKRq4lPMdwpvuOlDMA-4oYn_jHEbDUWloQKoUPac82vG3FPtABN9GIVUO0_uq0d_pvGyZAhQ3vuhZtLvOchD9p91Mv3q1sATp-16SyY6PyWBWN2Y9saTCQYrwwgwZBo80KfAh4YAhatPlaAvliYq_BsnIJorv9fMoD4QFE9aJbZgPpFOr6ImeGjvyORPwLeaXDh7kqzBeh80qTn4ucXL8DCxnBK7LcC03HXTvny3n-b8ain43ROUjAvcMXw==&p=2&fvj=0&vjs=3
Senior Staff Accountant,,Iora Health,"Charlotte, NC","Support the annual audit process, including preparation of the financial statements and related schedules.
Reporting to the Accounting Manager, the Senior Staff…",14 days ago,2020-11-26,https://www.indeed.com/rc/clk?jk=1fd77a6b96f2955a&fccid=2654239a79ad09ba&vjs=3
Senior Staff Accountant,,Dyon Management,"Charlotte, NC","Advanced knowledge of generally accepted accounting principles.
Perform account reconciliations, account analysis, accrual calculations, and other related…",6 days ago,2020-11-26,https://www.indeed.com/company/Dyon-Management/jobs/Senior-Staff-Accountant-b649cef1dae86f23?fccid=57d07b4c3a9e9eaa&vjs=3
"Senior Accountant (Cash Management) - $40,000 - $55,000 - Work from Home",,"Local Marketing Solutions Group, Inc.",United States,"Apply payments for accounts payable.
Work with division teammates to communicate cash activity for external accounting systems.",19 days ago,2020-11-26,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BEv7lMzl6fZWja99dkbIhu1rzOl0JvJAVHEQ9owaz0WNXUTH8-Ni5vbSVUQxs1rfkmGZN8u9KPMcCecR3y6mnoojobPA8IXBZgzuPYmkr959X_20JknEToNEZYt8rLO5JDkVMBghRUp-n57tnUrnRRF4HIv7keqt5ufg4p7xCFLevFc2OCVgyvAIta_J2Lb9NimolHVFEBtGrdzYjXnjeZxoN0NQqoK25mSWVAo-g9HHYfTBwRB723E-zpnvl5xvhGCA-VgsD2miQWSBDVo8TQOOTDI9Y0KdDMrQKGHTZoUzUiH6c1rJP_2CJL5SKwiSnTTrG_FUyqOITlSzpgN6NnDeXt9MI-AvCY8g8HGv8tjzCBaI1c53BBccuRgv2ZNRhNrVyC_P_ZqTFbd4x4g_l6RldTqFfuS_5QKY6JLFY5H2no3H6qVdUBCt06W06mp3RYxfv6UdAic6-TOOXHFmZqhxYhiSbBGKN-We7i_if5S6FcvEmm1v7_tBjrZJVGe8I=&p=5&fvj=1&vjs=3
Senior Accountant,,Childress Klein,"Charlotte, NC",This positionÂ will partner with team members and senior leadershipÂ to ensure the efficient operation of the accounting department.,14 days ago,2020-11-26,https://www.indeed.com/rc/clk?jk=e8934e1168d9ca5a&fccid=9b5266006632af9e&vjs=3
Senior Accountant,,"Nederman Holding USA, Inc","Charlotte, NC","3-5 years of public accounting experience in a large firm.
Guide junior accountants and other team members by answering questions and coordinating information…",7 days ago,2020-11-26,https://www.indeed.com/rc/clk?jk=c85070548692e5ea&fccid=8e4e18718d3c59b3&vjs=3
Senior Corporate Accountant,,Front Yard Residential,"Charlotte, NC","Ability to maintain accurate records and accounting schedules.
This role will primarily focus on general ledger accounting, reconciliations, financial reporting…",8 days ago,2020-11-26,https://www.indeed.com/rc/clk?jk=482351029393b4b6&fccid=3982abcccefc7ded&vjs=3
Senior Property Accountant,,SSG,"Charlotte, NC","Post monthly debt service payments for each property; reconcile monthly loan activity.
As a Senior Property Accountant, you ensure all transactions related to…",28 days ago,2020-11-26,https://www.indeed.com/company/Midtown-Search-Group/jobs/Senior-Property-Accountant-4df2453c9e5b87fc?fccid=3cd66e9f50f66a25&vjs=3
Senior Property Accountant,,Matlen Silver,"Charlotte, NC","Successfully complete monthly reporting and assist your Accounting Manager in audit.
Continuously evaluate the effectiveness of internal processes to seek…",Today,2020-11-26,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0ADTliTSg4K3aDxe8vkHVVj5ml6bx8ND6Ab8oliGx3AtQak9O875La2bFZ7Jqdg5u2e7He4Nij17d_IcXv2nGKAIVMG_vgrDXH_UBuGNX3EB4swkufVJ-_Xr6kPk4g6KxiCvDl-3sGRe1YQmIah1vizGEtopH2bT4VHHGpI11R-9ROTF-Jq7_KSFRZ0xUrK5sqbZr_WmZyEpFh4QTR-6Tr1L83lammiCebJSIqi0x0y6arhnQhQ6e5Xiqh9SOuMyGOXpgnK40OA8LZr8I8En_INpnDez6mlPX_p7yqsBX__4pMuP0roiZBzJ7B7O_lm169qbaBJ5qWRHnXPpUkthxYoCkcrA3pOEZtVS45FIJ9gzKV-7clACrul57KH8_Qgd-f7QaJMIHIPds_kfv49g0Y41Q6Ma_iKdHFiAZcCOoUH-oKZm11t7VbojgBYKX4Dvr0=&p=10&fvj=0&vjs=3
Senior Accountant,,Westinghouse Electric Company,"Charlotte, NC","Monthly close - journal entries, analysis of accounts, monitoring the close calendar ensuring.
All systems and activities are closed according to the deadlines.",30+ days ago,2020-11-26,https://www.indeed.com/rc/clk?jk=0ed8ec6c3c6ecb0b&fccid=42e773e039e3c8bf&vjs=3
Senior Accountant,,Elements Brands,"Charlotte, NC","This person will become a key quantitative resource who can adeptly analyze, translate and communicate business impacts.
A Bachelor's degree in Accounting.",30+ days ago,2020-11-26,https://www.indeed.com/rc/clk?jk=ba2ef454757fb628&fccid=3e68a0c70c2b306e&vjs=3
Senior Project Accountant,,WSP USA,"Charlotte, NC","Experience with an engineering or construction firm is a plus.
Provides non-technical support to one or more Project Managers and/or Project Teams.",26 days ago,2020-11-26,https://www.indeed.com/rc/clk?jk=6bc16aa83d493066&fccid=125e77713a321cdc&vjs=3
Senior Accountant,,Truist Financial,"Charlotte, NC",Assist with generally accepted accounting principles (GAAP) and regulatory reporting for assigned line of business or division; perform other related accounting…,15 days ago,2020-11-26,https://www.indeed.com/rc/clk?jk=b9e9fddba6598172&fccid=035229327af06091&vjs=3
Senior Accountant,,Westinghouse Electric Company,"Charlotte, NC","Monthly close - journal entries, analysis of accounts, monitoring the close calendar ensuring.
All systems and activities are closed according to the deadlines.",30+ days ago,2020-11-26,https://www.indeed.com/rc/clk?jk=0ed8ec6c3c6ecb0b&fccid=42e773e039e3c8bf&vjs=3
Core Assurance Senior Associate Charlotte,,PwC,"Charlotte, NC",International hires or hires from a PwC affiliate firm to have obtained the equivalent accounting credential in selected individual's home country.,Today,2020-11-26,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Dr_hnQ-Jfvx8x1kl6LZGw5tBy_C31iSfGQgc5_4VANfqJsY2O7nCkwpa7QkP26kAmZ12JIThzrV6obW508tJstogbwuJ_2cih0CyUH_f0Yy5ZRWBo74dFuYjfNonfi0KKbGofD8FjNwfhRKjrEbjZW-laGmMxzqYwQiimugJ3a91U6bYPJDjQA4mTUaTB3eEuDQPlb1jghRn92brLckB1o_u8vLVkExT1CEpJK5qhLBIX6GoPLQ-2dYN_9krRDGAaB1uIhknbvrrDY9p7s637weDN7iyrw6vlI0mUBg3cOp2JMi7KXmHCnWDkuTzXH62eRXIq02uXJAI9FrMM3dk5obeWfx2OCC5GSoZBEoC1cGOoU15e2NlQzzjrTqmbfkk66iNNj3o3SIA==&p=1&fvj=0&vjs=3
Senior Accountant,,S&D Coffee & Tea,"Concord, NC","This position will report to the Director of Accounting.
Senior team member for all aspects of the monthly and periodic general ledger accounting process,…",20 days ago,2020-11-26,https://www.indeed.com/rc/clk?jk=c2627cbab12c44b9&fccid=7ee14dfefc346c2c&vjs=3
