job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
"Data Scientist, Consultant",,Guidehouse,"Atlanta, GA",,3.4,"This high performing team works with clients to implement the full spectrum of data analytics and data science, from data querying and data wrangling, to data…",Just posted,2021-01-10,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DOpfXD7aCvxSiR73RUZjyy6OuclKM9Xpb799vH3iY_yLKGpcQzZ_O87xWxZ2_4Wk6gT_eMPVf2mpE80HGqcFPQCZ4r6ndwYLcfA08bG7IG5E_hk5RA9TEtaLLRAfhTQa8wb4Mud2VGOTDrTWuo5CvpkmlynR79p0uzza4zz6fVbg0CRRMOd9ZpiTPVLvqvwEoLt4eym4qa0iOJSDJCSDyg9Se2LBihkvYkTsLBU64DKsRSR0DLq7SFoTAdWvU1m-UFHRCbhIUPU6xq0vRqn_Odi9P8DOLd4jQmmcUEJEBHcgW8YATNuhPCCSXDpC-e-kGdqirvxXuEhujzVGS_duj6mZotVjFCSjyau2dxZH2d-IIKgsM38ojx2HwwiDk_jGlNaH1Y5zvh7Q==&p=0&fvj=0&vjs=3
Data Scientist - Remote,,SemanticBits LLC,"Atlanta, GA",Remote,4.2,"Three or more years working in a data scientist or data analyst role.
Bachelor's degree in Computer Science strongly preferred and a minimum of 5 years of…",30+ days ago,2021-01-10,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BxmNod1rWr7hmeuQGmVuAIvmx_E0Ms9JF_1bsaXh8lwuk0DrdrZQT7RU4SGxsGXg2LEm39xWZrW2OgbMyNoZWyMKUxAfHP_JQyo1XxQYaXqrIePY8Fj3ys3Gqq1SzeqeWGW1XX_j2E8rAOREnKpDupwoR6B-Ts5OQLjYGJQCeNEpBU66Mh2fmjQEkC84I_y-xGDx4rQOvBAZqaAnyAUwLn71y0Y-w80uFJ60dnXOf9527S9aZQN24D1q3eGPcO2ilrhU_32Cj4pRTbZwChptE6IaMIy4IvvNBi0qStN4mcl74KCuIaQ7Ni8mlL52QKKmDAXmW30xLVrlBh-K65v17mHx-Q-R0ub4jFAyalkth8J32nVOCgCMaXx_qs2fPt1x7uyVmO79AyiWJbE5TqyWs653FmtQU9ifyR80RV6hhmCRaPw4Z5TcXEHW8LJfxEAZu7zRo_ouC96v7nXNvmbICuzZH2FOaX0lZjF7TraF0QHJHNaaeTdR_57QVIaP0gcVnyfhmJdHTi6b8e1cFKmDAs4vVyhAP6Ya5a7mu49D6gZjoLaGGLr1a4xdgT_ZZvoDKHv19mNE16WZLmeVv3-_yV&p=1&fvj=0&vjs=3
Data Scientist,,Booz Allen Hamilton,"Atlanta, GA",,3.9,"Provide your customer with a deep understanding of their data, what it all means, and how they can use it.
Work closely with your customer to understand their…",4 days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=72b01fd91a6fd027&fccid=4e041af1d0af1bc8&vjs=3
Data Scientist,"Up to $120,000 a year",Nfinity LLC,"Atlanta, GA",Temporarily remote,4.2,"The candidate will be responsible for data modeling and predictive analytics.
Looking for a Data Scientist to help drive technical innovation in the public…",2 days ago,2021-01-10,https://www.indeed.com/company/NFinity-LLC/jobs/Data-Scientist-cd1ae2cc17333c73?fccid=5d751c7acddaafc5&vjs=3
Strategic Analytics – Data Scientist,,Deloitte,"Atlanta, GA",,4.0,"1-2 years of relevant work experience as a data scientist is preferred.
Our project-based team is looking for a Data Scientist who will be responsible for…",30+ days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=9cd76edc8c7160aa&fccid=9e215d88a6b33622&vjs=3
Data Scientist,,Aaron's,"Atlanta, GA",,3.2,"Supports data manipulation, feature engineering and development of machine learning and AI models.
Develops statistical, machine learning and AI models using R…",30+ days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=c221f4fa64ee1c71&fccid=9b16649713f63006&vjs=3
Data Scientist,,Cypress.io,"Atlanta, GA",,,"As a Data Scientist at Cypress, you will be part of a high-impact team focused on using statistical methods and machine learning models to analyze data and…",30+ days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=94bb5e4b8a02353b&fccid=c3ad0b9431cbc81b&vjs=3
Associate Data Scientist,,The Home Depot,"Atlanta, GA",,3.8,"Implementing the data science development lifecycle from data exploration, cleansing, and transformation, model development, validation, testing, to…",30+ days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=82043ed2f1032c47&fccid=82e58e9861d48566&vjs=3
Data Scientist - Machine Learning scientist,$60 - $80 an hour,AptoNet Inc,"Atlanta, GA",Temporarily remote,3.0,"Daily Test Report: Feature tester is responsible to send a daily feature test report to the lead phase.
To fulfill this role the Feature Tester must apply…",30+ days ago,2021-01-10,https://www.indeed.com/company/Aptonet-Inc./jobs/Data-Scientist-6876a5515da7cd5b?fccid=6fc7836bc22ff415&vjs=3
Data Scientist,,General Electric,"Atlanta, GA",,4.0,"Work in technical teams in development, deployment, and application of applied analytics, predictive analytics, and prescriptive analytics.",30+ days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=0a2bb9880e193e52&fccid=c5c99ec01e2125aa&vjs=3
Data Scientist,,TCS,"Atlanta, GA",,3.8,"Experience with data wrangling, data exploration and building data pipelines.
Sound knowledge in building statistical and machine learning models.",30+ days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=e24a4642b4ffe024&fccid=c78fdfc4443d4537&vjs=3
