job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
Senior Data Scientist with Tensorflow - US Citizens Only,"$126,000 - $165,000 a year",Centrifuge LLC,"Austin, TX",Temporarily remote,,"The role will involve the building of neural networks using big data systems, mentoring junior to mid-level data scientists in creating optimal model pipelines,…",2 days ago,2021-01-10,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0D0NHaYmq5MutVX64RvtG2ar0rUTUA9Xuyd7NNFY9VORwErNXZN2hgeSCXb79gUrjKKur6g5zcoTLsPvuGkyyRQIVb3Qj0efd5XypaZE5WwJ7qrrsUfOn3_EMCnHJmvUOOcgWNCvqTzrY7xjxRLWtaDbEma3gA44t4hrE3iQscewXLhptJhysnyVtsTivl0yX5QGDX3G1MJuyKXmAHunNn-iSromhVgjnvlR2T_R9ahFExoxlYb1jgygTjMi5hRYKqtG4h0AZibVUnD23dbVbeerNpMLZ23sH7UUIqkrVgRlUejDPD6PTLS0XZHtUnslkExq8_lhxTM6MRTaKDSh_4oZtr2b1KB2GO9wCi0xY0eZAyv9e9ivA7CMsnS4pDzfnIYzlEkvZvyXkTlQXm-GIJt11MWB8gRnpZxA-xGAufggaAmaEh90BWO6bg4XGtAvVlMw-784u9Mrg1fG-mv0h7OV58Uhta-qf4_movsmXgvun2O1_Pj2B89&p=0&fvj=1&vjs=3
Data Scientist,,Cloudflare,"Austin, TX",,3.7,Proven track record of applying data insights and machine learning in order to address business needs and drive revenue.,4 days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=93bff818164fface&fccid=c57da989524f65e7&vjs=3
Marketing Data Scientist,"$70,000 - $92,000 a year",Indeed,"Austin, TX",,4.3,"Familiarity with machine learning techniques and algorithms (k-NN, SVM, DT, etc.).
Processing, cleansing, and verifying the integrity of data used for analysis.",23 days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=4ceaeb6bd187493b&fccid=d6ef41e202aa2c0b&vjs=3
Data Scientist Intern - Strategic Data Solutions,,Apple,"Austin, TX",,4.2,"Our team of data scientists develops, deploys, and operationally supports machine-learning models that take real-time and forensic action against a variety of…",30+ days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=16aa9cc6841e03ad&fccid=c1099851e9794854&vjs=3
Manufacturing I/T Simulation and Optimization Data Scientist,,General Motors,"Austin, TX",,4.1,Architect and build a high-performance data analytics platform to support data staging and computational analysis by the team.,4 days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=6dbb0c5d455296c6&fccid=116680a29a847a70&vjs=3
Data Scientist,,Apple,"Austin, TX",,4.2,"Research new technologies and methods across data science, data engineering, and data visualization to improve the technical capabilities of the team.",2 days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=d031f5622fdc5ebc&fccid=c1099851e9794854&vjs=3
"Data Scientist, Analytics",,Facebook,"Austin, TX",,4.2,"Apply your expertise in quantitative analysis, data mining, and the presentation of data to see beyond the numbers and understand how our users interact with…",30+ days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=09977e6c88ef4421&fccid=1639254ea84748b5&vjs=3
Senior Data Scientist,,Whole Foods Market,"Austin, TX",,3.8,"Develop, and implement data-driven applications and advanced analytical solutions that leverage predictive analytics, data mining techniques, machine learning,…",4 days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=b5a0917b34299bfe&fccid=ea10be8bb95dc939&vjs=3
Data Scientist,,"Digital Turbine USA, Inc","Austin, TX",,,"Understanding of machine learning as applied to the mobile advertising space.
Strong understanding and 3-5 years experience with machine learning techniques.",2 days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=1bdd5d8a00c144dc&fccid=155dc8efa89affbc&vjs=3
Data Scientist,,YETI Job Boards,"Austin, TX",,,"Gather business requirements, translate them into information solutions, identify required data structures and apply strong expertise in advanced analytics…",27 days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=48b92f55d1c6646a&fccid=b50db7fed80f0f12&vjs=3
Data Scientist,,eBay Inc.,"Austin, TX",,3.9,Decision Science contains both data scientists and software engineers responsible for creating and implementing state of the art machine learning algorithms for…,12 days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=57651e1e991b6f22&fccid=0da3ed18c20a248d&vjs=3
Operations Research Analyst (Data Scientist),"$53,917 - $120,874 a year",US Department of the Army,"Austin, TX",,4.3,"Specialized Experience: One year of specialized experience which includes applying basic mathematical and statistics to perform routine, scientific or technical…",30+ days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=9f1f2a0e18efddd2&fccid=c3b8389ba1f05d96&vjs=3
Data Scientist,,Knock,"Austin, TX",Remote,3.7,"A strong command of data analysis techniques (linear modeling, causal inference, Bayesian methods, supervised and unsupervised machine learning, etc.).",30+ days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=ee364338d6c5d871&fccid=f0c02e05b04b1569&vjs=3
Data Scientist II,,Amazon.com Services LLC,"Austin, TX",,3.6,"As a successful data scientist in the SCOT team, you are an analytical problem solver who enjoys diving into data from various businesses, is excited about…",10 days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=881c2283b6a5ef61&fccid=fe2d21eef233e94a&vjs=3
Senior Data Scientist,,MasterCard,"Austin, TX",Temporarily remote,4.1,"This role requires a deep understanding of payment processes, particularly around chargebacks, as well as the ability to work directly with people across our…",5 days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=a3de07dbb38c87d2&fccid=10b5c722d846df43&vjs=3
"Lead, Data Scientist",,MasterCard,"Austin, TX",Temporarily remote,4.1,"Deep understanding of different supervised, unsupervised machine learning, Deep learning, and AI algorithms and the math behind it.",1 day ago,2021-01-10,https://www.indeed.com/rc/clk?jk=868f5ea765a21560&fccid=10b5c722d846df43&vjs=3
Data Scientist - Cloud Services,,Trend Micro,"Austin, TX",,4.0,"Demonstrated experience/understanding developing AI models to derive insights from data.
Conducts exploratory data analysis activities (for example, basic…",20 days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=85323ee8f5fdaa74&fccid=db9e6b2d86b4afad&vjs=3
Data Scientist,,ANALYTOS,"Austin, TX",,,"Designs and drives the creation of new standards and best practices in the use of statistical data modeling, big data and optimization tools.",30+ days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=f8da60903b7cd2f9&fccid=9a4f13cfc6042a6a&vjs=3
Data Scientist | FTE | Chinese Languages Skills required,"From $96,542 a year",Martian Wall Pvt Ltd,"Austin, TX",,,"A background in computer science, engineering, mathematics, or similar quantitative field with a minimum of 2 years professional experience.",18 days ago,2021-01-10,https://www.indeed.com/company/Martian-Wall-Pvt-Ltd/jobs/Data-Scientist-Fte-Chinese-Language-Skill-2a85674bd152a487?fccid=04bfb95215ca9033&vjs=3
Data Scientist,,Thermo Fisher Scientific,"Austin, TX",,3.5,"Organize and data mine clinical data to assess the performance of clinical tests.
Work closely with scientists and engineers with data analysis & experimental…",30+ days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=62b099f709c5a5bd&fccid=126e3afd205caa95&vjs=3
"Data Scientist, Apple Pay Analytics - Austin",,Apple,"Austin, TX",,4.2,"5+ years of recent experience in an advanced data analytics role.
Well-versed with Python or R and data visualization tools such as Tableau for full-stack data…",30+ days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=2af53ef94fb40444&fccid=c1099851e9794854&vjs=3
Staff Data Scientist,,"Guideline, Inc.","Austin, TX",,,"The Data Team is tasked to improve our 401(K) product offerings, where we assist clients to make informed decisions on some of the most challenging aspects in…",30+ days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=c2a49ee2c1e6a114&fccid=1f726731acc9ba47&vjs=3
"AI Insights Data Analyst (Austin, TX)",,Moveworks,"Austin, TX",,4.7,"Expertise in data modeling, ETL (or relevant toolkit), and data warehousing concepts.
You will distill prospective customer ticket data into insights to enable…",6 days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=8529387a4fe5b853&fccid=e3ab92cfb41ef750&vjs=3
MDM Data Analyst Intern,,GLOBALFOUNDRIES,"Austin, TX",,3.3,Generating intelligent analytics that support this Data Model Convergence from a master data management quality perspective.,30+ days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=1333099520856b25&fccid=6a2e5a5f89491e88&vjs=3
Data Scientist,,Arrive Logistics,"Austin, TX",,2.9,Identify patterns in large data sets and develop machine learning and statistical models to automate everyday decision-making and generate insights.,30+ days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=eef5c6371ccd56ea&fccid=bd920c09f348c141&vjs=3
Principal Data Scientist,,Whole Foods Market,"Austin, TX",,3.8,"In this capacity, this person will work with Whole Foods and Amazon marketers and data scientists to develop scalable machine learning models for physical…",30+ days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=db3a0b5f92eb94c6&fccid=ea10be8bb95dc939&vjs=3
