job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
Data Scientist,"$102,663 - $157,709 a year",National Security Agency,"Fort Meade, MD",,4.2,"Relevant experience must be in designing/implementing machine learning, data mining, advanced analytical algorithms, programming, data science, advanced…",25 days ago,2021-01-10,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AC5S5KfpcrE62cRuYLg6qW_HWiPjKHP06qk-AGfbwYtGlr3wcSMURH9oqKq1q2FCeNO4H8xVbG39Y1JyMzF-2gnp7S6SvNKvywqXgw74WJKEUM17Y-XvlQMnyRxp6nf7dDAp06axWWvkGsNo46d0p_BWor3IwfT01cAhopuXhiVsOeBhG4bd529M4nO26Kb1EIfbhDZFFaMwpWWpSofePo7uNI37qyeElbdHtUBhIHYV3Csk3Ji3psE3557oA9K1CVr2T6Gyr62sagFpPXTMNdU_FiCnlqsz728VIFr8Ow6sAhXcJcnKh43-BqUYteMzdnJ5Qb4SKoX_8U_3GTJS1BNPlwEdHN3lH8hA894mRKgebPeZZifs7mQ9COUg8HIadNzPbUilxtg_uDcxXigVi_YDtc5fvMIcJ6V22oo-QGGuWZntyB8HLctIhGSEVvMhY=&p=0&fvj=0&vjs=3
"Acoustic Signal Processing Engineer - Data Scientist, Machine Learning",,Signal Systems Corporation,"Millersville, MD",Temporarily remote,,"Can design and build state-of-the-art machine learning and deep learning algorithms.
Comfortable working in closed areas and being mindful of customer and…",18 days ago,2021-01-10,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0A2NX-yk-5saWumjHCeW1U7wjRG-yaZl6appTnwIWK0f0j4yN2ZzSx2dhxoGkkKUc5Qab0Y4VZ3cY088LZzhmXyHCK-7GMoZbiNdMfTYhF26GNZsBByg0ukKIa4t__Cqm7VNEGoADKzkpwri9kDFMi8GWZkxc9HDq3PCgeGt5341N7Oxjt7GIp5b04R_xtNPZzCcj1zjBI5XOTBDq6uV3BtRLGXonf-S-DjRTboOaoHRdArcLz1V4SPVNKGT6s_SOzhWQPR4saBLit_-GhR3-TJFHQDqn3Pf4wDr4DItBWoklhVZOvRPiQioDhFuDsJywd8_sEWNsibwF3twoHYVbIlkfScPgXMGLJngM02UTwFJqjlnrP8I1vtPI9fQgU_2VruhnkbQ-Ax1Ajhwi6Q3kHvzEpcpQSf-lv8hCcyJdS1DiSaCabxYc6qBqU8AtWUf05jkYxNDhHqrSctXEdOCz_yPOrLXUMC6mpD8pnJJztQrRgcx_NmQe3G6OVYTYTPUhGyMYa8ZxhTZEUWn_rcH2as&p=1&fvj=1&vjs=3
Data Scientist,"$115,000 a year",Aerotek,"Columbia, MD",,3.7,"Data mining, artificial intelligence, machine learning, C++, java.
Present information using data visualization techniques.",6 days ago,2021-01-10,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0ChYVx_I3yfZ_JDY3EFoivtqvi_stwnZ_kRt8Dowt_l_d1ydueao4NE-oUleRJ4yhiyihg2s38Phk1BSDhlUxshBi53_gWjJhRy7JbcJnX5-oXm8J3iq6AUAyNoxq9scdADqR_zxd-DOGkU6OBhty1WZ9Y05FAuLmKQ7IU55p4fRaWg2TgYkjHopqpkPNHT984oHsZYIwoF9tk1hG_rTl0f2MLidagvi5yZDRs3cgStsurpVZ105jdQi2pjvi7qjO_5I7Qd4mOGLeYmyeD3Bu4R-hGBTwYMv4nuJY8sfpBl5mYcA6NMdoKM5cxOQN5kHD5Hx7eK32tj3WElksN0HxrFwr1lFgbK4M9Rii5wzEgn38HkHtdnAL0sHZRtuw0kbMSdsB-ZhyCXdfjHPo9h31OrOJ9ZXldvrRALeCEPo7iiHOR23GfFIhFQaWhy7oaoKi0f-79UYnwJlVM0t2UwKloh_1uFpqv3HdfDkbNDl4640Y-skGeYmkRFg61G7G0I0GxO_7n1mMblvd8Rw70_gbh1tm03ZbY-dzYgG8DPqK-FgMQzogX9tXQAR8nJokbGBXzjUfp8KGTpyNf7tMhLVsbmYoXQ9VGOFWohREpRVO1_Cq6V5GgjBjLzjHIvVe7o2JHFGa78G4uLxT0CQ5Wli2O9Y4vOKP-nhJX3KylAla9LNUJOtzlGtzwdtYNyJXSzQzqXy1OE_PUwbutG6Ea5UijRArQ1hmU9E15FwIwgfld9Q1gikqsaOn_9nTtHZ-1VAjzcEw1QDb4RostQGBBT6JaLJkCpFK1uREWKGvTDyEfR-2HpFondBdNaq1KYZcgwJn--oGnWHK4A96J1nBcjJ7m1kYUDibUq-rplfepQKEMSpi9ei84j47Z3Rm2qoGrMBHXMFaXgdyOd7IFDMMRxl2EZqoI1mIsFf-E=&p=2&fvj=0&vjs=3
Mathematician,"$72,351 - $90,157 a year",National Security Agency,"Fort Meade, MD",,4.2,"Entry is with a Bachelor's degree plus 3 years of relevant experience or a Master's degree plus 1 year of relevant experience, or a Doctoral degree and no…",13 days ago,2021-01-10,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AC5S5KfpcrE62cRuYLg6qW_HWiPjKHP06qk-AGfbwYtGlr3wcSMURH9oqKq1q2FCd1T7WosCpHM8UWZw1Ce19H09blGNleRRKl6op3ae5GXdnYzLbBOHNmBpDSEH_aVPShkD0taL6752BVXg7lAyiMe_L8tu_9C9mHUsYhuhQPhmR5sye_0cnYEbovzGMGCwbe5tMiWISIL4civklkz3_cj2KWsrJXGZWZT95meNQJPOtGUQNa_VMlR4Rfx3HiF0bTgfKMI2DxK4PHgQ-tn8X-NXzCslIsAHWLTa4oy6nWL1chhtwzfEsmY-lcyLUn_JTSfST1PYLyu2pcThOl1fLTd97OHE_fKhISw8oCZva5VBYpjyatzmgznj8uVwU4fiDR7pu_acE3Lk2tCPpX1dYt-S0nmok6MBePqHsNbnvqb3wKqTNC1hCOQ25WrsEr1s0=&p=3&fvj=0&vjs=3
Data Scientist,,Leidos,"Fort Meade, MD",,3.7,"This analysis and assembly should employ scientific methods, processes, algorithms and systems to extract knowledge and insights from both structured and…",2 days ago,2021-01-10,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CZUO70VSdYKA8PR3jfrSh5ljhqJhfDt0PzQCMubt8cRnyhDD9XgeBp6fX700neD-OSWpP5ASKsEfgjT0DYzao4RYLPm2GSAReCakL9dhp8rHpak2IdZEys5didFppBtTluglrE4OpqQYtTjPkMvss1Zzs-V91VAky_JUoPGDJAC0nCyzNKtXzqPfY9zMBSX8fTyuZJWjB_OBKsAm4iYINUUU67RH6PuiJPzp3HPP2G8AsBBAU6vePVfNVt2RT1lQvcgFPvj07QgZrzDxkgu4VlKx91wy5-hKGNClizl-BxqPc4mobWHuu5EvMEGp8pbThvY-EZM5k7Z7xK-1mRUBziSw0BLRsV6GKMhsLie2-XjiRMda2fAqYQ6dmD_BxgPKjtSCj1Z7jAeNHiAHVIvqXADK9XNtV278A4zIL-RnmB_ezt-5SnuUpKte8hq5X56W--PvYLn9Qrkg6hJXlLv_Bqs4HhJRjV2l2ewYt9lXahWcsv63l5q_NQQlo0zlq_qbk=&p=4&fvj=0&vjs=3
Data Scientist,,PayPal,"Timonium, MD",,3.9,"Proficiency in data analytics tools such as Python, Teradata, SQL, SAS.
Analyze portfolio trends and communicate concise and actionable business strategies from…",11 days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=a06e0e4c5f30e581&fccid=978d9fd9799d55a8&vjs=3
Strategic Analytics – Data Scientist,,Deloitte,"Baltimore, MD",,4.0,"1-2 years of relevant work experience as a data scientist is preferred.
Our project-based team is looking for a Data Scientist who will be responsible for…",30+ days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=929d3a9a08e5befc&fccid=9e215d88a6b33622&vjs=3
Lasker Data Science Fellowship,,Space Telescope Science Institute,"Baltimore, MD",,3.8,"Applicants are expected to hold a PhD in astronomy, physics or a related field at the time of arrival, but there are no further restrictions on the date of PhD…",30+ days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=f18d1c14eed2ac97&fccid=c055c394954535f1&vjs=3
Data Scientist,,Lotame,"Columbia, MD",,4.5,"Statistical modeling, machine learning, big data analytics, and algorithmic analysis.
Data structures, data modeling, replication and distribution, data/object…",26 days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=064e256c0b8372ad&fccid=f27ffdf13b9f8c19&vjs=3
Data Scientist - Risk Analytics,,PayPal,"Timonium, MD",,3.9,Having a strong sense of accountability coupled with a passion for delivering crisp data insights and the ability to tell stories through data are essential.,30+ days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=ae215415a88b74e7&fccid=978d9fd9799d55a8&vjs=3
