job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
Atmospheric Data Scientist - Air Quality,,ClimaCell,"Boulder, CO",,,"Extensive background in statistical and/or machine learning applications on data assimilation, forecasting and data analysis.",18 days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=c40bc742d7086ebd&fccid=a01aa832f36be4d6&vjs=3
Data Scientist II,,The Trade Desk,"Boulder, CO",,4.0,"Our data scientists have deep knowledge and exercise a high degree of leadership in their daily work.
You have a sustained track record of making significant,…",30+ days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=2928cde0705d4c4c&fccid=4899a85209d20142&vjs=3
Data Science Intern,"$62,400 a year",Galvanize Inc.,"Denver, CO",,4.1,"With that mentor, you will go through a set period of training where you will learn new skills in data analytics and data science.",30+ days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=fe26af4ea021d460&fccid=dfbec8d2b41211d0&vjs=3
Atmospheric Data Scientist,,ClimaCell,"Boulder, CO",,,Extensive background in statistical and/or machine learning applications to weather forecasting and data analysis.,19 days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=024c1adac4603a4b&fccid=a01aa832f36be4d6&vjs=3
"Senior Data Analyst, Reporting","$90,000 - $110,000 a year",Uplight,"Boulder, CO",,4.3,"Work closely with a broad range of stakeholders, such as Customer Success Managers, finance and accounting experts, product marketing managers, software…",30+ days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=ad0bb338f90aaa50&fccid=76670ee1307f6d9c&vjs=3
CIRES/ NOAA NCEI Magnetometer Data Support Scientist Professional Research Assistant,"$75,000 - $95,000 a year",University of Colorado Boulder,"Boulder, CO",,4.2,"Candidates applying with a Bachelor’s degree must also have at least 4 years of relevant experience beyond the degree.
Experience analyzing time series data.",5 days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=fa1c6f724c4e42f7&fccid=d3add89427ae6567&vjs=3
Product Data Scientist,,KPA,"Lafayette, CO",,3.7,"This will be things like establishing baseline trend data and comparisons, correlation and optimization of preventative actions decreasing accidents (items like…",6 days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=6c72272d1ce54e88&fccid=b0ed559cd7958fce&vjs=3
Data Scientist II,"$78,670 - $98,337 a year",Flagship Biosciences,"Westminster, CO",,2.0,"Knowledge of open source machine learning and data science tools in R or Python, as well as various statistical and machine learning algorithms.",5 days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=48b6bfeabd5e8319&fccid=3f0f7011ea860a03&vjs=3
Data Scientist,,Colorado School of Mines,"Golden, CO",,4.2,"Create data mining and analytics architectures, data standards/definitions, statistical reporting, and data analysis methodologies.",2 days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=1b5f59b55bba39f4&fccid=921638bcf0516b11&vjs=3
Data Scientist,,E Source Companies Llc,"Boulder, CO",,,"E Source is looking for data scientists to collaborate on data science projects with utility experts.
As with any successful analytics project, it all starts…",30+ days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=a818ee74a49bd065&fccid=2a5d204d1a2df598&vjs=3
Data Scientist,,Viola AI,"Boulder, CO",,,"Expert level knowledge of statistics, linear algebra, modern statistical learning with an understanding of when/how to invoke deep learning techniques vs.…",30+ days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=9f30dd5b6bcb4ff7&fccid=b1b72af5cf602cb5&vjs=3
Data Scientist,"$85,000 - $120,000 a year",Well Data Labs,"Denver, CO",,,"3-5 years of working experience with applied knowledge of probability, advanced statistics, data mining, and machine learning.",30+ days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=e12cad98b1c54528&fccid=b3b4b048b0e1c34b&vjs=3
Senior Data Scientist,,Delve LLC.,"Boulder, CO",Remote,,"2+ years creating data pipelines and developing/deploying machine learning models in a business setting.
Experience owning project timelines, developing project…",30+ days ago,2021-01-10,https://www.indeed.com/company/Delve-LLC./jobs/Senior-Data-Scientist-7687307a0810f97f?fccid=caf8c423f6fc2ea4&vjs=3
"Decision Scientist, Data & Media","$80,000 - $100,000 a year",Ibotta,"Denver, CO",,3.4,"Using analytics to drive sales of three key products: external data feeds, targeted audiences, and advertisements on Ibotta's mobile app.",30+ days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=d00b09d7afc093f9&fccid=2e1276ca32b1a903&vjs=3
Giant Leap 2021 US: Using AI to connect weather data for improved transportation safety,,Vaisala,"Louisville, CO",,3.4,"To succeed in this project, you should have a solid understanding of data wrangling, data analytics, and artificial intelligence/deep learning concepts and…",4 days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=2b8415d2a87b387f&fccid=7a33a7f3e61980d9&vjs=3
"Data Scientist, E-commerce Optimization",,PopSockets,"Boulder, CO",,3.8,Strong oral and written communicator with demonstrated experience translating analytics findings into business insights in order to influence business…,30+ days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=80e900bf2e696df9&fccid=62f3623158b9e790&vjs=3
Data Scientist II,,"DAT Solutions, LLC","Denver, CO",,3.0,"Conduct relevant research, data analysis, and create reports for internal clients.
Capable of independently developing statistical and machine learning models…",18 days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=2b4a0130e850a8f1&fccid=b0a5d52e8cf43ca8&vjs=3
DATA ENGINEER,,OnPoint,"Louisville, CO",,3.6,"Create and manage batch and streaming data pipelines.
Wrangle large and messy datasets to profiling the data, identify patterns, and enable advance analytics.",12 days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=56eb695e2260775f&fccid=8524d30bbfaa4720&vjs=3
Senior Data Scientist,,seagatetec,"Longmont, CO",,,"Solid technical knowledge and hands-on skills in machine learning, deep learning, statistical algorithms, data mining, and data structures.",12 days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=8c43cdc9bd084ea4&fccid=b4a4ad827d759398&vjs=3
