job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
Data Scientist,,OhioHealth,"Dublin, OH",,3.8,"Serves as subject matter expert and provides guidance to leaders in data interpretation.
Experience using statistical computer languages (R, Python, SAS, etc.)…",3 days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=c92dc3ad53ca18d7&fccid=55044c5a3ad55766&vjs=3
Data Scientist,,Root Insurance Company,"Columbus, OH",,3.7,"Demonstrated experience building, validating, and applying statistical machine learning methods to real world problems.",30+ days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=d639e32ea6a2425d&fccid=b53218579f8cf88c&vjs=3
Data Scientist,,auticon,"Columbus, OH",,,"Prior data science experience preferred, but willing to consider new data scientists depending on background.
Communicate results with stakeholders, executives,…",17 days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=24348cf99c12a985&fccid=a5551b6a900b917f&vjs=3
CCB - Quantitative Modeling/Data Science - Associate,,"JPMorgan Chase Bank, N.A.","Columbus, OH",,3.9,"Performing advanced quantitative and statistical analysis of large datasets to identify trends, patterns, and correlations that can be used to improve business…",Today,2021-01-10,https://www.indeed.com/rc/clk?jk=3de2d1b670ef6e47&fccid=aaf3b433897ea465&vjs=3
CCB F&BM - Quantitative Modeling/Data Science Associate,,"JPMorgan Chase Bank, N.A.","Columbus, OH",,3.9,Chase Consumer & Community Banking (CCB) serves nearly 66 million consumers and 4 million small businesses with a broad range of financial services through our…,8 days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=f3ff9ab40e9a797c&fccid=aaf3b433897ea465&vjs=3
"Technology Intern (Analytics, Data Science & Automation)",,American Electric Power,"Gahanna, OH",,4.0,"Data Science - helps solve a broad variety of problems in the energy industry, utilizing sensor data, pattern recognition and artificial intelligence, text…",6 days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=410a756436f4d9fc&fccid=5c6de67c27319810&vjs=3
Sr. Prospect Research Officer & Data Analyst,,OhioHealth,"Columbus, OH",,3.8,"They serve as the subject matter expert for prospect management. and analysis of data.
The Sr Prospect Research Officer and Data Analyst is responsible for…",3 days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=ef1ae407af035ded&fccid=55044c5a3ad55766&vjs=3
"Principal Data Scientist, Pricing",,Root Insurance Company,"Columbus, OH",,3.7,"Strong, demonstrated experience building, validating, and applying statistical machine learning methods.
Experience with large-scale analytics on AWS platforms.",30+ days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=af9ae17c0b7e7f1e&fccid=b53218579f8cf88c&vjs=3
Data Scientist,,Alliance Data,"Columbus, OH",,3.6,"Create and Design - Create machine-learning based tools or processes for data mining and data analytics .
Five or more years directly related work experience to…",30+ days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=073a208775f208b9&fccid=9edcedb2997876d2&vjs=3
Senior Data Scientist,,Root Insurance Company,"Columbus, OH",,3.7,"Strong individual contributor with interest in growing a team of data scientists.
Demonstrated experience building, validating, and applying statistical machine…",30+ days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=d530287d5a27c6ba&fccid=b53218579f8cf88c&vjs=3
