job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
Decision Scientist,,NakedWines.com,"Denver, CO",,4.4,"5+ years of industry experience in management consulting, advanced analytics, data science, or related roles.
You are able to work legally in the United States.",30+ days ago,2021-01-10,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0B8yzXerUj9WcLHc8irLhMb8zAi8-5j9IEQ6sM2GT6ixel2nkDDCZNNX2yPg8V9Uvwut0xDGBPTxkZgIB_9wrhWeMlcUm0inYVwLx2ObW8PLXLrc5cXLf3iHG7mQ3MTIGNwnI8TMuGLamMQadPOOQB7eJfsadAKV3FuH471FmPwJej0Faob1OsdL0gbkENPSDlCIgfyAY8PDlBhhnlHIg9UlkJepXzxjS6wGb_TN_tQp4cdU1VS6y-bnC4zm_evj5uzlVka0jaswq4dTDINH1ehn7hpKL2-DyZd5u468oi792ogY3tNiB8E4sGj8X5BiAApUl8hycqjA_VF02jjEv6vre8NQRGtUsyhQ2Lv1drwvBwNIF9ycMSCRprFtPKNt2uY3ULWZoUKfC6FTbn3Z4VD5w8pn2gduQcoQy7lj8iI2s3kj73u0115&p=0&fvj=0&vjs=3
Data Science Intern,"$62,400 a year",Galvanize Inc.,"Denver, CO",,4.1,"With that mentor, you will go through a set period of training where you will learn new skills in data analytics and data science.",30+ days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=fe26af4ea021d460&fccid=dfbec8d2b41211d0&vjs=3
Data Scientist Intern,,LOCKHEED MARTIN CORPORATION,"Littleton, CO",,4.0,Lockheed Martin builds the satellites and spacecraft that do amazing things in space for government and commercial customers.,30+ days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=05443a10a0c2f9f2&fccid=aeb15e43a6800b9d&vjs=3
Data Scientist (Contract),,Pinnacol Assurance,"Denver, CO",Remote,4.1,"You will work with medical, claims, and policy related data that comes in a variety of formats – structured and unstructured - to generate insights and embed…",4 days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=c674617e13c668b7&fccid=66209e67d8000673&vjs=3
Data Scientist,"$85,000 - $120,000 a year",Well Data Labs,"Denver, CO",,,"3-5 years of working experience with applied knowledge of probability, advanced statistics, data mining, and machine learning.",30+ days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=e12cad98b1c54528&fccid=b3b4b048b0e1c34b&vjs=3
Data Scientist,,Colorado School of Mines,"Golden, CO",,4.2,"Create data mining and analytics architectures, data standards/definitions, statistical reporting, and data analysis methodologies.",2 days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=1b5f59b55bba39f4&fccid=921638bcf0516b11&vjs=3
Data Scientist,"$78,692 - $104,923 a year",ModivCare,"Denver, CO",,,"Good data visualization and communication skills.
You'll work with the Director of Anti-FWA data science and a broader team throughout the company, including…",30+ days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=ea92d01dc4b67407&fccid=901a7fe7e6607d4f&vjs=3
"Decision Scientist, Data & Media","$80,000 - $100,000 a year",Ibotta,"Denver, CO",,3.4,"Using analytics to drive sales of three key products: external data feeds, targeted audiences, and advertisements on Ibotta's mobile app.",30+ days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=d00b09d7afc093f9&fccid=2e1276ca32b1a903&vjs=3
Data Scientist II,"$78,670 - $98,337 a year",Flagship Biosciences,"Westminster, CO",,2.0,"Knowledge of open source machine learning and data science tools in R or Python, as well as various statistical and machine learning algorithms.",5 days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=48b6bfeabd5e8319&fccid=3f0f7011ea860a03&vjs=3
Data Scientist II,,"DAT Solutions, LLC","Denver, CO",,3.0,"Conduct relevant research, data analysis, and create reports for internal clients.
Capable of independently developing statistical and machine learning models…",18 days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=2b4a0130e850a8f1&fccid=b0a5d52e8cf43ca8&vjs=3
Associate Decision Scientist,"$60,000 - $75,000 a year",Ibotta,"Denver, CO",,3.4,"We leverage the latest developments and best practices in data analysis, testing methodologies, statistics, and machine learning to drive value for Ibotta.",30+ days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=7107d6dcb74f6a4a&fccid=2e1276ca32b1a903&vjs=3
Data Science Resident,$35 an hour,Galvanize Inc.,"Denver, CO",,4.1,"As part of the Residency program, you will receive dedicated mentorship from our expert instructors and faculty to cultivate your development as a data…",30+ days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=75de6779548fd38a&fccid=dfbec8d2b41211d0&vjs=3
Environmental Scientist/Engineer – Data Analytics,,Integral Consulting Inc.,"Denver, CO",,,"Collaborate with multidisciplinary teams (data managers, engineers, environmental scientists, toxicologists) to develop and implement data analysis plans to…",12 days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=e1d0273d409990f1&fccid=a753b73c99080ae9&vjs=3
"Associate Data Science Instructor, Data Scientist",,Galvanize,"Denver, CO",,4.1,"Strong understanding of the topics we teach: scientific Python, software engineering, probability, statistics, SQL, machine learning, data engineering, data…",30+ days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=fc606bc1d4700c62&fccid=dfbec8d2b41211d0&vjs=3
