job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
Senior Data Scientist with Tensorflow - US Citizens Only,"$126,000 - $165,000 a year",Centrifuge LLC,"Raleigh, NC",Temporarily remote,,"The role will involve the building of neural networks using big data systems, mentoring junior to mid-level data scientists in creating optimal model pipelines,…",2 days ago,2021-01-10,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0D0NHaYmq5MutVX64RvtG2ar0rUTUA9Xuyd7NNFY9VORwErNXZN2hgeSCXb79gUrjKKur6g5zcoTClx6dApakdHmNa_-I29Hhqz_hrroUkXVwBnvB2--Mzrc8umznI347UWr1HU7QqWx4YACHt90O6-X0Ylyhv8_w8wgOQYWvuTTXuVT1hPecnZmn5-Xk6FnyYIP5oLuhhr1az71QFvp9pbqK8BZ8K-kyy8bjD5eb2JisgFImhfucxXSCI4yFOklIWtcMBuaPQHjDCXp_QadDzlwohoaJeQmtWT88iumy5Bd-8TEPhT65EuzA27vRS0nghEqgjSc7m3JP4m61ihZSPBbFnX-uHAcNSUx4SkEUaW-yb4rzW2-fyOR72DshnqGh9C8lp_9qYXIHIoFbVNG-srwfzdlEhBHS8NodV3bb8dAnRMffw6kbmaQvyFRB_un-HBlg2xmsl8q4-41-MiM56YIhCuqrmvvPCWu4m4B8rqs_iDS4ZrwQJV&p=0&fvj=1&vjs=3
Data Scientist,$65 - $70 an hour,Insight Global,"Cary, NC",Temporarily remote,4.0,"7+ years of data scientist experience.
Strong knowledge of data visualization tools to present models and results to internal and external stakeholders.",4 days ago,2021-01-10,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BKkHZu3wF05EeDimN_p6sYpKCMArvwa95YdH7UpkaBCkTAlOdu2lVg0NLtjKOv1OkO2q-8bLT1rHN_YI3eIRcPbVUk-VCuZMJinBuI82IVVD6fZ0ECU4B4nXgTEpAu3JIHpiHHQsbzFRgamr4xc0uiMNlkDg_IsmL3MGyPW3AbBK2Mlj3m8WcLLwJYJR-jEzDvsbjLjpLxfLQVSIKMGWUvC80d2DZ60ropaJicyVBldLSxgfavT77HL_1uZoNDrM99m-j19xWlnlrs6G0IiraweCmLtvVFYynoK8avI8w8JVVSOBkNYmFCjlWgWHM25_wvb7TbhyN-tbnz12E4LIK1UZQBxp9G84rsZxZI6h7fxOrLFTPU_d7i-gtQAjbcd6TWRoPvHoR9-STMcfBkyhQroebgyTqgZU6a7AKENiPTohieXxThdKStfnVOEj2-bg8m8eE_ufxgqPol8gdwHj8LAzyWBKkXpLQ=&p=1&fvj=1&vjs=3
Senior Data Scientist,"$150,000 - $230,000 a year",CyberCoders,"Raleigh, NC",Remote,3.3,"Implement the most current machine learning methods.
Write code in python, scala, or C++ to scale machine learning models.
Check performance in real time.",4 days ago,2021-01-10,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CpFJQzrgRR8WqXWK1qKKEqALWJw739KlKqr2H-MSI4eh4ZOxqVaUrhNSyjVEAq5t6LWXi_pflRzOwOrW_oL8GHn9H27FlFr5hUFM6QqMhoWDchAyQ7YyHeS5Z_zxXSA-HGgGf63WeenvLu2Z-Gpz4GJT4SgLiEDsPBRueZKMiSA7n8cYFxAwtN-3Bd9AjlA2bLaHpZJvLb1gP2yZ1Ia8-x2-Oev8FFSedCTWEcGkYoYEIJUgvmSlXkUwbbYxOZVLYBHRFCAIeF6alEGqpTB9fW6KH5um63CMBTTHGMRp_mZ84bcYsNLoeFuGWaUrDdN2qYRaWbPYdal5fomzE99qFOM7mx2X9DiyV_d2rkkuGR13Is9oJlUl5c2a1eCBitfcqiRUqiVtdlXnnIyXxeqztkIUAz4tnhiopV42JfGSPrGddonwlKD0TWvnDF5RwqIBHdnrrE9R31KrlKANO5jJZawDI8LmLyG3eRwJL-JEMYKkC7Cye79f7WBSS5YJHmR6dcPy0MACj7cs6V4s71PagIPPHavRW9A5Q8aleCc8XZ1Y48-Wp10rzwHnYvX3plEFDMVr8liN9PbPDAqDKrN8oqidypFzTdcSBHKROh1layxjs0rLs23BHUfE-_oJJdZqt0GVUl2wNF_uP1MIB5UxxhK2ZUFLJYpqzL7PIyebpwbtjrthKeZ7kS_PnbWRSo8PuzHTaklB9dUj9uNhNuva-AnivC9b8awHgWHHfJINPVTxthL4iLTS3x831bE1Rb2k1KzP-lqxekGexGvww4Px9geflT2rChQkpJ4vZMn70euIxW0BZdaY7La9sTtxpFh-_RrkTyAnQpYDJKozuj2K_l4PEq_wqdu1ZxEDlGxYZCAX_RGB2Q-KcjCY1YTtohnhyrKViNWdXPona93ozMzY8e0QUS3oQzcvEQEosiOUhMYwU0kJlRJSkk5J5HC1LkCLSqn1xCsm9Ogg==&p=2&fvj=0&vjs=3
Data Scientist,$65 - $68 an hour,Piper Companies,"Cary, NC",,4.5,"Keywords: data science, data scientist, predictive models, predictive analysis, machine learning, algorithm, python, R, SAS, statistics, mathematical, math,…",4 days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=fb7668703d25a3c5&fccid=fc68da685e8aa986&vjs=3
Data Scientist,,"Digital Turbine USA, Inc","Durham, NC",,,"Understanding of machine learning as applied to the mobile advertising space.
Strong understanding and 3-5 years experience with machine learning techniques.",2 days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=d3d782edafa21a31&fccid=155dc8efa89affbc&vjs=3
Data Review Senior Scientist,"$75,000 - $85,000 a year",Piper Companies,"Durham, NC",,4.5,"Perform data review of cGMP from HPLC, ELISA, Capillary Electrophoresis with focus on the quality of data to ensure accuracy, completeness, and compliance.",6 days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=b22e62d0b217c269&fccid=fc68da685e8aa986&vjs=3
Data Scientist,,Red Hat Software,"Raleigh, NC",,4.0,"Experience with statistics, machine learning models and unsupervised and supervised algorithms including logistic regression, XGBoost, support vector machines,…",4 days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=4d7e7cff1d3f21da&fccid=e24a60f01d1882d1&vjs=3
Data Scientist,,Infinia ML,"Durham, NC",,,"3+ years experience in machine learning, data science, data engineering, and/or computational software development.",30+ days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=312d9412a149d87a&fccid=fbcfb4ac246a82c4&vjs=3
PAS Data Scientist Intern,,"Toshiba Global Commerce Solutions, Inc.","Durham, NC",,3.1,"The Data Scientist Intern will work in a small team of other data scientists and business analysts to extract, explore, transform, visualize, and derive insight…",30+ days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=9c913ceabe5046ca&fccid=3221a0a36b40fb9f&vjs=3
Data Scientist,,Verizon,"Cary, NC",,3.9,"Partner with team and non-team data scientists to teach complex concepts, assess project feasibility, select input features and validate project output.",18 days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=a13058b97999ca08&fccid=f7029f63fe5c906e&vjs=3
