job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
Data Scientist,"From $55,000 a year",JES Tech,"Houston, TX",,,Ability to be creative in developing different methods for reporting and communicating data insights depending on the specific needs of a project.,25 days ago,2021-01-10,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BWu9cPS5ZdQeN90O2oz0gY4HJvB-Cyq4V4Aa0_oaws08arPxr7DGYrLvf4O-WPoi8sqfBj5LE5KYA8HSYEfDeQYU6JwaMl3lLTovbS9fraPwPPcoB7zrfAYaiTzhE6L5idghthyIGdBc1w2mrmrdrxd5D7TuWrrV2QPBOYVgIKFuQBDepI2YSI0JVI5HPmOwlh3JVTSFQdwNAOPj6PKYFAeOTpIjzNgsTz0fd7FMX-zYuVDeIpEcAbJ2Rq620g3ltKI8w1a9H2t4VVwHcS9T7n_eyH5uOAqlSHn4H6Qamseg4fIzLrtFQ6mcXqhMiD-ViooYhRMlDlS33uOlqpt8xEh5CfMsgiOnPiuDiQvoNREaToz7_hAt4BsO0AGTWR6TGOzGH6_R-zhgSBB15A1gRMdba6ZBlKpEaHgN9WAyTorBZAHxzOqgRiv4DANlLfsM_lkgm_bE_VtQ==&p=0&fvj=1&vjs=3
Data Scientist I,,AIG,"Houston, TX",,3.7,"Work with subject matter experts to identify potential data sources and extract data across structured (financial, operational data) and unstructured (emails,…",23 days ago,2021-01-10,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0B0YCvGyaoWCFvZvfPwJFz0QpIluLcbbVnZngKY3MdEVjeyqm5SkI3b6vD6qUZ_5d5cAWb10T1vF5r62v74I9cUpYE5TuKg8ipl9mw-uhndavhs925aRAI3SFOHTRsxMyHNkF2V_Pee1Z-dA90giXuuJ7IKRJxIqxTVOcaMK0heGliX4p9OzJNTVQJcnIY1q-XO3Bv5rff_p6jVe8A_gTjgclK-UDV9m3OnzwueLMxrLy7oJMGqJZqWqmOPB9eCmgYiJhFm0SBzFga9Mc2wbkRpQ1PRSeQFOSSlbR9rIUETZiZAHUZnH42t2QLQA1xX8NNS4NiD4YRQwoUccEDxQL_pkGK0mGsG_rhr2NQT3GFqRzCNf9rmKacnRESZe4Ea6SKNX184f-SuUqgEGD-ymVDILjdfTvYCmiHeRiTfcxnr46pxd2j_WpCyvcMvWsA_5r0BkQZSOx-G6HPpqwxE8O5s8P94szt_UT5EJgkYxyvQ3BSTxbaXYh52YDZXnA-uM4yS9ZhYXLafibdHpjDShhqHJp7xlu-ye8unY6v9X1FiFdjelMKy-xG44XIWTDmssj5p930LR8R4yg==&p=1&fvj=0&vjs=3
Data Scientist,"$76,075 - $175,319 a year",Ursi Technologies Inc,"Houston, TX",,,"Your challenge will be to translate a business question into a data science solution, using your experience in customer analytics to help us understand customer…",3 days ago,2021-01-10,https://www.indeed.com/company/Ursi-Technologies-Inc/jobs/Data-Scientist-b6061ced34660340?fccid=4080d24e411d5a46&vjs=3
Data Scientist,,Schlumberger,"Houston, TX",,4.0,"The Data Scientist will be responsible for designing and executing undirected research and tackling open-ended data problems related to AI, ML, predictive /…",2 days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=69b10b5e348eefcd&fccid=1a6c05c38b3b5549&vjs=3
Junior Data Scientist,,ORTEC,"Houston, TX",Temporarily remote,,"These solutions will be found by introducing machine learning and other data science concepts and building applications within a scripting language, such as…",30+ days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=956bc4242ccda148&fccid=e7c5b6dbeaeea9b1&vjs=3
Strategic Analytics – Data Scientist,,Deloitte,"Houston, TX",,4.0,"1-2 years of relevant work experience as a data scientist is preferred.
Our project-based team is looking for a Data Scientist who will be responsible for…",30+ days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=dc292d195e42d954&fccid=9e215d88a6b33622&vjs=3
Data Scientist,,Infosys Limited,"Houston, TX",,3.9,"You will create detailed design artifacts like program specifications, test plans; and independently develop and review code and contribute to the go-live plan.",2 days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=4c0adc2374defe5f&fccid=c67533a523c83a4c&vjs=3
Data Scientist,,"Group 1 Automotive, Inc.","Houston, TX",,2.7,"Aggregate data from a variety of datasets, automate data collection and processing.
Experience developing and maintaining data science algorithms in a business…",12 days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=e438228a1724eb0e&fccid=4a79a37797faccc8&vjs=3
Data Scientist,,"Avetta, LLC","Houston, TX",,,"Mine company data to drive customer facing analytics solutions, internal process optimization and marketing analytics.
Experience working in AWS a plus.",30+ days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=295934a637db9d4b&fccid=b1588b29770d2107&vjs=3
"Data Scientist, Chief",,ABS,"Houston, TX",,3.8,"Be experienced in applying machine learning, artificial intelligence, statistics, deep learning and risk methods to solve real world challenges using…",4 days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=7848be8d6b9e6603&fccid=93f480e9ca33a501&vjs=3
