job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
Data Scientist I - Remote,,CUNA Mutual Group,"Madison, WI",Remote,3.9,"In an individual contributor capacity as part of CUNA Mutual Group’s Consumer Insights and Analytics D epartment within our Consumer Experience Unit , utilize…",2 days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=a56a924ef686659e&fccid=e2b0f357f26efe90&vjs=3
DATA SCIENTIST- PROGRAMMER ANALYST,,University of Wisconsin–Madison,"Madison, WI",Remote,4.4,"Matthew Churpek and Majid Afshar, whose research focuses on using electronic health record data combined with epidemiology, biostatistics and machine learning…",4 days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=b7a296cb8e0ff5fa&fccid=22b1d1aaa50a1a45&vjs=3
Data Scientist,,Tetra Defense,"Madison, WI",,,"Analyze data to identify common cyber-attack trends.
Working closely with our incident response team, Tetra's data scientist will identify, collect and analyze…",30+ days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=17b274a169e2247a&fccid=fa5d515e33aea352&vjs=3
Statistician,"$76,721 - $99,741 a year",US Department of the Interior,"Madison, WI",Remote,4.1,"Examples of such experience may include: a full range of professional data science work such as statistical experience represented by sampling, collecting,…",20 days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=e10295dd338dd066&fccid=a49370fbe395bbd8&vjs=3
Data Scientist,,Sourceability,United States,Remote,5.0,"We are seeking a hands-on Senior Data Scientist to skillfully apply mathematics, statistical analysis, machine learning, prediction, and other data science…",30+ days ago,2021-01-10,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0ADvRi4Fhzo6Lhixq24Efpt7RwpjKDyUQihLKB9436vvhUCqFEm-nkW0la8YnoGNEFh8i3JW6ZTXhE4DkVrso5T3Vz8yXJdq2dJLsgTANS_yKbR-JYOMuO2e5aBVxks2k6rMMP9qB20LAKyRlZvk7-84WO46AyQ2moZGjxCJmldcEsitmXLLHDrSapcqCFpdeONtdzl7kLZsKwyfhBQsmGocBkatTix7B4gLZJCxYKLmTEf28gE-FE2gN0P9ATK0ul_AUGsghDMMBUYz0sEGp5ckSCLIG5fixbHOHjf0htjNx_aXHFs63fR342zKYelSM2eeqcZ50JykPvqiz6Hl5S64VRuCM5adJ4DVDkHRutbTFSfMl2ACU9YZVTQYF5TxdXsKh3rW2_d-wcFE7d1QV8Z9ZcAGX5f7_bZXlFAgyIBt5BgD4bC1vCDXztEiX5cYuktKXNrKtHLEs0Yh11QeVDX&p=4&fvj=1&vjs=3
Data Scientist 2,,Promega,"Madison, WI",,3.9,"Experience with data mining and/or text analytics.
Responsible for internal infrastructure development, processes and methodologies that are foundational for…",30+ days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=8742e6c6570b2293&fccid=c5699f7e653e0cf5&vjs=3
Data Scientist - Nationwide Opportunities,,"Amazon Web Services, Inc.","Madison, WI",,3.6,Experience in an ML engineer or data scientist role building and deploying ML models or hands on experience developing deep learning models.,30+ days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=16343f55c7b2c748&fccid=fe2d21eef233e94a&vjs=3
Data Science Marketing Specialist,,SmartUQ,"Madison, WI",Temporarily remote,,"SmartUQ (SmartUQ.com) develops advanced predictive analytics, machine learning, and.
You will also have opportunities to work on data.",30+ days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=3c8455090d786086&fccid=ea76c75716af82e7&vjs=3
"Sr. Data Scientist, Institutional Intelligence",,Pearson,"Madison, WI",Remote,3.7,"Extensive knowledge and experience with database development, statistical techniques, data collection, data warehousing, data mining, data modeling, statistical…",30+ days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=ca53aa6453727582&fccid=915b1c0ee87e5e8a&vjs=3
Summer 2021 Machine Learning and Data Science Student Internship,,American Family Insurance,"Madison, WI",,3.7,We are a group of machine learning and data scientists who are dedicated to build state-of-the-art ML models (including but not limited to natural language…,30+ days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=8e6ffc40f2f2120b&fccid=e5c4515812210aed&vjs=3
HEDIS Data Analyst Senior,,SSM Health,"Madison, WI",,3.7,"Three years’ analytical experience with business or scientific computer data applications and query language, to include descriptive and inferential statistics,…",30+ days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=6d51fe10999f0a04&fccid=b00c5e088999b49c&vjs=3
SCIENTIST- HOMEBASED DATA REVIEW - CELL,,PPD,"Middleton, WI",,3.5,"Communicates project status to project leader.
Enters data into databases and reports.
Proven ability to interpret data by performing trend analysis.",3 days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=5838469dbfead1e4&fccid=5e93bbb0f296b0b5&vjs=3
Data Science Program Manager,,ABS GLOBAL,"DeForest, WI",,3.3,"The primary responsibilities will be to lead the continued development of data management solutions, seamless data integration and analytic capabilities for…",30+ days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=88bb75400f8c72e3&fccid=4b394719728cfa2d&vjs=3
Data Science Manager - Machine Learning Research Team,,American Family Insurance,"Madison, WI",,3.7,"Demonstrated experience in machine learning, predictive modeling, or statistics / data mining using large amounts of structured, semi structured, and…",30+ days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=36c1d96a48a7886c&fccid=e5c4515812210aed&vjs=3
"Sr. Software Engineer, Machine Learning Infrastructure",,"TuSimple, Inc.","Madison, WI",,,"4+ years experience developing platforms related to machine learning training efficiency, experimentation, visualization, continuous integration, or active…",30+ days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=20c71fe25d5e546c&fccid=fea34c44eddebdae&vjs=3
"Software Engineer, Machine Learning Infrastructure",,"TuSimple, Inc.","Madison, WI",,,"Experience developing platforms related to machine learning training efficiency, experimentation, visualization, continuous integration, or active learning.",30+ days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=34781da0addd3763&fccid=fea34c44eddebdae&vjs=3
