job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
Data Scientist,,"Yoh, A Day & Zimmermann Company","New York, NY",,3.8,"Experience with feature engineering for machine learning models.
Visualize time series data in intuitive ways for a non-technical audience.",3 days ago,2021-01-10,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CHFXRG3kkdUdmmlVrgd8iCe035pugiL0RqZ4rwDlkiq_HaUFfJht6hyhHSRV-E1o-57v0V8hU_92IhOxwWQ5rpfhMCQF21Agb1RC9y4eV7iG3wHLPot3u6qNsISy2Dp_5GLGpFm7jzb8_ZRWSME0mS4kCnn2JKszOKDeCEkYAMEHxSwqlnKN__A6EHaxm_kDHXjJksABQ4GqWyRJXVGvh6llL43-S0K5LFJVVx2kUVCgcQ7VVso2v-uK5IGX5_syCe17T0FV0I7BEUYZ7Hsq5nDziJgyr8CFvLSwZ6VlUkOscNDrBC-yfKOcPSRisiQpV1fIuomkoeq-LkOmmYxPClGCR0aimoh8eMXZQVzmgMhkwl3SsboDsFbx_7buKH9w4_F2-7KWVqMKAEf4YVLx5COjtDU0RQzPHSKxjX5msigjjATZLRZQItodOe83EzyTQj8kTKdC2yDVOK3UhoGLngq4XyXqetOnMIOrWntl6vaElkqkyqdVcepjZAeX1uV7pEs009lrdq3tF-rBiTrfhK2iEoLxO5XYNZCUSRVW-LJwGUwnrc1Hgahf3eUHywKd8_7_eLTMgARipo0YKvK6e_vlDtehsp3oudBtxO-8PsuuzI793ymSPFTTG6ZLbbDllbf0XOow9sXFDsztYyPm0hLwOFcKLM-k9R54UhQ8JmRlmiFeC14xkrEkEjKpaujVvQdB78vrTzJA==&p=0&fvj=0&vjs=3
"Data Scientist, Business Analytics",,Oscar Health,"New York, NY",,3.4,"Insurance companies sit on a trove of data that is both broad and deep, spanning financial claims, clinical medical records, and rich product interaction data…",30+ days ago,2021-01-10,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CHmpUCSxDYjXqLwMq9sXRhzZbRYXAhXF7CEKQIH7J0VsP5f0r3OHkiIN8KWVpZ3oK8W4Qn54FvORK-a2uIzq4u4_xS6agvPTtYM7cEMC5fcnYImX7s6X0cLdAZ9RXVLAI-MyZMUakDhUpauAfd-jY_dXyLR2NqXqjCr02PCgXz8WeNS5BemR4xwriKIbiwliUns1dZO07JD4EXxebLltTFihFbWmcnuFvc6OUBxH7A9jB8U8YLJEvqm8MZSr2WxoMytxUGzp-Q6p03hq3HSnxuZ1DW8S5wjWpDnMo6WRmPIbNVyJ4i2I5LeU2xlpuJa0BK_Qm82ca33seVXl5F1dzN3IuxuOGkla7sfEJOY7RUZVYfvO1bqrCLrxfE6BsAPzbBwU8odEdNP6tgkvAdEYHe&p=1&fvj=0&vjs=3
Data Scientist - Analytics,,OK Cupid,"New York, NY",,,"Our team handles all aspects of the analytics life cycle, including data modelling and warehousing, reporting, traditional analytics, and statistical modeling.",4 days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=a39e237d7dc77f44&fccid=b5e22c34bcf6dbb6&vjs=3
Data Scientist,"$88,656 - $222,212 a year",PebblePost,"New York, NY",Temporarily remote,,"Expertise in machine learning techniques.
Architect and implement data science solutions to improve performance within a fast-growing, disruptive first-mover…",2 days ago,2021-01-10,https://www.indeed.com/company/PebblePost/jobs/Data-Scientist-c94892fc57a85877?fccid=e9e5e66b7993bb98&vjs=3
Data Scientist,,Altice,"Long Island City, NY",,3.4,"You will partner with other data scientists, data engineers, and application developers on the Data Science team.
Strong ability to conduct literature reviews.",6 days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=58f777d272c886a0&fccid=915628603ff911ad&vjs=3
Healthcare Data Scientist,,pulseData,"New York, NY",Remote,,"Combines clinical domain knowledge and data skills to generate useful insights from data.
As a healthcare data scientist, you will be part of the clinical…",12 days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=6720cf1c03a1c426&fccid=2c23f29fcd5c78da&vjs=3
Data Scientist,,Betterview,"New York, NY",,,"Use insights from model evaluation in collaboration with machine learning engineers to identify areas of improvement and target features for data collection,…",12 days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=fb57d755a2b1f2e1&fccid=e82111c38842f8f2&vjs=3
Data Scientist,,AdTheorent,"New York, NY",,3.8,"Familiarity with relational databases and SQL, data transformation (ETL), data mining, ad-hoc analysis.
We are looking to hire a results-oriented data scientist…",5 days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=40b4fe6499314552&fccid=647578535675f915&vjs=3
Data Scientist,,The New York Times,"New York, NY",,4.0,"Reframe business and newsroom objectives as machine learning tasks that can deliver actionable insights, accurate predictions, and effective optimization.",5 days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=ee96fae498fdd763&fccid=1b50fcfb150b1b48&vjs=3
"Data Scientist, Player Health and Innovation",,National Football League,"New York, NY",,4.5,"Proficient in using data visualization tools (e.g., Qlik, PowerBI) to present data in clear, concise formats.
Produce compelling, illustrative and user-friendly…",30+ days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=9acdea3dfc0e94a5&fccid=85ac7fb3b19d15f1&vjs=3
"Data Scientist, Analytics – Instagram Product Performance",,Facebook,"New York, NY",,4.2,"Collaborate with other data scientists across our organization to share best practices, learn new analytical techniques, and champion an organizational culture…",5 days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=48c51f722cb8ab02&fccid=1639254ea84748b5&vjs=3
Data Strategy Data Scientist,,"Jefferies & Company, Inc.","New York, NY",,3.7,"4+ years of experience within consulting, data research, data science or similar roles.
Interact with key data partners to communicate business cases, company…",5 days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=dd4117e88941026a&fccid=0140e51652b12787&vjs=3
Junior Data Scientist,,Decode_M,"New York, NY",,,"Advance our capabilities for how statistics and machine learning should be used in analyzing digital trends, CRM data and quantitative research.",30+ days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=148f2e5e7a652368&fccid=2721c1c2ba33c638&vjs=3
Data Scientist,"$89,115 - $222,451 a year",Virtue Group LLC,"New York, NY",Remote,,"Develop predictive models using statistical, machine learning and data mining methodologies.
Deep knowledge of statistical methods and machine learning with…",5 days ago,2021-01-10,https://www.indeed.com/company/Virtue-Group-LLC/jobs/Data-Scientist-488bf22a9f999839?fccid=d1c01368f6088532&vjs=3
