job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
Senior Data Scientist with Tensorflow - US Citizens Only,"$126,000 - $165,000 a year",Centrifuge LLC,"Raleigh, NC",Temporarily remote,,"The role will involve the building of neural networks using big data systems, mentoring junior to mid-level data scientists in creating optimal model pipelines,…",2 days ago,2021-01-10,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0D0NHaYmq5MutVX64RvtG2ar0rUTUA9Xuyd7NNFY9VORwErNXZN2hgeSCXb79gUrjKKur6g5zcoTClx6dApakdHmNa_-I29Hhqz_hrroUkXVwBnvB2--Mzrc8umznI347UWr1HU7QqWx4YACHt90O6-X0Ylyhv8_w8wgOQYWvuTTT7VVVYJN3qRIcgLR6Prvz_fS8DMnUJ-invT4qvSRW4yLi2ygRrIKVUMeTk-Eq3bRrPPjihUUGFKg0qbkrvrwl2QQvZHciNC7Ky3TrYry342Q3LFP1m4SzXicnRpN6KLKItNvXOLb0NHieKI4xK0bFZ7H4zBsnWn0Sh8DSbVlISpxzouAovnj3j6evIU0WEcGN-TILIRJzwGkubE5EgJaXvaLRjGjDB-C-f5hlSyK-Go9HDEiaN0sSr77W6DA7zcLLUC0tkTv_GGTpaivMRz5Vk69p-abvEmonhetOBWaacVdwc8ZtYcZj_xr3jnTUp_v7RG00qF_3aI&p=0&fvj=1&vjs=3
Data Scientist,$65 - $68 an hour,Piper Companies,"Cary, NC",,4.5,"Keywords: data science, data scientist, predictive models, predictive analysis, machine learning, algorithm, python, R, SAS, statistics, mathematical, math,…",4 days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=fb7668703d25a3c5&fccid=fc68da685e8aa986&vjs=3
Data Scientist,$65 - $70 an hour,Insight Global,"Cary, NC",Temporarily remote,4.0,"7+ years of data scientist experience.
Strong knowledge of data visualization tools to present models and results to internal and external stakeholders.",4 days ago,2021-01-10,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BKkHZu3wF05EeDimN_p6sYpKCMArvwa95YdH7UpkaBCkTAlOdu2lVg0NLtjKOv1OkO2q-8bLT1rHN_YI3eIRcPbVUk-VCuZMJinBuI82IVVD6fZ0ECU4B4nXgTEpAu3JIHpiHHQsbzFRgamr4xc0uiMNlkDg_IsmL3MGyPW3AbBK2Mlj3m8WcLt28OzaWpsqVbNpnYj3S-BYg8vJHdAZNYOnYuSprZR6aYs_fnV5EJFq1z7cLlG47XEmMRP5YFhNn8Ppr7Mbo39EkRLe-8aoJajeOsAg2UD4Rs-5WQFPHQfzlA98qLRSatHMZJkL85UGEaZyL1j3TArRCItAwrDVm-4XXhapVPqBCE5Ojs2j3oKlUHU5PFtBXhTSyVjJ1tYTieeT0kp2QUWHMVyjGLIjewHnsynIjmVnpUN2XRmlZ9bGc4X-zHuz52k5JIOS8LrRItrx0O_IbviXYAK1dEb6aBq5QmvqhL9Gs=&p=2&fvj=1&vjs=3
Data Scientist,,Red Hat Software,"Raleigh, NC",,4.0,"Experience with statistics, machine learning models and unsupervised and supervised algorithms including logistic regression, XGBoost, support vector machines,…",4 days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=4d7e7cff1d3f21da&fccid=e24a60f01d1882d1&vjs=3
"Data Scientist / Raleigh, NC OR Remote",,LexisNexis Legal & Professional,"Raleigh, NC",Remote,4.1,"Minimum of 1 year of experience in tuning the relevance of search results, particularly using machine learning or deep learning techniques, such as query / text…",3 days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=20548502e43f5ad5&fccid=06206ab329e0eb22&vjs=3
Data Engineer I,,LexisNexis Legal & Professional,"Raleigh, NC",,4.1,">Ability to provide guidance to data scientists, engineers and other team members.
The ideal candidate has built and maintained a large-scale data pipeline and…",3 days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=8999652c557f8562&fccid=06206ab329e0eb22&vjs=3
Data Scientist,,McGuireWoods LLP,"Raleigh, NC",,3.6,"Analyze client and firm data, using statistical techniques including machine learning and natural language processing to develop/validate/improve/implement…",30+ days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=8befe23dc7685baa&fccid=f4c22aaa4dac262e&vjs=3
"Data Scientist - Raleigh, NC",,Imperva,"Raleigh, NC",,3.5,"Collaborate with product managers, data scientists and software engineers to understand business objectives and customer pain points.",26 days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=29a1b1eefaf56f36&fccid=a83aa9033316475b&vjs=3
Senior Data Scientist | Need Locals | W2 only,From $60 an hour,Martian Wall Pvt Ltd,"Cary, NC",,,"Lieu of a degree a minimum of 11-14 years of relevant experience.
Bachelors degree in a quantitative field (data science, mathematics, statistics, operations…",5 days ago,2021-01-10,https://www.indeed.com/company/Martian-Wall-Pvt-Ltd/jobs/Senior-Data-Scientist-Need-Local-W2-Only-e75ff455589525f4?fccid=04bfb95215ca9033&vjs=3
Data Review Senior Scientist,"$75,000 - $85,000 a year",Piper Companies,"Durham, NC",,4.5,"Perform data review of cGMP from HPLC, ELISA, Capillary Electrophoresis with focus on the quality of data to ensure accuracy, completeness, and compliance.",6 days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=b22e62d0b217c269&fccid=fc68da685e8aa986&vjs=3
Artificial Intelligence Scientist Internship (Summer 2021),,IQVIA,"Durham, NC",,3.8,"Help the research and development of a local AI team, deliver practical AI components to be used within clinical processes.",12 days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=cfacee2c21d022d1&fccid=6b7a1dfe07e7f037&vjs=3
Data Scientist III,,LexisNexis Legal & Professional,"Raleigh, NC",,4.1,"Additionally, you will be entrusted with research, build, and deployment of complex models based on both shallow and deep Machine Learning as well as crafting…",19 days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=35adb5dd581da4cd&fccid=06206ab329e0eb22&vjs=3
Sr. Data Scientist,,Cognizant Technology Solutions,"Raleigh, NC",,3.9,Design qualitative quantitative research instruments methods example machine learning models surveys interviews etc to capture the data if required.,5 days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=63e5af0df597b37e&fccid=2df6a1e69a70a1e7&vjs=3
Sales Data Analyst,,Lenovo,"Morrisville, NC",,3.9,"Work closely with Sales Management team to understand and maintain focus on their analytical needs, including identifying critical metrics and KPIs, and deliver…",4 days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=bfdf6e775874f205&fccid=af103eaff391cdf0&vjs=3
