job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
Data scientist,,PayPal,"San Jose, CA",,3.9,Collaborate with other data scientists and engineers to formulate innovative solutions to experiment and implement advanced data mining techniques • Being able…,5 days ago,2021-01-10,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Dn2BJrTT_MS3KLsmM1n0D6dEWYv-qvNCIwtrt37CnWGCJohfXzqRmpk81DgCdmSHHT0kbbXh7GbV9463cObaVQtTe8JuhPuVPM24AHJlYeLX7xW7Nqku460H0bgnChVERNKwBRXw40LxXmrUEDoaPGb8WlLfSmp0qOgpfZBkh76_b0Adz_-n3LbiUwJsnfOaQ2j5kd1Eg2nCk6KGgLhI05805UZ_JvocsNZ7MR3ZZjecLa4DT6YeLYg_0fqT2EIEGuqHvTwMxjdw34DZpvCGWnny7YLvAz1ME8YnyE0ekQs9I_HmCje8pt8wffjbE-6Y7O2m6JQFJExNtEBKzoM_VyFMnIEisFP8G0sZXUVRAMfhmQd7z-fNCfDfBkty9tzlinMb0keQ-_7N2Nc14pnaFA9z4ixIZvyjmW-NV7WtFhHJg6d45r9iFaR7BUyYccd6yDYTYs2E6tWad_1KWHZ7D8409ZA141QH7fmf1ZccTOWw==&p=0&fvj=0&vjs=3
Data Scientist,"$97,289 - $244,229 a year",Data wave technologies.com,"Santa Clara, CA",,,"Excellent knowledge and good practical skills in major ML algorithms as applied to Natural Language Processing, information retrieval, data mining.",13 days ago,2021-01-10,https://www.indeed.com/company/Ezen/jobs/Data-Scientist-90cfcbbdfad9adcf?fccid=ace430b6ef0c95d3&vjs=3
Machine Learning Engineer Intern,"Up to $2,000 a month",TourMega,"San Jose, CA",Remote,,"Build a recommendation system using machine learning algorithms.
Web scraping - How to collect data from different websites, process them, and turn them into…",30+ days ago,2021-01-10,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CmdSIQntYgAY3qamFzKL-ZQ7u4z-jZG5AiiUzzWfHszMXaerr4-ticGv4k-vohm7l3e7TzBWmtG3YVTSZNuL1cT-LYk7DORzDVMxp8zHVuliglSGjqSys7AZfqiPgaXdCYCYu9S97zinGN14WstcI960i-U0z0dqoo0ArgM2m9TSpmWuOLq6NYyfkxbeR511lVzELB02LNQfixWRaEtkv5PzHlF22V9L3Qeo-1bqNqBnfxLOKWl6kkw0j61MExLcMAagTrJl3HA1NUjtUlWk5BySns0_ygiJnb9nPRN64DZuk4e8Nx7YDqdnbZFF5bI4o-zmJL-FcfA-tMuVz1sHBgASnZjAfsqJBUHYEEoWG9zjBBVEl3oMNHQnuAxs7OC9UcGx46CxTnGVmKu7Y9cOVcUsT8fO6zVjo_Nfj_KcS0RITeSH-zSvIHMChm0gOi6HN1wzUPeTzr4DMAGhk21ne_u78Pj059CyJPDwcKphf61Q==&p=2&fvj=1&vjs=3
Data Scientist,,Centrify,"Santa Clara, CA",,3.6,"Experience in data mining and data conditioning.
Present information using data visualization techniques.
Centrify is seeking a Data Scientist to analyze large…",5 days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=e52fecc33d1899e5&fccid=f5a575e091baf2ca&vjs=3
Data Scientist Contractor,$60 - $70 an hour,Deloitte,"Sunnyvale, CA",Remote,4.0,"Excellent knowledge and good practical skills in major ML algorithms as applied to Natural Language Processing, information retrieval, data mining.",5 days ago,2021-01-10,https://www.indeed.com/company/Deloitte/jobs/Data-Scientist-Contractor-f0f252dc7373aaec?fccid=9e215d88a6b33622&vjs=3
Data Scientist | Remote (US),,Tara AI,"San Jose, CA",Remote,,"Monitor, maintain, and enhance existing data structures and model architecture to ensure reliability and data integrity.",5 days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=6cb003069636d3b5&fccid=84b54f52123213ce&vjs=3
Data Scientist,,Facebook,"Fremont, CA",,4.2,"You will be responsible for creating end-to-end analytics programs, from data sourcing to surfacing insights and driving action, for various aspects of Facebook…",3 days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=8c64139eea9fb8ce&fccid=1639254ea84748b5&vjs=3
Product Data Scientist,,Curai,"Palo Alto, CA",,,"Experience generating insights using statistical techniques (e.g. regression, hypothesis testing).
Experience working with large data sets and distributed…",9 days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=0c53f3aa118ac317&fccid=9f156dd45bd33047&vjs=3
Data Scientist,,Weee! Inc,"Fremont, CA",,2.4,"2+ years of experience in developing and deploying machine learning or deep learning models in a professional setting.
Vacation and holiday time off.",Today,2021-01-10,https://www.indeed.com/rc/clk?jk=392d9619129b84db&fccid=69e47485cd044190&vjs=3
"Data Scientist, Machine Learning",,Next Insurance,"Palo Alto, CA",,,"3+ years of hands-on experience in data mining, machine learning and/or statistical analysis.
Understand the data and dig deep to extract actionable insights.",4 days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=d39739fc829d2921&fccid=332867063ca4196c&vjs=3
