job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
Data Scientist,"$102,663 - $157,709 a year",National Security Agency,"Fort Meade, MD",,4.2,"Relevant experience must be in designing/implementing machine learning, data mining, advanced analytical algorithms, programming, data science, advanced…",25 days ago,2021-01-10,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AC5S5KfpcrE62cRuYLg6qW_HWiPjKHP06qk-AGfbwYtGlr3wcSMURH9oqKq1q2FCeNO4H8xVbG39Y1JyMzF-2gnp7S6SvNKvywqXgw74WJKEUM17Y-XvlQMnyRxp6nf7dDAp06axWWvkGsNo46d0p_u6NuMCTaqO0D8ZgwXOCPdfjjEiyArpvA3P6nhEUluHzWdY164Mnp8Ug2azdOeZiFQAFVWMMYT6r85VL_FsbBHPkQhoeRiQGC_VrpRe4TxAIPCkyZCp5Bt6ner6lp5ANs7WoAOr9KV1K6PI3YFFCbgmRUAbc6lstDCwOONUWbAAV72VjuBbj1P3mpbKFbB49P5Yakijmi2LDY5bCYu2RrRCDsPng1rFH-8HAl4B1BVaQ6YwByOpfWl0fEXRz2L1zpEBkM68hlOd8ULjQXZxeUF8HrRGPC-LcJWVv0EjgraW4=&p=0&fvj=0&vjs=3
Data Scientist,,Orangetheory Fitness,"Washington, DC",,3.4,"Experience in machine learning, analytics and/or data science.
A core focus will be on drawing insights from large and complex data sets and using these…",2 days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=60ca99bf7f8b5564&fccid=6dd2b85b361af592&vjs=3
Data Scientist,"$76,228 - $162,994 a year",Valsatech Corp,"Washington, DC",Temporarily remote,4.6,"Data manipulation and data engineering experience involving structured and unstructured data.
Data manipulation expertise involving data extractions, data…",3 days ago,2021-01-10,https://www.indeed.com/company/Valsatech-Corp/jobs/Data-Scientist-2a6a593d1712e230?fccid=e20d8b8ce46b3390&vjs=3
Data Scientist,"$120,000 - $160,000 a year",Urbane Systems LLC,"Washington, DC",Temporarily remote,,"Investigate and implement new scientific analysis and methodologies to support big data analytics efforts and implement workflows, data models, indexes and…",25 days ago,2021-01-10,https://www.indeed.com/company/Urbane-Systems-LLC/jobs/Data-Scientist-f229ee0e7e2aafc1?fccid=64870b6d9a7f7888&vjs=3
Federal - Data Scientist,,Accenture,"Washington, DC",,4.0,"Experience with analytics, statistical modeling, optimization, machine learning, and/or artificial intelligence.
US Citizenship and no Dual Citizenship.",3 days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=5c1bfa7eaea6ea6a&fccid=a4e4e2eaf26690c9&vjs=3
Data Scientist,"$122,530 - $159,286 a year",US Department of Health And Human Services,"Montgomery County, MD",Remote,4.1,"The incumbent is expected to stay apprised of current technologies related to data analytics, scientific computing, and data systems.",2 days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=5f4e5dc675384c11&fccid=66c76b82e655d02f&vjs=3
Jr. Data Scientist,"$70,000 a year",Cognowiz LLC,"Herndon, VA",Remote,,The Data Scientist will join a team responsible for developing advanced analytics products; applying data visualization and statistical programming tools to…,18 days ago,2021-01-10,https://www.indeed.com/company/Cognowiz-llc/jobs/Junior-Data-Scientist-2ce060aaaa23290a?fccid=69c6da7ffaf6ff96&vjs=3
Junior Data Scientist,,Aptive,"Washington, DC",Temporarily remote,3.7,"Our employees receive competitive compensation, along with company-paid health care and short-term disability plans.",1 day ago,2021-01-10,https://www.indeed.com/rc/clk?jk=34f2716a7f93c330&fccid=ed2347c09522ed5a&vjs=3
Data Scientist,"$100,000 - $170,000 a year","Cybraics, Inc.","Arlington, VA",,,You will work closely with other data scientists and data engineers to propose and develop analytical solutions for an enterprise scale streaming solution.,11 days ago,2021-01-10,"https://www.indeed.com/company/Cybraics,-Inc./jobs/Data-Scientist-baf46c8025b10cf7?fccid=ad574b0887317a18&vjs=3"
Data Science Intern - Spring 2021,,PCAOB,"Washington, DC",,3.8,"Ensure data quality through review and validation with source material;
Collect, clean and organize financial and non-financial data using a variety of tools;",4 days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=b562ee33b1bbbfac&fccid=1d9d3dfebeed4849&vjs=3
Early career data scientist / analyst / statistical geneticist,,Data Tecnica,"Glen Echo, MD",Remote,,"This position includes general analysis workflows with standard packages (python3, dash, PLINK, HAIL, etc) with responsibilities ranging from data science and…",30+ days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=b6506065408f4f15&fccid=0ce02a3e84d031c6&vjs=3
"Sr. Data Scientist - Corporate@ Arlington, Virginia","$105,000 - $150,000 a year",CEDENT,"Arlington, VA",,,"Knowledge/Experience: Master’s degree in Statistics, Mathematics, Computer Science, Informatics, Econometrics, Engineering, Experimental Science with 5+ years…",7 days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=f915180c87a35134&fccid=2ecf4575019bf07a&vjs=3
Data Scientist,"$90,000 - $150,000 a year",DigitCompass,"Washington, DC",,,"Shall have a minimum of a Master’s degree in computer science, statistics, or applied mathematics, and demonstrated experience of four (4) years in creating…",30+ days ago,2021-01-10,https://www.indeed.com/rc/clk?jk=eb5094d881c13819&fccid=06ca549523074add&vjs=3
