job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
Research Data Analyst/Software Engineer,$31 - $40 an hour,Neurogazer USA,"Baltimore, MD",Remote,,"Under the direction of the chief science officer, the candidates will work in the research team to develop AI models to predict behavioral performance and other…",6 days ago,2021-01-11,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BJJBdCULplSEaeHpey-r39yKRVIFGrHTfg0M0DIHj38P7aW7lYUe3HjiD0ZNXK-qtgaj2PpbHvQgKjbjV6FazgrrHpmNTP2rxSRX8YO_ORrqoSPAdEAPfrIJjQ1jJjB7mtqZ8pURMxdAjKpQ0ZhdUO0evAgRlv-lMSaJRYvjPYes9dhj-nvje-VorPrzzbZTT9M7LJCsYsG28-POWaNmeWdclULdemf6hL8j1ww5WiydYKHslt05evB006731enGN8L8jTqW9NuDlWgkfE601FIqnpXRYL_5xLkXnkxNhF5rqadM-C-ToP6mZNg_yb77_pmoDlg3g8n7wpjdo7Vj456MIj65_NFGlULk7A4aiSxAXeRuiMvKdRDs811YpzZkkvh2l-rjhHs-6HV2GI0RFtiIgb-Bm6BnRvkm9AntF3QFs6XS-U1vy62F1jGfc8yx6SBgLTZBLKS5SqWnzGvTopWVuoPS49Dkuh2-R3nzthgg==&p=0&fvj=1&vjs=3
HRIS ANALYST,,Kennedy Krieger Institute,"Baltimore, MD",,3.7,"Ensures data integrity including quality, accuracy, security, and usability of system data by adhering to standards and controls.",30+ days ago,2021-01-11,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AHa-OA7npPsoBv2iyfs07nVWmQtx3o7kB4AXeGpeQuxaMixI4e7kjLSp2kZpuw3Z_zVmsUKB5b-oQzhwZUHRAvlSIhDcdAf_yREpqkc7Gj0yo197BJsqDKim6BpBFhWFokiS0w7grlWDafcIx-miMM5lZQIEyxKDL-bsfC3V4mKxhlp4WDtt5SQ6RH_XXMKZ0_kpwat0AXU7GHTuytmW4r6GidnqooRAebkHhLVdW7Rq9b7q1_cHb9FG4RjDHZlxMEfBOR3b876fb0N52LmR3GFRvtGGKc9UDWLihcj41ZzEQkz4JaQzNee9KdEzKhES8dGBG1PWFDJKr0I9thuZQMetXNXbTt276wcuCM7lO_dk-dHyzGurhMDVL_2x4VSsLuBkiNJi2GU2T55jlIa8h2XCzMVquWQ8jB25_45RcoDIg1M6aFTGQyECU9hHmF9W2qjKjMHgZgmlWHCbNbP1X7xb25riqjOy-NaOW_KFY-7fLNEoF-f1Mzw6A63q27NcLBqwH1slN-mSdAMZx2ApiOGWna6RZ_n48qAL-u_fzf7g8d9OCaRvxdLxvU23itPVIp-WWBmXFkFAejpN6kvnaISgS7-WWwW0hoPgLDHWHOJYnQAayh5-D6ED1MCsa9XMyvXYQalzeBXv0V75aGA-j3FSMY50cWoKojg4J43KR4MamBzREf_NW3e0UBWGPoCBbuZUsOrqDOv7nDQCnJORNZdiPPnnEC2tYzvEd8G3eoCzAC4xH-kCkvue3yqvjvU_kYKsC2CngGpGuX0cS3a05Uv-qjx7FIG3-2J6irVGNEEzM6t3Ge1OPYDN-tLeNLq8QqLGMhYAYC3DaSfep3HdQx&p=1&fvj=0&vjs=3
Energy Billing Analyst,,Resource Energy,"Columbia, MD",Remote,,"Must be able to combine large volumes of data for consolidated reporting.
Strong attention to detail with excellent time management, project management and…",20 days ago,2021-01-11,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AhhztYSsAGJlfbruPfgr03T3AfhptCxtChUlBvlHffNZd6NOa0I_m7o8YYnH7D4kgGTWpR_by1HDEY47Z7O4P3vVPfws7V8s4UFvYUeqVCK41b8MqIT6HAXEz1jpNVNEkpP2hg2rI7lC7QIzDfOJVPUVpK6PUG-BFNsnbHOOhFPHNzX65tkAtNmw4CdrWZ1gqaFaIbI3fjim3dFkqKxPjceG9qkprJzF7MCOMC8HpadZAr_WB6OzjGZAudI6SYBrY8SkljH6FOOlbzdnCT1DeBZA8joHEopCkg1OacM1pLbTDUqA6lswBjm48euaaIErMORiHrsb1xGMWs22r5b6NSlfI9et9EArQmnYo9ECAM87KElyi11Ef7a9pnOK517-w2Be36BHDKF4csNhkp9ouYvRxxdbw-3jetY47ZMF2wyg==&p=2&fvj=0&vjs=3
Data Analyst,,Highlands Talent Group,"Baltimore, MD",,,"Experience performing data analysis, reporting, and leveraging large data sets.
1-3 years of professional experience OR degree from data/STEM-related program …",3 days ago,2021-01-11,https://www.indeed.com/rc/clk?jk=168b41b2d0b5fe1a&fccid=fb2adf4da0aaceb1&vjs=3
Business Analyst Client Data,$56.68 an hour,Lenmar Consulting,"Baltimore, MD",Temporarily remote,,"It operates as a professional data company with separates teams providing smooth, daily data service (run-the-bank, RTB) to internal end users and managing…",5 days ago,2021-01-11,https://www.indeed.com/company/Lenmar/jobs/Business-Analyst-Client-Data-c0d77ed1363c6e8a?fccid=bb65527b8dc1b607&vjs=3
Reimbursement Data Analyst (Entry-Level),,University of Maryland Medical System,"Linthicum, MD",,3.5,"Prior financial and/or data work experience is preferred.
Fulfills ad-hoc data and reporting requests as needed.
Bachelor’s degree is required.",7 days ago,2021-01-11,https://www.indeed.com/rc/clk?jk=746ba7e686a1faa1&fccid=6ee5d9497b00b890&vjs=3
IMMUNET DATA ANALYST (ADMINISTRATOR I),$22.96 - $29.72 an hour,State of Maryland,"Baltimore, MD",Remote,3.7,"Identify key data needs and reporting requirements;
Support data integration by defining requirements, streamlining processes, promoting transparency, and…",3 days ago,2021-01-11,https://www.indeed.com/rc/clk?jk=e734a7dec29f743d&fccid=2d3a5aa715e90595&vjs=3
Data Analyst - DMV areas,,"Genuent Employment, LLC","Baltimore, MD",,,"Collect and analyze data for data integrity / identifying anomalies within the data.
Technical training on cutting-edge data visualization tools such as Tableau…",Today,2021-01-11,https://www.indeed.com/rc/clk?jk=2b1ad08d45728b69&fccid=c94bc517540df6e6&vjs=3
Demand Analyst (Remote),,Stanley Black & Decker,"Towson, MD",Remote,3.6,"Proactively maintain JDA forecasts, analyze data and report findings.
BS in Business Administration, Supply Chain, or related experience.",Today,2021-01-11,https://www.indeed.com/rc/clk?jk=c888c10d5e4fd8da&fccid=d30328706976dba9&vjs=3
Genetic Data Analyst,,Johns Hopkins University,"Nottingham, MD",,4.0,"Data management including data checking and cleaning of genotype, epigenetic and phenotype data.
Analyze data using a standard statistical techniques in R and…",1 day ago,2021-01-11,https://www.indeed.com/rc/clk?jk=4471aadff4f132bc&fccid=f34acbd24dd4fcb0&vjs=3
