job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
Data Analyst,,"Resolute Management, Inc.","Boston, MA",Temporarily remote,3.9,"Minimum of 2-3 years experience in data analysis. .
2-3 years* experience in data analysis (statistical or financial), preferably in the insurance industry.",30+ days ago,2021-01-11,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AuMwtP1KY6rFoE4qzP1ZvpM_0QNGMsF84wwg_ARJgzzZUHoud6XQv2e27xfyoPwDsFsKlwduos--WYk98fPf9RbvnMOChwZGrJnRYhx_fQTf2u5U5p2VTgMM3pHlw_5PltE_iheqhjiKl-WiRUBvf58lv_ldq2MqvZp1TyPwdChThsfLEHv1n8jiI_K0Qdy3JVv5hqypEUiA1_4CRpUQCTFKRWgjnM7P2BiUIqpCIp4fJ426DMasBL2kN0MT9X-r7KIjOm7MIkeCIiUozbpOduEUcaAZwR5GMDHnxLZ5vNV7s0-fa3ATajFEOwl5YMH1V8byoUXWU62q0B3ecoBxZJnAb_r0IDZ1smNKArAvnGzEaB7C8HCJnowIeydd5kq9nZIJr2ztHj94NYRNdE_1pJ_qFxXShaVEKC19tSxQBeJVkj6IZihSFRhtSS3iSs3HE=&p=0&fvj=1&vjs=3
Video & Data Analyst,$16 - $18 an hour,Pembroke & Co.,"Boston, MA",Temporarily remote,,"Monitor, review and analyze video feed and point-of sales (POS) transaction data for discrepancies, internal theft, fraud, etc.",Just posted,2021-01-11,https://www.indeed.com/company/Pembroke-&-Co./jobs/Video-Data-Analyst-544228441c63b5f4?fccid=a98310a4e8ede463&vjs=3
Data Analyst,,Grand Circle LLC,"Boston, MA",,3.0,"Work with data teams to create projects to bring in new data points for analysis and reporting.
Strong data storytelling, quantitative & analytical skills.",9 days ago,2021-01-11,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Ct_dBE0J0uOg-1JPsZ2C5P5I4YNd0egoTMI1huJapCNaEM3MxaaxSRQZAIHGiMHpln93NX7sO8NZhhvDp9E4dMkVNqe8yvydtPwWC1A9_MSn6RCoDB2LeCgtG3IQbD1-J2OEdNjxUGLpHGFTzeeYvts-_-qgD_D8cPzR2tYJNS9dUZeKCk2lrEkQMk3xJrTYdUkbpOymrzUneNO0KZOFrzfNb51UmOLjWgdqauNv3-GcQxJQDaUyNKoYwuI3eNMRhA4jLq5I5JPGADXncnzGoBdrcGtxfRgKiJc2FhMtFS3FbfBVSicSGw7FhkAVelChKGs4n_jDSgrBkNmClpc4sKsfoYbCR9Qds14YQgrTaHONxLeK21WclqsVQd2BqdegU06JNuKr11vyqTz_u2CSZuvh6sLobLtF2aKbqopEBp_on1fl9b9dw7cDFLCwhChZq3G4bRTbfh9CK0BYkSy624Xl2KTbkOxO50m-MvtmVxIG2AKPwfVyXZVBhpYNBbYC90saxkzUOBeV-8fc1IX_9URXSFzE6Jv_ofmBrywhb9LuHmyPfROTvEvVT7VMj28Od7JGPZFjAIAHiQxX0JCm4HobGeM3zJ4QQG8d_pMx_MBLprtEbdqUNG7TxvFw2t2BQPBHedkK8BMw==&p=2&fvj=0&vjs=3
Data Analyst Supporting the FBI,,Forfeiture Support Associates,"Chelsea, MA",,3.7,"Accurately enters required data into one or more databases, documents, or spreadsheets.
Attention to detail and the ability to read and follow directions is…",12 days ago,2021-01-11,https://www.indeed.com/rc/clk?jk=8444ebf2ae2d6771&fccid=8ce3cf8e1e3ddd14&vjs=3
Entry Level Data Analyst,,Hopjump,"Cambridge, MA",,,We're looking for analytical thinkers interested in scaling our business and using big data to give our users the best experience across our platform.,30+ days ago,2021-01-11,https://www.indeed.com/rc/clk?jk=6ceb169f5c93de6c&fccid=30c994b6c2f39768&vjs=3
Transportation Data Analyst,,EBP US,"Boston, MA",Remote,,"Programming/scripting and data visualization in R or Python.
Analyzing survey datasets with accurate weights and linkages to supporting data.",30+ days ago,2021-01-11,https://www.indeed.com/rc/clk?jk=ad3eb571e8a624fc&fccid=a38efa13f477f802&vjs=3
Data Analyst I,,Massachusetts General Hospital(MGH),"Boston, MA",,4.3,"Work experience as a data analyst or medical technologist in medical imaging or a related field is desirable.
Managing and designing redcap and excel data bases…",6 days ago,2021-01-11,https://www.indeed.com/rc/clk?jk=2c915f437473e1d3&fccid=3aaabf5c54e51db9&vjs=3
Data Analyst Intern,,PartRunner,"Boston, MA",,,"Creating reports from deep insight from data.
Bringing data from all platforms to one Shiny Application.
Ability to deal with messy datasets, pull data from…",26 days ago,2021-01-11,https://www.indeed.com/rc/clk?jk=a4e977c64dd7cb0f&fccid=e89ec7d70a757e50&vjs=3
Data Analyst Intern,,PayPal,"Boston, MA",,3.9,Aggregate data from various sources to construct streamlined data pipelines and integrate data from multiple PayPal systems.,30+ days ago,2021-01-11,https://www.indeed.com/rc/clk?jk=a54494c6adfd32d2&fccid=978d9fd9799d55a8&vjs=3
Data Science Analyst - McKinsey Analytics / QuantumBlack (Campus Student),,McKinsey & Company,"Boston, MA",,4.3,"Ability to easily understand the complex algorithm and logic to process data.
Experience working with a large volume of data with the ability to solve…",26 days ago,2021-01-11,https://www.indeed.com/rc/clk?jk=cce82a9b2b368eaf&fccid=6576e7250aa78c3c&vjs=3
