job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
Customer Analyst,"$60,000 - $70,000 a year",Uplight,"Boulder, CO",,4.3,"Collect, aggregate, and analyze data to continuously improve our models.
Passion for our mission and the data-driven insights we can deliver to internal and…",Just posted,2021-01-11,https://www.indeed.com/rc/clk?jk=9a7a87edf8cf87cc&fccid=76670ee1307f6d9c&vjs=3
Program Data Analyst,"$48,000 - $52,994 a year",University of Colorado Boulder,"Boulder, CO",,4.2,"Experience with healthcare data, such as data profiling, data quality, data analysis/reporting.
Ability to manage data profiling and data mapping documentation.",3 days ago,2021-01-11,https://www.indeed.com/rc/clk?jk=f4f73d17f55dfa21&fccid=d3add89427ae6567&vjs=3
COVID Data Reporting Specialist,$20.94 an hour,"Biodesix, Inc.","Boulder, CO",,,"NYS CLEP: New York StateDepartment of Health, Clinical Laboratory Evaluation Program (CLEP), New YorkState Public Health Law, Article 5 Title 5.",12 days ago,2021-01-11,https://www.indeed.com/rc/clk?jk=ef769571bc40e001&fccid=c672668ee6922e2e&vjs=3
Data Analyst,,E Source Companies Llc,"Boulder, CO",,,"We're looking for a data analyst who is a problem-solver at heart.
Experience with Tableau or a similar data visualization tool.",30+ days ago,2021-01-11,https://www.indeed.com/rc/clk?jk=c49ec9c566c02923&fccid=2a5d204d1a2df598&vjs=3
"Senior Data Analyst, Reporting","$90,000 - $110,000 a year",Uplight,"Boulder, CO",,4.3,"Professional experience with our team's core tasks: accessing data, analyzing data, transforming data, packaging data into reports, automated reporting and…",30+ days ago,2021-01-11,https://www.indeed.com/rc/clk?jk=ad0bb338f90aaa50&fccid=76670ee1307f6d9c&vjs=3
COVIDCheck Colorado Data Analyst,"$75,000 - $85,000 a year",Gary Community Investments,"Denver, CO",,,"The data analyst is responsible for converting data from these systems into actionable insights that drive our operations.
Associates degree in related field.",6 days ago,2021-01-11,https://www.indeed.com/company/Gary-Community-Investments/jobs/Covidcheck-Colorado-Data-Analyst-edb1be2f6f0c4049?fccid=4eb2fca49920ea16&vjs=3
Data Analyst,,Highlands Talent Group,"Denver, CO",,,"Experience performing data analysis, reporting, and leveraging large data sets.
1-3 years of professional experience OR degree from data/STEM-related program …",3 days ago,2021-01-11,https://www.indeed.com/rc/clk?jk=22299454040dbe1a&fccid=fb2adf4da0aaceb1&vjs=3
Data analyst - Entry Level,"$35,000 - $40,000 a year","Selling Simplified, Inc.","Denver, CO",,,"Collect data from business directories, networking portals and company websites.
Contact data cleaning and updating using excel and online/internal tools.",6 days ago,2021-01-11,"https://www.indeed.com/company/Selling-Simplified,-Inc./jobs/Data-Analyst-fbcaea1a9692a474?fccid=7d470bd15c1b8b0a&vjs=3"
Finance Data Analyst,$34 - $38 an hour,Pricesenz,"Broomfield, CO",,,"Strong Experience as a Financial Data Analyst.
Audit Experience which set the stage for Revenue Recovery and Cost Saving Opportunity.",19 days ago,2021-01-11,https://www.indeed.com/company/PriceSenz/jobs/Finance-Data-Analyst-7014f41881eadbac?fccid=04f1a341eb475915&vjs=3
Child Welfare - Federal Data Analyst/Liaison,"$6,659 - $10,094 a month",State of Colorado Job Opportunities,"Denver, CO",,3.4,"Create outcome data used for managing regulated national standards of data.
Four year professional experience in conducting research and data analysis,…",3 days ago,2021-01-11,https://www.indeed.com/rc/clk?jk=83dffa06b26f5730&fccid=7cd7119315ca0934&vjs=3
Data Analyst Intern,,PayPal,"Denver, CO",,3.9,Aggregate data from various sources to construct streamlined data pipelines and integrate data from multiple PayPal systems.,30+ days ago,2021-01-11,https://www.indeed.com/rc/clk?jk=5cd6cd7dce61ef58&fccid=978d9fd9799d55a8&vjs=3
Business Data Analyst,,Miracorp Inc,"Lakewood, CO",,4.5,"If you have basic knowledge in technical fields including but not limited to finance, accounting, information technology, research and analysis, or other…",30+ days ago,2021-01-11,https://www.indeed.com/rc/clk?jk=b64d1fc4857418cc&fccid=f3ac65d86cc20104&vjs=3
Data Analyst - VerityStream,"$50,000 - $60,000 a year",HealthStream,"Louisville, CO",,3.9,"The VerityStream Data Analyst will coordinate, plan and transfer data from client data sources to company software products using programming, analysis, and…",27 days ago,2021-01-11,https://www.indeed.com/rc/clk?jk=bc6d7ddfbaad736c&fccid=6eb6994bf6f8baef&vjs=3
Administrative Analyst,$23.55 - $26.17 an hour,City of Longmont - Longmont,"Longmont, CO",,,"Maintain program data and prepare related reports.
Develop and implement processes related to data management activities.
Regular Full-time with Benefits.",24 days ago,2021-01-11,https://www.indeed.com/company/City-Of-Longmont/jobs/Administrative-Analyst-0093fdb4d80a6085?fccid=8643ee054709629b&vjs=3
Python Developer Data Analyst,,Anderson Optimization,"Boulder, CO",Remote,,Our company is seeking to hire a Software Developer/Data Analyst (Python/SQL) with 2-5 years of experience to help with the analysis and management of data…,7 days ago,2021-01-11,https://www.indeed.com/rc/clk?jk=58a24b811c402b2e&fccid=5d92aa16c2bd1866&vjs=3
Administrative Analyst,$23.55 - $26.17 an hour,City of Longmont - Longmont,"Longmont, CO",,,"Maintain program data and prepare related reports.
Develop and implement processes related to data management activities.
Regular Full-time with Benefits.",24 days ago,2021-01-11,https://www.indeed.com/company/City-Of-Longmont/jobs/Administrative-Analyst-0093fdb4d80a6085?fccid=8643ee054709629b&vjs=3
Python Developer Data Analyst,,Anderson Optimization,"Boulder, CO",Remote,,Our company is seeking to hire a Software Developer/Data Analyst (Python/SQL) with 2-5 years of experience to help with the analysis and management of data…,7 days ago,2021-01-11,https://www.indeed.com/rc/clk?jk=58a24b811c402b2e&fccid=5d92aa16c2bd1866&vjs=3
AAP Data Analyst,"$40,000 - $47,000 a year",Jackson Lewis P.C,"Denver, CO",,3.2,"_In this role, data analysts collaborate with other data analysts, as well as attorneys and clients on various group projects.",23 days ago,2021-01-11,https://www.indeed.com/company/Jackson-Lewis-P.C/jobs/Aap-Data-Analyst-628dfa371968d29f?fccid=73968dccd71b6ef5&vjs=3
Sr. Data Analyst,,STRIVE HEALTH,"Denver, CO",,4.5,"Working knowledge of analyzing medical claim, lab data, EMR data and clinical data.
2-3 years’ experience in healthcare data analysis.",13 days ago,2021-01-11,https://www.indeed.com/rc/clk?jk=b70f97c50ea90387&fccid=cd8de9a363d22dc3&vjs=3
Data Analyst (ADX-244-20),,"ArcherDX, Inc.","Boulder, CO",,,"Expertise in creative data analysis and best practices in data visualization.
The data analyst should have experience working with a regulated environment where…",30+ days ago,2021-01-11,https://www.indeed.com/rc/clk?jk=076501f1abff6cba&fccid=d9dd442e400888fb&vjs=3
Data Science Analyst,,xentity corporation,"Denver, CO",,4.2,"Could pass ad-hoc technical and whiteboard test given various data ETL and other patterns of real-time, large data, data cleanup, etc. scenarios.",11 days ago,2021-01-11,https://www.indeed.com/rc/clk?jk=8e311068df0bf915&fccid=83a0c16a0b5f5a93&vjs=3
"Data Analyst I - FCX/PCI - Boulder, CO",,Applied Industrial Technologies,"Boulder, CO",Remote,3.3,"Accurate and timely management of calibration databases and data entry at PCI and at client sites.
PCI is seeking a Data Analyst with experience in database…",22 days ago,2021-01-11,https://www.indeed.com/rc/clk?jk=ed4f9e69b72c257c&fccid=e9d60c2d312598b1&vjs=3
Data/Business Analyst,$34 - $38 an hour,Pricesenz,"Broomfield, CO",,,"Data Analyst/Auditing Analyst with 2-4 Years of Experience in ASP .net and C+, SQL/Excel.
Some Automation Experience using ASP.net.",6 days ago,2021-01-11,https://www.indeed.com/company/PriceSenz/jobs/Data-Business-Analyst-7f4b37460c8c669e?fccid=04f1a341eb475915&vjs=3
