job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
Looking for Experienced Business Analyst/Software Eng,$35 - $38 an hour,Agama Solutions,"Charlotte, NC",,3.8,"Analyze science, engineering, business, and other data processing problems to implement and improve computer systems.
Looking for Junior Software Engineer*.",30+ days ago,2021-01-11,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DXgojf1lNM58UcKq0tPwfQLw1dk14B_51_qqxBe8EznSoLH076BH0PX5yGVAaaAZA4usS_lYpXodDQUFo5c6qE5vgHqilKk4Sb3CTbj5zgM0myNRHn-uSSCax8Ocy_eCMmWTu25jlvD1ZYg5l7QLOEFeM0Jl8dST1IF6PBApFtbKFyURkYFobpudp-TXhME0xSF1xl0Vz4IvltWWBQAIxBLTBVt53GwsYkl5y2st2jpIVxAxZJZoKABFJipFsDIgEDTx_nmwursDzGKAI9UFhBU0TD38pg74PGKFADlWgAmlsdCeBL-9RvgBImWHVN-2URbvyHlzGknFpRn3LbImxf3rt2pryMYds0UgqwaM2mU18T-K1Imn3o9EcdRAEwgOp8BcAfR3kwVWwGxSbdhXfnIlWVy4wBF6YnS9Z6qJwC6FkBybYmX9fO9IVM6QrekPqr34ruhWlW_HipiBBUBAV7sfCWvVUfnIANGl9O9YRL370M8prbM6Fa&p=0&fvj=1&vjs=3
Data Analyst,,AccruePartners,"Charlotte, NC",,3.8,"Analyzes operational data sets and using data analytics tools.
Experience with Operational data sets a plus.
Provides feedback and observations on data findings…",30+ days ago,2021-01-11,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Cmq1pj5Dwku4j-j-jMxiR3p8DjIx5wPgrGZP7N5_dynGcPrp9S6jFT9rQaxa2Xft4VMag3oFM5lcPfQAvORVffgamWACO0jXmUc-huXNDR1u55w1Mx-LwRezSfBVuzYmxf4UBAvlw2U1R-SKeQ2jRcEXK5UsKZlEPO68hiHHmhAQvbK4bsNg7yQIvCZXAyzG2KK9uKBEm79uj2bKUn8uXhekzmnRDlQYowj_FCzMxz-HQBcJKZsP_KSD-GJH3CXGTaHqb7QpumAF8jhe8g-aXotxHsygb8hd5vPgkBsXaVGld-flHGhUK3PiiD_2p02NbmsbyCM9UWS2pc54lnAnEy_oVzAkOnEzXB1YTinK2wOhCcqAxOtaCy6L6dhdlPoJ_gIkoLT0dLdtUmi1mzVo0bpWkds5GtzyWXmQt5JjeD_o8HCBjY7FuNn4WMINXhjLU=&p=1&fvj=0&vjs=3
HR Data Analyst-US,,"Kennametal, Inc.","Charlotte, NC",,3.6,"Previous experience in data manipulation, report generation, and interpreting large amounts of data.
Develop material for and provide training to stakeholders…",1 day ago,2021-01-11,https://www.indeed.com/rc/clk?jk=4478d9f5cf75c9ca&fccid=6e3ab497868f8cc6&vjs=3
Data Analyst,"$57,141 - $128,101 a year",Tekskills Inc,"Charlotte, NC",,,"Polypaths reporting skills micro Strategy, ETL, ssis, database oracle/exadata/sql server.",21 days ago,2021-01-11,https://www.indeed.com/company/tekskillsinc/jobs/Data-Analyst-80634ebbe681d7f9?fccid=3d31388550d39ce1&vjs=3
Data Analyst,,ImagineSoftware,"Charlotte, NC",,,"Experience: 3+ years’ direct work experience in a big picture, cross department business analyst position.
Analyze data points against the four quadrants of the…",5 days ago,2021-01-11,https://www.indeed.com/rc/clk?jk=04538e2b2430577e&fccid=0da94ceb1c80c8b4&vjs=3
Sr Business Control Specialist (Quality Data & Reporting Analyst) Pre-Paid Unemployment-GBAM Ops,,Bank of America,"Charlotte, NC",,3.8,"2+ years of experience in data management and systems or sourcing and summarizing data for reporting.
Assessing risk across multiple data sources complaints…",Just posted,2021-01-11,https://www.indeed.com/rc/clk?jk=c5cd62d5e2e2d7b8&fccid=5bd99dfa21c8a490&vjs=3
2021 Enterprise Analytics & Data Associate Program,,Wells Fargo,"Charlotte, NC",,3.7,"The team is responsible for designing the future data environment, defining data governance and oversight, and partnering with technology to operate the data…",5 days ago,2021-01-11,https://www.indeed.com/rc/clk?jk=b2e52ae559ad3b45&fccid=78bbcd26e39621f5&vjs=3
Data Management Analyst,,Ally Financial Inc.,"Charlotte, NC",,3.6,Perform maintenance functions on data to ensure adherence to standards and policies for maintaining data as defined by the Enterprise Data Governance Office and…,5 days ago,2021-01-11,https://www.indeed.com/rc/clk?jk=4018d149ea6ca59f&fccid=f8c85b296194776f&vjs=3
Sr. Business Analyst (Data Analytics),,Ally Financial Inc.,"Charlotte, NC",,3.6,"Hand-on intermediate to advanced Excel skills to perform ad-hoc data analysis as required.
Proficient in data visualization; Must have hands-on experience…",Today,2021-01-11,https://www.indeed.com/rc/clk?jk=a04b24cb9989358c&fccid=f8c85b296194776f&vjs=3
Business Analyst,,IS2,"Charlotte, NC",,,"Microsoft Excel expert for data management.
Collecting and analyzing data from multiple sources.
Seeking a Business Analyst in the Charlotte area. *.",6 days ago,2021-01-11,https://www.indeed.com/company/IS2/jobs/Business-Analyst-5180a51807e74996?fccid=76e929de72f01db8&vjs=3
