job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
Database and Reporting Analyst,"$50,000 - $65,000 a year",IntraNerve Neuroscience,"Colorado Springs, CO",,2.8,"Analyzes data needs and departmental requirements while determining the most suitable method of computerizing information; designs databases, including logical…",3 days ago,2021-01-11,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DviMaLYYCNnDEgr9H553uJR2HHddT9s1YoQAZ_ZGzCPeIbPYRC1qk2TY41njtwyKsUSuxeURaIVrqFn8CkBWJdd26j9cQwDpiNgV-dJVkUVTQp9lsTFrfGW063iev6E4muxe1OP8q9nszqz-pPkTE8q95vZo6k9Bv--VFS8Uwd5LPsIUtAt5l7sfkznpGP1flIcchc_AfrXz7TOVUnQgJoBsq6hWQyl4xIlrl0zEE4p61NVrR-At41lysbJGwHDbwIkTSCQy-ugTtiZ-jZBLireL2ybT81ULf98zXAHrjmZ49qAayJ6mzwSKANZj6zKDzGsbbVP_CDAsWz_aQ4PDK3pJaoMIUNMT9lvjGWAjtrZGBtqkRWmDUy6Ob_9JR0qF83qyXwAzpP-S0IPCsBwmTy1iU3ba3ln001mvQpQ68c1Tjst7vaiKhyWPemMr6vr-A1q2LrHvhPn9WK7GnGYSnqgVMmQFqmBgo=&p=0&fvj=1&vjs=3
Accountant/Bookkeeper and Data Analyst,$15 - $18 an hour,"Wellness Centers of Colorado, LLC","Colorado Springs, CO",,,Because you will be interacting with all of our operations you will be required to have a current Medical Marijuana badge.,1 day ago,2021-01-11,"https://www.indeed.com/company/Wellness-Centers-of-Colorado,-LLC/jobs/Accountant-Bookkeeper-Data-Analyst-561c518e99bd8b93?fccid=1dd9bfab85490955&vjs=3"
Software Business Analyst,"$60,000 - $80,000 a year",US eDirect,United States,Remote,,"Software Implementations/ Deployment: 5 years (Required).
We work with state, city, and federal government agencies, providing management, development,…",30+ days ago,2021-01-11,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CzKzJjxkWxGW2oMJ-RU-23w6I-jCgBa4Q95oIbJXjvH5N1FFrxUgKdP5SZRjv622uaMJNu0m9mMdvIC-T3iFYx1V9QHuAkITSJUnnWB4rs65yC5BiiVaOhwgv3Hdvk6OEmQjvWmOI5tt4hhlyRYHzAur3gTuancbt85u2ZvgaMzY5dDIgsJeWmk0fbOhcgoyhG78ctXufalG3vRgtefMJNInZBESurIAmxLtpmV1-_7ELgmfnx-mJ3zJVCeC0cpaCwgZ3sB2l8JYr5nyi7jI0JnsUIUieLvw61EfLfb1S2KELYcpHGvEh-tYpH6DBaEm4sIaaVNGcKbggDsfF563n6aaHJlewCDFnWjUCc9NCcFA0dB4_X28zdIozubj5qLMyTUtSk7gutwKT6wd0NBB-TQA66afzoKKGhkTuI7u5dOfcQxFCeo2FqQbIOhVR7X7ci_qsH1o49fuy1IblvHd8oBQd3FgkxRt4=&p=2&fvj=1&vjs=3
Data Analyst II,,Peak Vista Community Health Centers,"Colorado Springs, CO",,3.1,"Compensation (Pay): $25.53 to $29.37 based on experience.
Responsible for the development of new reports which will include recurring and ad hoc reporting.",12 days ago,2021-01-11,https://www.indeed.com/rc/clk?jk=1349b93f3bcd4573&fccid=c931404720a20aa2&vjs=3
Data Analyst Lead - Remote,,Progressive,"Colorado Springs, CO",Remote,3.7,"Our Customer Relationship Management (CRM) organization has a new and exciting opportunity for a lead data analyst.
Career development and tuition assistance.",21 days ago,2021-01-11,https://www.indeed.com/rc/clk?jk=459f4bfb3e4a82c1&fccid=082e59b71e3e4fe2&vjs=3
Program Analyst,"$64,214 - $121,425 a year",Transportation Security Administration,"Colorado Springs, CO",,3.3,"In cities across the country, you would secure airports, seaports, railroads, highways, and/or public transit systems, thus protecting America's transportation…",4 days ago,2021-01-11,https://www.indeed.com/rc/clk?jk=43b81c85ee64bc59&fccid=e86212ad9b1d3808&vjs=3
Business Analyst/Quality Analyst,,Lunavi,"Colorado Springs, CO",,,Minimum of 3-4 years of professional experience working in a Business Analyst role on an Agile software development team.,5 days ago,2021-01-11,https://www.indeed.com/rc/clk?jk=c507fa2727db2da3&fccid=1bc4c70bc4fea72f&vjs=3
Business Analyst,,"NexOne, Inc.","Colorado Springs, CO",,,"All data transfer elements require validation from sunset system to new SIS environment.
Provide administrative support in the lead-up to and in the transition…",21 days ago,2021-01-11,https://www.indeed.com/rc/clk?jk=29f96ab1413c92e3&fccid=e398cd163eb9276b&vjs=3
NFIP Business Analyst-Denver,,Serco North America,"Colorado Springs, CO",,3.5,"5 years of residential and/or commercial claims adjusting experience and a minimum of a Bachelor's degree.
Create NFIP reports, gathering data, providing NFIP…",3 days ago,2021-01-11,https://www.indeed.com/rc/clk?jk=afb35ccbe7e79d9f&fccid=8177021cdb259d9d&vjs=3
Program Analyst (Space Operations),"$43,251 - $56,222 a year",US Department of the Air Force,"Peterson AFB, CO",,4.4,"The program offers a 2 or 3 year formal training plan with eligibility for yearly salary increases.
(Must sign a 3-year service agreement.).",12 days ago,2021-01-11,https://www.indeed.com/rc/clk?jk=376401bba1bd6a58&fccid=00de2a4244e56114&vjs=3
