job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
Data Analyst,,MATRIX Resources,"Chapel Hill, NC",Remote,4.0,"Day-to-Day Responsibilities: Responsible for providing analytic support, which includes data collection, trending, reporting and forecasting functions to ensure…",3 days ago,2021-01-11,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0De5ppvndiyxA0pMSLQzOe_j9Mra0KF_8EhxTxOKXtZIfGIjgcBR63ubaX8aNJ4MBvE-yNk4ENoLufi0rUJqSShAmJbtQqxKIZneHXPaQaOxbQeBUFOwWrTvKEtDHWmq9OdMEoDJ1I-jUGzP4qy-nx-qJAtRx0E7pEW3yoRP8XEu9BKCvO4pnoK2zER5rJNbLiDdx_7bZ2JDjHyRj1Kmo39ajqLPAuVSpdbNxr8tWCVU3w96XknFsbJpllVKf8hYjd1iYiKzTogx5N7xNTjGqJPa9-OwutltMOEzvCB1cDbZP4jwzPGH_c-qFj6YhkiAo1-d3K_kAoJh2yScVTlP0ZphfklzMXfE7pd9MbyQAKpw7BJwfY2a-YRBNHgTO-6Wp2vvEzZ2R4G8gmtw5KuCLRuFmFS4w7yrot2Hr55g2pND21kePw1m5igbUo0C0i36f6KRTUtfTgHJ4qolXvvVLs706HawzamUGNiajDhLGcW0UtDj1lQZAGbc9IgpC3wMk9HOyKUo36m9keyD-56yK411YYO62TOM5AITZSB2D9_uZmsdkd9aYP26HOv_Qqw27NVGqr6qPx3WMqH3A2lHeYRLUdI2jVxbP-ZSnmSren0UXHSSzMZpt-D&p=0&fvj=0&vjs=3
Sales Data Analyst,,Lenovo,"Morrisville, NC",,3.9,Create and maintain rich interactive visualizations through data interpretation and analysis leveraging Qlik and Excel as the primary reporting tools from…,5 days ago,2021-01-11,https://www.indeed.com/rc/clk?jk=bfdf6e775874f205&fccid=af103eaff391cdf0&vjs=3
Data Analyst Intern - Diversity Programs,$25 an hour,Oracle,"Morrisville, NC",,3.8,Collaborate with our team data management lead to review our current interaction with another team that manages a critical dashboard environment and suggest…,21 days ago,2021-01-11,https://www.indeed.com/rc/clk?jk=9a23d3590bb852eb&fccid=cd22d01053af7669&vjs=3
"Analyst, Data",,LCI,"Durham, NC",,3.3,"Ability to QA and troubleshoot data.
Structure large data sets to find usable information.
Reporting and data visualization skills using preferred software.",7 days ago,2021-01-11,https://www.indeed.com/rc/clk?jk=b316e33977994195&fccid=4dec771070b263fc&vjs=3
Watson Health- Business/Data Analyst,,IBM,"Research Triangle Park, NC",,3.9,"Analyze data to support conclusions and strategies.
IBM provides you with the most comprehensive and consistent approach to development, security and operations…",30+ days ago,2021-01-11,https://www.indeed.com/rc/clk?jk=e98e0fbad449ef9c&fccid=de71a49b535e21cb&vjs=3
Data Analyst,,Fidelity TalentSource,"Durham, NC",,3.8,"Responsible for overall data conversion from requirements gathering to successful load of data into production.
Advanced skills in Microsoft Products.",19 days ago,2021-01-11,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AoYXfdOe7El6-Ykny_IbMrQLc_ftZ75MJybi-dJXWXjpPOcRCXVAfLKVO1ncbGEEbkr7AFgOMtjAyr3uG_MG0SR27wFgd81HsLxWx4jOamabIgKdNT8i7dvIBdnkO8jE4DZi38GnMwrapO7Tmc-YayD2FVCl6xMabuvlnTFJM5Baw7shraobauy6VSrlNwR0mHLXYXTQFTACDw0ROMFfYnCfbACxJkH72i9HwXBn9O-LHEQ_HnUhx3YVZDAUvTq-24NgbhB41QgJ8wXWB93SetmEaB4GBTd6GrAoPCmXH8n9L0Kg-q0WBmmZV6RP15FBXK__9wKsY2j7fB24PaUlmEDQS6XtFF59TPlL4b1MVBuLCacjs0WGmk2_Bxe2U-onWDZtaMjruJ6kLzAczPD2Hm8KMBVvrpLDEU-JSl6Xw61N37nEM2vWDrDZ21zMd4uJSmvLqhjx9v9hGLy_ePOlAv4EGMk3dcSh0=&p=5&fvj=0&vjs=3
Immunization Data Analyst- NC Division of Public Health,"Up to $60,000 a year",NC DEPARTMENT OF HEALTH AND HUMAN SERVICES,"Raleigh-Durham, NC",,3.7,"Qualitative data software to analyze and integrate qualitative analysis with quantitative data.
This position will conduct complex projects including the design…",7 days ago,2021-01-11,https://www.indeed.com/company/North-Carolina-Department-of-Health-and-Human-Services/jobs/Immunization-Data-Analyst-0c08283e9195df5d?fccid=457253035593159d&vjs=3
Cyber Data Analyst,,Raytheon Intelligence & Space,"Morrisville, NC",,3.9,"Excellent technical writing skills and attention to detail.
Daily duties will include refining requirements of the stakeholders, identifying infrastructure and…",Just posted,2021-01-11,https://www.indeed.com/rc/clk?jk=55a8aaac6556e0bd&fccid=aa53b551f9df0210&vjs=3
Data Analyst,,Highlands Talent Group,"Raleigh, NC",,,"Experience performing data analysis, reporting, and leveraging large data sets.
1-3 years of professional experience OR degree from data/STEM-related program …",3 days ago,2021-01-11,https://www.indeed.com/rc/clk?jk=ca020bba7038cafc&fccid=fb2adf4da0aaceb1&vjs=3
Provider Data Management Analyst I,,WellCare of North Carolina,"Raleigh, NC",,3.2,"Perform provider data management related activities based on plan and contract specifications and standard business rules – includes data analysis and entry,…",Today,2021-01-11,https://www.indeed.com/rc/clk?jk=8fca67b71a03eb15&fccid=5ece327da33e0274&vjs=3
