job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
Data Analyst,,Study.com,"Mountain View, CA",,3.5,"The Data Analyst must be passionate about digging into data and understanding the stories the data are telling.
Knowledge of advanced statistical concepts.",30+ days ago,2021-01-11,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DTBdVKmZIyVUz9epjLLrinfsLp4iyHLMBJakMPxL5umFWkBnrul4OZfYAQQsTEzo4tnLRbZnfEmIiikkB8lgr-Hqp6JpqKcGJ8D_TjPVMk7msr0-hc7-K4ZcsaUUx0l36ia6AXOf16fzdlMvpl3Kut169elPf3GJ4pE2E2G_XTzBzxLenl9FPgB5iP14lLTycSzpnfS1EE_gzSdXmsIMD-jHvwnW_cZ64JodPxbPK4dDVYNq5C0Og6J9gSFsCrV1YdZI_nmhYJSX44sT1qo4ajHCoz8ibAJKYQIBGlaN4aiAc3J8uODg7QwEfz-udz2MTOXNyJ1OxP9qH5BVzaRzIv3dEO773fIQQXTj0Jh7PznrEk7bklLJ0C1fhvoB-hRiGNjnLjlhGZRt0x64xKsGFVEataUJeqCT878l5PWLNlqQ_wy0IxBM-EZKDNSKfdysvZOh8-U6bpvKUyNu0KVMIelYlt80_DwmUkkr8yFa1_V_f9vkFPZujGOpl0J8ts6ik=&p=0&fvj=0&vjs=3
Data Analyst,$40 - $50 an hour,Ryzen Solutions,"Fremont, CA",Remote,4.7,"Data warehousing, validation and visualization is a plus.
I'm urgently looking for Data Analyst with 3-8 years of experience in coding/ writing scripts using…",7 days ago,2021-01-11,https://www.indeed.com/company/RYZEN-SOLUTIONS/jobs/Data-Analyst-501a5760e96603c7?fccid=021e5b9130f2eb79&vjs=3
Business Data Analyst,,Pinkerton,"Fremont, CA",,3.7,"Conduct data analysis to examine data sets to draw conclusions about the information contained therein.
Lead and support data driven projects including;",Just posted,2021-01-11,https://www.indeed.com/rc/clk?jk=f85836b2c1a471ed&fccid=1fb5c7fd9f769623&vjs=3
Data Analyst,$53.33 an hour,The Mom Project,"Mountain View, CA",,,"Fluency working with large data sets/ data warehousing.
Expert Excel data modeling and analysis skills.
Proficient in Tableau and other data visualization tools…",Just posted,2021-01-11,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BDp_epf89aHDQhKpPegNJQ_ldQpEFZQsM9OcONMGxWx6pU56EKHF58QjVdAUvn2gVAsk4amSWfXTefCOi9F3GkwvkOoKDzRAGldrm82KX_Hjp67-WZpnbcj5LP_pmmw538SeLye-1sru4o5wXg7ebG4aQXwPANrMparam_pPh-48Cdn7EZJuFRTRVsyHVTrKKPeP3vmvj2DM0LYDxLn_1CxvZM9bjASBbzQ3fRH3CZwBDk7-LJ0vn8ec2-YRWsalTeVM1AOiSWhV20CqB0fJNsFFR6X0GH0MxHXV1dyvnYzIvpFobXlsVlnDnFRs5rbZw9vm3da2XoFxm6fK3LU1-F4D3ad9MD8Kx02yrEz303fUHHmdCAOTBLGopvWdRy7CjPDIxG8h4fUFopp1rksOK9NVOgW0EOde3MQf-RoufTdLl-WAWWP5n2uss_qog63fAy7Dmc8Z5pkixmbmGwyRaX0lLOIkBuynqK5mBvYHMRlxd_M9brJ2HlNTtMaKfy9BguPb6w6RoFuLuM1Tt7qJHBXxblLgQ01vpqRqD29LdegbK6uDr5Uhsd-03eAvL7r8Lw4MHJdfBBiQ==&p=3&fvj=0&vjs=3
Biomedical Data Engineer / Researcher / Analyst,,Penumbra US,"Alameda, CA",,,"Integrate structured and unstructured data into existing infrastructure and test data integrity and quality.
Familiarity with data modeling and machine learning…",Today,2021-01-11,https://www.indeed.com/rc/clk?jk=545c82db9f24ab8f&fccid=48d4b5e592158b7c&vjs=3
Data Analyst,,Mighty Networks,"San Francisco Bay Area, CA",,,"Build scripts that will make our data evaluation process more flexible or scalable across data sets.
Create and maintain rich interactive visualizations through…",Today,2021-01-11,https://www.indeed.com/company/Mighty-Networks/jobs/Data-Analyst-84aa1185c5e40333?fccid=251c57e5708f4cee&vjs=3
Data Analyst,,Tesla,"Fremont, CA",,3.5,"As data analyst lead, document relevant timelines as well as deliverables and present to project steering committees.",30+ days ago,2021-01-11,https://www.indeed.com/rc/clk?jk=cb5d97e49aa27687&fccid=86e9be6ce380173e&vjs=3
Data Analyst - Entry Level,"$31,775 - $60,684 a year",MT Global,"San Francisco, CA",,,"Providing technical expertise on data storage structures, data mining, and data cleansing.
Provide quality assurance of imported data, working with quality…",6 days ago,2021-01-11,https://www.indeed.com/company/Mt-Global/jobs/Data-Analyst-a4e304edd0876058?fccid=538f9ae95cd3fbad&vjs=3
Public Health Analyst,$26 - $31 an hour,Wollborg Michelson Recruiting,"Dublin, CA",,3.8,"Review and analyze case data for trends, alert HR and operations of potential risks.
Generate reports from risk management systems, review and analyze data…",Today,2021-01-11,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CWURYoHbCO4cmh1YL3bdIgPpolxL4J6fmUWVjpKFg0ATLIMpKGBF0gtBwnGeABQcup4ZnosNQe9hCaoOiRlUSAEcVe2aZxNJLFIn4-EGx5OfqoZukHRm76L9sr_bokgSY4t7V95DsJ1uDW_TQrxrVCF68yGWEsgPer9lmqYNswuJYi24GS2-QGXfv7_IR_1zvezmQqykmVaBRPwv4a3Mj0ThgGHkhz--dCcRTBpv7K2QiMPSgi3snkzsk7-U2tKxcK0QC6OEkL0b5vYNWSfpwk8_N95AGaoOP6JHFDuKfleYpGk4kRK9k_04PmV1XwV0CYQ4CjFt91OAg7oj3REoiX-xWrSqK_ebRVUgFZUnPrlrZ7OCRKZKppTgB7wktwOfWQv04Yu29_GH46N_FCDtBr_GRcJHv03KGz1vVNuGE-LQXoBM1jThPTsyRqA2CEOrBhqQe7i_5DlKu_qXOPT7iI&p=8&fvj=1&vjs=3
Product Data Analyst,,Waymo,"Mountain View, CA",,3.1,"Demonstrated ability to extract actionable insights from data.
Analyze data to create a deeper understanding of the Waymo Driver and its behaviors.",3 days ago,2021-01-11,https://www.indeed.com/rc/clk?jk=a9944e5669d017b8&fccid=73ceef0a2153d2b8&vjs=3
