job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
Data Entry Analyst,$25 an hour,"KW Companies, Inc.","Compton, CA",Temporarily remote,3.7,"Acquiring raw data from different data base.
Creating necessary reports in a timely manner (mostly through Excel).
Excellent computer skills are a must.",30+ days ago,2021-01-11,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AU18_I8RgiFlQw0Z4-2PzQnu7bEK5ZAPEi48lkqHvNofoP59DP74zB-FiUcSG4eahfGiPVJXr_BWiA8rpSBxosM0G33o6M-coFnPNDcrQqX1V1o5vd04mCp-ZYCfyQmFle42Vv7K4mHu5qwYNhlenNX07-Ah0PfwA1GqDpsOiDDogfvzsLgiol9rtnWu_2t9LrT2ctiWw9YMtlS8ZJiS40ekLLGkHl5hnkjwDXu6X7_pOIUOKh0Th8lOzlUpjpj-6pYOvAR5gzDA6VxjaQxw-GdqT7tutBZThNbcKAuD1Y8odcLYkv-yUJt96JXdDH8O8LZflcQwOmqjjvlss-EzUTCgvx_g5SM8Nc9X_fE-sEZ47NtqTtRxtq4uIl5SKNRe2JlPbIxp_L-SEua49gRkI_qZLKRCorRd5tjU6FjgAQC-SdBJ8CIF-zOf3FmTiBHhsNL6cpJfTCs83oyEknT_3d&p=0&fvj=1&vjs=3
Data Analyst - MUST HAVE SQL EXPERIENCE,$19 - $20 an hour,AIDS Healthcare Foundation,"Los Angeles, CA",,3.6,"In this position, you will also query data, download files from county systems, import data, produce reports and articulate/explain results, issues and…",30+ days ago,2021-01-11,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DZY28Ewl7nAJ6dp4p0aLrT5aORYvkuNT8CWwBB7NPwZ5YLlfKU0HeggE8tkE8LKpgJ43ntsk2800ErUTLNRRoaMdwOV8Fc17h9j0CQVtwJLJPI7ujliF0Lc0e98OBph_MkFnA9_msrvn5vB_O2NWHeIMe7S5NBMc3fQa6a6_93l1T77RSEJznE_uWWhG2s5mvI2J-0VTFLAR7mMa9jHP5CxDZ9Dv3QOcuDbRJOmnIct6MeKtpIj2ZaXMZeHSH1z0Cp3GNG7rYmYTokCLaOGiLbgSQcNQyxVnYFxExQ2NsdY7BrXaiwRxRh2Usg7rVSBePruEod9HXSOGwf-l0cVhL3gjYdabwpGjDe26U_e9ATHVkBXQAKzxyYojMM6_zIR9QEyMY_pDL5viUM6aoVVtxWD_KzDkYJ3LHZXmhlwesf4qluYgonIx00fT7xlOeHlqYQH2awcNgLeKlRSbdax6TS_J5jW1io2WM8858K-lnut0y1e3oT3gEs&p=1&fvj=1&vjs=3
Entry Level Business Analyst,"$64,000 - $74,000 a year",Cloudinfraspecs,"Los Angeles, CA",Temporarily remote,,"Review, analyze and evaluate business systems and user needs.
Document requirements, define scope and objectives and formulate systems to parallel overall…",3 days ago,2021-01-11,https://www.indeed.com/company/Cloudinfraspecs/jobs/Entry-Level-Business-Analyst-7965f2adc7dc0c16?fccid=1f9ec428ea097d8e&vjs=3
Data Analyst,,Therabody,"Los Angeles, CA",,,"Experience with QA and troubleshooting data.
Understanding of data warehousing and ETL techniques.
Knowledge of data gathering, cleaning and transforming…",4 days ago,2021-01-11,https://www.indeed.com/rc/clk?jk=c467a431c19d27c4&fccid=0ceda118b49fb4a5&vjs=3
Music Data Analyst,,Netflix,"Los Angeles, CA",,3.9,"Strong data analysis skills and experience working with relational database technologies.
Hands-on experience of data management, project management, data…",25 days ago,2021-01-11,https://www.indeed.com/rc/clk?jk=bb5c62984603eee5&fccid=66403b30a2c0d89c&vjs=3
Data Analyst/Programmer,$27 - $33 an hour,"Magnetic Component Engineering, Inc","Torrance, CA",,3.7,The applicant must have experience training supervised data models in Python and must be willing to learn new programming languages when necessary.,Today,2021-01-11,"https://www.indeed.com/company/Magnetic-Component-Engineering,-Inc/jobs/Data-Analyst-Programmer-85ccc6dde0e48c5c?fccid=6cf4d35f712221b3&vjs=3"
Data Analyst,"$55,000 - $65,000 a year",Brilliant Corners,"Los Angeles, CA",,3.6,"Proven experience working as a data analyst.
Acquire data from primary or secondary data sources and assist in the on-going optimization and maintenance of…",30+ days ago,2021-01-11,https://www.indeed.com/rc/clk?jk=bd59ede3be9a2654&fccid=ad6efa7b38e5a8ba&vjs=3
Data Analyst,$30 - $40 an hour,RemX,"Azusa, CA",,3.3,"Gather data, analyze data, provide reports, assist with integration tasks.
Will build and maintain data reporting tools and business processes which integrates…",4 days ago,2021-01-11,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CuHSGuDApGVPx9cXRLGO-izRoRBHVZoe6qYcOHefrkjjayppeLopH22wnTycBj1L5wf-H8IG5sSxD90QSWwMvpjUWtxRaqoIqraOsTfBqQxTZfUoaeZDBx_hQmiKe327-6piz8essDGAJg6ubr0_8H4uFxS6dB_eB95GCbU3YuF_LDQkSWRh8VgkzSnN9qvrvHjuCLzf18a6DtCtbnvXmrnyJ8nOdT12WMyoeUvVzQ9lPUxrBXE6VXfwQRrfbe0XJAlwRhRnbR4SOoKsadLr3CwpdUimeXP1phNFvNEyEaPnKjPp4LjdtRD5beJs429qIHtwE3lmCOE0nFXyFG0HJTqAiAzG8Eu46FSA2NGvuhfmU-VRGsie2GaKfKC5yzScGUFZk2pxyXAvSD4er-xTv_Fb7mDxTATNdPHRHgmbYfMp_ztbybGZ_Ged2ShzoPWbiFQLmypRh5SbCtrRteUGN0KYQ7UGq2upCQUWyEMo-zWeXIn6Ha8ccpp9zNuXsaRdn3KEkOxe45eOiOJdz0LaYttqtxnisIcXs1i_yUNdZwgGMwP74YxW1_HRsRfwHhmuYwMx-oMpQVm9y6-rgn-xdsUhlGFNULsNk3_NWx6vNc7EdTcFT_5irCDKPI7NiE-3xZWEm8Z3JSLyxQkdq49kEN7gfRVkjPtkcLeK8AU4rDNEfar1lvqwYqIkY_wzVSkCrspo5C3sfapiT-BHCv2DYm_2pJ15ugEpYRXiXPIYGFmsKg59j-xEGIAYwW15rDIrlrWkXMznn6RR8SDBVXarbBpls0TnbEVpAaNJozTkVbcN7J_LjX0IDP_ZIQYILoST2bYvUGXomhsw==&p=7&fvj=0&vjs=3
"Analyst, Consumer Research (TV and Film)",,"BEN Group, Inc","Los Angeles, CA",,,"Assist with data integrity projects and help manage data flows to our AI team for impression predictions.
A keen attention to detail, and proven strength in…",Just posted,2021-01-11,https://www.indeed.com/rc/clk?jk=09974b452de9b887&fccid=22f7723149a6108e&vjs=3
"Analyst, Data",,Molina Healthcare,"Long Beach, CA",,3.3,"Designs and implements processes and solutions associated with a wide variety of data sets used for data/text mining, analysis, modeling, and predicting to…",30+ days ago,2021-01-11,https://www.indeed.com/rc/clk?jk=c0b1548973bb117b&fccid=61b6afe09a420e77&vjs=3
