job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
Data Analyst,,RMA of NY,"New York, NY",,3.3,"The data analyst will process data from conceptualization through presentation.
Source, Clean, Blend and transform data from structured and unstructured data…",30+ days ago,2021-01-11,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Ad1kEV3-JoxUC-p36pRtjRO8UIkiElrfGHOQ_e44ho4DdHW3dZ-oM8w3ezE2sjC_VTX0WNYP6VdAHSXoPuAQCkJFMUrJYnWG9BXjJwDwF0r6nJv_dT2GJVR2-VaEzR_of2yhauVYjB4YN3TWe-u5KYdzEnNVmzsWQNDT7p2oQQ7-ToTgIjeU5r_LgfljMUAj-xVEiSiTwU3svA1BDGzzizdMc8OW6se9yvUijNcyixsxVRHptCd6i4n6ePMVvWYSPIzlj0PWx1LsD3u_CYnY0QA8l-_gw_Fy3VX_3_dRV9cH3REzdiewe03ODpTQBQ0Pklal6eEnglnbUdsobWSTLTKWkbdPssWxDkC5Uoa05YjH2MXZEdTnJuNd2xa4UybrDNEf3TlBCSNBWEqAcQiQz9wi2Sv-ewhxiUxPpahI8TDKxKDXQnsXljKtWOYgenRMGJQ0Rqzhq41A==&p=0&fvj=1&vjs=3
Data Analyst,,FreedomCare,"New York, NY",,4.3,"Acquire data from primary and secondary data sources.
Develop and implement databases, data collection systems and data analytics strategies.",27 days ago,2021-01-11,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0C8qskvBm9slw7JirND0zgjW8TjszeTNKjUC66ZnFzGphzlZKLm_zKns29cF9dx4WNLL2wvDPeJF13SQumrPqnvYRINRiMO2cUeojTmA3bC7GptnuvsIVvEiQDb9sugOeTYsLhkex2BIZshoe5q-SffxEAAfEwFMgz65jGFUgXxiRp616X4Wc1jqNdrvvl6MRKg9l4GZr-RbuUzSD8ZIkr6_y8ZkEwzNW5RmV2YKdCe8eCkoQAxxDy9TTnbFci7ud-ryPMR6CB2WpPhcTZTEpthbDyiu8Xu3Epf2Tau3wn7H6Q-JPrObhSCg5SHyw5ikgR1-UWCfadap2YkqtL7G_Khb9pMb1Q-8Usn1_xdc5WenvQdefElhuqHXKP-RaY9ALRZW0SwXN9DmvEJMUenKXC3Y3KoRmUKCE8=&p=1&fvj=0&vjs=3
Healthcare Business Analyst,$44 - $73 an hour,Riverside Medical Group,"Secaucus, NJ",,3.3,"Assisting with project management at multiple stages, including the research, testing and implementation of new systems and products; may also guide software…",6 days ago,2021-01-11,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AuxCx40UoeGEd2ql-DndUYTrGd6qq3IiunvbhGgzxjfgBMFxuHtJ-aW9Qlgy4SbbdyplBVbaXZyOIB7CdYleUDGzOk1OyAjq1Ag-vhxNghjqEuODY9MhcWX6CY-LWSPOq_jIB246eJncb4s2_7NEWlieCv5oMux-G_YeMqBimo1EqbI3h2RaEyTfY6frJmp85p63-mP7RlM2J6bJ2_9RGA7spfcqoPZM5cqduzoUx2W08wFrsEHPpF00L1t6veO-L-K-MAbmshK85-XRr3gLXITBkRxOwUxOo3f-ePgYVBS3Y0VINGq2uV7b3-nEgowDbVGhd-b8O0arK6cagVshjY48oyl6dpA_o4Y3b9sUryKVRL3fN3F8-rSfVKjjk50xgT0guLxqyLXoLg4Rf6outVpr67Y08ydCMBsSxNS9927yi5pd3HQMiwVxE6uLIDqIZfgjKB2zmvNwlmSnQfa0MYc6s9hBSNtos=&p=2&fvj=1&vjs=3
Senior SCM Data Analyst,,LG Electronics,"Englewood Cliffs, NJ",,3.9,"Bachelors degree (Masters preferred) and 5 years of corporate experience.
The data analysis will be used to enhance Machine Learning forecasting capability.",30+ days ago,2021-01-11,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0A9atWhvSYGDXYsuIFniFeMUfyhfiKb1gamun_MyY1nluff5XrsAEpglLPbCuK2vt8oLRMeuS-_w8VlXcZXASuh0L0amuQFbqWkvWMjtPGgb-4vSTGqXQli2WGfgVmWaZka6ehAC2E2sPC-COu10GbPmr_qZ0qlFrVtqVZqlbbqpna6KMy8ds9yL7swfvIr4yDb-NVUHSl1C4J27A-lmMcP4wb3yFle8BVhT-Pu9FtytVD_rd7fi8K0sDQAthFtxF3dv5BdfEC53Jn0ZYkQqt9pBtoyB9JZPSM2f2BzxTNh8sF6O1ibBGwqepCM66xONS0KXsA1YH9JpSuWO3ca-n2P57zu70kWB7TTNkYl3KL8kS8a1WK9LAWTrZUB7lgNdMSLqbL-lgd_lX-P1Vym8XSeO3KCNdYBrxJN_eNWkNEKHg1-a9FY6YNlsWtD-wZZJogkJKoSXV5rLOt_DmgTmQVirAnXFOPeAROsxRy0-mfo7r_CWNbj6rtuDo4pN0Zmz5UR_lNdpQ8nl-o4tfuCaJB0jxTusEJTDWRk7JF2OsSmNAvNb07Ndu0v2hpnWNZzH2rmqdEH4cuuPJTOnTZm5IjzyhU-THkech5gylZ9upE-lQ==&p=3&fvj=0&vjs=3
Data Analyst,,Olo,"New York, NY",,2.6,"Ensure data integrity and analyze business performance using data across data sources.
This role will provide the opportunity to partner with all levels of the…",3 days ago,2021-01-11,https://www.indeed.com/rc/clk?jk=0c948694c71bfb02&fccid=3000d8714153cbbe&vjs=3
Data Analyst,,Priceline.com,"New York, NY",,4.0,"We're excited that you are interested in a career with us. For all current employees , please use the internal portal to find jobs and apply. External…",30+ days ago,2021-01-11,https://www.indeed.com/rc/clk?jk=d7060a555b8cc761&fccid=e3c82d82eecba317&vjs=3
Data Analyst,,Signet Jewelers,"New York, NY",,2.9,"Actively engage with the operations team to understand the data requirements, data flows, data entities and data relationships.",7 days ago,2021-01-11,https://www.indeed.com/rc/clk?jk=48624136752ce056&fccid=4a1076c699e1befc&vjs=3
"Analyst, Data and Analysis",,Digitas,"New York, NY",,3.8,"✦ Identifying nuances in data to optimize our clients’ business.
✦ Keeping a pulse on day-to-day performance data, including display media, site, search, email,…",6 days ago,2021-01-11,https://www.indeed.com/rc/clk?jk=514bca6873f60673&fccid=274e15dee00b5237&vjs=3
Data Analyst (1-2),,Function of Beauty,"New York, NY",,2.2,"Constantly look for improvements in tools, data sources, data quality, and analytic techniques; build structure and process around data science initiatives and…",2 days ago,2021-01-11,https://www.indeed.com/rc/clk?jk=a0995dc358fdb3ac&fccid=068406d6c4205250&vjs=3
Entry Level Data Analyst Position with Immigration support,"$50,000 - $60,000 a year",Jerneltechcorp,"New York, NY",,,"Fluency in data analysis and communication around data with advanced data visualization abilities using Power BI.
We are seeking an entry level Data Analyst.",4 days ago,2021-01-11,https://www.indeed.com/company/Jerneltechcorp/jobs/Entry-Level-Data-Analyst-Position-Immigration-Support-71b3351536192dd6?fccid=706844dac6c45ed0&vjs=3
