job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
Data Analyst,,Highlands Talent Group,"Raleigh, NC",,,"Experience performing data analysis, reporting, and leveraging large data sets.
1-3 years of professional experience OR degree from data/STEM-related program …",3 days ago,2021-01-11,https://www.indeed.com/rc/clk?jk=ca020bba7038cafc&fccid=dd616958bd9ddc12&vjs=3
Sales Data Analyst,,Lenovo,"Morrisville, NC",,3.9,Create and maintain rich interactive visualizations through data interpretation and analysis leveraging Qlik and Excel as the primary reporting tools from…,5 days ago,2021-01-11,https://www.indeed.com/rc/clk?jk=bfdf6e775874f205&fccid=af103eaff391cdf0&vjs=3
Provider Data Management Analyst I,,WellCare of North Carolina,"Raleigh, NC",,3.2,"Perform provider data management related activities based on plan and contract specifications and standard business rules – includes data analysis and entry,…",Today,2021-01-11,https://www.indeed.com/rc/clk?jk=8fca67b71a03eb15&fccid=5ece327da33e0274&vjs=3
Data Analyst Intern - Diversity Programs,$25 an hour,Oracle,"Morrisville, NC",,3.8,Collaborate with our team data management lead to review our current interaction with another team that manages a critical dashboard environment and suggest…,21 days ago,2021-01-11,https://www.indeed.com/rc/clk?jk=9a23d3590bb852eb&fccid=cd22d01053af7669&vjs=3
Business Analyst and Tester,$40 - $45 an hour,"Web Geo Solutions, LLC","Raleigh, NC",Temporarily remote,,"(MS Word, EXCEL, PowerPoint, Visio) and Microsoft Project: 5 years (Preferred).
Solution testing using industry standard tools: 3 years (Preferred).",Today,2021-01-11,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0D1ujRhGt27ypLepxdC_KYBMHIRhtxa2_pAQ1Y057MozteoPe-fPexmWFTXd1qPTSd1kSVMkBwwwOyawiSXk9Hgt_3RkSj3IrM6GKqCfhQt8trjNySwyUgdlfy91Qo8FEP2cK0IqLWYZRSsZxj-saqAPjS7JTQh9d7Sf7JSqZCeDdfz7UzGjtusGuZkehfgJnb2aSEeqX5CbIXWro9evm0icMh4vkJnjrwt988vL_mw4TUKMfNJdI6EQbM7BrsW_GaOBQ2yAWhEYR9ZyAVnBh5n5nyXD1vWzkOyDHSxz27Gu2xyD_EvYfKAAuZbzIx_4eAEvxy4CGH6urSARisxrsvKLale9SdtGxtkJEwB2pG6_NMHr3AQEVRUpPc-kFEPmF858lNTPxysx6TBhbIoI39SNrzVbFgiJ0dPtIQiGLhEAsY-omgm8KTT57WHSYUoO6ABmNm4qi-mkrEV2tpKppoL&p=4&fvj=1&vjs=3
Data Visualization Analyst,,Pendo,"Raleigh, NC",,,"Identify opportunities to use data and promote data tools that aid in decision making.
A keen understanding of data visualization and reporting best practices.",30+ days ago,2021-01-11,https://www.indeed.com/rc/clk?jk=db32d7aa68adebd8&fccid=f509aa3fbd6e3bd7&vjs=3
Data Analyst - Global Commercial Excellence,"From $55,000 a year",Bijur Delimon International,"Morrisville, NC",,,"“Hands On” experience implementing and utilizing cloud-based data analysis software packages to transform source ERP system (e.g. BPCS, Oracle, SAP, Sage),…",15 days ago,2021-01-11,https://www.indeed.com/company/Bijur-Delimon-International/jobs/Data-Analyst-8acb4642282c8ceb?fccid=48bf018ea2da1d56&vjs=3
Data Analyst Intern,,PayPal,"Raleigh, NC",,3.9,Aggregate data from various sources to construct streamlined data pipelines and integrate data from multiple PayPal systems.,30+ days ago,2021-01-11,https://www.indeed.com/rc/clk?jk=e29445bef6c84865&fccid=978d9fd9799d55a8&vjs=3
Immunization Data Analyst- NC Division of Public Health,"Up to $60,000 a year",NC DEPARTMENT OF HEALTH AND HUMAN SERVICES,"Raleigh-Durham, NC",,3.7,"Qualitative data software to analyze and integrate qualitative analysis with quantitative data.
This position will conduct complex projects including the design…",7 days ago,2021-01-11,https://www.indeed.com/company/North-Carolina-Department-of-Health-and-Human-Services/jobs/Immunization-Data-Analyst-0c08283e9195df5d?fccid=457253035593159d&vjs=3
Wage & Hour Case Analyst,"$32,703 - $51,904 a year",State of North Carolina,"Wake County, NC",,3.5,"(10%) This position shall exhibit the following traits; attention-to-detail, efficiency, Integrity, sound judgment, consistency, planning and time management,…",4 days ago,2021-01-11,https://www.indeed.com/rc/clk?jk=51ad526c5f0a62df&fccid=679aea3b529f8f45&vjs=3
Watson Health- Business/Data Analyst,,IBM,"Research Triangle Park, NC",,3.9,"Analyze data to support conclusions and strategies.
IBM provides you with the most comprehensive and consistent approach to development, security and operations…",30+ days ago,2021-01-11,https://www.indeed.com/rc/clk?jk=e98e0fbad449ef9c&fccid=de71a49b535e21cb&vjs=3
Program/Budget Analyst (Performance),"$65,373 - $117,589 a year",State of North Carolina,"Wake County, NC",,3.5,"Ability to interpret complex financial, budget and programmatic data and information or data sets.
Experience with data query/data management tools (Access, SQL…",6 days ago,2021-01-11,https://www.indeed.com/rc/clk?jk=41cf1d948bcb36c9&fccid=679aea3b529f8f45&vjs=3
EDI Analyst,$45 an hour,BuzzClan LLC,"Raleigh, NC",,2.7,"QA and testing: 5 years (Required).
EDI mapping: 5 years (Required).
Identify and facilitate issues with partner data mapping from onset through completion.",Today,2021-01-11,https://www.indeed.com/company/BuzzClan-LLC/jobs/EDI-Analyst-81ada7ee76f973dc?fccid=3c6bf8306202ea22&vjs=3
Business Intelligence Analyst II - Epic Clarity Data Model -,,WakeMed,"Raleigh, NC",,3.9,3 Years Information Technology - Systems Analysis In Information Technology - Clarity Data Model And Information Technology - SQL Required - And Information…,Today,2021-01-11,https://www.indeed.com/rc/clk?jk=23f88cae81643547&fccid=a22908577aab5b9e&vjs=3
Data Analyst,,TrialCard,"Morrisville, NC",,3.3,"Understanding of dimensional data modeling concepts, as well as data warehousing design highly desirable.
Experience interpreting data and presenting meaningful…",7 days ago,2021-01-11,https://www.indeed.com/rc/clk?jk=9be8e859efb37401&fccid=a3c0f1e0b7ee9420&vjs=3
Business Intelligence Analyst II - Epic Clarity Data Model -,,WakeMed,"Raleigh, NC",,3.9,3 Years Information Technology - Systems Analysis In Information Technology - Clarity Data Model And Information Technology - SQL Required - And Information…,Today,2021-01-11,https://www.indeed.com/rc/clk?jk=23f88cae81643547&fccid=a22908577aab5b9e&vjs=3
Data Analyst,,TrialCard,"Morrisville, NC",,3.3,"Understanding of dimensional data modeling concepts, as well as data warehousing design highly desirable.
Experience interpreting data and presenting meaningful…",7 days ago,2021-01-11,https://www.indeed.com/rc/clk?jk=9be8e859efb37401&fccid=a3c0f1e0b7ee9420&vjs=3
BUSINESS ANALYST,"$70,000 - $80,000 a year",American Board of Anesthesiology Inc,"Raleigh, NC",,,"The Business Analyst has the primary responsibility to elicit, analyze, validate, specify, and manage the needs of all project stakeholders, including customers…",5 days ago,2021-01-11,https://www.indeed.com/rc/clk?jk=ff76503812536e52&fccid=2d1683da66690368&vjs=3
