job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
Data Analyst,,"Midland Credit Management, Inc.","San Diego, CA",,3.6,"The analyst will diligence, analyze, and load portfolios into our database and preserve its data integrity.
Verify, extract, transform, append, and standardize…",4 days ago,2021-01-11,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DV31niWqDtTHeOnkyzmrsZQOR3rxhS34GQbXZlnCN9Srv4hABcUQd7DnnEiWRxpp6viVBntBElM-j1wuDMd4tP-C2wD588ysrcc9e-Yv1MoWch-fxvT3n7B8zjxzp0vCab0R1TJxJk_N_4hVawxkGwe7WCv7Hb-b7IfD6RyY-h6kWBPfD-KKlObjuO-ySw35Djoy7dS035o_XsuFFpH8xnU-4Z6fTkNr2wkFWy8nlTHnWJ0c87iHqF4hQDtcmigcKispfdZqP3qDNSKBm3U_tnHC_GWACncB1JD1V4tOKlbKeXTrlbwR1izhaxkjMt0p_TMR3CnxN5PUvBicuaqc6GEW3OKYV92a7Pmt9DkoUiIGfypxDlZoOdEQzSeWZdIYJezf7qJ0pa95KdZyBHKla5SlIFqk8Iv23C6HzO5UUFrKV5MBOr5qkhR9mApSLwQcrGjXzYdMKz4kJfgCaM9u5fcwjlnVPkz2DJOEY6KvNKeCWx5MHr5ocf4ICTKbFx0Z47ShDuzRIHQTkQxAGxR4W41Pa3eyIObylaRtR4mzU-vE68W9-mJHGU7oEcGnEO1ZRM2bcukhu48lRm4hCpX5YzEeN72q2tlc46Hg7F4SlnNaNXk_3jSXiEdh71L3GeCWPju7ay9BRJMRfm2295zO543vbsE9VY00WgR4S8BeG2LyUFty1RMkOZBZZv2CAsXiK6GBZdt2TO38TJjqSazNlrzmUpguL1Vk8JqvrHdOpsBz1cyykk8WGUa_JGmrPL3sSDGcS_WO1n_MOQQFhr9gi--qHveZKUxvXj2QVTusVqqP6xEYaWmkdf4V4rgisS3o3RKjj49cKTPrlpO1ZFkiv29vfwKrd8Qg1ZsqpvSl3fu_vYyjO9KHM8x2s79icpzPH2LO-QJLHdd4GOwIOCoAvTJ1d9d-2FEP_v_1sxYVIuLh7DfkYut9FJT9IwKIBV5rvCq0Haoz5LrT0bdvMCdpoa2oQtfb_ikKwCCPkxIV9D6l03sKeNsWwOxFoeqDkl6qA5-aM7MzIb702hk-AlBCqw9CHTPxVkNBwOatG9u8HxrA==&p=0&fvj=0&vjs=3
Tableau Developer/Data Analyst (100% Remote),$35 - $40 an hour,Enterprise Mobility Inc,"San Diego, CA",Remote,,"Experience handling with structured and unstructured data and able to create aggregates.
Interact with Alteryx datasets and experience preparing and…",19 days ago,2021-01-11,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BQDfd8JXPuIVCsx-m9fBrMhRgtbXV21M1SO0pOgV8nH2VzVtoWo6TK9fTBiN4wtxPwyFlqjNXPXIXU_vaRYDBCwORQ2lEQ5HU3Jzl1-edMCTKlqyeu1ccL13QOAcvD84Nn3w_EHeqOr778pjo5hxZompEqTpLwmIW6gIAOLRfDo5iiiUy6XKCXuGqtgVKDSenSLspvKvEWmx3jOiDbcSYaojDHHvPliL2PKpdKpseCLdnJkSRDfGWaj1_JfIty30NIYWdMU2wOWQt8tTQthGe75w7djIVUwrHL2JSlHEl_EzHyhByRSSVejAc15iBAdC1ptFbOir-U45m9XjI1Tg9vUG4iwWmHyCGlsXZjIwDmft0CbVw1ZLB1RhQRAbeIZrY-T3HkNxIv7DLQ5ifOGOEIV-lA6vtEAyYUj8gnxHZBv_h9PKf0n6GvpSxLWKAHmt4M8bonBAKCZircyuqhhySuvoSg1ujw-88=&p=1&fvj=1&vjs=3
Junior Data Analyst,"$60,000 - $70,000 a year",CCS Global Tech,"Poway, CA",,,"1-3 years of work experience as a data analyst or in related field is preferred.
Providing technical expertise on data storage structures, data mining, and data…",6 days ago,2021-01-11,https://www.indeed.com/company/Helm360/jobs/Junior-Data-Analyst-579daae369d5a776?fccid=0d0582f3e490bc41&vjs=3
Systems Data Analyst - I,$17 - $20 an hour,Ingenium Group LLC,"San Diego, CA",Remote,4.0,"The System Data Analyst-I acts as the critical link between operational transactions and live customer data.
PTO, Sick, and Holiday pay (including paid birthday…",30+ days ago,2021-01-11,https://www.indeed.com/company/Ingenium/jobs/System-Data-Analyst-36888f3cbac8f7f0?fccid=ca5f923db30b670a&vjs=3
Investigative Assistant / Data Analyst at DEA,,Forfeiture Support Associates,"San Diego, CA",,3.7,"Accurately enters required data into one or more databases, documents, or spreadsheets.
Attention to detail and the ability to read and follow directions is…",20 days ago,2021-01-11,https://www.indeed.com/rc/clk?jk=76dc71fb8f647f0b&fccid=8ce3cf8e1e3ddd14&vjs=3
Data Analyst,,Operation Samahan Health Clinic,"National City, CA",,,"1+ years of experience working with healthcare data.
This role will work with data from a variety of disparate sources including claims, patient records,…",30+ days ago,2021-01-11,https://www.indeed.com/rc/clk?jk=8d516efc15088fa5&fccid=185db914e9a93701&vjs=3
Business/Data Analyst,,Sharp Healthcare,"San Diego, CA",,4.1,"Under the direction of the Lead Business Data Analyst, the Business Data Analyst provides Plan with data, reporting and analyses that enable data driven…",4 days ago,2021-01-11,https://www.indeed.com/rc/clk?jk=88c765465993d4a4&fccid=925a1f6abf9582bb&vjs=3
Data Analyst,,"Vervent, Inc","San Diego, CA",,,"Attention to detail and with strong data analysis and problem-solving skills.
Troubleshoot data integrity issues, analyze data for completeness to meet business…",30+ days ago,2021-01-11,https://www.indeed.com/rc/clk?jk=a6b863fa59058826&fccid=e9f1decdeceb0168&vjs=3
Data Analyst - Contract,,Sony Interactive Entertainment PlayStation,"San Diego, CA",,3.7,"Strong ability to derive insights from data.
Conduct a variety of ad hoc data analyses.
Min. 2 years' experience analyzing large complex data sets.",30+ days ago,2021-01-11,https://www.indeed.com/rc/clk?jk=8fe2126da68a32c1&fccid=750bb2e27e97e3c1&vjs=3
Performance Data Analyst,,"Transcore, LP","San Diego, CA",,3.4,"Investigation of data/performance anomalies.
Job Summary: Performance Data Analyst will be responsible for the analysis and reporting of results of the BAIFA…",7 days ago,2021-01-11,https://www.indeed.com/rc/clk?jk=287493cc4f66ff8b&fccid=b8c2f80a6129b00f&vjs=3
