job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
Data Analyst,,Cornershop,"San Francisco, CA",Temporarily remote,3.7,"2+ years of relevant experience in business intelligence, research, data analytics, data science, or a related field.
Proficiency with Google Sheets and Excel.",5 days ago,2021-01-11,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CDg2PyOvLM5WFHaY3mOgSqyeWxPLwD-9Oy4oGnHKxnHB82L0JPb81JBwdgkPUDqNWURnntmgrmIV-f6yC3_rLoHzDZqOnOn2RxoEeUL_q7WnsfL1OaC2o8fw_HQTmfPBGFxd5aN4vOAqnNjoEiqMi_CXFp81TKe8s8Skgm_jG5jh3eXYreBEZ0vJ_usnXyeqsw4ixDUa-IKDZlbFjYK-5jJere3heelbnqREDCqYlHkObpwdfqR1rv_jL1rrY76V2jGjBP6-LGn4HPwdYxs4qTOVJqwFxJwzGouyv_Oh9KFr4ieUBvOl05zqhlJAD7fvxyGnS-tPY44rHX5XhzjkpHJ2tFHHlrt9HEtLRhJ7mnTv2PvLUBIVlC_XFrtCDmgcz1A04HVG3NraKLKN_3gd97ILHLnASNHMyZRbwnKhT7sphnwFKOrd3LJkxtsxhjQKLuqd-ptvZ49JYjz44NNosO&p=0&fvj=1&vjs=3
EHR Billing & Data Analyst,,HEALTHRIGHT 360,"San Francisco, CA",,3.7,"High degree of accuracy, speed, and attention to detail.
Finally, this position will work to maintain and trouble-shoot API integration and other forms of data…",23 days ago,2021-01-11,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0D86e3kd9kWXeTtPsmKSn2w6VuxxvlC7c5HbOxOIY9Kda7lnmihnhnpeYtrMW6OAaJxXcr7w2UT1DlD5mUshHp85eDMJ40WTt2lMLUQO5aWxQ9zo_pb0_gQrHRJhQmukoGE8OlshGqp6r89nTpbmKxkAOniWP3ebsmQ8w3V7qU_Sa-t-PsMs_6sv-cYRly_sPOiImBzao4fOFSWXYOcsgyXuZWau9JjKyRVmUSKnr0eAxkKcRrrcT4ZnCClEQiFvbap2SMC9VJsvTVvh7sizF_cF0v2v_QBqifaMcUwqRHkSePR4_u0ZcdoKOYKo2XyyhnCrWN1_-qAOFk8gFRt5Tvf9ERCzLfdSK9RdY7Yi-1Rs4R1N2Z2FcxqTxxdioCdYGJS4ENeEnA3VeCMQbgdeZ0bOa3MDOn0bhe0fcauLd9goB5mn7QDCrFkTQxe3YhzDIlfKOGdf5GVKrqEcP5iz3vhDnDIIamDHfnzggrYSgDx765WyMBAIjE7JMbGplNxSXVvtiZun8paDexspmbrz1G3m08HFKiGZ3dUJTA1e0Oiizo7nAeNpR8FfLxelTHCReDW09HZ9zNRLZwx96P0HMXcjRvMX5a0ZyAStY7Of8lVmd1YFqVjaoAYFSONtCx-jbPRSj2gHqCxh_ZaAi7u5bfwW8wACk_o_JPftyra5WZ-zOlXXworsyxi-Es039Jt-2E9sEX_LmvJcwAkx-6X2JK42Irc6KW94L-VREgMZ-dkjEOJEoZqU16dzrrHThXdKW4=&p=1&fvj=0&vjs=3
Data Analyst,,Mighty Networks,"San Francisco Bay Area, CA",,,"Build scripts that will make our data evaluation process more flexible or scalable across data sets.
Create and maintain rich interactive visualizations through…",Today,2021-01-11,https://www.indeed.com/company/Mighty-Networks/jobs/Data-Analyst-84aa1185c5e40333?fccid=251c57e5708f4cee&vjs=3
Data Analyst - Entry Level,"$31,775 - $60,684 a year",MT Global,"San Francisco, CA",,,"Providing technical expertise on data storage structures, data mining, and data cleansing.
Provide quality assurance of imported data, working with quality…",6 days ago,2021-01-11,https://www.indeed.com/company/Mt-Global/jobs/Data-Analyst-a4e304edd0876058?fccid=538f9ae95cd3fbad&vjs=3
Entry level Business Analyst,,Logos Infotech Inc,"San Francisco, CA",,,As a Business Analyst in IT Gathering Business Requirements from the client/Customer Interact with clients to understand and capture their functional and…,5 days ago,2021-01-11,https://www.indeed.com/rc/clk?jk=88f2a9efd9ca83ef&fccid=dd616958bd9ddc12&vjs=3
Data Analyst and Applications Specialist,,G4S,"San Francisco, CA",,3.4,"Must possess a minimum of three (3) years of experience in tools development and/or data analysis.
The GSOC Data Analyst and Applications Specialist designs and…",10 days ago,2021-01-11,https://www.indeed.com/rc/clk?jk=172fe1c075755ff1&fccid=95fcff06e59f4033&vjs=3
Data Analyst Intern,,PayPal,"San Francisco, CA",,3.9,Aggregate data from various sources to construct streamlined data pipelines and integrate data from multiple PayPal systems.,30+ days ago,2021-01-11,https://www.indeed.com/rc/clk?jk=92366616300ca5c8&fccid=978d9fd9799d55a8&vjs=3
Biomedical Data Engineer / Researcher / Analyst,,Penumbra US,"Alameda, CA",,,"Integrate structured and unstructured data into existing infrastructure and test data integrity and quality.
Familiarity with data modeling and machine learning…",Just posted,2021-01-11,https://www.indeed.com/rc/clk?jk=545c82db9f24ab8f&fccid=48d4b5e592158b7c&vjs=3
Administrative Assistant / Data Analyst Supporting the DEA,,Forfeiture Support Associates,"San Francisco, CA",,3.7,"Accurately enters required data into one or more databases, documents, or spreadsheets.
Attention to detail and the ability to read and follow directions is…",27 days ago,2021-01-11,https://www.indeed.com/rc/clk?jk=2770dbf0bcb5d6bb&fccid=8ce3cf8e1e3ddd14&vjs=3
Research Data Analyst,,University of California San Francisco,"San Francisco, CA",,4.2,"Focus groups will include 3-5 participants; questions and guidance for facilitation will be prepared by project leaders.
Experience with human centered design.",Today,2021-01-11,https://www.indeed.com/rc/clk?jk=4968c633d96c7418&fccid=2a341562d64c7cdb&vjs=3
