job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
Data Analyst,,Study.com,"Mountain View, CA",,3.5,"The Data Analyst must be passionate about digging into data and understanding the stories the data are telling.
Knowledge of advanced statistical concepts.",30+ days ago,2021-01-11,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DTBdVKmZIyVUz9epjLLrinfsLp4iyHLMBJakMPxL5umFWkBnrul4OZfYAQQsTEzo4tnLRbZnfEmIiikkB8lgr-Hqp6JpqKcGJ8D_TjPVMk7msr0-hc7-K4ZcsaUUx0l36ia6AXOf16fzdlMvpl3Kut169elPf3GJ4pE2E2G_XTzNOljtwmweV0K5GF7sibJJ9bTuqH-e0_Vx2fw6L37xMfqjx8IrB1_TFf5cXjblWDJuaoeJcshnqqkTeqxexcYpW7-VkuV6s9zq7bSmUJXymnG2aK3rXPyDyTrEL8OlluJYZpIVzPaEwrV26jOSZsgoHI8AQ7_HR6g9S2gpBSfdj5kVHfcP_451_1iDakdnBYuBAv4J8deoN9vIGw2yhEDJK_MmrGRkMNnqW-e7DOO7vSuQiELnXJha3HS0vKlt3Oxlw-hi9WdCAXJJa02idcmYXpnhIWksmFjgxTSLvKtdA0N4Cn1Of-0XgMV__SNTwqnTWNJ8IElPSggj8ajH0OnGjy82GtYyJyJg==&p=0&fvj=0&vjs=3
Data Analyst,$53.33 an hour,The Mom Project,"Mountain View, CA",,,"Fluency working with large data sets/ data warehousing.
Expert Excel data modeling and analysis skills.
Proficient in Tableau and other data visualization tools…",Just posted,2021-01-11,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BDp_epf89aHDQhKpPegNJQ_ldQpEFZQsM9OcONMGxWx6pU56EKHF58QjVdAUvn2gVAsk4amSWfXTefCOi9F3GkwvkOoKDzRAGldrm82KX_Hjp67-WZpnbcj5LP_pmmw538SeLye-1sru4o5wXg7ebG4aQXwPANrMparam_pPh-48Cdn7EZJuFRd0wYwdRa175rdYFiL1hSU_-89Tq13IOZbwWl_BTjxiOP_CsHP4-hC9QqINRXUu798OPNSB3Byvhkd0W8X4qsBjjhlvke_5v6Sxx5Y1CPZFPy8cdXGQisAmwsI5wQ2ST0etKqOkDjXZH0smepKurWKfUzV4eWT1o3bHfqCW76Fs67dgJIruUWEq2JlWO7iTDOXKioyPWuWtN3eVA2YUEMWFGhnSZdGnQ5ES1K0n0H39iqQTU0p8s54_jLNy0m2JVugMGMbGVtfeTG0tUINnrm-yjFNq3L0si90gHVSbcmBUx8slzD1RCaonvDAbk2qM5BosC54yT9RyOjB7WTK77EdlSuHN4O1zg2Fi-Q-P0EAlb7SdOlVQ2MTd7QVAPul9kmlw69H_ylRLO2RNdyITr60g==&p=1&fvj=0&vjs=3
Data Analyst Intern,,Cadent,"San Jose, CA",Remote,3.1,"SQL – need to write queries to retrieve data from different data stores, a good understanding of SQL is a must.",8 days ago,2021-01-11,https://www.indeed.com/rc/clk?jk=f481e289d150a57e&fccid=760d03f6c6eab030&vjs=3
Data Analyst (SQL),$32 - $42 an hour,TargetCW,"Mountain View, CA",Remote,3.7,"5yrs Data Analyst experience- preferably working with sales teams and sales data.
Bringing quantitative sales data to life by identifying trends and developing…",Today,2021-01-11,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0A6TktYCN0VG50lat1bxG6ZYGRoV5Av1OVF6J5hGgtfkbuLupBOf1hB4AfOK0qYtBftw6-7s2seqOWMpGSAl_gW4BMITgqifDX_tPUWki7c9YbD0brx1LnHwE1U3wvRC9Yjmyd9_Nj7eLs6-ygXlbevP9tb5bt_gEWWfiF-7U2Nv1VnYuXzc7VOW3DyEK6u1RQVOx0_zeqgmKX79wc4IPuU0m04U-NANz_i52v-c2LmjmQ2Ut-wq5fic25fFTo-k4-d__zCtxuAhMfeB91SA-7I5ApBMM4UQde2abrm3jTk6RuomuttAxmp3D5AF3Bh1OmLODf8LmBuXhgN4Yzd9mT87hbA5Ia2Wj-fS89fxXYiIpYcxmNPGCBbkm3kmodenmRuEQVGQj4alrmntqDD9_eKJZ1nyMV3RMFaT_EvIxpz7I2dq04RBpflM3fHS6xP661RlAOGaCNRB5xHFzCfOcGi9cBxDq7ri0X9XNXo52MCJhR6nwm0uWp9AiEr3kO637NFVPKE0tdQx9AEdSOQuNn56kCYBUhn8KLcMXrvbM8DzOb9xBkiPB9v1928lK0oHyWZ10bs8I7evEkKdtePA8R9WXMmeaUb24JkUi_D51t1nCQ5OpWeofbSUMgTfSmzk61Fz_anmC0VNPWzPFJ_JgEYXO9v7TPoezV6Sin3Yq_F-9SvmiTRAvTal_VkQYxApfg=&p=3&fvj=0&vjs=3
Data Analyst,"$60,684 - $128,603 a year",MT Global US INC.,"Santa Clara, CA",Remote,,"Provide seamless and timely data access for your users.
Debate data processing philosophies and methodologies with your team.
Build reliable and dependable ETL.",28 days ago,2021-01-11,https://www.indeed.com/company/MT-Global-US-INC./jobs/Data-Analyst-c4dc233a5e4a414b?fccid=dd616958bd9ddc12&vjs=3
Product Data Analyst,,Waymo,"Mountain View, CA",,3.1,"Demonstrated ability to extract actionable insights from data.
Analyze data to create a deeper understanding of the Waymo Driver and its behaviors.",3 days ago,2021-01-11,https://www.indeed.com/rc/clk?jk=a9944e5669d017b8&fccid=73ceef0a2153d2b8&vjs=3
Data Analyst,$40 - $50 an hour,Ryzen Solutions,"Fremont, CA",Remote,4.7,"Data warehousing, validation and visualization is a plus.
I'm urgently looking for Data Analyst with 3-8 years of experience in coding/ writing scripts using…",7 days ago,2021-01-11,https://www.indeed.com/company/RYZEN-SOLUTIONS/jobs/Data-Analyst-501a5760e96603c7?fccid=021e5b9130f2eb79&vjs=3
Analyst - Wallet & Apple Pay - Growth Strategy & Planning,,Apple,"Santa Clara Valley, CA",,4.2,"At least 2-3 yrs experience working as a data/business analyst or related role.
Work closely with key functions such Finance, Humane Resource and Facilities to…",4 days ago,2021-01-11,https://www.indeed.com/rc/clk?jk=f39f4820ecaf6d8d&fccid=c1099851e9794854&vjs=3
Data Analyst,,Apple,"Santa Clara Valley, CA",,4.2,"5+ years experience as a data analyst or data scientist.
This includes analyzing input data sources, measuring data quality impact, identifying data anomalies,…",30+ days ago,2021-01-11,https://www.indeed.com/rc/clk?jk=c956f94fc0f387e2&fccid=c1099851e9794854&vjs=3
Data Analyst,,"Raybeam, Inc.","Mountain View, CA",Temporarily remote,,"4+ years of discovery and assessment of a client’s data portfolio, data tools, and data applications.
Ability to manage a data ecosystem including ETL, data…",Today,2021-01-11,"https://www.indeed.com/company/Raybeam,-Inc./jobs/Data-Analyst-e74cff7ad6109d6b?fccid=8641f0a5fda917ff&vjs=3"
