job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
Data Analyst,"$75,000 - $85,000 a year",Aveanna,"Mount Laurel, NJ",,3.4,"Perform data profiling, discovery, and analysis to identify/determine location, suitability and coverage of data, and identify the various data types, forms,…",30+ days ago,2021-01-11,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Dqrr-Rjg2XLksGNbp1zr5zrpCZUmaYUPA5zQ_vrCj_X7cEs1RXFWy7uMoybk5-jjasslLYwzvrWxfGuxLDgI3VTgseV_6lScNENZVrHUkj95GriHKfz87IjIJi112dCirbJy32fET-bX00HuA9HZyvse499Vd3gkusco-3fKwOcIpiKSdrz3MtEU5MDQ3Kq7xfEyvB8ISi3th96xLMHasU5FW5hzIbc-2pGThRao9Pp-QPv5Ns7XK-OB28mahH4o4USCAYdyQXb8b5soX0Q1gq7P2pXv1ssQ7JKpOX4anlCJUJ7tJYGRJMN4Xj-ndimgy5n3XywgOp91vu2E7fLjjvXs_fYqrmGVrzOUfiaCPflYaNz9WWEDuirCXtrd7wTdlr6nyseLPy5bumi8I6dEXJoiEdjaxqSdyLXI3WD_DOidMB75zJe6APu67DCib-jnnNC1BXXWheyg==&p=0&fvj=1&vjs=3
Data Analyst II,,Cenlar FSB,"Trenton, NJ",Temporarily remote,2.9,"Performs data mapping for systems integration, data provisioning, and data consumption.
Responsible for documenting data requirements, data collection…",30+ days ago,2021-01-11,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CmMalisquauSZOe4UDYf5QHkOqYV4AZzJtOmGMw_DzW0ND_WD8ayJjXjZ-jaJC9USXTxUmOzyckU0bozNiSCbcaGpuMGSi_dEd_ag-r7I-N53nuToRtx5yzxq1ALv5LYg9wTM__rQ_CczNQ1fd4yqb74438KyIzN1wJ7Paniv2_kiTRy_XvQgxFSjyoB9lRATAlT3LudoFUPv3WTohK5GkvW2efLAbsZPFisvpm-0eIV5DO-0Q_VRsvQerXEgLMsFdosDiQI0gQTjUxCBNNq76tSjebPmwPFOdj7IqnsuEiClduw4s4bi6TxH4K6IXS1Khxi5xzDmeMDdcw-2I9myhMkwnTmc-HaxozzOzxCnMoYc11IBYCSJhP-WD0JydHFHNOnwrPRXxnHGmqiLExBIvYcvBQRmciwpmBh-Vw8Sw2VTcUQfFclLdjPJg9ON754iZ33XNYTbngg==&p=1&fvj=1&vjs=3
Data Analyst/Business Analyst,,XSUNT Corp,"Newtown, PA",,,"Experience working with large data sets.
Creates dashboards by pulling data from different sources.
Expert in SQL and Excel for data analysis and presentation.",7 days ago,2021-01-11,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BUBAIpOOzXgv0AnEtnpRLoIvKPE_vWG7h0zDlecBsQXu1lJ3ZBJWIKIsOv2jit69kqfNAYREfEluTAEBk-jG0rz2U6ztdoQ27uZcNVeJEhuJEcXYhRdIAJro5d4XCYrgzkOifZ_fDv2zCi8AR4JsTm6TRMjLq-JktUAEdGzgrDLB0kBhY91EtpiXettOeomKQ7fQDMbd_Npn_XddPAp7aLuPhggsJWhPIvw1FO8wzTiKn8vJDyU3v00zD4vnQL_-_rwhmLELGzDYNrJ7l530gSoKnrgoZoPBsLf78j05sgZk67cBnuesHM4jn7N3RRNrNjgYS1t2PvexPjwSejuw5YEy00vE8l-UEPTXt6vyQ8wfAUlnpZByBjP8-LjavgJhKbT87sVi3EMPkD-lYOhwxrPr96dEJYSuude6l02a0CAIjANnP-bG3bpfekExEkwczMY4BqU0zgxxonsdDbWFqH&p=2&fvj=1&vjs=3
Data Analyst Intern,,PayPal,"Trenton, NJ",,3.9,Aggregate data from various sources to construct streamlined data pipelines and integrate data from multiple PayPal systems.,30+ days ago,2021-01-11,https://www.indeed.com/rc/clk?jk=cbe1abb6f38b06e4&fccid=978d9fd9799d55a8&vjs=3
Serialization Data Analyst- SAP ERP systems,,Fortira Inc,"New Brunswick, NJ",,,"Analyzes and addresses data transfer issues across different systems.
Develop and communicates data management process standards including:",Today,2021-01-11,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CJawNah7prVHbQcB97Gt_E-GEXdrynpKNuJXKWSYkVy9e8KvcvT0u09IlR2rM1neWqVKDoa2eRbRigWgmk_usxMvVrp6z-yED6xRGeuHEJ1_IOWjVem3j4jnkKZNxkr9vKOuMmkUzWpI-FYbcvbulQp0TlwPycmQ5rbBDCCJiHzCCh3LBFS0JGPmLIcKmDzwEopIGncKTgk7oGgTABytkLWZLejr38fdoruL5_3F4rTHADDtpsSHmUNo8k5hvryekx0laa1mna6agEk23-D9E5Lrem9qg3nAXoIOTEseQwTiYJJx4GFQUeTtQSvCykdd_YiSabZS1_yOI5kJdDUTPqo9XbqivZH9NiSPFUzxT_E4ZtEzFHUoNiIXCy3Da_IrzimOqQR5LuMddL7zRsGuJv1uv8puP14mS-JuvUSrmG4EfvThtb1ui5Xo_VU-kEUJShHuM5WUNJlOarcDa-MLJPgFJ2w0ZqYagEbeT-hCQ1KQ==&p=4&fvj=1&vjs=3
SAS /Data analyst,"$65,000 - $70,000 a year",Clinpharma Clinical Research LLC,"Princeton, NJ",Temporarily remote,,"B.S. or M.S. in Statistics, computer science, or related field (Masters preferred).
Knowledge of one or more scripting languages (Java, Python, JavaScript, etc.…",27 days ago,2021-01-11,https://www.indeed.com/company/Clinpharma-Clinical-Research-LLC/jobs/SAS-de23bedace0fd2c8?fccid=3be9f6195266d491&vjs=3
ITSM Data Analyst,,Rutgers University,"New Brunswick, NJ",,4.2,"Experience as a data and reporting analyst for an IT service and support organization.
Experience conducting facilitated workshops for data requirements…",Today,2021-01-11,https://www.indeed.com/rc/clk?jk=47bc01e456a2799d&fccid=39baf972ba156d41&vjs=3
Data Analyst III,,Bloomberg,"Princeton, NJ",,3.9,"2-3 years of professional experience analyzing, modeling, manipulating, and transforming data to create meaningful solutions.",4 days ago,2021-01-11,https://www.indeed.com/rc/clk?jk=a8c82cb27f0b50de&fccid=f770da67b3b51c62&vjs=3
Jr Data Analyst,,MJH Life Sciences?,"Cranbury, NJ",,,"Fielding report requests from stakeholders.
Identifying and improving upon current internal processes through automation and optimization.",30+ days ago,2021-01-11,https://www.indeed.com/rc/clk?jk=d200fefe8fcb75dc&fccid=439667798bd7d9db&vjs=3
DATA ANALYST II,,SRG,"Branchburg, NJ",,3.7,"Summary: Under general supervision, gathers and critically reviews stability data to be compiled in reports for FDA submissions.",12 days ago,2021-01-11,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0A-a7KdE4FeCMsf0bYYjrZD05o539rTYXwSabXBB5yTEv7zPxfS_mC2jHOVUaPV37R-vi6xQn-NC9Qv7Ru8L-YzXFKe2BovUPdb9UvYy68zwfXdJNj9xJySNEYKQDroIfKyxLC_n2-iElCoACUblBWz6t7sbwP1D45pjG_96kuMtcjle8iwlGo34vKj8wiQZi9VbSVITkNvGBu5xWk-RNiiElGMzWJAw0lmOrVrGomEjGaj-9E-jOSJoLRkk1pXEEvSj-Fx5KoXMuhIHbt1OQFoEj0leUHP0L-XZqOBSDGKr8T6TpJx75TpQAxGrAdQp9f7RSRfCP8hpCC_Rsoxr3WrKtt1H0br_pOwPAYoWf_yN7G1PDRzZHuz7JBdz4Zw3F38X3v6SZI4M_oWEZlA8nQT0fwMaVbW6Y5ROB8n2Ldyb-NZvUDLvxOgPOEEdo4D0UFdwhKnw14JuWfV_5xv5ZFkEnz6ntmC2lE=&p=9&fvj=0&vjs=3
