job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
2020-2021 Data Analyst,"$60,000 a year",The Kindezi Schools,"Atlanta, GA",,3.8,"The Data Analyst will increase access to data that supports decision-making by collecting data, generating and publishing user-friendly reports, and setting up…",30+ days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0B1x6Dc9NwxxYvv5i-hX5Xo_3WTy41nSO6cc4MG1lfLzLbc9I7wHH9VMrbSPc0QzGfaQ72Bwpv359Foz9fuM4QnYUuCASJU6dvi18m53OiaI8B7W4MJYQJeE-qcsYYQ_WOSH9DOHQhy5_BPu0PHRmt17A-UXh8DS3NeQIK3mbxF0Tb1Fo7hgeLw_dNU16MeA2r2AbZoxNfecQvmrcxurgw1eOVduVS9Q1TLEZiNQSuCkmtdQmzcpGLmWr0x8jZnhawrmIcMZDNJnU_XUguFEOqY0mn1H3fbuwMT_2fSu-dj330GN4w7_-YtiixjWeZ763eYwPCrtfaBTTsBAGUXj7edKyoKMhyA183imVa84IewwDRBHNWNDLY9NjXKQiIGPNB46XrUfDA49PAWVI7KUpGZCWA6v-KdBtXTdzQrauWjDDlpFXOaNiVYhmcsW5ZDgwwJ_swjmTUrAw==&p=0&fvj=1&vjs=3
Data Analyst,,"Lockton, Inc.","Atlanta, GA",,3.9,"Integrates data from multiple data sets into relevant systems for reports publication.
Collects data and analyzes client information.",Today,2021-01-15,https://www.indeed.com/rc/clk?jk=d7d2791b2f5513f5&fccid=67f67056564a5eeb&vjs=3
"Data Analyst, Junior",,Booz Allen Hamilton,"Atlanta, GA",,3.9,"Experience with data analysis, data mining, statistics, or graph algorithms in an academic or internship environments.
Ability to obtain a security clearance.",24 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=1902fabe928bf831&fccid=4e041af1d0af1bc8&vjs=3
MANAGEMENT POLICY ANALYST IV,"$66,073 - $99,109 a year","Fulton County, GA","Fulton County, GA",,3.7,"Data Utilization: Requires the ability to evaluate, audit, deduce, and/or assess data using established criteria.
Other duties may be required and assigned.",Today,2021-01-15,https://www.indeed.com/rc/clk?jk=d5393216d0f7a07f&fccid=47843baa87eb4dcc&vjs=3
Data Analyst - Human Trafficking Section,,"Law, Georgia Department of","Atlanta, GA",,,"2 years of experience as analyst or related position within law enforcement or prosecuting agency.
Experience analyzing data such as phone records and phone and…",28 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=055866fc3371d0b6&fccid=7de7492e6703d38e&vjs=3
Data Analyst,"$58,000 - $113,441 a year","PavCon, LLC",United States,Remote,5.0,"Is willing to roll up their sleeves alongside other analysts and engineers, developing data-driven processes to improve customer decision making.",2 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AcvyScSzxGX9e7tF2yOlgVOj93Rn6ts4Nhq9obcZl5__6xF54nqZyXQl0oo5T0znWbCn_T5bJ2yDPbHzpPr67qvSHPbPxh4NEeJsWx8CaMGTJAWVEp45jPmOgYfowgoW-pwMbwpZvMNIvIMxcUN4Bb78-lO6eftz2Ob6p_ja2KiYEZpVTsmRc-A-Rf9pUSGDlkXfgU-TKIXyEFUp1j7kzyvDLAc6kKoI3bKIOkri3RB5awbU3bK7Pvd_HJRxkLsj9pNWZZs_KAL7g1eUu1tD5I7WFIapRDv_WkOEQ3zM69Ltar_384e-gZKlhqC3u-WEX_HLuIjiwzNou4aDjerdoCHCr4fjyDx7rntHbkE-3RqMZaKe6BZ872no6rQT3DyKmXzlmSU2YHi_TQNUwTtVRMebhQJvftvaE9STVy33vqa19P1g_I5_MjnyFga_yTakJRg1dLkYUUxw==&p=5&fvj=1&vjs=3
Behavior Data Analyst - Marcus Autism Center - Behavioral Analysis Core,,Children's Healthcare of Atlanta,"Atlanta, GA",,4.2,Calculates reliability coefficients and summarizes reliability data of various direct observation data collection systems.,30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=c5fa5a1ae64b1ffe&fccid=5d7180a195e12cf4&vjs=3
Data Analyst,"$55,000 - $70,000 a year",Advana,"Atlanta, GA",Remote,,"Collaborate with data engineering to ensure data is readily accessible.
1-3 years of business/data analysis experience; digital advertising or business…",30+ days ago,2021-01-15,https://www.indeed.com/company/Advana/jobs/Data-Analyst-a4cb31ed7c73625c?fccid=e0b053b31528f9dc&vjs=3
Data Analyst - Hotel Analytics and Support,,Peachtree Hospitality Management,"Atlanta, GA",,,"Extract data from multiple system resources, interpret data, analyze results using statistical techniques and provide ongoing reports.",1 day ago,2021-01-15,https://www.indeed.com/rc/clk?jk=052d7ad6a37a9b71&fccid=0b9e9fec71c311fa&vjs=3
"Analyst 2, Entrprs Data & Anlytcs (Data)",,Comcast,"Atlanta, GA",,3.7,"Combines data as needed from disparate data sources to complete analysis.
Follows best practices and established policies in business intelligence data analysis…",2 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=3da4b27ca811badf&fccid=ea25315ee9da22e5&vjs=3
