job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
Data Analyst,"$48,000 - $55,000 a year",Buchanan & Edwards,"Austin, TX",Temporarily remote,4.0,"Perform extensive data profiling and analysis of client data.
Explore existing data repositories to understand what data are where so you can leverage those…",25 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CKHRY3EBuMGNloIfhM-SvWh-cjZSdPFKRcQWOmhVqGbySQviKOKCqa64hivjpK3bVuGTWbEvuu_3nksmIRW6Rw3fRHF_bSvBMoTtke0mJ3I5YTC5bV3O-mZK932FDxFk_7W_I-V98X_cJ0Q9TaPDi-z0PF3UEUU7hT3rTeEjZIzXypJzN14HnY7HdTXHgbf6zQbbn33v1wx6yRIi71-dWg2JbpIziXD5waW1SVOJJLX9psd_1vXMjFOmbeUTAdkIDpXZJDt1AxAz2T6QsV8zNd4aDw_2uC88Vf0N7kP1TPUajn-iPBwjGjBxmLCPhlWBC-103N9i-zTsffVMcTdm4x8msvG547FSarzIkKFgt7kVGY5rvM5I1gAh_sKMS_xxl9VuM4YTxeQD8LtNEUR-7D1yxmSGDb52DAUTZsneqoZB2L8Kp6vsUTnSde-ryYFRI=&p=0&fvj=1&vjs=3
Senior Data Analyst,"$82,988 - $90,015 a year",Apgar Consulting,"Austin, TX",Remote,,Your main role will be to participate to all stages of a data platform implementation project based on various leading technologies.,30+ days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BKgzQyzTF1Q9mOsR1amaS-juVGLjHt5Cdom-gEF9y-xfJwY2lkC_-ZVsvieDD_EKytd66gc3oKJAfDSwkXv3J6bPUcUYGqNzObsNWnmLaL0UduHpMM3YMEwZhbUynvRKeEqk5KOFdwfY1fcftTYn7jay513q64qo0KFktzWfunLl5O0kXJGXRSNr7KNEmJZwH1ezC7GqT2r3BKin9sk5OLJvS193oPhA4J-E-vscwJuFbYX7JHsEKCf8R2TxVepFA81EO89ZWuIOeZsdVWyL2uMjNF68-La-HL3lGsZhyrEgQSOsV6W2TVrVN4PCkelR9nqH0QZrw5euGt0qAF0rnBmbOsKm5_hL49ZRr_tTPbSYgZI55XXp5Sx2xCB5SHAX6YmgQyJdjQx7gL1Ra8ame5jZIUAexKXqPOgDaD-Zm9a8mXsWLp4YDW_9sau5dxAQ5ZqJPv_bnLPA==&p=1&fvj=1&vjs=3
Data Analyst,,PayPal,"Austin, TX",,3.9,"Troubleshoot data quality issues and work with owners of source data systems to remediate those issues.
Ability to QA and troubleshoot data.",30+ days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Dn2BJrTT_MS3KLsmM1n0D6dEWYv-qvNCIwtrt37CnWGCJohfXzqRmpk81DgCdmSHG59hnMChldev7RYkJfBHhKVv6KDl_tAczf-CYaz9PQ5IPvUv9U756ylHxRtNrbcLF7IUpLFIoCvan9X_jKsNLClZ1YiPaIwhAetRtH0WJxWvgZU1JSHRLYjLYIK4f1tAIjiI2_h3BxB5s1moFUwqvBvQEn3vjwKrcGk9eUQOk1HGuMytFvgHsEFW87P9QPZs-7XeQ250_OvhXJcH1Ygna0gfsaxvtvMH1vOPBVp6FQepj9ZSkBpY4mBjSTDb-BiSWaTJGz65iwH2r_PNxiqLN9oFi7gqj0sZ1F-Ff4Uzor4bDouKHdkvepFV4CayeXNF_1Sb9IoSZ-YXdNOUdSL6esRpwjyn_MMBNhNpQ7HoOuRdur1G9rf4vi2znhLucQ7uiSwU-nSqyzy23g3gwojEPpHN9d6YRYxmNgrKr6SoyjWQ==&p=2&fvj=0&vjs=3
Data and Automation Analyst/Programmer (ACO),,Ascension,"Austin, TX",,3.7,"Troubleshoot and resolve problems associated with data quality.
Work with managers, analysts and business application professionals to determine system and…",30+ days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AksBVzSfSmSnzyyU09-g488_m6x3LXEFJ0P7KQwIh4kZfLS-yhmbpsNgZTEOrkQznHGtahrrMrZIjPsoPHRW4Ad6BnDz1PQrhfg2K7BDtjLgrfaq-QFOwFxRUvSNVq8oNH7HTCzKJ30M0oeXrSl-f5ADIh_3-Nb9p-2MqC5OfzLlr1z-nfnh6w3t02WA_hdNstFX574QSkt5b69yWwnHqcqW4WGVyWsLxFcUhzrdZ-OXYzE9cyM2tPFYjOm42H43SzqOLaCcdtlSzyDmC5_z2Oab0oXlsNI3mimVyVmgycLljCEeGWzzmPDj6OkavJBVuDnt-D-8SQzWuPivHfbGWUNqNgo-DG0aUF8a1TPHSdG3SuN272pE0MpFUvfeRE06sVz14F3EjSvhyFsfVzH5p37-yFwl4xuodrtlt9za4IacYCHGi0iMeRGYmoTnMkAO7Nbg0YfrJggyNTYpvl2t3ARXnXypzK0rIEldqNo5HKB1a8h1OcYnCcLPpAKnrt97OPsrJt64kjBYYAbUWTriBq7l3F7Fpd3Z8YKNu0Rh5KB0WiUcQb0fPPuryG3CZWJ0mMNC03jnS0jxvR1e4SQKE9rZUwGoaZRCA-hFSBHr3lTSHU8v7VATHzQ2PK7qXzdlz8juYIT0BEGrXvUinWBVKzI3nSGGlppFxam8-1CVOGcWRNrn7_0V1mpd3AEiXi2f3Ljcad3KYPVdxV4F-8xs7MNArvN0jHbGu86VS6rnHg19e1QF0NZskSFEBC8EgiN9SFzWescvZAn-_wpnBbJ4lPUfAZPdMgDAJczK8hKODp5GXt9t9fj6iGyg86o_eHowZdThRUQY-3DWWs68YApNHfIPmObTj60toPcJjHJSzbE1r1wm_9WNeE0HeAzPqdeN-b-67tQqE_rawaK2_fwsNC&p=3&fvj=0&vjs=3
Business Analyst,"$40,000 - $50,000 a year",Rapid Radiology,"Austin, TX",,3.1,"Develop database data specifications, including user requirements, edit rules/checks, query logic and data validations.
Job Type: Full-time or Part-time.",3 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CDybACEA0lfHk3x5mZ27-jXLCkFVFbf2oOrurNyDbioob17venLLNO8cVhjKXr5JCi2v0yE5vdoe6-_VyK0WpvjZnGNiPVggvLcq4vrA3WxcT3oWcfvmOgwvL4wapbsmvRuqSL0MwxsrKKUo_el2t8SXg-yfT66ztG0cHpoAhd0ToDUON-aN7schIOGymotRMxg46YLon4VVskPvfxFxW4q0SbMCHUz9Hz74zR7wH4cL0XaRGZ8VoGSxiTK-UxzTxmp9JCUGzv-M3sYE09MNESHhtX-0bk_H09KTZ0hIm0Gmu3YmepWFFg7hdUlISyRD0OZPyKDxkDvH82N5eYunO3NW90gCkEbZ9gDPeklhfp0Q9orZvNl2oq0oS38eohhjvWLaKI9jRLpF82ju-HXyzaOLAg9_SyF4aXj04Ml6jLjnPpb01lpHZ468qTR07P2rY=&p=4&fvj=1&vjs=3
Data Analyst,$21.63 - $23.07 an hour,Better Business Bureau Serving the Heart of Texas,"Austin, TX",,,"Proven experience in a data analyst/performing research role.
Organize and present data according to various audiences; communicate data and statistical…",Today,2021-01-15,https://www.indeed.com/rc/clk?jk=784040c4b3e9c1ed&fccid=a18e6ae6cd7d3bf3&vjs=3
Data Analyst Intern,,PayPal,"Austin, TX",,3.9,Aggregate data from various sources to construct streamlined data pipelines and integrate data from multiple PayPal systems.,30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=468471e7d3892e71&fccid=978d9fd9799d55a8&vjs=3
Research Specialist V | Vaccine Data Analyst,$31.93 an hour,Texas Dept. of State Health Services,"Austin, TX",,3.1,"Proven working experience as a data analyst or business data analyst.
Acquire data from primary or secondary data sources and maintain databases/data systems.",2 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Bl9sTLOjV9tmZ4qqVoHllg2eQXBLZdIEBK19I5y8TF2G0OBorj4vIE_8iK_wbCHy7_Yflqi4FWpcAPiBl8Oqqyk1AnYixhXM4L5_PKFWicgGcQQDlumGjKF_Sv9Ftt_1l4FQhV3mFzGtoRoJLRsN1_N_cvEH5t_imlpVGpmKg0PGnzJxeq-uIsqzTiCSehgiyBalXsjXNARj5T2JRTw47FVSsadN1TFVGsxfZV2kMavU7ZMQ6J9ugxKPjqYk0j8yNz9QWCeT69uLZS_KyR9vbjc2OEJ3Ux2uoBX4XNS5iSUfQSSBkNFecdjBiKeuLlAE-JcRdVGFMUMjXgMMgbBcchWXpYYl89IbwlBX943eo8R7_BJqD2VaoBLqP4O25WZOz9oAN_kqxLGGJmXAFkXVQviuU1fL84p3MNLZsCi1T3J3OiTNWL9GHRa6VaqKMSkb2mfGqV_Q04tOu-koUHotuq&p=7&fvj=1&vjs=3
Data Analyst,"$58,000 - $113,441 a year","PavCon, LLC",United States,Remote,5.0,"Is willing to roll up their sleeves alongside other analysts and engineers, developing data-driven processes to improve customer decision making.",2 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AcvyScSzxGX9e7tF2yOlgVOj93Rn6ts4Nhq9obcZl5__6xF54nqZyXQl0oo5T0znWbCn_T5bJ2yDPbHzpPr67qvSHPbPxh4NEeJsWx8CaMGTJAWVEp45jPmOgYfowgoW-pwMbwpZvMNIvIMxcUN4Bb78-lO6eftz2Ob6p_ja2KicHrs-yoLx6_rjEn_daVzK_mvwWU-dlC9vLvoyzh6_BEM6UtCrLP5yxQyg7qFJFP2j8TEj_h_aRZARn3eTntFej9Xinw4VtvfkRNfsW9bDo-Vi6p-sdL8xzhn1LEoSzI_s0roNJggtSIHzpEKkddqAXxLUGYBbjyb7gipR-fkF17YeH37V6INkkQdhIyCmgxQ8HJjXo-fgoxoaK7Q2pWSziez2Xi06XKZ1mjN52LVRpYizxbk072qA3RYswHJDLSNxqUsC26Kk3RP7_a2Q4gIY-y8n9zljUPxw==&p=8&fvj=1&vjs=3
Data Analyst,"$4,599 - $6,700 a month",Health & Human Services Comm,"Austin, TX",,3.4,"Conducts data analyses and interpretation of data to identify trends and evidence-based best practices.
EJF4. Creates system documentation and specifications…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=2e5bccd80e1d0a7c&fccid=113517153f849886&vjs=3
