job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
Data Analyst - $18-$22/hr,$18 - $22 an hour,"Buffalo Biodiesel, Inc.","Tonawanda, NY",,1.9,"2 years of data entry experience.
Associates Degree in business related field.
2 years of administrative experience.
Ability to drive a company vehicle safely.",Today,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0B-ZnUWKFYge8lK3tqEvstTL_WLe87HKn3N8BSX0hlGDugEmFqvUKIOPLvce8OS14KAhL6LtNciYMWW2v01W-oH1tAcquKr1esZkQ2-KyDYcv83B5HXD_XhOVHStOXm-PeK-qqWckmTSbKNBBL5rCEQX-CVEDtq61-UADOg6zuSdaRSPNTpkrGHChaRsMHmMa8GcZz8xgGDQY26FAEPMwpY2a728MJyrXQOepQmVspFVHQC-clxlZZPq8X_XbhdkV-MipBetrhzNQxhCN_gumPM6vtkaeL-crhRLutcUiStfsyv3YMsc7sAJBDUcRwE7L4qVu_99KWfaoqINHTl0-pPdALQb57y12Vlc-nek8jjXBTaVX2umss9sjm5wvhl_gL1WBod3eZKKC0aNF922-kPOyKzOZTRizePSflLUvBB95Sfgftubq300J99iM763Lo9LImWe-iTWA==&p=0&fvj=1&vjs=3
Business Analyst,,"Solegis, Inc.","East Aurora, NY",Temporarily remote,,"Requirements gathering: 5 years (Preferred).
This is a direct hire, permanent job in the Buffalo, NY area.
In this role, you will identify and document business…",Just posted,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BXmJBcfPS63euVfIZvFuEBHiX1SPFEctgBt2SdL5CMXS4kcDezQiQtnJ-AgJXMi3XviZHKk2STdhGabRrBZFreZRJCr2SYz-RYT-bHgz8wo6Ob--o4LuZgdjfDox0yj5_ZD6cQNKuOrNDI2CKIZrL4jtLlWcux-FuzyH9ntqam2hkOf-7C-wXTVCK78lsE0aFyqpxF5BD1txad3mHL8LVtNjqQt3rKkn77A4yhzKTsZZBGcmz8NwvLLNXj4yQLPddawMFBXFKooLGEih1fkeUM3AODIZC_qOdNXSn83CIPmcU_t61bBnLSN7td1mAurahnTv4ga5EG2LbGtDBzeEfX0Oq0orHKt1hRAgA1yV2QRM2fGexRwbbIlfxM3_fLH6sNbM4cb1VUUE3xoI_LsX3v8Qisdt_wOyWWWsY7pRm-Ll502oZW_lEUMrKAHagmMzC7KAAP27rGeGxYmI_71e47&p=1&fvj=1&vjs=3
Business Intelligence Analyst,,"General Physician, P.C.","Buffalo, NY",,2.1,"Create new reports or queries to pull data for business needs.
Build visualization dashboards to display data in a user friendly, adoptable format.",30+ days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Cq5cX75Y0a0bko6FphdNPDsiBsMJwL_SXi-IggSff-s60PrQgPFAun214FzFfNJIIfb9R_jAWOyhtYVbevjBqWx2MtQ3g8IQiV0A7abAOvk0T_Urdh-EWN52SwQmjuR9NpiSZLuNI0cqvP05ef-IrW29tddDnwCnmA2ay4-MrD1EoFafmdtaIBQy7OJRxyvssXglaZ3pzdZ0kOaZeTZF-hk4OSpkZtUAmxW1zEOS02K2iMHRojKkMJbfpARJzy94svdwhzgN4RxSyj_sVAUUn95TXW4sbfHNK-fvlUEBeCP4_BhXkMnPxmYtcnxntBEUfB7weykL4hhpbmeND6-jw6TJEJ9XXD2RcRuDae5uNlsumBYZa3xB-izu0FnbiFhPRMHsejhKIDvFGMX1wpsYIoGK13eh5UZMR7GAuo9w-p9rlm5dCP0-aTg9KyWP9HNn5VAdlggF5n4Q0lfb_Q1fatz7iv5--cM2zwdnW6BMFRNQ1djwAB5HaZfo1y6kHoEZBYs9hR8UwuwxlLafWHEDxBYes4CiTDLs2Y0R0SZ8S1i17limG1f64A05WN8Cm1ubWGxPjoJRsePHakQi3d82Pej0S_WhVGCW_QJpo-qJMocwUHptodba1175esnBU_VweS-LW1HGI4jutFOVFmDO8yx3Uhue2-0sb7FReHJQQJfN6Vo-shBjELXscPH6uLH3q7ljkeMFANTQe1j8OfP3xdj8ugNm85bsnKggm3WygPBXilgSfy0IGfip-dBCMMRxg=&p=2&fvj=0&vjs=3
Data Monitoring Analyst,,IQVIA,"Orchard Park, NY",,3.8,"Perform data analysis to resolve data issues.
Monitor daily transmissions of inbound data to ensure required data transactions are received.",Just posted,2021-01-15,https://www.indeed.com/rc/clk?jk=6d390c373095407a&fccid=6b7a1dfe07e7f037&vjs=3
Data Analyst,"$58,000 - $113,441 a year","PavCon, LLC",United States,Remote,5.0,"Is willing to roll up their sleeves alongside other analysts and engineers, developing data-driven processes to improve customer decision making.",2 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AcvyScSzxGX9e7tF2yOlgVOj93Rn6ts4Nhq9obcZl5__6xF54nqZyXQl0oo5T0znWbCn_T5bJ2yDPbHzpPr67qvSHPbPxh4NEeJsWx8CaMGTJAWVEp45jPmOgYfowgoW-pwMbwpZvMNIvIMxcUN4Bb78-lO6eftz2Ob6p_ja2KiS94wFFLQCWB_zUkTflAZCJaaw2KKkEFRcDKD-hPHkuNc0P9xcQ72fF35ZlXxp5R3n7UD5xFypC0ewVfJO4_ZsNSfVI3-oh4EYuDDg9uCz40Q5gnqFBD3YhJlEPlMOFlzWphXsnMPpz2QPmM0PGrvhiS0MGE2MW_mc3cRXaYCK1SWo9nf1fissY_QrlvSqKitlwS3mRytzJa4XsJCAnqaNX_WUMvH_FB-05VWBONHAzM3RYwxFy0eXG-jqZ0Ses4x87lNSU_jhsdmoLFZ_THZO2vgbtqGTeDNw==&p=4&fvj=1&vjs=3
Business Analyst,"$75,000 - $90,000 a year",PreciseSource,"Buffalo, NY",,,"Coordination with data teams and other Research team members on the data workflow and cashflow logic.
Understanding of data flows that support models.",10 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BQZQiYDoNnumAWvqb1JAj6d3fK8_TldNSp7x19y8hEvy9f6Sbl-19QLSclljidGuRYzZ0DcxvwLWSacUSyhuvaQIXlVnELJi1kM_upzkF09YwHnqxK2WwVjM6-4X8qm8sgAxGEu_a4LIp634yIWN94Qe8zz7WwJYtgIrWs7trXmon98_4J2mGn76YPJaeLWloxTu-mo5Hi1gIasPC-bLD9rWrDdzOTOyQ9KI_cNyTDCjFZitd5bPe9jkJbt9mz1e9XEn-FMWL_TdC2m8y7Vah-stmABHc-rX-Ewk5OzBFejyJr5puHtET4yD-XPgaZWJamYL3m8Hhaui7oO-itkBiptNCDRgfpmrzCM6orggMbWgGV8COz6MeBBbxrSuN5DDDtGzmRbGZYFXgk5uw723H0dqRBY_NJ7bnyHueDoboTpSVGJmnQh38Eq7eoiXQVtsvs8Ju-NqrpWQ==&p=5&fvj=1&vjs=3
Ref Data Mgmt Assoc Analyst- B10,,Citi,"Getzville, NY",,3.9,"This role identifies policy and applies specialty knowledge in monitoring and assessing processes and data.
Demonstrated organization skills with an excellent…",1 day ago,2021-01-15,https://www.indeed.com/rc/clk?jk=0254c1b85eacbb7f&fccid=5bcd1ef0a7f4fb99&vjs=3
Data Analyst - Columbus,,division,"Tonawanda, NY",,4.1,"Analytics experience (3-5 years strongly preferred).
Proficient in data visualization software.
Extract, Transform, and Load (ETL) data to create appropriate…",1 day ago,2021-01-15,https://www.indeed.com/rc/clk?jk=f3a3142e9752c0b3&fccid=310389b2c7681f3e&vjs=3
Business Intelligence Analyst,,Acara Solutions,"Williamsville, NY",,3.4,"Use of standard or ad hoc queries to extract data from disparate databases and data sources.
Development of BI Visualizations and data products.",1 day ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BQuJXpfawXtfhwzLerQhC04iCxGrelUvn_xttDeop7CMmG32gURwRxm542mwoFEh7UUxW44WhIjU4rsXcBsYRzwhsH7XCBMpp_1N9Ssj-nrZYs-av_C71k9Cp2M9wQ9SVXJSSpP-HhVEcst3eOAn0lbJU0vNtXR7LJhHE4Bgd_jFnBBTwjVAAYd-msyPnG9dE2oJ5HYJWQuAq8WLDgaiVkWurxif82Echtm7_uHsra-1pbr19nUE92vviuezON_xRoLUXFSK43KNQHYRjxKMQnzkYJcCRxJGtdxht8-OMTwRIhG4aR52AiM0oaFnrcm8Dl_vbM_VCeiwbeQMC4Vgye6N9xV1F2U1iJ80t4NuJ_lvFfCJHVxxU-KZ3tV5PUPLs9qeiSG3EIbNg7CcbdQZtsdOgb5xd9BkqF_Jt_luH4ttQ6PP749MZ6EL1c570gRQft7_COV3Iz4hx3GFo3KKer9TtlWGGFvMRZAFcb39XRB9cN7w-Y7XQgk8wlCZCSRWlvpA_kdtVIvD-kqGwvYCd81dXKq7RgoFu1DEqqCXQhM4L5VHC2C2TBA--olOIlZBM2xxKly_pbMi9-vRGq30q_AXow6UNn-IJRFm_NappntpDo7-5rYmj-esYVXOwYI9iEcDdmUHYuTIorE-QlUlquspY-yYwhyhw=&p=8&fvj=0&vjs=3
Client Data Analyst,,Livingston International,"Tonawanda, NY",,3.2,"Ability to accurately record data.
Ensure high quality data is collected and maintained.
Work closely with colleagues to try and identify data related problems…",8 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=08b9802993d0ebdc&fccid=5a667636bd591ce3&vjs=3
Model Risk Analyst,,M&T Bank,"Buffalo, NY",,3.6,"Candidates must have knowledge of regression analyses; using SAS, R, Python, or MATLAB to develop model analytics; reading and analyzing data; and building…",16 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=184d97be4c917a32&fccid=0e36880b18d20c75&vjs=3
SharePoint Business Analyst,"$70,000 - $85,000 a year",ComputerPeople Staffing,"Buffalo, NY",,4.8,"1-5 years of experience as a Business Analyst.
Christmas through New Years is a paid week of time off in addition to 3 weeks vacation.",30+ days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BZ_MQiQQY38lbooEl6TLz6rJEOXygZRUgAeGTofDLYpIT5lISzr0y9fylRi7mE4JEWa5Q2lU9uDG6dE_uINuMQYvcRmICCHK1X2sIjIgUHvwPB62HXAs8oQPS9QYY0LpSQcA55bfpVZMSyqwpHWehS_7c2TYdjMnw6U6ay9DrqY73cq6WJcyc_rjVXpKW0plIx28dM9cwA4xHf4TuNYFCHM5nxBHZE7ei4BM7w_Fm6bseRdf2ivj3hDDBTDs2uQhUq1pl-E54Dhso72gZ2CBqwTSVAEqt_cJLOjWUNyGEKYJC55DT7fsuCrbuSwT8kWJo6jwYa-_ICDOrcOBCIjaQAC-tVuWiSw11r13nF2wxKRcPOx2qg1zyTxU-n8OjFDTncM5b5524250Og_OsbBlOJDvBHONy-_PAd59JTtEmOFc2L55dhJrFIccHk9vH6mjolevwQZ2oV9HgVjOWdKQGI&p=11&fvj=1&vjs=3
Process Improvement Analyst,,Mohawk Global Logistics Corp,"Buffalo, NY",,,"Analyze data from TMS system to identify risk analysis associated with incorrect or incomplete data.
Analyze data and identify the underlying principles,…",1 day ago,2021-01-15,https://www.indeed.com/rc/clk?jk=6a26e760bf49552a&fccid=9c999c461f4b44a3&vjs=3
Data Analyst,,Crowley Webb,"Buffalo, NY",,,"Between 3 and 5 years of experience in research, data analysis, or business analysis role.
Experience with statistical data analysis and ability to translate…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=3f290273ab7e1516&fccid=3eb395872a6dc087&vjs=3
Data Analyst - PHI,,IQVIA,"Orchard Park, NY",,3.8,"Analyses changes in data or information and incorporates in data being maintained as needed.
Quality assures global and local reference data.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=bfe362894ad88ef6&fccid=6b7a1dfe07e7f037&vjs=3
Business Analyst,,"Solegis, Inc.","East Aurora, NY",Temporarily remote,,"Requirements gathering: 5 years (Preferred).
This is a direct hire, permanent job in the Buffalo, NY area.
In this role, you will identify and document business…",Just posted,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BXmJBcfPS63euVfIZvFuEBHiX1SPFEctgBt2SdL5CMXS4kcDezQiQtnJ-AgJXMi3XviZHKk2STdhGabRrBZFreZRJCr2SYz-RYT-bHgz8wo6Ob--o4LuZgdjfDox0yj5_ZD6cQNKuOrNDI2CKIZrL4jtLlWcux-FuzyH9ntqam2hkOf-7C-wXTFzafbNWaomXBF0Sxujh64gOqYgHp7wAe5uIm25G5SYdShAXq_I2pVhIfQygJEja7AqnUF0mrj3r14ta1kMHeVDiM5IpMNbtBilgxFPdXxon7muTVPYS9ye29pkVsjM41iKQsPHpwsHWCQtcUHi-iuIj8bs8wYJ2UrXW8urwvt-d6F4d8RJUBScQCD1NJS_-Q2V7w0PbU-T-TY_70hvwWlmJnr89OyazjKGL4edFvwMjhK2dRokxof0oF3FSArPyzkSUMDTFkM_YuDynup5V-mGs127ldy27b&p=0&fvj=1&vjs=3
Business Intelligence Analyst,,"General Physician, P.C.","Buffalo, NY",,2.1,"Create new reports or queries to pull data for business needs.
Build visualization dashboards to display data in a user friendly, adoptable format.",30+ days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Cq5cX75Y0a0bko6FphdNPDsiBsMJwL_SXi-IggSff-s60PrQgPFAun214FzFfNJIIfb9R_jAWOyhtYVbevjBqWx2MtQ3g8IQiV0A7abAOvk0T_Urdh-EWN52SwQmjuR9NpiSZLuNI0cqvP05ef-IrW29tddDnwCnmA2ay4-MrD1EoFafmdtaIBQy7OJRxyvssXglaZ3pzdZ0kOaZeTZF-hk4OSpkZtUAmxW1zEOS02K2iMHRojKkMJbfpARJzy94tWrWioGo78rAzK2gIaCsEcXmSqUcKLTrSPjhV99_M4HSzzotlkD3Nz_WUGnmuIKtiC4lt3OArz1qrAGPJVd4Z94-wSHpRjVSA9hLqdVq61D84kry2AxatPTst2t0OoFoTlCB1LsGb09KDGoYl8819icDpAE4hEyUQcAsJLN115gBo1JwDOJYo6UoTjzJfsZp_nFuvmgazPsr5n5cPVqV53JK6Wzg7CpOpEcK0UVQWYRwiFA79RaYLOyNzwpvn8wbrFX_Y51f_5nAOXXtVC3q8ZzB5zqCo6Rtv6ZeeooXUdoaa5Rq8ihW3P0Cy_JjXgJ06nGilL5r9i296jqvLZ8yGGx_j1Vz5Hw7-PdHto-ho5VMg8VZguY6wrlBoPUAv5qFQJFWyuDNXfWIhnNE-kAUPDHo5kbIS9Yw76F9fYgYFm3R9sYyk2nFOl9NWsiFLTjwSK2cxdYhOduqslH1URY4EZRA0_NkptvvA54bT5vledxj89PBlbL_9wp6r-zuZMg50=&p=1&fvj=0&vjs=3
Business Intelligence Analyst,,"General Physician, P.C.","Buffalo, NY",,2.1,"Create new reports or queries to pull data for business needs.
Build visualization dashboards to display data in a user friendly, adoptable format.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=a98749e67533b339&fccid=bf96af3105e6e11a&vjs=3
"Data Tracing Project Team Analyst, VP (Buffalo, NY)",,Citi,"Getzville, NY",,3.9,"Experience in data quality assurance and business and technical data architecture.
Deliver analytics initiatives to address business problems with the ability…",10 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=8a68a6cf96a6a15a&fccid=5bcd1ef0a7f4fb99&vjs=3
Non-Agency RMBS Business Analyst,,London Stock Exchange Group,"Buffalo, NY",,3.8,"Coordination with data teams and other Research team members on the data workflow and cashflow logic.
Understanding of data flows that support models.",8 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=9e544a273f04d4d3&fccid=1c2a61588e44123b&vjs=3
Business Analyst,,Daymon,"Williamsville, NY",,3.6,"Ability to research and analyze data effectively.
Research, analyze, and present data as assigned.
Provide weekly sales summaries based on Retail Link POS data …",22 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=101614509c4723b1&fccid=8e9696ae962de9bb&vjs=3
Associate Analyst I-II Buffalo,,Aml Rightsource Llc,"Buffalo, NY",,2.3,"Work effectively with multiple complex data sources and technical analytical tools/resources.
Research, identify and analyze data from multiple sources, and…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=4f4739c7b78c908d&fccid=6c356a0a1c858183&vjs=3
Power BI Consultant,From $45 an hour,"DiLytics Inc, San Mateo, CA","Buffalo, NY",Remote,,"Able to pull data from the back end of the above systems.
Building a Data Dashboard: 3 years (Preferred).
Power BI consultant who will be able to assign a full…",27 days ago,2021-01-15,https://www.indeed.com/company/DiLytics-Inc/jobs/Power-Bi-Consultant-efb84c36fa5e5d00?fccid=a2e058e2d91fce57&vjs=3
AVP - Reference Data Management Sr Analyst - C12,,Citi,"Getzville, NY",,3.9,"5-8 years of experience in operations management and/or account maintenance.
Responsible for opening and maintaining customer sub-accounts or product pricing…",1 day ago,2021-01-15,https://www.indeed.com/rc/clk?jk=ab6e1eea2f87439e&fccid=5bcd1ef0a7f4fb99&vjs=3
Business Analyst,,IQVIA,"Orchard Park, NY",,3.8,Collaborate with internal stakeholder including Client Services and Data Analysts to troubleshoot and research potential interface or data issues prior to…,8 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=7a9f3dbbedf16294&fccid=6b7a1dfe07e7f037&vjs=3
Business Analyst,,Capgemini,"Buffalo, NY",,3.8,"At least 7-10 years of experience.
Banking experience including knowledge of retail banking and wealth management.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=55cc513cc51fd274&fccid=105ecfd0283f415f&vjs=3
"Data Quality Senior Analyst- Document Sourcing Quality Assurance Team, AVP (Buffalo, NY)",,Citi,"Getzville, NY",,3.9,"Defines strategies to drive data quality measurement, produce data quality dashboards and reports, and implement data quality strategies to effectively govern…",10 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=826502d89e2d49a3&fccid=5bcd1ef0a7f4fb99&vjs=3
