job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
Data Analyst - Actuarial Systems,,Brighthouse Financial,"Charlotte, NC",,3.7,"Superior Excel, SQL, data analysis and finance/actuarial data reconciliation experience.
Serves as a data systems analyst conduit between business partners,…",2 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AGfzYBGDRRWHmduOQTREo-6H2ddrj6WV7cwx-UtgKRHdljDTwJ7vA0uRmheSDjTzkBVwmI3PyyyrBIQo0w5ERwl9p8EfeleN8px9wVMs2eB6fVwNeBYbY-KlY9KQge9M65pieaiT72mdu8v140plJpwAnI7ZMKTOGhdxAazgArF4MZsUKbmpxnCpMluLlMEHFf6AXSe58f3o-PSyfAJkQrdymZvNRJW4X5Dw6BoG8n3MDHoNXOFGrLzmgESZr44y8umWewkc6NyZCJmZJbKzTyQQmULJMhn92f4KhJA12oDK4towJPG_bXHZ4yzosnKm8wppWHeUqUP_VODAV0cguKlBlrCZg9bI5XATv0GVd5jBoMVdRFRA5ysMjiGJ91hkktZCoLLEVD6FAdoAqvt0H3SXSHYinZ1A9yCDYaGK7leKUSdvT8hMwf3Ph9QlQpQf8dpXx_MYNlfpcf5kmn8U5t_h_JOG1n-CWmXAvZ0CKvECAc1FcqslSJ&p=0&fvj=0&vjs=3
Data Analyst,Up to $57 an hour,Insight Global,"Charlotte, NC",Temporarily remote,4.0,"The ideal candidate for this position will have previous experience in business strategic planning, report creation, and process improvement.",1 day ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BKkHZu3wF05EeDimN_p6sYpKCMArvwa95YdH7UpkaBCobj99dZAfyuHTA5Ecy9LeNv2z85JLyIuP4WgpCu9ptbNqTqMZtHnbFwhg5s6CLvYgxXl6fAIQRX3sCau2TQTeDGhutN-YU--m2Vh4AuL7UrBnXG1HqDzCPBgzDbk74hVOiH6s1eXRocK9vmxYpzQJmTGkKsT9U50eAmlHzN9WTEIFegYbm4pDa4Ch7l5ate5_JneERvW0dbrsPCHcADZblnPRj4l_9Bh9rPYw6NfoBeIBQDfjzGGR-wTQAbCdD7lXvQDhOZ2b7C3xA0vGDEZdnIDLRThP5xvqx6jymwopFpf6EDjVLQaooLvwan27MFL9aEVUWwDt4Lf0DTIPJj32gVbrQ1qjF-0TC9g0Xmj2s1VDZ9iP9OK7NeeZ5E9xP0NnTLkW5FQNsLBhKpVr4DclVvAIzfnBUxsQ==&p=1&fvj=1&vjs=3
Business Analyst,$55 - $57 an hour,Insight Global,"Charlotte, NC",Temporarily remote,4.0,"5 years of experience as a Business Analyst in a financial setting.
Experience collaborating with compliance, legal, and risk groups.",30+ days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BKkHZu3wF05EeDimN_p6sYpKCMArvwa95YdH7UpkaBCi52Bcb3JNt3gbZrKB95T4bvYUPxD39InOBeN9YttUYuMnos1yIbmF5zMt2vjkvitEbHtPjXwf8Zqt7Kh_ZfhJyyG-D7rwVhGkdrXA7qJ60UEIjIFBflXsZz7MellDjezAdFSLDIFSCqaNd0TlLDxZlXuGrqc98qoKdBwxyddUoBAoL97WhIHWkXQVzzdUUb4Nv7z5WVOj3IMPOCGjPvBz0WNpnu-9ZTyP4lv23VO0WNvRYLrzaFH9JzWbeVs8Y7XOnAejsxA6blbIVMKuX_oDbOQK-gxKd4rV1_Rh_myMxxr3Fk7aGth7w1CYguDgb0Ap9ewkUZAXUhj82VgzLfpNUec2WRK0tD-fU8r06Tun399cQJxDWQeWgA-fVp90FbEYvF4QNQ60SgpV52yc2F9m9R8-1pheHdIw==&p=2&fvj=1&vjs=3
Data Analyst,,AccruePartners,"Charlotte, NC",,3.8,"Analyzes operational data sets and using data analytics tools.
Experience with Operational data sets a plus.
Provides feedback and observations on data findings…",30+ days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Cmq1pj5Dwku4j-j-jMxiR3p8DjIx5wPgrGZP7N5_dynGcPrp9S6jFT9rQaxa2Xft4VMag3oFM5lcPfQAvORVffgamWACO0jXmUc-huXNDR1u55w1Mx-LwRezSfBVuzYmxf4UBAvlw2U1R-SKeQ2jRcEXK5UsKZlEPgawQJrr2ZThSq85PZn_xlmiScBvoXHgKsS3rhdn5srqCGWfr9Guouq0unS_gzfOCVKypyODyWiVMJsQUt7QL__KrSPBNvHxgtPO9UuaVFA_0BWxu_qyCxPObkm3QWHnhALwpmUGH79mYduEL8XHEM8brIic1fORf_zu90x01c9yo0WSiVSKwlRMu99lw5zkjsk4RE_0Cg4_VVXY4_OGeSxhzmyBmdZg0k3tjbO-aEBqSf8C7EZMSUAhoskS_eQwdHAYWwV4fzvGP7NZJNSpZJOmTjmjj04wI=&p=3&fvj=0&vjs=3
Data Analyst,,Atrium Health,"Charlotte, NC",,3.8,"Manages key data sources and data applications.
Collects, prepares and manages administrative and clinical data.
Ability to sit for long periods of time.",1 day ago,2021-01-15,https://www.indeed.com/rc/clk?jk=0b8166748687bfde&fccid=b533ab2927d30db7&vjs=3
Data Analyst,"$58,000 - $113,441 a year","PavCon, LLC",United States,Remote,5.0,"Is willing to roll up their sleeves alongside other analysts and engineers, developing data-driven processes to improve customer decision making.",2 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AcvyScSzxGX9e7tF2yOlgVOj93Rn6ts4Nhq9obcZl5__6xF54nqZyXQl0oo5T0znWbCn_T5bJ2yDPbHzpPr67qvSHPbPxh4NEeJsWx8CaMGTJAWVEp45jPmOgYfowgoW-pwMbwpZvMNIvIMxcUN4Bb78-lO6eftz2Ob6p_ja2KiS94wFFLQCWBqtw0S_2y5CEWGjwjECN7g57FOgws-9zV7_5U_XEwq_MPHDu9ItPtPlh3jjuSqXmaUuT17Co2NKYiKy3G-rPcbl-VOzqtiQsrwXsEQ4V90bTFDUQRtS_ckB_pizP92GnKslF4tyksvRFeOb_Cr95vFUEuTHknoBMbO9xCbLi1N8zKKnAEAt53w-_1EAyGvlX1gSZ6CO1Iwx_G_9ML-D45L85Jgc7Cncnoz5lKPcwNMEdleWz77r7YjBq_kZ9KNHydO1ypLGC12IS4RqxZcDT8HA==&p=5&fvj=1&vjs=3
Looking for Experienced Business Analyst/Software Eng,$35 - $38 an hour,Agama Solutions,"Charlotte, NC",,3.8,"Analyze science, engineering, business, and other data processing problems to implement and improve computer systems.
Looking for Junior Software Engineer*.",30+ days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DXgojf1lNM58UcKq0tPwfQLw1dk14B_51_qqxBe8EznSoLH076BH0PX5yGVAaaAZA4usS_lYpXodDQUFo5c6qE5vgHqilKk4Sb3CTbj5zgM0myNRHn-uSSCax8Ocy_eCMmWTu25jlvD1ZYg5l7QLOEFeM0Jl8dST1IF6PBApFtbIjsCjEo0OoRDEFYoeipGmmwlTbEqJJTl8De8XmC7X-ToEcdXasDibGxeziEd_qhWtQxKVL5VGUWVCEsrzM5pNh4TjhSTcBGr-yc2zfmXch1D-ALBVRKElMzRLnKtZklBCfOPFT5mC28Do5ZWK2mtbuCKboZPxKT8u0L8exms-jo7-sOadagMtpYaf777BZ4_FxIsNp61lI9xjOB--Z_hwBeA4UQ24Nj4lK87wYyBUFvzEfy9gEqzWRO-aD-cx1AZP9U2K08lHiLRr9bB1dT4wUvtkQhcA6PgDOsfwc8vfTmAj3FRXqx2jhFj-6JDAUwkOCkrHjMdMRp&p=6&fvj=1&vjs=3
Data Management Analyst,$59.00 - $59.60 an hour,Ascendo Resources,"Charlotte, NC",Temporarily remote,3.3,"10+ years of experience in one or a combination of the following: data management, data governance, data quality or data analysis.",9 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Cnp95dEus6hpwNZzYO14T2JYXzT_gSfUX9Wy6PXUfQDWuhabOeV2rg6Khqtn8UsNQ-98z6RXW-E5Unpb2O549Wgcpg85JZb7t3yzahTLfWRsxICC-1mWtcVmjGnNfgbXWABdDfN3KnNPEJ28h8X8415Pjsu7MIuwBP5xaGYBrvdJS92sI4JUjADJ192IclS3oE4uBuYVpmeyWu8Z_1v6rZlwlGY0L5HfhEQ8vNyBM7EiXq2P-wl854AE0HNVNdkC4Qo8Mve64a6o02Yie9TTKe3Jpoq3RHKlkieIJc9cl3U6Pi5Kd5-NLVOhIwigJBXdEEITZLSKPPjL6GbXsjHRlKp0oXpS13MAEbbkaEeZlgjy8cK33Saq3maCVIvkmc_CwcSDDVY32cHk1AT-UlMNR2tnZqAonSo1C3dHfPVUHA2pnjPFxVvIBmCUxpxHsVhc_9NxQpHLvvyc8BrasPj1hHqhW6tIE5zog=&p=7&fvj=1&vjs=3
Account Analyst,From $22.22 an hour,Hire Dynamics,"Charlotte, NC",,4.0,"Eye for detail, accuracy is imperative.
Ability to pull and analyze data to resolve an issue, generate a presentation in MS Power Point and present findings to…",23 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BJb3k4P6jKB7Qfq8K9U0gHOVzI-R8XTLalDoqrPQiURiG6olPEbNj_mUyFPzgNdzV6TDwtziu4JSU_pLXtDgCLA7_8QPZZ7VVHw8Rg2QNfMalwM8bwUTa-XWYmmo1XcBmGpDdr6FDXGo774SvzM8xnLv7MpTvjR5eXx9djGKkgsnYaZygLxy4lr3ZMpUnm0BH-ZXTcmPSO2-RJ2QwD9dZyALmE7R0ACX0De5uyvH_q15rmftoyJ0VgcaxCiv2zjVG8A1b8H66n7XoyNjEJ1kMYUEDq7VKXsvmMLBAgxY_43x1sqbzasML9ySzFlO-gBsuX0Mw20ne4Fs7DqDEjR62rIRz6QIF6rnnITSYPwsWIyIq5Us7-3PQQaMCFGOIGcOeJqvKZz5-ppyd-y7djiq2IMA9WDCLb0DQK36hv2XJopVvC5lLfGYh2IwViCYaFjpw=&p=8&fvj=1&vjs=3
Data Analyst I,,Carolina Complete Health,"Charlotte, NC",,3.2,"Create report and data reconciliation through Access, Excel, Business Objects and other reporting tools, to include provider data, claims data, membership data.",1 day ago,2021-01-15,https://www.indeed.com/rc/clk?jk=99b9f11f8e076e71&fccid=5ece327da33e0274&vjs=3
