job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
Data Analyst,"$48,000 - $58,000 a year","LumiSource, LLC","Elk Grove Village, IL",,4.5,"Obtain data and analysis to forecast inventory replenishment needs.
Utilize data to advise on updates to product assortment.
Ability to effectively manage time.",23 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0A6JUndD1hN6saVm87nQXu9BdLoT1vKuzkw96rofrPP75TgUo15RGdiak4JXKum2D5sKAIWB-JoPL6n6ngJF1NB7_RzPNCxLzqwSg81eyUC72M5pn1tTVxvNX2-K7M1hKy6OdlWeiE20nYnKYG7TnWlO5JkL9YAUgW4Pm-LmhuVTEoGsVhaGgVfYPV9q9AQ-emaDEFAwpFQkVZwKb2nBmrFrDNP89tLJXDFudDdcvQiaRnYxHnkt4IVKf0IFqksdR0St8RxUAorrn0arG4BZ3McpTqKI8lr9y62QUmy3iCHIKI2-KT9uZnn4-824hK8UIKGHRvOtQnLwtlm4hX7eqQmEe664A_cJ8bSXoQBD-nxCe-4EYC-TEKWBvGwaLQGU49WFP2yuYFG9-zaGKjhM6D6Uks9fjL1vGaYrR2ZuYy1q7mUdhlmJx7AVAGtkrWHfC0=&p=0&fvj=1&vjs=3
Digital Marketing Data + Creative Analyst,"$45,000 - $60,000 a year",Darwin AI,"Chicago, IL",Temporarily remote,,"You must take both the data analysis and attention to detail assessments to be considered.*.
Comfort working independently to analyze data, identify trends, and…",23 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0B7x7FirfGZvGtp_QpP5uXGRNBuQcO49jsEl22h5HSz95uyBTEBI_TBhHEnbO34I4D1roLUrDY5IqpryvBy0TvVI4LzeiJh0gg8CYbsx4g7SW--odME-2GzJEo9cWwEzXUTCGDmYt3jJtPeltNh2nwkr_aZqJaHJbNkkkkSW7kMKcQCgldKXE1vD5__DuFAuNZL2u-qGe3GPesqB9XYBy2M0h2gFn9b-iNNj840yEq-umfS9d4ClcnMHl7IGBe7py1A0inslHtgYrqpfQfNTzol71vIj7n_mk4Jkfe4Wu5rAisi2V3gdBcgmkDAtAKzkJJs8Gbrq1eeYUKhNA8xtKFDuDGyAEPATUHCVYg0HcsHUlTN_7xtBJCTah3U1Ld1lV0QOydSmUeasijX4ZIkmYKTgtdpUhku-5HErQxp12Rpq5Wwkheo1IFegoB9cB4f0nVNam55aS_c8nY6IJzUhX26L6HwiHTSySQ=&p=1&fvj=1&vjs=3
Payables Clerk / Purchases Analyst (Data Entry & Analysis),"$40,000 a year",C.O.W.M. INC.,"Chicago, IL",,,"Eligible to contribute to company 401(k) after 6 months (1:1 match up to 3%, 0.5:1 up to 5%).
Efficiently and accurately enter data into proprietary software.",30+ days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0C4pElopNzpthA-4obI4icPBYwAn1AllYQIREiBRZf_1su9qvRV3yH_m6kXf1EreVNAMKZWk22mzIES0mGKJAmUxrDfiL_l-LBI53fA0gDt84icVAnn9D6ScvcfCrevDG21j_V9A_qZG2tyouMfk85ga4rqexVBLgdWiOCTSMcjGG9xPtfy0TfSSlQ2VHQJU5qD4fndVVyJePMNGyX58KWZDTU-NHrtGIGY6YLEFTLLe3ZWVWLSQO4icUW3TjtO3sF9N5lMtpSyt5lBY-UOvHbcmmWzkbFxbjFHfFPCa2h2knOW5ewnXQSYa_W_hNbfY7FvEakY9qt9IrWKh-2KHvO89vOGbWDIRCiJuWJUJc1vVj3jUwlQZ_fsDze0OaCR0snBGjWVLWPj67WqMhU97LAp0O-safYEMlvEHR1zReN_agLPF3pcalK7HwPexkXFaQKnjDSKD7u-iw2vEccYx5VhYEaFdmv-zhKxTQX1h5nTtQMJrgYkEB6p&p=2&fvj=1&vjs=3
Data Analyst Supporting the FBI,,Forfeiture Support Associates,"Chicago, IL",,3.7,"Accurately enters required data into one or more databases, documents, or spreadsheets.
Attention to detail and the ability to read and follow directions is…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=5f5d9a6274ae9260&fccid=8ce3cf8e1e3ddd14&vjs=3
Data Analyst,"$75,000 - $85,000 a year",Mauser USA LLC,"Oak Brook, IL",,3.2,"Minimum of 2 years’ experience in Pricing, Finance, data analysis, and data manipulation.
Data manipulation: 2 years (Preferred).",Today,2021-01-15,https://www.indeed.com/company/Mauser-Packaging-Solutions/jobs/Data-Analyst-de1e699aa42bdb3b?fccid=ca560f203c94a348&vjs=3
Junior Data Analyst,,Enverus,"Chicago, IL",,3.6,"Work closely with the data team when issues are found during QA.
Participate in the data integration process by focusing on metadata additions and updates.",10 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=1f68514b6d31aab5&fccid=ae6e7e80af0b5a8f&vjs=3
HR Data Analyst,,S & C Electric Company,"Chicago, IL",,3.6,"Experience extracting data from relational databases via reporting tools.
Assists in the collection, consolidation and interpretation of data required for…",Today,2021-01-15,https://www.indeed.com/rc/clk?jk=bd80ad86150b5fd5&fccid=751694335a766c60&vjs=3
Data Analyst Intern,,PayPal,"Chicago, IL",,3.9,Aggregate data from various sources to construct streamlined data pipelines and integrate data from multiple PayPal systems.,30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=8009d08fb145d18e&fccid=978d9fd9799d55a8&vjs=3
Entry Level Business Analyst,$30 - $32 an hour,Weboptimix,"Chicago, IL",,,"Analyze business processes, functions, and procedures to determine most effective business systems software organisation.
Define user journeys and interactions.",2 days ago,2021-01-15,https://www.indeed.com/company/Weboptimix/jobs/Entry-Level-Business-Analyst-b5280700fdb68495?fccid=ef0710f9d5ff9321&vjs=3
Entry Level Business Analyst,$30 - $32 an hour,Microflexinfra,"Chicago, IL",,,"Microflexinfra is seeking for the Business Analyst, Who will effectively interact with many stakeholders globally and handle multiple information tracks…",10 days ago,2021-01-15,https://www.indeed.com/company/Microflexinfra/jobs/Entry-Level-Business-Analyst-996b86dfe37e9ac8?fccid=f49d259b637365ec&vjs=3
