job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
Behavioral Health Performance and Outcome Analyst,,FrontLine Service,"Cleveland, OH",,3.3,"This position will use technology (ex. Tableau, SQL, EVOLV) to analyze data to ensure continuous, consistent, and reliable quality of data Lead conversations…",1 day ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CtJ8E4M4DbXP1CiwOpLBUytqwETiSUhZ10ZCW2dk3Bx7B2CWSdEtA6MneBXTue2HI18u7k9j1W2tM3dKW9Aszrl5r6N9gYyjeB_-nxOkZWP93LzmqYgyBSD0_TsgZX9MVKu25gBecRJX-CFkWp02VBMUl14F5oEPEB-wlPN5Qt67dNY6N2-7R6q1I4qKgUKrZ_X-pvoAZED4SIi8BeTMe6fZptL8_MDqziaTThgrvzxQXS6PUVMbI6-1uocLZgbld2vH0KzH0TVe8V9WS4PLJwlidJjTJ6ejWqtQf1HOdFh4M33PRsFTjLhzEwjedKRB9un2v4mWKzn7Hq2ZxvEDuPM86TXdRdXdEObxgH6DCLTKLtm4OeQYopnrXSKwP2FwOTai8t4UrcRsjdOPtn4t5PdG4VaAyzmceq_esHegF3Yz3lJnLH7MWtJxLd-f9UkgUUIXHe4yi4b1IQ0nLMXQHB4qAcbqaw2iUGZKwVh95MGVpq3HFQPStS&p=0&fvj=1&vjs=3
Data Analyst,,Woolpert,United States,,3.7,"In conjunction with data owners and department managers, develop data models and protocols for mining production databases.
Strong ability in TSQL Programming.",Just posted,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Bz2g0gOmBYdJt2qF4aozE3h3VbIO4lBaiiwQOPd_CjSg-0-2voyDjwb9yjbsu36LmDpaKQKqaNu94tcuA4_o4QKoDOncweqYi2Yymi9DlCnZxagJe3setlOooyzi-31nQHr_zD2h1UUy2Uxfb-XZdp4wJjO7HWKcgA8yXBdRrB8TQQRDYkVTrIvWD9rpNuMazp6c7BTp8JFxKgSGcZ2vvy0dKZgkFPWlpvB3v8WV5Eg8PXmr5g3vCNlQH3OecpHjnDGkC01aextoHplhc86OzPK-PhBw4tr2WsRXz_GCTaLNDXY1Tx9ntAaYhIMAarJRzdp1Bjm6igHfD7aWsqqD3o7jR_yl14rlybLn8wbS_bTQAOj0qX1BiqT22mEPtDQyA2oE_3UGT1niHmbIe6ZnqPSF3AYwWZI4JMwxUoenaiOKUOfzVDz-vUUPIf2TuuoGhZ_xe7rkqJsXM1AI6qLfnPD_0blPTSAQM=&p=1&fvj=1&vjs=3
Data Analyst,,STERIS,"Mentor, OH",,3.3,"Performs detailed data analysis (determine data structures, content, and quality of the data through examination of source systems).",11 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CphqiVpmbYLmYDwbpFFNQTCu4X2u7oXykhbP7JHzS_ZreNqh1onT3nVzYOLq98JFxNK2eK-c87r7P8P0-Xki593sR_jMUDuwDVo7GgbPtrCNbXzcaGOiDB7E5HFRDHXLLS2UqA5FCFnv2DGBIpezH10qxC-QKIksKK81AeTnBkCg8J-dRi06j8DQmBWMSmiCMOipwcWTBkilI1NSFN8Lxhy1Z-jAj_3lHhJFZJZFMP3qNTf6rNVwO0-vrV-fZdHUrhXnk1cJKhNUNWQu4hZ-G2OpyrYHFmo5BcPVrKIkm2FQxD20Iy3HHIxE8QaVO0zOHZfjeTfs8-MjYOuC4gVg8D5Ax1xnydkEkyb4D3mbkcYV6dSzjY-0VjknxhQCdCvv8rLv7ByScTEQDcf7PV8gxA3lLDHPj4JS5ztQmTlRKJD_vC0emcrIf9pbmruYYpc2M3Hh0TI_uFev-D8iZk1Bs-DbSo0lAxLyNwTPwvkrMJa4CxsMSPTcp-KxNVWJ1ofHPN8jPm3lYgtWFj48XMDLRo_R8WSjW-RNPJo_dm4dkl2aXj57WXehCvHBlqQOpW13w=&p=2&fvj=0&vjs=3
Business Analyst,"$54,318 - $90,263 a year",Embrace Pet Insurance,"Cleveland, OH",Remote,3.3,"Minimum of 5 years analysis experience; or master’s degree in analytical discipline.
Our Business Analysts put their technical skills to the test analyzing…",9 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BNcBAWeXtwmJC4IV2rPv29pF-CZpmkdwkaBgFZHtgNqIzAThTLzvRBUhghWG8_glp4vBXEvwev2f-AMHcN-1Sc82UqNCDW9UELYFnJR4eOnykmj5PJDuZ-uMUL13fhiUoDfcb9Es-CV3MxEmjoDEU3-mgKa4Q5ndJXa6aITmgpTWDwej8ni-wnnmjerV-KQCXnxfxvAZTadJBXuuvIyzkuvvyhcAS863_NXVnzr7jqgSTXshQ4EVpAMextGfr4sZa975EsEm_p5T9M5Ir4PFHlEUZfHePTH4UD4PGdLZwMng8w7i9Bgwudyf_xEShVDKnXK3uQavHAQdgSrTSQUWy1LLus6gKYVc5nqjeV5UnBYeK-5ist2UiHECuhwgX5SZSd5e8amHE3_lg_2fflmqJ7gAApdKYlm3krpZYaaOhoxJIgZiJi9X53DYCMIIGvxGUhDv6eWukn_g==&p=3&fvj=1&vjs=3
Business Analyst,,Central Point Partners,Ohio,Remote,4.7,"Monitors loss trends and partners with engineering on any necessary changes Using data querying and presenting tools, determines optimum way to present data to…",1 day ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0C7S9erXqx7onWRBVnfrkvHoJft5r7GnmLgqRoqw23W0SZ1WD3W_d9En3Dt35tYnGY8H75e9Fci9Xp6uHzVNLjuuWF5QUmp9AWM_SvBwq3_FfcZz8w7LzR9i0xBeq9srzUlVOayVUUVSnE1UOQ_WHitJ24Aysz8gelvDjrKRbYt4Vffr2UH_n6s8vOPONWn0oJEe2n-MvS53ERJathKt4inrVM1TOQwnLflZlFDiEfkzVm0AHkofKd0YU8Hbxf8XuD9V92gL6b7iRbTnarX-TNdWYmt3UexcGtGf8bdBWyi0yAK02cv9aIfktVURBdqisyN9_3t6CDUZ8oRpTn4LTGziRZjJ8bBbhT8a3hg_juxA6yiTsfJPKs5JZnATnh0Ad3gL8cXMj_IrrVKj5BlSbAZ5tinnhRVhpczSJ2FyOepi5krnJX8W96N1yWit07TquOford_qutVc5VLy9av7x5f&p=4&fvj=1&vjs=3
Data Analyst,,BioSource Recruiters,"Mentor, OH",,,"Perform detailed data analysis (determine data structures, content, and quality of the data through examination of source systems).",26 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CYmc1-jVOq7RYV41Di3UKEFRXs4g_VfLLAI6P07xenpQM2tE_Q_qk8h3V9ObXs3uMc_MMRl8Ev99vAKsCVQqlt2U5YPsCatKTL5dAJc2bpZqFWEPJS6LTveErEVShoXUuZISH9Qws9VdQpfpGSWewnOzKCLFXlKeNEFW_xmlGRm-07QSMOlhQtx_TybY3zYjUy9gNWI1KJGKA_gkzJpv8MfHqDkgbm5fy2lN-GqG2ohBTmvMQrrtt3zPhpeOot93x89fH27PDl21-wQMSvQ0sRBiSnT7SoVp-1YXVeLQtUrwYoGjTgfCFC7lFOalLVoLkLtSBK7WxK4IlRyZYIAhsoIw1UK0pf2gU2oEBhUXamGUJQrq8jiIae8gSH0Dw8A5iZsPJ5Hs_wpvTM9BxhTqEQsWGJ7WBTak2jPrZd93XM2iqUkcjJ8Hw0wm0Yf0PBMoxTS8RY0kXaKj2X6506ww9KMYDAJ7DBX_ylov5dp1boctpHnfGC0GYzUkLqZ2xqayRT7xV-Xuqznz5m5l-yDEGNQaNmdGSIcUgd9JqoZ_XYS7P16k0bSUhUlZf6gUtvPMAGkmkDXx-p07dtjnOxONchzfvMmJRZ-3dS_ievxXY7HOZ3cth_5VKJbZSoboX-pbEZ2mWY1zLBExBFOKcl6zBt-_eZK26mcSfT93q02Q0xutX3mEjXiE2UuJKkEsPXglbzaDGHyYPW4A==&p=5&fvj=0&vjs=3
Data Analyst,,Gables Search Group,"Mentor, OH",,5.0,"Perform detailed data analysis (determine data structures, content, and quality of the data through examination of source systems).",25 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CZ1lEuAv6jxF-3oHFcpaf0lR-C2BPOLpDOrJR7xrRNgTAxCo7ORrdsEAD6veVqRqLjVL-V9W8ZyjQTNLjaflLOPUkCJwzcThc8FAkMNY1PIz90a72GvPEWdx44KKGb5-jKWfrDkBYDJMBIkJtHJBaVajuiDfwPRYoR0NGS-MwMMV26dbbT8LlaG2qn1cgYCi2fPZkrnUiZGsrURGeDe-U0fxXQ9bH-ZEVF-drxvZ3H2qXTJxN-BZzt9aGqAF2u2PftwVNMv1NUozjcRsfjIqksUZCEJOXupCmNL2WbykiUxrIF6SZQe2vBzQVW713hFmHE1kWJ4Go-KTAXL0lO8MY8kArUJ_MdJPu8y8sMqTtFXVlqAcAOmP7gq8XQkT8dTvalPZMu9SOp_CxS0haW5LOvOQosMrqGvHm1QD7mOHroHOpxaeTo7ByKjFsIZ1RhKbQ2GZtas82DHWzuqwrqj2fIBRnajQfg7gyBnwJZc2yPPr2S2AS2dwnPCVJGSNHuW6inBF1MBwEcFw==&p=6&fvj=0&vjs=3
Data Analyst SaaS,,Tiger Pistol,"Cleveland, OH",,3.5,"Facebook/Instagram APIs and data models.
Excellent Communication Skills (use data to present a story).
Experience working with varied data sets (normalized db,…",Today,2021-01-15,https://www.indeed.com/rc/clk?jk=7dab6e2ee800dce9&fccid=0ec3c1f161258d39&vjs=3
Data Analyst,,Progressive,"Mayfield Village, OH",,3.7,"Experience working with large data.
In this role your duties will include but are not limited to researching and monitoring data quality, monitoring customers…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=3161bfbad44a5bd5&fccid=082e59b71e3e4fe2&vjs=3
Overnight Forensic Analyst,,Digital Forensics Corp,"Independence, OH",,4.8,"Proven working experience as a data analyst or business data analyst.
Develop and implement databases, data collection systems, data analytics and other…",1 day ago,2021-01-15,https://www.indeed.com/company/Digital-Forensics-Corp./jobs/Overnight-Forensic-Analyst-ca2123634de580c5?fccid=d3b2c457ede68efd&vjs=3
