job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
Assistant Data Analyst,,Ravi's Import Warehouse,"Dallas, TX",,,"Proven working experience as a data analyst or business data analyst.
Acquire data from primary or secondary data sources and maintain databases/data systems.",18 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DYKufkxwG-_2k4ZbL6kLC2NGM1ehzHxP7GVLlk0oeSMXf38t40DY2-yZXiqrLO6uhw8hxqflE2_3Xr6JOgi_6YH7ElW8RrOkcdZN82olVjwbdm0zvXM0rfhpFsCdt-k30hT-Kc4Kqv3AS6zwyXv9pkpbbTY4NCe_6ob93KBAuKlOBC4KpPBkKxxsXbE2J2sqjmy5qfgmtKgU_dXyWvW052uzn44iB4rE0djC0FgIoGwgZR72Ov7lB7cBtsA0ZcQo-mSrWDgQDNPHSAQgrtYyxw1eB4iG57mUHA9ZTSh0wkQRWvWiLkvIP4yYo_n6H94ydQQJwVk2gKztFvnq0aToRg7wmt1al3ljDhxwvh6yCG7q68gK7-NN0sg7_s6PF0jGkrLZ5oVy_fNQOLasScU4l8k-aO30Ae6h4Av-b3xUraKO_-ZRPFDVe1pvb34-YMYPBm3qZK95lWag==&p=0&fvj=1&vjs=3
Data Analyst,,Cornershop,"Dallas, TX",Temporarily remote,3.7,"2+ years of relevant experience in business intelligence, research, data analytics, data science, or a related field.
Proficiency with Google Sheets and Excel.",9 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CDg2PyOvLM5WFHaY3mOgSqyeWxPLwD-9Oy4oGnHKxnHB82L0JPb81JBwdgkPUDqNWURnntmgrmIfGl6BU3OIJe6be23bcVxKGQeErm6vgByH3Hx1w52uyXk_kLkXTObeag1_j5R1NmEHPfXcUhrMnUnlFn_rOFUi0o4pVCVJxXjdAUYhYHQN_X8giQl2_tAR4l1Qc6ZNH8w2jJYK2uxbTnsVi7-uHyFPuKXtXCwKBkXV02xGEUqSez6F8hH4DP201agvkfwbKU-LQojphU3mL3ba9Fh-W6wVxrOGxAOEe5rjX_6w1UOYcqPSvvaFJ_WSCUKWLRakMWzWF-ExSEEom5LZGunSsM9HLWt88m8tPEUOpihGMNVDz8YzaRjYbYKcD25WPJr-fCVcWKM5DTUW2Jv2e9rgSNs28fV9B6VtlOEtWVPOTYs7ZUDVAI0CRiOeTuzc3s8cPpB6XxIiwPFQJ5&p=1&fvj=1&vjs=3
Data Analyst,,Omnitracs LLC,"Dallas, TX",,3.4,"Data analyst will review data elements, queries and structures related to legacy reports and their respective data platforms, to identify rationalization…",Today,2021-01-15,https://www.indeed.com/rc/clk?jk=b4e5fd46d9c06ca6&fccid=dec008cfb3e077e0&vjs=3
Data Quality Analyst I,,Alight,"Dallas, TX",,3.2,"The analyst works closely with internal business users, other IT members and external data vendors to achieve these standards.",3 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=2da99d52b888207d&fccid=c35833abe06c86e0&vjs=3
Entry Level Business Analyst,$27 - $35 an hour,First Notch Technology LLC,"Dallas, TX",,,"Using and applying a variety of data modelling techniques.
Please list 2-3 dates and times or ranges of times.
Experience with a few project management tools.",4 days ago,2021-01-15,https://www.indeed.com/company/First-Notch-Technology-LLC/jobs/Entry-Level-Business-Analyst-df6c521f25f3c919?fccid=53c0d1116cda8117&vjs=3
Data Analyst,"$55,000 - $70,000 a year",Advana,"Dallas, TX",Remote,,"Collaborate with data engineering to ensure data is readily accessible.
1-3 years of business/data analysis experience; digital advertising or business…",30+ days ago,2021-01-15,https://www.indeed.com/company/Advana/jobs/Data-Analyst-d5bf8a642adc0ff5?fccid=e0b053b31528f9dc&vjs=3
Data Analyst,,HealthMark Medical Group,"Dallas, TX",,,The data analyst serves as a gatekeeper for the organization's data so stakeholders can understand data and use it to make strategic business decisions.,2 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=dfba764debd964de&fccid=e8de556e81713a8d&vjs=3
Jr. Data Analyst,,ParkHub,"Dallas, TX",,4.0,"Troubleshoot issues with data processing.
Validate data on import / export.
The JDA will also have the opportunity to demonstrate their intellectual agility by…",27 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=2160deff7c87e8c9&fccid=43d92cd0c7213f1d&vjs=3
JR. Data Analyst,,Plasma Computing Group,"Dallas, TX",,4.0,"Data analyst will be preparing technical Bl reports by collecting, analyzing, and summarizing information and trends to gain insights on large data.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=5111df921e6899f2&fccid=62962e7b20e362c4&vjs=3
Entry Level Business Analyst,,Spectra Infosystems,"Dallas, TX",,,As a Business Analyst in IT Gathering Business Requirements from the client/Customer Interact with clients to understand and capture their functional and…,9 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=f6046d359e9fc4cf&fccid=8e44d5d5e9a1ffae&vjs=3
Quality Data Analytics Specialist,,Berry Appleman & Leiden,"Dallas, TX",,2.8,"3 to 5 years’ required experience in report development and data analysis, using SQL and Python.
OVERVIEW: The Quality Data Analytics Specialist is responsible…",Today,2021-01-15,https://www.indeed.com/rc/clk?jk=1e6006e3b1ee7bb8&fccid=e36389c7c5960977&vjs=3
Entry Level Business Analyst,"$65,000 - $68,000 a year",GlobalSoftSolution,"Dallas, TX",,,"Gathering quantitative and qualitative data to optimise product performance.
Translating business requirements into analytical insights, using a data-drive…",2 days ago,2021-01-15,https://www.indeed.com/company/GlobalSoftSolution/jobs/Entry-Level-Business-Analyst-5772e0edf27736e1?fccid=2a95c5e19c4260a1&vjs=3
Data Analyst,"$58,000 - $113,441 a year","PavCon, LLC",United States,Remote,5.0,"Is willing to roll up their sleeves alongside other analysts and engineers, developing data-driven processes to improve customer decision making.",2 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AcvyScSzxGX9e7tF2yOlgVOj93Rn6ts4Nhq9obcZl5__6xF54nqZyXQl0oo5T0znWbCn_T5bJ2yDPbHzpPr67qvSHPbPxh4NEeJsWx8CaMGTJAWVEp45jPmOgYfowgoW-pwMbwpZvMNIvIMxcUN4Bb78-lO6eftz2Ob6p_ja2KicHrs-yoLx6_UgAwzDlkOXGhQBNzmlVSxzF82EI837mCdaK_Yb-Q53oxmhOzA6S9ETuCV7psyVrVzkrzdeQ_95jkdWswAyELlVbeDuxxivWSq7x9pCPit94585bK-g2E7sFgBlzCvIUHTUgd_epfN6mkVe2Vh3geyxe6D1afyeC1YsOeVsb9tvbVG1rsmJFiwH7zrm6-uWhfLdwF8y4fu80RKOC935yujq9Ma0BAl7TKlfjC_39MV6kgIitwZOCSOULDoQXev1crkS0REw0kojMVB03G5nRXYQ==&p=12&fvj=1&vjs=3
Data Analyst,"$70,000 - $80,000 a year",Prime Axis Technologies,"Irving, TX",Temporarily remote,,"Relocation Assistance: For the first project location ($600 & air ticket cost).
Health Insurance (dental, vision, medical) will be given during job.",7 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BXbgv8PnpaUx3eFGZ8KBjqkfGzJ7ecPuIiVOmeeSW00yX0JHTXUap-fd_vQ91hq59BPSvbRTsDHJ_bh83cIhN3WVqEhry-FUR5mRHgEbpatK2nn67HZe5wXYC2e9rwPTAYdbLtjj9R-ZVTURdM1JAexSTObPAAzKpesUAnMwavAtQVEec9vB9MtIO7zklAPHvSk6Y67s7vBkKRYDRhoVvGhiTfcvm9smpzEvNFR0jfdy-2caFijxn5O-o963ohO1U0jIOOxQh_YOPvUkWQjXOXIbSnxJ-D-hwPSZbV51q8ehXpC2sPLQDoEAm-fGPrTsMpHVdlwbgCBg_pp5aHd7YlcvjCpv0D547dgjVfFaiHuFkTjruFojOrlLOSXJ1EFahsgy_vDxtw2trs6LOXDrU9v6fC64yDFgdT8wGwXdgGhgwPlxWTbX4L7Lzuf2KOhVQ=&p=13&fvj=1&vjs=3
