job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
Senior Treasury Analyst,,Casey's General Stores,"Ankeny, IA",,3.4,"Analyze data from multiple sources to make strategic, data-driven business decisions.
Through collaboration across business units, you'll use your attention to…",3 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AjLjU0CK_alEWQ_FknuOaRAOm6wj5EmjcKbQGarRmPXcYETtad2v1jYaE78hqqG5IfX-tD2qi9GwD4BLP7hcQG9tuXxA3RX3G128UDR6gw_dwv4lV3pw7H_yIes7g1t3fA5jSzG01ZJ76NsopJUYW2bEzwcRuX4pUh6_1DMdKK-5IS5J3QvPvXhLYSsn-cgs3DI9vcHNKJ7IWo0ecvCSk2-bT0Pd6_1OtS3BdhdVeHgqBguO4YAfN4-VCWBjlF2pjCmbvAoD3E1PJisHjGk7aZ9Py8CMZjtn-Ds4Emf1wm-o0b3ktDl78qA5nqUHqYrajUDyzrc7GlbBedzje-5eEL5zdo2fgHH_5e8_O6uCX36j-0F6sKkvJRkIaWAiiFMxxTfvgawlTKf_OHZfBzt_1Tl7PHLty-0JSN7sltKEhEJv5HdNXLmHePjO33gmFia2Tl1RjqGGzFEE6V6qi1ttVfZrpw1tmxv4z-bgSwbeWNN0tNhKAHg3IaJ1vXOXYXofNi25yLNzmtjpzd9F3iK0HIMx5xB7Rdi_U=&p=0&fvj=0&vjs=3
Data Analyst,Up to $57 an hour,Insight Global,"Des Moines, IA",Temporarily remote,4.0,"The ideal candidate for this position will have previous experience in business strategic planning, report creation, and process improvement.",1 day ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BKkHZu3wF05EeDimN_p6sYpKCMArvwa95YdH7UpkaBCobj99dZAfyuHTA5Ecy9LeNv2z85JLyIuM2nATlbTwfyXRYhYmMK3M0VpPxEKZO-ew1iBIp9occwy923lAY2wuxQvCj4fYXOT3CZ6oSB3nHz83kGbJE_bsqhnrV2tQSOuoaDgSeaxfSvyXBf_4ljiw9FuReg5PawnHCRfa0cr0JeN70y08iRcu_bz5oe8dkmtB24zYKHv4_ItBrXC-bBOd2l1K9JZxecMYQoN0WPWQNTYq0lrIB_w4RmjxrF9glJ0Do9rpc6lqKbUebENg7cGtHwfDGzarZb6Ob7PPu_zDVHu-tSAkx1LpYwwtf4Ez3QIIR-9Vb2UDsJcbkzj0XGOqRekKkrXd79tKDqkWHanfrl6EFaBvVdNvh3WLmSmi9zVo4FBQpM-sWLNl0N5HVqiGNAbQ54OAsfXA==&p=1&fvj=1&vjs=3
Data Warehouse Analyst,"$71,989 - $110,698 a year",State of Iowa Talent Gateway,"Des Moines, IA",,3.8,"The Data Warehouse Analyst will also analyze data management systems and sub-system applications, mainframe datasets and databases, study data elements…",8 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=aac4a55847b9d026&fccid=c2bd1c727601f31f&vjs=3
Operations Data Analyst,,Eyerly-Ball Community Mental Health Services,"Des Moines, IA",,2.7,"Experience in data entry and report writing support.
One year financial/data analysis or relevant experience in a health care organization.",6 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=0ce85581b7cf9b94&fccid=994dce07a8fd5a0f&vjs=3
Business Analyst/ Data Quality Analyst,"$92,000 - $138,000 a year",General Dynamics Information Technology,"West Des Moines, IA",Remote,3.8,"In this role, you will participate in data validation, data quality review and approval of data deliveries.
Develop processes to validate data by designing test…",4 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=0cf2719a60ab3d59&fccid=11caadcdc98800d4&vjs=3
Data Analyst,"$58,000 - $113,441 a year","PavCon, LLC",United States,Remote,5.0,"Is willing to roll up their sleeves alongside other analysts and engineers, developing data-driven processes to improve customer decision making.",2 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AcvyScSzxGX9e7tF2yOlgVOj93Rn6ts4Nhq9obcZl5__6xF54nqZyXQl0oo5T0znWbCn_T5bJ2yDPbHzpPr67qvSHPbPxh4NEeJsWx8CaMGTJAWVEp45jPmOgYfowgoW-pwMbwpZvMNIvIMxcUN4Bb78-lO6eftz2Ob6p_ja2KifpX5iIKZYyx2AXkzgj6ucYpBUq9RefKkwSr3w5RvFUPkg3cJfA5zlW2Gf2nbLU1i7inoMYiHWk7YcvRgPuPI8V9Ufd_sa7kMFGRADi6CcKb-c8L8l_F0vs1SMwffuaLWjoFpNuMWI6QXpWGS-agz21OGLBTkwefwwH2ckUoEcj2TMn9YPQlF01VRCx5AFBAQBVpeE3CybvQYwJePnS2GPp48OWIgFi9eqVdoKI6Jr7oawHK3oHsAfc07LfggU5UrfWi1XYIoutxAnqYZFJB2Xu4wS66_NZ88KaggmHrxUVs&p=5&fvj=1&vjs=3
Data Analyst Intern,,PayPal,"Des Moines, IA",,3.9,Aggregate data from various sources to construct streamlined data pipelines and integrate data from multiple PayPal systems.,30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=2af2aa9148935a55&fccid=978d9fd9799d55a8&vjs=3
Business Analyst,,Genesis10,"Johnston, IA",,3.8,"Genesis10 is seeking a Business Analyst with recent SQL and Agile expeirence.
Facilitates the definition and development of stories with the product owner and…",Just posted,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DH3ZduE1E9As6soTCMQ_eON6tHq7OqPUhf7AgflmQgujXA4OA3jaDZFGABdqI3UGIbc1mv44TbRCcudATv5AvMa-AxCdMorqtQq_JIDRlUxXwh_pBL0mRPqcHDXYKPw5CRg7Vfg5Th0MoqgDobHfURwOYKnyJPSIRJyZxV3IzE5MzYbbYaqcxDnxRA-AaEbwjprbyzOwTkJfqaySLUZGIFznc61Xnpot70XObB2icWZb-AC3fG7ZTnKL8ba4YpDxXr9X-ZABkgC6jFoHBf3qDKTbVigQNynntJX8WmI6Fit79TTRvPScdZr_TEnk9VhteZtdB0UXYQ3hdzKU7AjWx-a7eFPP5i9fAi-0iJFhYx5DLyXu2eof_S3bGzTG19XBXfkJfrQcnVaYBPDCn5lHyGSY8bib3XNx4QArJbrc-TtvXTsrzNR6xySflxFM_N9iFk0U3Q_Qg0mxdndXYHTE1syDYauRRbbLCl7IGJEh9EUgZF0VkQ6dSKHkyjpfPBdrsq88zsCtq9LOgMcomhSnH7Fw9KluSVOD-FlCWkC-Ly6uT-SH_BL-I7800tDoOGJXMGzEUlt9BpWPN6WQKB61MR3MwCCM-PWG4YMdIUubS0__FXdAGljpW_NQjU-LAVWorennrqxIPhtypq80myo-0Ydkt5aLwFUMbV71Shri0vYZhgv7p8fLHvdWj1QEXOLCkzlbc2bVUIJIrZsgjsALfVG66s5aAbnTEOBOV54wOPm0s1cN3BFEZZsUAgUJvMJV3RpAG80bthPm61kuuZzTw7UQXz6yFYo-unttGUEwDa9G4YiBbEukF63ItjTqUwV_eSLOraqhgjx1NyJtzqv5zcA0h1REkWzwqLGNoLple4WzbuE8dgvO1LxPJho2JDg_zGS6j9sx6lpqlFmQjmIxPqLi81ruVOiJNSODosz4dzuvLzF8Dl709REY17AFK8FfhzKZmTQWOhs_eLLVnqW6eo&p=7&fvj=0&vjs=3
Data Analyst,Up to $40 an hour,INTOLON,"Des Moines, IA",,,"Experience working with Financial accounting, Annuity insurance data.
Experience working with Pension Risk Transfer (PRT) data.
Job Types: Full-time, Contract.",18 days ago,2021-01-15,https://www.indeed.com/company/INTOLON/jobs/Data-Analyst-2453622cc96bc472?fccid=a7d19fe94642d6fb&vjs=3
Senior Data Analyst,,Cognizant Technology Solutions,"Des Moines, IA",,3.9,"Have a demonstrated passion for data and working in data-driven organizations.
5+ years of experience in data warehousing projects implementing data models…",7 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=cf6d5d885d7fa008&fccid=2df6a1e69a70a1e7&vjs=3
