job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
Product Data and Marketing Analyst,From $15.39 an hour,Alamo Auto Supply,"El Paso, TX",,,"· Excellent organizational, computer and data management skills.
O Manage product and pricing data in Vision system.
· Product and pricing data management.",10 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BYj0u0-o4BTrndXRX6-3Dja-lZS7aJdIRy6JkmMZkk3JgrDwqt4vdpqVX9K5eGV9HKzlSARg2G2gVE1AC1HZ3cY3KkxnOJS_gPdnkpxY-Y2XFLE_1OSTOU3dcQPBLP4E51VYb0Ea7ZOWCLqW7OuTuM5tC2u12eT4QkVxvGhflzXnMaOzjZF6lPnRIMrJAp2zzHKoHVio0xGGH6S2ZfJNm5aemquUGN_1lxcuNVZ8XLKiuuFUGrhoxsTvCO7AMY9kuS1kr9DEOgjkHEcPZTAoQy0nvovLUzGnf6bI1XC2esOJvTcyyF9lcv-8clnob_AN_cMJea5YTvSY0ZwHkGOxVczaDkA2NJxHm7seCNcNU0iu4SS_37vccd2eG6WVuQflUaNSeK80_hv0QqmFao9FsB1Zp6wmOXveuX-BK3B2g3Ccng8n409D4OkhOQwiZrgcadxMWWid4TV1D58NztNDCI&p=0&fvj=1&vjs=3
Program Analyst III,,"Bennett Aerospace, Inc.","El Paso, TX",Temporarily remote,3.3,"Solid database and data analyst skills required.
Ability to research and gather information; verify and analyze data.
Minimum of a Bachelor’s Degree.",8 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0C0vf849DiuOV435Ocb8GswYIsW_K7YWucL-I_w0yBu7P0AohPWcWby-MK53BtcLUVzb6YOovYBTOgyr0vDsl2-LXNT9GXBDif0OW0FYnVBJgQONgPvvKxBYGTHO9dBmx7wRrE5O1Tjsyw2rwLNuHldUsmmRRzfrmRHi9oPXY_8DfOwyMzThyZHu_EisG9MxHr0YXFzx3zLKiTyFE5v6DG1raa6P6IaL3MZULye0iByk6vJgaxDH2BeXgt2cKFD7ht4RKQ5vSNBAMfMTdGsTgTtM4nUJNrXmpqjSrgv9irVNXNRh-g3m6I4UnLPuRDGlI50Ru0yxTzoT1TeC9UletOE8IFpOAd8HWCgf9TwCCzzYKQff07VDabolNP7ju271I4g9fd1A3yM4yf06pJs0L_besn5dKDMeNnTxlt1V99yy-MSi8Uewd16-gXUKd_WOGw=&p=1&fvj=1&vjs=3
Data Analyst,"$58,000 - $113,441 a year","PavCon, LLC",United States,Remote,5.0,"Is willing to roll up their sleeves alongside other analysts and engineers, developing data-driven processes to improve customer decision making.",2 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AcvyScSzxGX9e7tF2yOlgVOj93Rn6ts4Nhq9obcZl5__6xF54nqZyXQl0oo5T0znWbCn_T5bJ2yDPbHzpPr67qvSHPbPxh4NEeJsWx8CaMGTJAWVEp45jPmOgYfowgoW-pwMbwpZvMNIvIMxcUN4Bb78-lO6eftz2Ob6p_ja2KicHrs-yoLx6_Vicl60M-q8Y6Qo6MZWpsygEMDPRCOFe2Q-opqdmd0SauoXLzfLR5vo3M7kbnUyJ2iGbqRAyVPfvQ9yvsiaO8EHPyv9TUPlEd5tp8BV0uuPwyJXD6jdv4m0LcD9CSnWBG86KW2OqnlsCIYdf5Qd42oLyfuug-DTNNla0dFfJmkOlUily5-cI1HKSW3426zQAxk5BV7Mk0hiBwS8t9fljlxLeSVRItHkZkZu0H8lh78wDp3j3dmV53pOZr-ncDktD2naqUJXmbfWWO10Kzo8Kueg==&p=2&fvj=1&vjs=3
Looking for Experienced Business Analyst/Software Eng,$35 - $38 an hour,Agama Solutions,Texas,,3.8,"Analyze science, engineering, business, and other data processing problems to implement and improve computer systems.
Looking for Junior Software Engineer*.",30+ days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DXgojf1lNM58UcKq0tPwfQLw1dk14B_51_qqxBe8EznSoLH076BH0PX5yGVAaaAZBVylWGnAwGvHiJFm0_IVBtHk8Jnby-1mmSG7HjP3R7ohP7aJlD4NtY4eKLkoRRWYOH7fzNTgCh5uWqoZgHHYDnJSdctGa7rSvXl5SpcPKLg9ZPx4LdIfVX6cHl3EOqmr4dhsd_z9P4j-3TM3vB8teOB-yBH0j2HVpOCVX9zc6Me8tA26ujeYQPCPdBEGqsAm7l0shcNCCpE3RQN6zPihWhjYs_OvwaXEgixoAQSR2aZtjsye_fZ9RiE7IxrX8c5ETYweP6yP1I68VC1d-UNq1fTqEx9YPWV6negiAnm9YHx9F5ktBAKrIjZBPK3MqEhh3E8tDIZ7ebC9Gfiy8clvuZaP_L_qzDZ_Ii1u8po0BM8z6pqyQAp0Vgqu8W7hsu9Lcl9mgUj25o-RMbgPznkB3JU8HhBGVXVm2TPMfNu-kIKkLvPNEyRtKI&p=3&fvj=1&vjs=3
Data Quality Analyst,,Del Sol Medical Center- El Paso,"El Paso, TX",,3.5,"The analyst will provide data analysis, create detailed data reports using internal and external data tools (e.g. Tableau and QlikView), management and report…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=ce1f16dad90f63b1&fccid=578e2583f94da4cb&vjs=3
Supply Chain Analyst - El Paso/Juarez Operations,"$58,000 - $65,000 a year",Compass Electronics Solutions,"El Paso, TX",,,"3-5 years in purchasing or planning accounts/commodities.
Supply Chain: 5 years (Preferred).
Prepares reports or dashboards to provide reliable activity data to…",7 days ago,2021-01-15,https://www.indeed.com/company/Compass-Electronics-Solutions/jobs/Supply-Chain-Analyst-f1963d6462ac624c?fccid=d8edfe164d8ef78f&vjs=3
Advisor Business Analyst,,Gainwell Technologies,"El Paso, TX",,,"May plan, allocate and monitor work of other business analysts.
Coordinates business analyst tasks on information technology projects and provides project team…",6 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=c2ad7bace4b84846&fccid=fc5050a2f66dd83b&vjs=3
Data Analyst active clearance required,,ASRC Federal Holding Company,"El Paso, TX",,3.6,"Analyze, interpret, interrelate, and evaluate the retrieved information and deliver the relevant data to the requestor.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=8cd56703ab1dca8e&fccid=adbb342bd2008a4b&vjs=3
Business Analyst,,Altisource,"El Paso, TX",,3.5,"An ability to tell an insightful narrative with data with advanced reporting and/or presentation skills.
A highly analytical ability, yet skilled at distilling…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=0800becd2334f42d&fccid=d3fcae15bb7f5086&vjs=3
Senior Professional Business Analyst,,Gainwell Technologies,"El Paso, TX",,,"Analyzes and documents client's business requirements and processes and communicates these requirements by constructing conceptual data and process models,…",7 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=aa7cf5ea7d40782e&fccid=fc5050a2f66dd83b&vjs=3
