job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
Provider Data Integrity Analyst - Managed Care,,Texas Children's Hospital,"Bellaire, TX",,4.3,"Analyze reports and data sets for anomalies within the Provider data from multiple sources.
Generate data reports on periodic basis as requested or needed for…",Just posted,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Bo5fTJSWtnyB2foVBn052TSZSzKkBUCj4s2e8Z9RrbRetArZLlQHhI92PcGxit8vxUfruHWa7ujHKkum_WcXdVcWywW5M_-rHlfMps6Zg5J2_s22K-1vEmEGKI0IVCzfJtXN8ijSyBJ11ZJoWPtsDgmzF-jc-mSYRce7bk5nJymijFklqYLskRc3bNjLNVuPaS6LHk9wcF0pAOqbsp6z5qiIsu7g479L2uOSY1l_0WB2fgtH_Uks11rxI4pRjURXzSU6nlYuGmqgBCW8rNeeqrpISYcbJ-qLQlcGYBdEuNzMNismV0KfiVWJAo81bosKiuggyq9hoxzZVpFB9B3KFbbSMLd82ivgTKIbmR_kcdQgL43RMcxDY_BZy9B2SGSZnAZDUNnAqg7dMLm7rJ7noORLYcTOdXAiQtyRuJzGW5GXBKXnkc0CYMwnqfM8ygvJFEtAsbarpAVa3qeRHLCySVnm5Re_XTI27Cwa-p3ELrGZufpw0fgwUozJ9FyyjR7fo=&p=0&fvj=0&vjs=3
Data Reporting Analyst,,Texas Children's Hospital,"Bellaire, TX",,4.3,"3 years data analyst experience required.
Develops and maintains systems for ensuring data quality and measurement validation.",11 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Bo5fTJSWtnyB2foVBn052TSZSzKkBUCj4s2e8Z9RrbRetArZLlQHhI92PcGxit8vwKnZQJWstl-GupompSfiLMA7MtlbuQw5-LdHhFZyPf_hxi1dNpHqLzRGYGCnjKEOrqRP2e-Pv53c8UwK6edfPRs2VMqmYfK1VfMpHJMO82m4egqMc5ZoYR1yb7Bo6ZM5-g2IpET4HecNaYvT_ij0yhiDcb9fwNPP0jMzjWX4eIWkWe5HGSo3yboGGDvi5PvDGBW2ueBh6CFl-Q3HgFLRbsVR6NscRnutwq32kqFwKE4B1qULJRZZJ2DzM8KbWSoI-MgKqLnJo8n9Flv78-lRxta59XJTMsIIrWEy8OF7Tvd2yy9eYLsu2yBevYCa88ccYUjI-CKQ2l6PnTOLlQH1-z0fuxSMnWCIt4wLmB-EsOvyoyRQH7ZoVS3WJeOk7EWjCwRHdFE7Gzc6ofS5TnwVcl6jsqkRBTPA0=&p=1&fvj=0&vjs=3
Entry level Business Analyst,"$65,000 - $75,000 a year",Microsolutiontek,"Houston, TX",Temporarily remote,,"Knowledge of logic, databases, data flows, SQL for data analysis is a plus.
Review, analyze, and evaluate user needs to create systems solutions that support…",Just posted,2021-01-15,https://www.indeed.com/company/microsolutiontek/jobs/Entry-Level-Business-Analyst-d14c53525f55f43e?fccid=4c13fe1d1e35a416&vjs=3
Administrative Assistant / Data Analyst Supporting the DEA,,Forfeiture Support Associates,"Houston, TX",,3.7,"Accurately enters required data into one or more databases, documents, or spreadsheets.
Attention to detail and the ability to read and follow directions is…",2 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=ec240f27bfac4782&fccid=8ce3cf8e1e3ddd14&vjs=3
Data Analyst,"$58,000 - $113,441 a year","PavCon, LLC",United States,Remote,5.0,"Is willing to roll up their sleeves alongside other analysts and engineers, developing data-driven processes to improve customer decision making.",2 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AcvyScSzxGX9e7tF2yOlgVOj93Rn6ts4Nhq9obcZl5__6xF54nqZyXQl0oo5T0znWbCn_T5bJ2yDPbHzpPr67qvSHPbPxh4NEeJsWx8CaMGTJAWVEp45jPmOgYfowgoW-pwMbwpZvMNIvIMxcUN4Bb78-lO6eftz2Ob6p_ja2KifpX5iIKZYyx3cKPZRc5I07PjdfT8CZavN1-4RBwuNVqUNPj6M4d3X7FpBzvFUq320sOflplD1fYYmo_fzk5AmQOusH9cdaLarGFrQGIW1ULDLc5pXtBLfqmXD_hLl-GBoHaa5OE7xbnD8uvI5qzjZAhrCvBVqloeLZnF4PzXB6Z_1MSDOSTmZYx-3GbCYadgyTFH063PXRa2mIyGwU84dYSw4MuqPv0M-Pem4ALZwTdnZFNWp5oHb04YNMxnzRi5m78wVe8UP65ubObbSToNdnaRaASba2IAg==&p=4&fvj=1&vjs=3
HR Data Analyst I (3603),,ENGIE North America Inc.,"Houston, TX",,3.6,"Supports process of mass data load/update projects such as mergers and acquisitions and employee data change load, which includes data bridges, analysis of data…",1 day ago,2021-01-15,https://www.indeed.com/rc/clk?jk=aca548b10133d41b&fccid=505a68b743531163&vjs=3
"Junior Business Data Analyst- Houston, TX",,"Genuent Employment, LLC","Houston, TX",,,"Collect and analyze data for data integrity / identifying anomalies within the data.
Technical training on cutting-edge data visualization tools such as Tableau…",6 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=37f40a66ea66467a&fccid=c94bc517540df6e6&vjs=3
Data Integration Analyst,,Occidental,"Houston, TX",,4.0,"Excellent understanding of master data management concepts for technical data.
5 years of experience managing oil and gas geoscience, drilling and engineering…",Today,2021-01-15,https://www.indeed.com/rc/clk?jk=6c7ce5233aa4d849&fccid=1df86a463f86c9a6&vjs=3
Sr. Sales Data Analyst,,Lopez Negrete,"Houston, TX",,,"Specifically, the unit provides analytics and insights utilizing customer sales data and third party data resources.",Just posted,2021-01-15,https://www.indeed.com/rc/clk?jk=8228c54e5923a2fd&fccid=10cca3cc6a879a8e&vjs=3
Business Analyst,,Hewlett Packard Enterprise,"Houston, TX",,3.8,"You have strong analytical thinker and data modeling skills.
Gathers data from various cross functional teams to synthesize solutions for backlog execution and…",10 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=7d1f47e3a6b03c5e&fccid=216eb700022de6f6&vjs=3
