job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
Data Center Logistics Analyst,,Facebook,"Huntsville, AL",,4.2,"Experience in a data center environment.
Generate metrics highlighting performance and trends within the data center field and warehouse operations.",26 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0C_1G4MOf4l_p8Xwb6gxqXskJGh74Fij0qpfj-k8BoCzOUq538c_CUqb9V8ztFatybvfhIB0TYT7_JKQSlFFFMOtfkiYaBbuOTFac-owmc6VWO0IKqPXKhIQ6QUf19BTIi1MRT0jI_miYKu6wcwfhqyT5bRv8UALVNU_lfitL-o9nCvyqfpDzK3aqzIQCfUKbcUC_X3MzxWsSblZxy4Cqr2V-NaCShmwVlanUbGGDabn6jsD2D7gzBHgJOaNajbeC3xI2kil-oJVCOjZLVbJyaUTnVYghkt6myMHS7dJZhaZlSSrtZPKwZZNs6VgucVGYjLHJTZxTdu8ZQSROa4znzVU2hvrhMxTmnck7zbT5xy7TkEBN0ADASS_0gVOS84iJ3te9s8Fqh6WuAYDSbhMx6G8NVw-hnJgOxa8QFxIatSEtkQp9wfzkVGHaePXLOZfKlpayjHLKQ9FWte-8ib5Cex06UvUzb09FXrjyu93JlUBsmoB2QIpLt6AUhlzAmmHi1j4UkHdMR4LgaotUx5eOBfRiMDTsXSuWAFQSZelfdfs4jNPJ0WyT3YBwV4eEdJt-ugE7qB5WvjiANaE7Yi95HdVEXOQFaZDsGKXcAYsHumoy2a8kh9-lMFZ_LnXsDPldaogjIBXl1GCO5Kg1NtymAgGXIQ4nJSag3Op2Dcrae1vv741jUIMctq18LlTr9Bg8F5VRUAyN5-mU_suOf6j42Eii6HXm9pGaVfUa2GXVWyv8Fktdm-21z9q0waUaENZs3NzEqXKdZgZv8EDixXmDmTVg7fwsXWe4K6c3nQJ-3KnzwaBvIDanKwk4qmawpj7BbOaeiVfb-Sioy4fQGfxk91qLQ2cm49IJu3irkpLyXHZdShFS8fISF8AO24RZnwkit9cLi0-Ru0Xj-ToSW0zMqtJ5H5HUzEbZWaJN7IpKQpX-GPTmty2f3L6fK14_IXB_xNLkD5eOXspchb6HixJhzBIasLCDGE30XffcPI20F7IEgK9fqJ3qOXbBt8KdX0O7eOKeVPw7upoNRChBnh1jCpDYwesW_Wt7yUMTQZ6b-WqJ-4GGgJzDWNC8qBfIIERV28UU8LyjEFa8WvdtoZ50Q7MTczuFcXrBYojwYaCLW5MfX0BANTgSVk&p=0&fvj=0&vjs=3
Data Analyst,"$58,000 - $113,441 a year","PavCon, LLC",United States,Remote,5.0,"Is willing to roll up their sleeves alongside other analysts and engineers, developing data-driven processes to improve customer decision making.",2 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AcvyScSzxGX9e7tF2yOlgVOj93Rn6ts4Nhq9obcZl5__6xF54nqZyXQl0oo5T0znWbCn_T5bJ2yDPbHzpPr67qvSHPbPxh4NEeJsWx8CaMGTJAWVEp45jPmOgYfowgoW-pwMbwpZvMNIvIMxcUN4Bb78-lO6eftz2Ob6p_ja2KicHrs-yoLx6_3SJFkBws3UnwUk5Bg17mEjN8drPybZ5hTN6llQtCiVEHxGoPbpJq-8aKfZcqFIqLoS5J8u6pnlaAt_XM_ZykUyOS-JdexsSIcSfmz2dkzJAAUwQhlVXQYpaBSS-snTN6d96Vbidf1R33XeN1tmkKhxwIMZKPgZc5euG_T1Tc6qo8KyaqB4el3fsElWZHvto2gVnOvud1sNLqybsVwW2KDRyq1a-QQe7fh5C8uz6MzHYR7rQOu5QWiXfy2JZPgsA3G-wyWceroeda8wL95KJJqwj0sGpd193r&p=1&fvj=1&vjs=3
Data Analyst (2021-0114-C111),,"TriVector Services, Inc.","Huntsville, AL",,,"Reviews input data for accuracy and consistency with historical data.
Reviews test data for reasonableness of data provided for database entry.",1 day ago,2021-01-15,https://www.indeed.com/rc/clk?jk=7b4bc93d241774ab&fccid=5496bd074134c001&vjs=3
Federal - Data Analyst,,Accenture,"Huntsville, AL",,4.0,"Work with large data sets to solve complex problems.
Experience scripting and data analysis in R or Python.
Experience extracting, aggregating, and structuring…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=ead640ccc785f8bf&fccid=a4e4e2eaf26690c9&vjs=3
Data Analyst - Mid Level,,Hill Technical Solutions,"Huntsville, AL",,,"This position will serve as an analyst for the MDA/SEG Missile Defense Analysis Center (MDAC) supporting assessment requirement development, analysis tool…",3 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=ca98b69a63c0e3a6&fccid=b3fddb261bb01af7&vjs=3
LiDAR Data Analyst,Up to $15 an hour,"SurvTech Solutions, Inc.","Decatur, AL",,,"Classifying LiDAR data using Terra Solid.
Our services include conventional land surveying; hydrographic surveying (single beam, multi beam, side scan, sub…",10 days ago,2021-01-15,"https://www.indeed.com/company/SurvTech-Solutions,-Inc./jobs/Lidar-Data-Analyst-da625560d42345f2?fccid=437703a620cb72e9&vjs=3"
Data Analyst/Metering Program,,COLSA,"Huntsville, AL",,3.9,"General Summary: The successful candidate will have extensive experience with data analysis, quantitative and qualitative analysis, data science, data analytics…",3 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=7d66fee81219c22b&fccid=7d1d39ef87954789&vjs=3
Quality Data Analyst,,Sanmina Corporation,"Huntsville, AL",,3.6,Create PowerPoints and charts to show historical data and facilitate the meetings during which the QE staff members report that data.,17 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=2c49a1688f7c8ed0&fccid=b4d34a212474ed21&vjs=3
Data Control Analyst,,Yulista Integrated Solutions,"Huntsville, AL",,3.8,"Ability to enter data accurately into databases.
Independently research and compile ERP data requests into usable management information.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=214256b1d13d5f5a&fccid=43c7a77a85ec52b3&vjs=3
Data Analyst,,"Modern Technology Solutions, Inc.","Huntsville, AL",,4.4,MTSI is seeking a data analyst with 5 - 15 years modeling and simulation experience to provide expertise for multi-domain defense simulation development and…,3 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=6ae595176f03e1fd&fccid=ea0c1f50cbe7289b&vjs=3
Compliance and Quality Data Analyst,,Sequel Youth & Family Services,"Huntsville, AL",,2.9,"Two or more years’ experience working as a healthcare data analyst required.
Assist Risk Management with the development of safety initiatives based on…",9 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=63a7da4452d447a6&fccid=b62dc3d67c337484&vjs=3
Data Analyst/Developer,,Clearview Cancer Institute,"Huntsville, AL",,3.1,"Bachelor's Degree in a quantitative field preferred and minimum of 5 years related experience in data analysis.
Healthcare experience is highly preferred.",23 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=bde8637ec3748548&fccid=932235f9c7974f93&vjs=3
Radar Operation and Data Analyst,,"JRC Integrated Systems, Inc.","Huntsville, AL",,4.6,"Proficient in data collection and analysis (or willing to be trained).
Ability/experience collecting, analyzing, and processing Sentinel test data.",10 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=7f2ba446705a1c3e&fccid=83343ac70bf76dc4&vjs=3
Logistics Analyst II,,Parsons,"Huntsville, AL",,4.0,"Gathers and analyzes data on product plans and project objectives.
Parsons is seeking a Logistics Analyst II to support the Systems Simulation Software and…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=1b9f06c56eaba077&fccid=e8f998ddd15bac9c&vjs=3
Data Analyst,,"WILL Technology, Inc.","Huntsville, AL",,,"Develop and implement data analyses, data collection systems, and other strategies that optimize statistical efficiency and quality.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=d08fdbffd8eef124&fccid=09da26f9a89fbfbf&vjs=3
Program Analyst SME,,MTS,"Huntsville, AL",,,"May require lifting and carrying up to 10 lbs (5% of time).
Ability to independently analyze data and develop alternative solutions for senior NASA leadership.",Today,2021-01-15,https://www.indeed.com/rc/clk?jk=6a5a14ec3d84095f&fccid=917d54fc39badaad&vjs=3
Program Analyst,"$112,548 - $172,102 a year",US Department of the Army,"Redstone Arsenal, AL",,4.3,5)Leads a team of program analysts responsible for financial program management for a major systems acquisition program under Project or Product Management.,2 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=45f5c2d644f6d47c&fccid=c3b8389ba1f05d96&vjs=3
Journeyman Data Analyst,,Dynetics,"Huntsville, AL",,4.3,"A Bachelor's degree from an ABET accredited college in Engineering, Science, or related technical discipline is required with at least 3 years of work…",8 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=ce7c6a690768b6fc&fccid=06573389e4a0abe1&vjs=3
Program Analyst,,KBR,"Huntsville, AL",,4.1,"Analyzes data gathered, develops information and considers all available solutions or alternate methods of proceeding.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=5a99fd567b13d9a0&fccid=cbfa56f19cc95796&vjs=3
