job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
Data Analyst,"$30,029 - $61,000 a year",Arbor Homes,"Indianapolis, IN",,,"Beta test impending data changes.
Review data for inconsistencies or anomalies.
Ability to work with large data sets and extrapolate conclusions.",Just posted,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Awz3cNlc9akK6bR3NdTURPhwWJf3YSn_TO21J_Nz_pBUlx_tbgChxGBMbrjFqJqNf0qTlvWV0pyxVpu_LEdzdJirUAw9_ffTAoNLs-YlWT_SqEJxmWAwd5094AY-6sWqifWCjuj1j7i32D4HhAYnJE5ubUqsYJHMi7xHeSKvGKrOhcon90XGZP_uPgMNWA-xEvTpGAZvA3RyDAhqvq0JJC_LdJICTHnFbmFjkfEuyw2BpXe_ZbK2W6wWQJwFpboXtGEzggFDzrvvZ6ebCXzd89fVS1JVwQESgwv7o8rIYdwYqNusZn0rtxlSJVXbD-WiqpDWOxmQsQpOgv-gAHc1MO6LPrVDY2_Zbe8hEoXl09sRz0GJUnldctKW2M1i18hQzjT6kPYi5dLoqfTcAfmfXyJqZ8i1acg-RqF8eWie4wzg0-6A6rg3nzTEPzM2NUIh9QksYgb_d3saB-JLK8Y-kiW4xXBptMwME=&p=0&fvj=1&vjs=3
Data Analyst,"Up to $75,000 a year",Pinnacle Partners,"Indianapolis, IN",,4.0,"This successful resource will work to ensure all data within the company’s SQL database is complete and accurate, as well as report on usage, trends, and other…",30+ days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BhdO0Ncs0_rZX45kaA1IghdSc64QuX_nVTEEikuxIZEzhyV8eyvLUCBawuXiqpuXZKdBjmY8OqB_GdXxI75LbE0S4T2RIH2oRrbpqE71a7cEB-cOS1OickGb7nVs85v5YYs-nbR_PgL8Qkg2RTjCXXgMXPjDJpfy3uBJ5u4s7oaMj6n6lXYgg5E1T8ApL2VVUuVdKIhLtxGC7JeYfhAVdkyvWGrcOLZayv5p80EgKE23Z_faykJdQZIPiKNBnVy4veS7pVmnsmrcb9kIYPS3jWr4AgRdeKtS9lkJg7dStfWnYikWf-289MpfIjnQZDDSicfoyoqFvAP3VCVrguXXXxdSdBQP0kuzluSFi59KZegCK28Eggt7mhzwFrbmklkkMje6B5sGoK58kSUORpZDX_WA2is4qdRFmnmQpxtcFRhb4KxnOfCvHpfkuiUJAtR7xWPEwuVBrp1G7plIUUaPD8xTmUs6yaqDaBA3RWuD7uY5USLVwJ8jYkO1UeYwn4_02FWAM0OvOIz4kPtAFSawA7Tp_tuZo0vZA=&p=1&fvj=0&vjs=3
Financial Data Analyst,"Up to $70,000 a year",Pinnacle Partners,"Indianapolis, IN",,4.0,"The Data Analyst will be tasked with analyzing large sets of financial data, budgeting, forecasting, margin and variance analysis, presenting their findings to…",30+ days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BhdO0Ncs0_rZX45kaA1IghdSc64QuX_nVTEEikuxIZEzhyV8eyvLUCBawuXiqpuXZKdBjmY8OqBwWlON0-aR9dfRbhmWx_e5DM17ufngGg4Riwb_PG3cWhe9FQGFAUCNyf6gx0ySBT8XR5QMHynNM7mcyTxS2AddQfxt0evkzQuzT7ZgKEpDE7miOPmrUsaw0XdErtdecM9njggMMT6OeLOFno4LFiXNjy9UB1cCQW20c7HUOIlDWsJBoxXmqHuc8T22JuXPXV2MHHEgWULywYuWvkh3RVUsJoOFH81m1AWN9ZbNn17Z2gHxsDSMCJS9bHZCJ4IlObiwiLP2kjc5dtsqtfgFErfyyVw47t73TQZdu_icb3QRE8Hy7WuLvuADqAFtc2zndipF3QM5BkrctnATRmuX3_oa-YxIq5GQjl1DRmb03nx4OwpPcIZeFEm6mQGuYXCKJ9y2F452fvXrBIq8SPD87wPpVNfQLs-QU_SOfyzhHODP6bKfFiffYG-3bwDC6mVLi8cwk3W-fFbPLBYGXvFQ7m65YXhh2SwsVhmQ==&p=2&fvj=0&vjs=3
Analyst-Data,,IU Health Physicians Support Services,"Indianapolis, IN",,3.8,"Provides data analysis support, report generation, data validation, and serves as an expert user, providing training for additional system users.",2 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=86eb1abca7344bd5&fccid=6cdebd3a6977c60b&vjs=3
Business Analyst / Data Analyst,"$50,000 - $75,000 a year",Bauer Hockey (Indianapolis),"Indianapolis, IN",,,"Translate data into actionable insights for the stakeholders.
Support business with time-critical tactical data analyses.
Microsoft Excel: 3 years (Preferred).",Today,2021-01-15,https://www.indeed.com/company/Bauer-Hockey-(Indianapolis)/jobs/Business-Analyst-1d0d30874fac3387?fccid=653f324ab5c6ed98&vjs=3
Local Data Analyst - Clinical,$25 - $30 an hour,Keywords Studios,"Indianapolis, IN",Temporarily remote,2.8,"Execute data collection, data entry, data verification, and data cleansing in SAP and associated systems per established processes and procedures.",Today,2021-01-15,https://www.indeed.com/company/Keywords-Studios/jobs/Local-Data-Analyst-0006b48eb656eb49?fccid=c26d104f25f1364f&vjs=3
Business Analyst,"Up to $95,000 a year",Pinnacle Partners,"Indianapolis, IN",,4.0,"Prior experience defining problems, collecting data, and drawing valid conclusions.
Recommend changes to business processes, data flows, and other business…",1 day ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BhdO0Ncs0_rZX45kaA1IghdSc64QuX_nVTEEikuxIZEzhyV8eyvLUCBawuXiqpuXb14q6mh70vAQmMxCj8y-oKXR-fT0OxV4fSocwt1O3N6VDGmol03z6Lev_TiianDxnqVuKmylzjKdM7yWx78pcYTSjk7mW8Va11X9O1e6XQ5ZrkvQUna2V9xO8KY32AGnEVdva69Bf4IiJyOCun4pB7OZSGkGpypxwJyPcP9oFKzlMWEfYMthSEHLITl2gu6ak-IijiRs4q_4soVgXAgELVtxEqKCmhWsjc22BePGn_j4JNL7Kn2FYfQ1H-Z0KvuQ6xihMESmDzybsZSFXr_pT8qFD92xS6FoUar5SIuANyFGSbPAokAq77FfyKyQicm0SeHSLKJZwffuxTfvEJY57J_ibJmnB9QXRy2YvMvUdz9LEIdXSPkhz5dEaVXto69lkQAHii_8KOxAaTc2D7dMptDbUyJZ_vZJnoZP6WXBWViemxTntb4DzZh24PNYGEzUdmoeQx8KPZWQEHiJJ4cI_LEZzrlR76OJsN51wBKpEKGA==&p=6&fvj=0&vjs=3
Data Analyst,,"BAUER Hockey, LLC","Indianapolis, IN",,3.5,"Translate data into actionable insights for the stakeholders.
Support business with time-critical data analyses.",Just posted,2021-01-15,https://www.indeed.com/rc/clk?jk=168e0ae43a233c55&fccid=d3a8ce71e661cd49&vjs=3
Data Analyst,"$58,000 - $113,441 a year","PavCon, LLC",United States,Remote,5.0,"Is willing to roll up their sleeves alongside other analysts and engineers, developing data-driven processes to improve customer decision making.",2 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AcvyScSzxGX9e7tF2yOlgVOj93Rn6ts4Nhq9obcZl5__6xF54nqZyXQl0oo5T0znWbCn_T5bJ2yDPbHzpPr67qvSHPbPxh4NEeJsWx8CaMGTJAWVEp45jPmOgYfowgoW-pwMbwpZvMNIvIMxcUN4Bb78-lO6eftz2Ob6p_ja2KicHrs-yoLx6_ko-EkuT9QUbwJWICTpoOQuitqo3foIFp5JmmDJLb9qGiSyshXHKUKqDCNkCWISFbA6eW6saXhJ55l7pLrAdx6LkUFInF6IIvO3X2CfSWJjBSQqDWrv4M3nq_huGfDQXfTpiqxCvwnRdLE6HNxC_0Wh-cK767iTcFw1sB6Z1X_7iZd1D60BGKzxBVzIKAA_HTcKQ32Gg77y66C4EqBf-7Ds6bdUT9k33_oFksM4PjR1V9zf34zvMTkOhwOzgMP5jfTzTkhRyYHE5BjQiJxJ1yA5f5CtVz1k_X&p=8&fvj=1&vjs=3
Data Analyst,,Franciscan Corporate,"Greenwood, IN",,,"Our data analysts dig into data and create statistical reports.
Provide technical expertise on data storage structures, data mining, and data cleansing.",3 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=5a3361e028d99afe&fccid=ca82ec2a78565ef9&vjs=3
Analyst Data Science,,North Hospital,"Carmel, IN",,3.8,"Reconciles database data to source system data.
Supports team and data science process.
Executes basic queries and merges data sets.",3 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=9f750adfe77f7958&fccid=6cdebd3a6977c60b&vjs=3
Data Analyst Intern,,PayPal,"Indianapolis, IN",,3.9,Aggregate data from various sources to construct streamlined data pipelines and integrate data from multiple PayPal systems.,30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=ba3cac3f108629d8&fccid=978d9fd9799d55a8&vjs=3
Property Management Intern - Data Analyst,,Kittle Property Group,"Indianapolis, IN",,,"3). Other data driven analysis as assigned.
Intern will also be involved in submitting data findings/recommendations to the Property Management Key Leaders.",3 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=6213cc084bede437&fccid=f694e093577908d9&vjs=3
Business Data Analyst,,DHL | Supply Chain,"Indianapolis, IN",,3.7,Uses knowledge of business and data structure to discover and/or anticipate problems where data can be used to solve the problem.,30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=76993cf2aae6f64a&fccid=5b8d10630cb111eb&vjs=3
Analyst-Information Services Data Intermediate,,System Services,"Indianapolis, IN",,3.8,"Bachelor's degree preferred or equivalent experience.3-5 years of experience required.
Administers access and maintains data warehouse security to ensure…",25 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=d193d788a4b4050c&fccid=6cdebd3a6977c60b&vjs=3
Data Analyst,,"Fiserv, Inc.","Indianapolis, IN",,3.4,"Manage monthly ETL processes and performs data reconciliations.
3+ Years minimum in reporting and data analysis.
Additional programming languages (C#, VB.",8 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=7fd8d9ae2f396172&fccid=1ea0475711674f3b&vjs=3
Intermediate Data Analyst - Trauma Registrar,,Riley Hospital,"Indianapolis, IN",,3.8,"3-5 years of experience required.
Administers access and maintains data warehouse security to ensure reliability and security of data.",6 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=c00c697d4bacf1e5&fccid=6cdebd3a6977c60b&vjs=3
Business Analyst,"Up to $95,000 a year",Pinnacle Partners,"Indianapolis, IN",,4.0,"Prior experience defining problems, collecting data, and drawing valid conclusions.
Recommend changes to business processes, data flows, and other business…",1 day ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BhdO0Ncs0_rZX45kaA1IghdSc64QuX_nVTEEikuxIZEzhyV8eyvLUCBawuXiqpuXb14q6mh70vAQmMxCj8y-oKXR-fT0OxV4fSocwt1O3N6VDGmol03z6Lev_TiianDxnqVuKmylzjKdM7yWx78pcYTSjk7mW8Va11X9O1e6XQ5W1DSzie2TvHpCts1iPr054DP36lW-rc4khvUXUd_BPPA-YD50NCdBfE4IZwgxl3l4pm3A6sssjLp1ndYAa2dY32tzT6nslzUhDfbQFU1oY_6seyLPnhC7bRuV43xjSePDdsFKqWmSwUFXOzblc5BHq7Y0wVZ8Qm-_JIqi08HMprOIRtCiE94t1__0HuhZu1-OwyBGfxdxYGxs8TRTEcIOGDmpSrgrCGAKQSzRo9Ypd2m2CG9zfmk79CMOIyQL6xhjACgwfwX8L5vSULNmzxiC1bI0Tk8x19CwshuknUYzVLfA5mWjmT8fAWxjzGXlKJQvCafum41M0MgC8-aGnjeL2ccJQwERNxjxi9lzCHzn5XUzQy3IEmRLgLO9ik4Xi2QQ==&p=2&fvj=0&vjs=3
Data Analyst,,"Innovation Associates, Inc.","Indianapolis, IN",,,"Provide technical expertise on data storage structures, data mining and data cleansing.
Must have experience in data cleaning, data merging, data verification…",6 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=0ca4252d98b3df13&fccid=ef0d9e49a58757ca&vjs=3
Data Integration Analyst,,Marathon Health,"Indianapolis, IN",Remote,3.5,"Responsible for importing and exporting data to support our electronic medical record.
Minimum 2 years of experience as an EDI interface analyst or equivalent…",28 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=7c6098ca9106390c&fccid=03818720271855f3&vjs=3
Philanthropy Data Solutions Analyst,,System Services,"Indianapolis, IN",,3.8,"Building and maintaining data integrity for the Foundation.
Leveraging new data insights to help drive fundraising strategies.",25 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=602a1949a1f09f00&fccid=6cdebd3a6977c60b&vjs=3
Data Analyst,"$58,000 - $113,441 a year","PavCon, LLC",United States,Remote,5.0,"Is willing to roll up their sleeves alongside other analysts and engineers, developing data-driven processes to improve customer decision making.",2 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AcvyScSzxGX9e7tF2yOlgVOj93Rn6ts4Nhq9obcZl5__6xF54nqZyXQl0oo5T0znWbCn_T5bJ2yDPbHzpPr67qvSHPbPxh4NEeJsWx8CaMGTJAWVEp45jPmOgYfowgoW-pwMbwpZvMNIvIMxcUN4Bb78-lO6eftz2Ob6p_ja2KicHrs-yoLx6_NSAkr4kyIs4bisdkQMKJpC7gyCLWLkecC6UyoOmVDajoppgIXLp-Ju6xhklDN657KRhygBbMahGPCMYsCfXK0gbE9DFsJaI7rpvlVUCLUstnXl1PJFetsYXP79ckbOZGovnWwfJSwK4lF38R8hkxDLocHxihtjHBF4GCJXjoNCq29iJ19S_fG0zZh4lWKwlYyNm-4VthDOuL9_uma42fE9yGEhJC07-2utLkS6p86NxCwRyHS2mkHj6zjUMmQgioRAZIGX2Ph4DGS1h4oOt0jcDeBrsn6LAP&p=6&fvj=1&vjs=3
Business Analyst - Quote to Cash,,Salesforce,"Indianapolis, IN",,4.3,"Ad-hoc data analysis, data manipulation, and then being able to make decisions supported by data.
Support the operation and maintenance of existing and future…",Just posted,2021-01-15,https://www.indeed.com/rc/clk?jk=8b5e96fb973b5fba&fccid=4027cfd917e1ee29&vjs=3
Data Analyst,,Simon Property Group,"Indianapolis, IN",,3.4,"Perform the steps to validate data is correct in the frozen data files and has been correctly fed into Cognos.
Process renames on CTI and TAP.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=281c73483bed8ba6&fccid=eb4ae6f45d2f0261&vjs=3
Business Intelligence Dev/Analyst IV,$36.77 - $49.55 an hour,Eskenazi Health,"Indianapolis, IN",,3.5,"Designs and implements database systems, data models and other data architecture components.
Adheres to data migration standards.",1 day ago,2021-01-15,https://www.indeed.com/rc/clk?jk=5e7c14d28432fa59&fccid=581b3d92434de2ff&vjs=3
Data Transformation Analyst,,Centric Consulting,"Indianapolis, IN",,4.2,"Interact with business stakeholders to determine how to handle data quality and data governance concerns.
O Forensic data analysis skills.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=a2bb28c09411ef2d&fccid=222633e2f3178e04&vjs=3
Healthcare Business Analyst Intern,,Milliman,"Indianapolis, IN",,3.6,"Aptitude for understanding and interpreting data then communicating results.
Developing and implementing data-driven analysis plans to address project…",28 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=5a42297af8c7bad7&fccid=3d93143c99ff89a3&vjs=3
Sr. Tableau Developer/ Sr. Data Analyst,"$80,000 - $100,000 a year",Onebridge,"Indianapolis, IN",Temporarily remote,,"Performs data conversions, imports, and exports of data within and between internal and external software systems.
Strong experience with SQL and data modeling.",2 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0B6J4U2Kkd0V7I333JW2U9_gSjQpz5qU4fBNIiszA4W_l5DxCasMB7KJ7TH7HGTLE1-_5PVrX7SFhpJgYvdYB1esdoIKYBBmqnfMYfaU9pmeNGAygpanZ3OSCyaEPsgXxh4ftRvXFhOOmretdyrIW2Rasfkg3THeoFyfBiyPGmnXCrEKI7hLNX_bY3YgUMcPNCwR5Ye1C7FMuFePA1fQtvFBb7qubSu30-GM1ymYbNapp4WgUWnSMhcSi59fq2EmFvKpQvz7Ayd38IHoUboY7pCDXEkqoY99ekapO0VGv01w66xAqtLDIqnkxz8jSsYnGJ9UWR1crqRkuhrfMbazycSdNixMeN8IFVzIwYJonI3suR99JRiOJwFx_qNocfneu2zCWHqePBPUYMhNYxi0qxIDjuQYEFUQLBImgyTkLashId-vsnoHjBkit2t-D18ol5_0eMIyQOoYByohROc7-OKmmlhY-N1aVeqJYr1VEGfOg==&p=12&fvj=1&vjs=3
Technical Business Analyst,$20 - $30 an hour,ACCUTECH SYSTEMS CORPORATION,"Indianapolis, IN",Temporarily remote,3.7,"Excellent attention to detail and analytical and problem-solving skills.
The Technical Business Analyst will work with our clients, partners and internal…",4 days ago,2021-01-15,https://www.indeed.com/company/ACCUTECH-SYSTEMS-CORPORATION/jobs/Technical-Business-Analyst-23f93dd4b80787ee?fccid=253245db1a4563e7&vjs=3
