job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
Data Analyst,"$58,000 - $113,441 a year","PavCon, LLC",United States,Remote,5.0,"Is willing to roll up their sleeves alongside other analysts and engineers, developing data-driven processes to improve customer decision making.",2 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AcvyScSzxGX9e7tF2yOlgVOj93Rn6ts4Nhq9obcZl5__6xF54nqZyXQl0oo5T0znWbCn_T5bJ2yDPbHzpPr67qvSHPbPxh4NEeJsWx8CaMGTJAWVEp45jPmOgYfowgoW-pwMbwpZvMNIvIMxcUN4Bb78-lO6eftz2Ob6p_ja2KiS94wFFLQCWB6H3KMKzSm7vS-9i-Mp-XsjiCFt8t00Rlh0huM9xpGFApvd6zXwTO33IvR4pSBXpnIooGw8DvKKBMWcUspl37aG1xW6I-9P9oaHRYcVFFdzfD45YAA38nnBCRrqa9VlgBUej_4CuZ0pVPMhP1qKaCTv1fnGyKTBh2QyJqsBRB-uzwH_Lwn4MBbJ7_FRvDt5NJZNw-AOvsXEWK3jGdvq0qx5ezwfWnJ5E8e7TFpPj5PrtWHfe8jncwI5bGo4cpNnD031qDubHpF78xkryFnIQ2Q6deSVmmkohw&p=0&fvj=1&vjs=3
"Data Analyst (Power bi, Cognos, Tableau) .",$70 - $90 an hour,"TekPartners, A P2P Company","Jacksonville, FL",,3.9,7+ years experience working as a data analyst leveraging Business Intelligence tools in a centralized data warehouse environment.,Today,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CHpOIvs3qZo8sagDiUAvu-_P6y0GixwKP-GGMf9GPFgQkGm_MVHBk5iDXjIzBBdDuCP0v4HmIj5xq3idur3_W7JaMmzTEFIUc6MgH9nGfq4KI3vaCon2XvSFLVVVJUGJmkEfBAl91hQOIr64Ig4-oyhen4sdwUZ0dKOeDVYNJBe2xX0lSZElG4MnvrW_ebyxfILcdjgEhJP7HjuSkO46jKF6YPnZS009eRoORmEGwGNC1L__9PVzkB4WBHlI8eK76rcENuZoTRcHXBaphvFogZF7VFEoaupH7WH4eeEyLYB_JLj8hYX6K0NKgpwNZnhnU9rIW3sxpiJNf6HulN7q2Du6JKzP8bDPE-PhkcwxWeDPLxqK8SyjMJCoFw3g222RiRJhygVrNYAiljjHQnPuQScID3mkYYdBxerPJetzl0-_b3EzRVrMM_NeKJkvOWPAcjf1DGcdY493wa1NK49hTju37_1P2rFLvLEQqAjotqTohSTSp6Qj98oNhSHjDsQ0yiOkVgJQ0fEmBCbPi5A8WYF9cpZB-uU1hRgNXq_rgLsLhHX8wJr2N17Eye7ZWSQiS0dMZW2-bvWKKt1v0jUOnVIqhNDVoUYqMe9-69F1LM8qT_oGKCTHqhLqOZcsF8eii03ZuSgNwqRDSiqlfxAeY59_QmNdvSv7gDhlrenfGZ2_wXmSjd3FLdChT14li4sejru4FImimpYsTvxS1PJV5W72-UDqsRJTKqIyKpc5BVycKPzipOuNT6RNehC1doURDWmsFO2r0qdMF6wosEAEz8--TVWxZmz03VMUoJPzzNipl1Q4zLWmeNIFQ5ZTzUM0hSmn6TW3Hqq9A2H0ZSR5LMWEhSoTQAo9-fOJ_8DfwqaPGEgpZ0gQtuLMXIGEkP-0M=&p=1&fvj=0&vjs=3
Data Analyst,,Family Support Services of North Florida,"Jacksonville, FL",,3.9,"Maintain and update data sources to ensure data integrity.
Minimum of 1 to 3 years experience in data analysis.
Knowledge of data warehousing and analytics.",3 days ago,2021-01-15,https://www.indeed.com/company/Family-Support-Services-of-North-Florida/jobs/Data-Analyst-b83e8209dea80460?fccid=118ff66550c82a23&vjs=3
Data Analyst,,Member Benefits,"Jacksonville, FL",,4.5,"2-3 years of data analysis experience.
Verifies and logs the receipt of data and obtains any data that is missing.
Strong analytical and problem-solving skills.",3 days ago,2021-01-15,https://www.indeed.com/company/Member-Benefits/jobs/Data-Analyst-d57c9ec3739b61b5?fccid=081b42acb9a34c25&vjs=3
Data Analyst,,Family Support Services Of North Flo,"Jacksonville, FL",,,"Maintain and update data sources to ensure data integrity.
Experience: Minimum of 1 to 3 years experience in data analysis.
Strong skills in problem solving.",2 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=489189c5a0762f33&fccid=d3ba7dd42832f605&vjs=3
Clinical Quality Data Analyst - Baptist Jacksonville,,Baptist Health,"Jacksonville, FL",,3.5,"3-5 Years Quality Assurance Experience.
Extracts, validates and analyzes multi-platform clinical and administrative data using system-specific query language…",7 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=5fdc65c9a575a621&fccid=31d610af9c08b475&vjs=3
Data Analyst,,Allegient Defense Inc.,"Mayport, FL",,,"All personnel must have a minimum of three (3) years of the last five (5) years’ experience independently mining, analyzing (gap analysis, trending data, root…",16 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=684e473ea7e3f952&fccid=d2084ed2d10dbcc7&vjs=3
The Home Depot PRO Data Analyst,,The Home Depot,"Jacksonville, FL",,3.8,This position serves as the primary product data analyst within The Home Depot Pro Customer Experience / B2B organization.,30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=04f7f1ed609cef03&fccid=82e58e9861d48566&vjs=3
Data Analyst RM363256628,,Sedgwick,"Jacksonville, FL",,3.0,"Ensures data integrity; develops and produces reports utilized in measuring data accuracy.
Extracts data and analyzes information based on plan and…",24 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=ef2b4a7a7b4bb8d0&fccid=bd69ad795ae64118&vjs=3
Analyst,,Kelly,"Jacksonville, FL",,3.8,"Analyze data in Minitab and excel to summarize in formal PowerPoint report.
Formulate standard reactive monomer mixes for product development.",10 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0D6qFSVCaa8tXn-rJ3OcXif2lPyFmwsE2iZBGE4YLg1gz3DzxANTQL2jOO96VqvDuX_PsPIZmvcaRGqfr-F3Mp4RbjUPVTMSPUh0_Irj4JX4Qkcyr0Oy7yEPT9dID95THDceTOslsPLeafXMrz3FU0yb3dqmgYzdpcp9-e7f7DckGzHWLeNJsKecLc0iaMVM72mRjxj-pNBDMfFhvfRidORCZhz__GKXMHFEtZzysR4l4jMpa78D99W6zSr4mOQ9Krq5i-k2Kvf0IMm9-uAlp1ObJu4eO4t3eoD1x2T22B12YiTBMh8xAyfUW4CaJHabIgC4lfe9HBAMFILMYaInaMBEvfPZ0sLFzdw6fefshpLtbjESved4A343GtELPpZtMCxR6Zovmy2v4V5IwnUhdGhLG7pmr38xsZILHfrM9i0NlnwcN4Sh5t9BFEVLZPIGkJuTnf9Zv1QNuSkqSO62CQZ8EP6B0AL8jtihi71DSUfZLaDztIMJUUvUeG3sssDmX7Q8hL0Hlls7ER7reVyHfesMuf8jyy7-LNQxSRx9ubudTknPf_MPTslLkSNx7UzpPHMJn5Ms1nyLKTa2cr8K0lmOkLNtlePodTXI0RyuTS85ddZMR-SpIylOyvNz6zf_myUCkqaHi3FU1R4A1o2njaUks7mbZm6flmFinHne6jOGkeoVEH649-8aHK0_s2ma4macwwER0Sof11z67bh8OzHjymX9ViIPFlHwj3RWj70jzaQI-S9lyLHhY-iUGqcg3D8TNKk0mYjN9eiVq23bbXKeCQVuRGUVzSlhJQdcqrBtkVgMo3ab-gaWbVhTmU8tLk_RPhA-iwmImLDKVH_WfRmHlMsxUGilpU3kE2VvX1H-xeSFgOfoUVyJCisFWi-oV4LXApUxdq5EHGWG4Pw2BuUox3sAV8YzbdGEFHCrJtg_UglTtbjlw4bUk_N5zm4xihWmR6ryO4zDMEG8SqofKaZPdRT-x3f1C-hySqJxDzcNFdkmOfbpjiDTTF1bRlhhXlfb0He13PhXxaFLpIoZ7xXdTT-8aSqRHeKwNQggGmjjX94AZGv7cI2tcaMAq5FVYGWXmENdziHidg5Wz_nl4-nfXGkcs44fkqEOu3ckFjA5ZFMRwYBlqwGrfnUuZfzW-dVNhURzIAyUbMzjDa73pvrFm2X41fmo_PhjoYEEcdpM_4C18VPd6I2VIOC_mEVqKc=&p=9&fvj=0&vjs=3
"Global Lead, Data Strategy & Analytics, Vaccines",,Johnson & Johnson Family of Companies,"Jacksonville, FL",,4.2,Explore data-related opportunity gaps and evaluate potential partnership opportunities with the most developed data management organizations in public health.,22 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=ebb5436fb20ef7e3&fccid=0bed8e17bc113980&vjs=3
Data Analyst,,Brightway Insurance,"Jacksonville, FL",,3.4,"5 years of SQL Server experience.
3-5 years Macros in Excel.
Understands & gathers data from a variety of source systems.
Market-leading 401(k) with 4% match.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=b3d1897ebf48d9f8&fccid=60a1930874ca2095&vjs=3
Business Analyst (CPG),,Acosta - Corporate,"Jacksonville, FL",,,Keywords: Presentation / Innovation / Teamwork / Values / Passion / Sales / Creative / Teamwork / Provide / Build / Strategy / Sales / Experience / Degree /…,30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=fcc086a2e64aa932&fccid=bb5729aef28f11e5&vjs=3
Sr Business Analyst Data Integrity/Loan Boarding,,Freedom Mortgage,"Jacksonville, FL",,3.0,"Apply math skills to analyze data or create dashboards and summary reporting.
Responsible for working with other business units to ensure accuracy of data…",1 day ago,2021-01-15,https://www.indeed.com/rc/clk?jk=08a8d8c5ff3536ed&fccid=a76d167de98939bc&vjs=3
Program Analyst,"$43,683 - $69,462 a year",US Department of the Army,"Jacksonville, FL",,4.3,"Prepare report data to be used for varied management control purposes.
About the Position: The District is located near downtown Jacksonville with easy access…",3 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=9797ab4ea57027d7&fccid=c3b8389ba1f05d96&vjs=3
"Analyst, Data Integrity",,Venus Fashion Inc,"Jacksonville, FL",,3.3,"Analyst, Data Integrity JOB DESCRIPTION: The Data Integrity Analyst supports the planning department in all merchandising and analysis functions. The…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=4378a7f8330add18&fccid=6fe57a67acd71497&vjs=3
"Analyst, Process Improvements",,Crowley,"Jacksonville, FL",,3.6,"Analyst, Process Improvements - (USA00010C) Description OUR PEOPLE: Crowley is a privately-owned marine, transportation and logistics company providing…",7 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=2da0414768ec5f87&fccid=45d702db6157fc79&vjs=3
"Business Analyst I, Associate Development Program",,FIS Global,"Jacksonville, FL",,3.5,Position Type : Full time Type Of Hire : Associate Development Program (Full Time Hire) Education Desired : Bachelor of Business Administration Travel…,9 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=1a81c0c6448b06af&fccid=728c395148e5a2db&vjs=3
Sr. Data Analyst,,Nivel Parts and Manufacturing,"Jacksonville, FL",,3.0,What you'll do: Works closely with business stakeholders to understand requirements and identify data needed to improve business initiative outcomes.…,30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=c75db6c28452b644&fccid=f6ff9254d860af4c&vjs=3
BUSINESS INTELLIGENCE AND DATA MANAGER,,Swisher International,"Jacksonville, FL",,3.7,"POSITION OVERVIEW The Business Intelligence and Data Manager is responsible for driving strategy and development of data intelligence through the design,…",3 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=bba549191412f9b0&fccid=e5fc384848e95fba&vjs=3
BUSINESS ANALYST,,Selene Finance,"Jacksonville, FL",,3.4,"Description/Job Summary About Us: Selene Finance is a multi-line of business financial services firm with a mortgage servicing company, a loan diligence…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=61c3c39b3b327c6d&fccid=ddcb9e4c97de1498&vjs=3
Data Analyst (7844),,Lutheran Services Florida,"Jacksonville, FL",,3.3,"Lutheran Services Florida (LSF) envisions a world where children are safe, families are strong and communities are vibrant. Since 1982, Lutheran Services…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=8a9a2542d72c6c3f&fccid=48fe553b711f321e&vjs=3
Procurement Operations Analyst,,Amazon.com Services LLC,"Jacksonville, FL",,3.6,"· Completed Bachelor’s Degree in Supply Chain Management, Business Administration, Engineering, IT, or related field, OR 2+ years of Amazon experience · 3+…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=f3e617e17aeece33&fccid=fe2d21eef233e94a&vjs=3
Business Analyst,,"Availity, LLC.","Jacksonville, FL",,,"Availity delivers revenue cycle and related business solutions for health care professionals who want to build healthy, thriving organizations. Availity has…",6 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=645f4107e9268eb2&fccid=16c1626cef745f92&vjs=3
CONSULTANT - BUSINESS ANALYST,,GRANT THORNTON,"Jacksonville, FL",,3.7,Consultant - Business Analyst(Job Number: 048951) Description Grant Thornton is seeking an Associate to join its Civilian service line and take an active…,3 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=c7c25c0c66757a81&fccid=7ac82fceed64aa81&vjs=3
"Digital/Data Analyst, Marketing",,Venus Fashion Inc,"Jacksonville, FL",,3.3,"Digital/Data Analyst, Marketing About the Position: Venus Fashion is one of the fastest growing US online retailers, and now has an opportunity for a…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=34955fa356c88dc9&fccid=6fe57a67acd71497&vjs=3
Sr. Data Analyst,,Nivel Parts and Manufacturing Co,"Jacksonville, FL",,3.0,Job Details Description Key Responsibilities Works closely with business stakeholders to understand requirements and identify data needed to improve…,30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=21ca0093b642cdd4&fccid=f6ff9254d860af4c&vjs=3
Labor & Capacity Analyst,,"Flightstar Aircraft Services, LLC","Jacksonville, FL",,3.4,FLSA: Exempt Department: Operations Support Job Title: Labor and Capacity Analyst Reports To: Strategic Project Manager DOT/ NON- DOT: NON DOT…,18 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=8be59c5f83b95a1c&fccid=7d9f24cb22c9945f&vjs=3
Data Decision Support Analyst III,,Florida Blue,"Jacksonville, FL",,4.0,The Data Decision Support Analytics team resides within the Health Business Enterprise Shared Services team. The Decision Support Analytics team members…,3 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=d89ad7b907199adc&fccid=2fdfd060fabdfb04&vjs=3
Salesforce Business Analyst,"$65,000 - $100,000 a year",HipTen,"Jacksonville, FL",,,"The Business Analyst – Salesforce is responsible for business analysis, application design, configuration and administrative support for Salesforce solutions.…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=abd8f26313ab1bed&fccid=d5d0a5801284d313&vjs=3
BUSINESS SYSTEMS ANALYST II,,Selene Finance,"Jacksonville, FL",,3.4,"Develop data validation rules to ensure quality data.
Increases data quality through creation of data validation tools and enhanced techniques.",14 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=9e0859894ba56e02&fccid=ddcb9e4c97de1498&vjs=3
Business Intelligence Analyst,,STV,"Jacksonville, FL",,3.9,"Ensure proper data cardinality, data relationships, and quality of the data.
Unstructured data handling – consuming JSON data into reporting environments.",10 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=fe52a30e3c8ad79a&fccid=31497a32faf0ab7a&vjs=3
IT Business Analyst,,AirPro Diagnostics/Nationwide Parts,"Jacksonville, FL",,,"3+ years in a business analyst role.
Our customized OEM Remote Scanning and Calibration Solutions provide live diagnostics through a cloud-based data management…",15 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=6d9b34f5d3d43476&fccid=76aa6224963d1a6e&vjs=3
