job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
Data Analyst,"$65,000 - $90,000 a year",Stivers,"Kansas City, MO",,4.0,Minimum of 5 years in data analyst experience with an emphasis on automotive OEM financial statement accounting practices.,6 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DZwcEtq35suuM7ty19nJJ0Eqc8d0IPQAT-bk7YD0xEJYZcZx2R_v00hlcJUanpqIXlpEqek-5Lwc-4A0rOypCT7Wn67A-m3NWWYKJI1r8KHS80cS7_9WI8WHXC6ucx-qBf0srX9OYFho0KTvinFWox3GvcsVvc16wUPKmMseNCmN5dESgYVjrKKhOfbLANtUwF2Doho41VBJ3ORGJekhaKYeRmCqdechvAuWSIp81k42OfPRKfQFS1ZiDnxYQvP_Kg7RR2Gn7UPDqUwa6WqYP8njl8wG6_sUHpn9gWXEef2z90ME_-ffzyK9J7USQR-4dlmax2TfnJfKrflee0J5dpi6NTxTel3g1LPL2jqbQ9lBrlcoA_amZ_TkEHLMbtcJBVp3gT53Ys8iMhJOtbSmrdBaeon19ltmMKUUkCTjnSjrCxKrr52gtDs14jw-8SMkdAtCjxk8q0oDKdywla4ZWs&p=0&fvj=1&vjs=3
LTL Pricing Analyst,,C.H. Robinson,"Kansas City, MO",,3.4,"Strong attention to detail and accuracy within data sets.
Project management with organized project notes and working files maintaining accuracy and attention…",Today,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Bp_PwF7wSKbhHWSuqosaaZhLWqFKK1yQDPvcGYAmaJjY3ivgnCeTLvTbohY7LqGd2Bzt52aDYt1tctv2LFKzA67uCeYbaEZkPOCzeJDq05Ic_kLJaqk0GMljIar9uHhKH7XOjmhxcNEiN069Lf515P49qcek_uD4NRGKbiBd0BdoUQfkNCT32VmrRyS5CGE9WKO0pA_9ePXQznsWG4-zE1w9YChv_kY82MxKCDT0OtbQ1V1NODtNrAYfuVMsZwxaGWoE1htkaD3PXjk98ou8qcfDyKsOzsj2p7psuxcvmLAfV39vymrs7LJq8gQ1aJ0HcXHVW4h3E4xtInmTdBVEOqsLBalpug9FOqQKPd5-gqExLVLQB_9WIDntRpUqLggOrjhAE-xjpWFZFI4L3rDmBgn23m3Y6bprfWYjTIIK30kS-OQqjhN8-t-WHcjbeRPqtVEGgl07LUKjeHL2YOb39II6FLARoYlGF-DpWhXyEVuhflZlzX4OnQvP2nHM5EgVPB-7TzSPV4WKF8ynYi5F8Yf3Pu-RW4FwfEBBlj6DDc2B01K3-PIRQ-I4YohyueEfJINzxs4fsr9esc4Uz7L08J-7rNBYn2gi1ayxMhp0O-_66D81-Jxt7SpyxHpt7jjG2Btwyb5R-KV6kQE3KDrRUmVpwkBmWKWm9Pj9_XhiT-MX0JciuZrLt45WdRH_FVt6T3_gAyZplQqaQPYFsBS2gnNB8vj5G-11urezvU3374a7OtxGrBIX6t8IytISTnxVhCsK6207uwAwPHu-hbvrxgKyQAMYC7hNoTg9EMXTimzo8JWt6u_pW3&p=1&fvj=0&vjs=3
Financial Analyst,,Orange EV,"Riverside, MO",,,"Create reports and analyze data on a monthly, quarterly and annual basis providing data to company leadership.
Develop and maintain company forecast model.",3 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DkTibPTkQw43TuqvjWf2Ebai7-THb6kcSvXPcHFEXItZ7Lyq883h9fsZzIIe27j_jcQSjZ9gJ4nBsBnkxoMYKngp-oVHeiCTWY5f-wIAwOzVKoXx0JjW4zTk-PBsMP9U8M605eHvjyBefddQeMrp_JXAvx9xwudvg38hIpQlNJmqv-xsR1IZEpycVB4sfds-aDyMaTatjGBed3Vko0yOKiO6ANuDrwyGg3f-hb6OJPMg4mLxkFGfMoVncV8mdOn2SVdILv46HXBArLm6p76cQpwvTuOwLtl_soLgaCFsojNwaFhYsaydCVGwqqpghfRcswJux_g2ZtAygD-GuAN_NxtM36qg43E5DwyOzK8rzJrIh_FHO2bhioCQYKJPrmWFwP_Q9fjjZTSGffneo3ryaRpbqXFVxOEFORu2tHfJgfYqsHoXKP9bQePcyAzTAsc-H3IR1lLLPrBQ==&p=2&fvj=1&vjs=3
Data Analyst,,GEHA,"Lee's Summit, MO",,3.5,"Communicates data analysis and data solutions with business and analytic teams.
Create new insightful metrics to help enterprise track and analyze data.",17 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0C7ra8cbslmtmasv2ZguBnHCZr8jAHHNwKWPAtZwfYKSqsZdj9HfYLjJ_bAI4ZODot0g8-l4UDM2avgVwKdZkuUHxOfAkSGLhFOZnxRyctpPL_IdJBv5NW90EFP-_ZfjD_wNBRuRl9o8A8Kny3YAhAO-ucQTOA6A3WOh16TMEkwsndBlYhdUoqW4pwht8OCiOlyxOo9Tjk0UhyUT9T0OBPeRc4T6F37vTN1-dsmqXOXUMAj1yHay-GWflM9j36YUfIEHHD4uM60GJ3S5hj-it49HbFyjOtxWAQHH_CJOaq4wgTPTLEs1aCA_R5wYh-qt0Gh3GppOVFkSJByu5ei80Daa7bpCuWGqLkp398-21TG-myBSxftVPgkp1c3ElneaDM_GO_Fv9dXLe1wh9_y0HqaDm02vhO5TacwEH3tnEjQqtSSv9CLDPIYptZTvhI-WAF0uQRCPzYDAYZsu4AFyO7CzVXaJF2hUn0ECpWnU_A7DHxlKk16FXSBX8Lqb81-m2xnuP5p886y2iuQzi6eC_xkHrlIUaYKEj6-LsknpTTxdg==&p=3&fvj=0&vjs=3
Data analyst,"$57,335 - $84,204 a year",Talentgetterspro,"Overland Park, KS",,,"Experience investigating and solving complex technical problems and data discrepancies.
2+ years of SQL experience preferred.",Today,2021-01-15,https://www.indeed.com/company/Talentgetterspro/jobs/Data-Analyst-da9a47e56842fcb3?fccid=c103d4cc6afed4d7&vjs=3
Data Analyst,,Cerner Corporation,"Kansas City, MO",,3.5,"As a Data Analyst, you will access and compile data sets from various sources for exploratory and pre-defined analyses; audit data sets for completeness,…",15 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=a429e24ea37e9a49&fccid=95fa2b94b684ec6b&vjs=3
Data Analyst,"$58,000 - $113,441 a year","PavCon, LLC",United States,Remote,5.0,"Is willing to roll up their sleeves alongside other analysts and engineers, developing data-driven processes to improve customer decision making.",2 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AcvyScSzxGX9e7tF2yOlgVOj93Rn6ts4Nhq9obcZl5__6xF54nqZyXQl0oo5T0znWbCn_T5bJ2yDPbHzpPr67qvSHPbPxh4NEeJsWx8CaMGTJAWVEp45jPmOgYfowgoW-pwMbwpZvMNIvIMxcUN4Bb78-lO6eftz2Ob6p_ja2KiS94wFFLQCWBxtp42AVHhBklXwF1d9uwsTlb2wzlGgLPaNP0ioa6uOicPqb80K_mte8dNsqaiIoGOnsZ_X_WGXp-Cj5KHK8E9sYNT5YF-hSyESRX2ccKz_qxvrlQOr8IbRcjquEaCSh5919FWgfXgtpaBRvqs-zRNAlxVumNSjV7tJL-uhwNQTAvGvB59dQHztpU0w9C_RDu4VIcqmaOeFxBtmq-CgeRLwW9zwgfV6I6Vq6aWMBlEZAU6v3bv3ULtKPbzE1fgzFRHpye9zK02D4Y7H8NckzTSpQLQu_Accbw&p=6&fvj=1&vjs=3
Business Line Data Analyst,,Commerce Bank,"Kansas City, MO",,4.0,"Analyst utilizes data mining, report design, and data analysis that help the business units make decisions with strategy development and daily management.",10 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=f5a0e642827f9749&fccid=46b956db9d9df555&vjs=3
Data Analyst,$16 an hour,Sperry Rail Inc.,"Olathe, KS",,,"Provide test data analysis or comparison results as assigned by Quality Manager.
To process and analyze computer generated test data from detector cars;…",Just posted,2021-01-15,https://www.indeed.com/company/Sperry-Rail-Inc./jobs/Data-Analyst-fa9bb9844a521146?fccid=6eaf9e247ae136aa&vjs=3
Operations Analyst,,Amply Media,"Kansas City, MO",,,"This person will design advertising tests, pull data on the results, analyze that data, pick the winners and build an ever-improving group of campaigns.",1 day ago,2021-01-15,https://www.indeed.com/rc/clk?jk=4768cec35b07c170&fccid=2cd3ca4c96310260&vjs=3
