job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
IT Business Analyst,$27 - $34 an hour,ORNL Federal Credit Union,"Oak Ridge, TN",Temporarily remote,3.7,"Must possess good data analysis skills.
Acts as a resource for Core projects related to data, systems and modifications to the core.",29 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CXO9zmvAchN4rA-_oPrGtJTQuQhq5OXFoiZORHA5pe3UrVTsCRyFggZ1m37G36qhc63swD3QHr6-DZV-nalHCXhtvwDxSRiYfTUXLnasSwZ3fRNgExP8PVTGVKnVXji4X7_IjAXaVVItAZOzfuZbMabzELE-RNUpkg6unkh5biJKXsboiroWmoShLcdRL52p82G0bB0j8wU182ijCRLGDFmdm6hyQtNDBRnrQiIwhGtWmh3cE8JpMeXHQYqkcCmIUQ99UU7m1ft6wEzvlJNI1wjXYacbrs2G4Zbj0rAb3TDDVhyXB8doD1EAOJeY4Tde8G5gNh4akNyxAmZZH7YR1BsT9AlIrb7l4cCKD4Z8XdMTYzHkFpVSdh6V-DHKwBoshHzUbZrOKMAPLYlph-dQyGA7SiCWa1Vw0LJEKLWAcUmZGnZmkIe70O-naZBMtwaxZyXi3pMuQ9EQ==&p=0&fvj=1&vjs=3
IT Business Analyst,,Pilot Flying J,"Knoxville, TN",Temporarily remote,3.2,"2 – 5 years of experience with business process analysis.
IT Business Analysis: 5 years (Preferred).
This position will be responsible for working with the…",30+ days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BHJw5Gis_UoRXmUXA_4bvf0XyzDjfGlzFyeSANx3GshuWaPUjsr2rBf2e-xYfEYNfPsfd4SC0B3m1SNMd8cbndy4H0aKeN7b0hxcAis1VcUEiMTmmAo9hKvI8hikLM8LXxHb93bCDyXUOy0qPHV8XDueOD6XlZnWZtpiZWYm-x6J_10JjyD_yMJ7PjnWoD4UXIbFhErvPbXHolnBRmnVI-nkA44_cmRmMeUwHYANMBFzY8P8USmUvR-RSBEXupGHA5kv1GmO7zk7LFkm027a94Ckm7aF1mKsVDAGr_BiJTSoL4p6CXeNnb2toKkMvJQRFkaGJ1PIiJ_hEPOOztWK9ROF4SYIMXeqU9iIE2RNI14iWjzxdUVXmTv-nceoQtJFmdfp9vvniLZ5gNx3_5SxoZs5XVePswsjjDNpSVgDw-0cchwP7wWUt9lDguBryfoeTlDk-uKHlUzajEENTVYy3u&p=1&fvj=1&vjs=3
GIS Data Analyst,,MartinFederal,"Oak Ridge, TN",,,"Random sampling of data post-enrichment.
Automation of geographic analyses of data.
The data is generated through open sources locations.",1 day ago,2021-01-15,https://www.indeed.com/rc/clk?jk=b08c2c450bd1be42&fccid=24536c05c86d9d8f&vjs=3
Data Analyst,"$58,000 - $113,441 a year","PavCon, LLC",United States,Remote,5.0,"Is willing to roll up their sleeves alongside other analysts and engineers, developing data-driven processes to improve customer decision making.",2 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AcvyScSzxGX9e7tF2yOlgVOj93Rn6ts4Nhq9obcZl5__6xF54nqZyXQl0oo5T0znWbCn_T5bJ2yDPbHzpPr67qvSHPbPxh4NEeJsWx8CaMGTJAWVEp45jPmOgYfowgoW-pwMbwpZvMNIvIMxcUN4Bb78-lO6eftz2Ob6p_ja2KiS94wFFLQCWBN2xwEwUYIkm27oz2ox8cUMvHo9qChP9Ues-W6a6OdKswNV8C0lJQFJaWXDCCxcSceTHRDqBEbeY9KLUh1gsJpwGaPtc0B6Gkby5hzAgneTKqD6MwZySIku27EXJZwBhj8Mp4Z8QafzmLJ8r7reYx8skAwvh7F0WTUI964kKkSHO-pcrB1oJjEU1AoOCSvQw7a0-NKKbQVJz6IbnRLHpy9m9egThHsyib4gyrpVx3YlgeHLnlbj67s_oWVI6Lcrxp5ctkv8h8rlXLyx3AiQrGww==&p=3&fvj=1&vjs=3
Data Analyst,,Tombras,"Knoxville, TN",,,"Interpret media marketing data and analyze its effects on KPIs and ROI.
You will be responsible for the execution, evaluation and effective communication of…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=279261458a406d53&fccid=750355b55882fda7&vjs=3
Data Analyst I,,kiranam technologies,"Knoxville, TN",,,"Someone coming from some sort of accounting background that was doing data analysis would be a good fit.
This position will be day to day reviewing working in…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=e017645bb51a88a0&fccid=e2e8cfb17a406cbf&vjs=3
Data Analyst,,The Tombras Group,"Knoxville, TN",,4.2,"Interpret media marketing data and analyze its effects on KPIs and ROI.
You will be responsible for the execution, evaluation and effective communication of…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=f84f4acc8a73b095&fccid=6130a50558f36dec&vjs=3
Contracts Business Analyst Assistant (CBAA),,Edgewater Technical Associates,"Oak Ridge, TN",,3.7,"Performs specialized activities involving obtaining and providing data and information.
Must have bachelor's with 2-4 years of experience, or a Master's with 1…",11 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=5d9f39dff80c0dde&fccid=6ef85f272db55cfc&vjs=3
Contact Center Data Analyst,,Cellular Sales,"Knoxville, TN",,3.4,"Build and maintain functioning data work processes to include report creation, record management, performance and data assessments, forecasting, and data…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=156551d0ac3a5d90&fccid=c175dafc4c22e162&vjs=3
Business Analyst I or II,,Clayton Homes,"Maryville, TN",,3.5,"Two to three years’ experience as a business analyst, process analyst, or product owner.
Assist business stakeholders with testing of system changes and analyze…",30+ days ago,2021-01-15,https://www.indeed.com/company/Clayton-Homes/jobs/Business-Analyst-or-c5c16d61d13258a8?fccid=0fe260fdc0281b71&vjs=3
Business Intelligence Staff Consultant,,PYA,"Knoxville, TN",,4.0,"Possess in-depth understanding of underlying data, data structures, and business uses to ensure dashboards/reports meet client needs.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=8c62464948cd5fb6&fccid=5dd4d7be4999f809&vjs=3
Business Analyst III,,Clayton Homes,"Maryville, TN",,3.5,"Assist subject matter experts with ensuring data integrity, testing of system changes, and analyzing data flows for process improvement opportunities.",30+ days ago,2021-01-15,https://www.indeed.com/company/Clayton-Homes/jobs/Business-Analyst-3ba3fefb4a388ed4?fccid=0fe260fdc0281b71&vjs=3
Business Analyst,,TeamHealth,"Knoxville, TN",,3.4,"Engage in ongoing data validation and data scrubbing.
3 – 5 years’ experience in corporate or operational reporting/analysis.
This position will be remote.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=0851f3f5b7b120d8&fccid=c7ae64ef81b1f042&vjs=3
Business Intelligence Senior Consultant,,PYA,"Knoxville, TN",,4.0,"Possess in-depth understanding of underlying data, data structures, and business uses to ensure dashboards/reports meet client needs.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=3ebe11ace294eaf9&fccid=5dd4d7be4999f809&vjs=3
Home Owner Experience Business Analyst - Home Building Group,,Clayton Homes,"Maryville, TN",,3.5,"Assist subject matter experts with ensuring data integrity, testing of system changes, and analyzing data flows for process improvement opportunities.",25 days ago,2021-01-15,https://www.indeed.com/company/Clayton-Homes/jobs/Home-Owner-Experience-Business-Analyst-3d95a62b21b07fdb?fccid=0fe260fdc0281b71&vjs=3
