job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
Data Analyst,"$58,000 - $113,441 a year","PavCon, LLC",United States,Remote,5.0,"Is willing to roll up their sleeves alongside other analysts and engineers, developing data-driven processes to improve customer decision making.",2 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AcvyScSzxGX9e7tF2yOlgVOj93Rn6ts4Nhq9obcZl5__6xF54nqZyXQl0oo5T0znWbCn_T5bJ2yDPbHzpPr67qvSHPbPxh4NEeJsWx8CaMGTJAWVEp45jPmOgYfowgoW-pwMbwpZvMNIvIMxcUN4Bb78-lO6eftz2Ob6p_ja2KifpX5iIKZYyx1AnIfbULr7cgdcTUlQtiKZP4deafsV5rJdLHeHWcmu5LRHt_DYjkTzwPV9W02lbUF5ecv3m10SvDRAvx1CYA_bDOz9vCoD5QgGX1cJHQKxoHDW9gFQK8IcaaEy5crbDP3OGG3L4db4kz8OsV7Groeq1wvba80_R9kjRIvbs1WYiCiKfLCG9rpaEtW73pTWniREiIWkkR4ARcWjdN8SzpzqIwExKMmauPux5RUF8TddGqHsrqiYGgtXL-yRqeqiYdnItqzfDmaww=&p=0&fvj=1&vjs=3
Data Analyst - Employee Health,,St Rose Dominican - Siena,"Henderson, NV",,3.9,"Collects necessary data and enters into appropriate database.
Understanding of statistical concepts and ability to validate data.",Today,2021-01-15,https://www.indeed.com/rc/clk?jk=918d93f72a38a494&fccid=e309b8a71206cc5c&vjs=3
Data Analyst,"$50,000 - $70,000 a year",Builders United General Contractors,"Las Vegas, NV",,,"5+ years of data analysis experience.
Search and collect data via the internet from multiple public, private, paid and free data sources on an ongoing basis.",10 days ago,2021-01-15,"https://www.indeed.com/company/Builders-United,-LLC/jobs/Data-Analyst-1a88e67c295eb170?fccid=5fb6d12adfcb930b&vjs=3"
Data Coordinator/Analyst,,Alaka`ina Foundation Family of Companies,"Nellis AFB, NV",,3.4,"The data analysts shall collect all procedures being performed at the civilian facilities by military providers/surgeons, coordinate with clinical coding to…",3 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=033aae27a472967a&fccid=3710756e09c5756b&vjs=3
Senior Data Analyst - Commercialization,,Curaleaf,"Las Vegas, NV",,2.0,"Performs processing, cleansing, preprocessing and verifying the integrity of imperfect data used for analysis; able to identify various data structures and…",1 day ago,2021-01-15,https://www.indeed.com/rc/clk?jk=f420e7bcbb142239&fccid=6022baab463e8cb8&vjs=3
Data Analyst - (Temporary Remote Due to Covid) - ID: 4451,"$32,000 - $34,000 a year",Power Fusion Media,"Las Vegas, NV",Temporarily remote,,"Interpreting unusual patterns across many data-sets.
Organizing diverse data-sets into various categories.
2 years of data analysis (Preferred).",14 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=b75b7279f91735b8&fccid=def24784790fe152&vjs=3
Data Analyst (STAR Analytics) - Telecommute within PST time zone,,UnitedHealth Group,"Las Vegas, NV",Remote,3.7,"Serves as healthcare data analyst for local and national market projects.
Troubleshoots data integrity issues, analyzes data for completeness to meet business…",Today,2021-01-15,https://www.indeed.com/rc/clk?jk=5bbedc03d3ff0c3e&fccid=d3d3520998346837&vjs=3
"Data Analyst - Las Vegas, NV or Telecommute",,UnitedHealth Group,"Las Vegas, NV",Remote,3.7,Develops and maintains data preparation and validation routines to support data mining and has experience in creating complex data mining algorithms.,30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=6b8d4f5762918377&fccid=d3d3520998346837&vjs=3
Analyst,,Interblock USA LC,"Las Vegas, NV",,1.5,"Ideal candidates will have 3-5 years of experience in a finance, complimented by a strong academic record in Finance, Business, Economics or Mathematics.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=a85243639285e9a8&fccid=f76afa6375e0ff02&vjs=3
Business Analyst,"$50,000 - $75,000 a year",Boxabl,"Las Vegas, NV",,,"Methodically maintain data and metrics to help in Financial Forecasting and Planning.
The position involves sorting through multiple complex interconnected data…",28 days ago,2021-01-15,https://www.indeed.com/company/500-Group-Inc./jobs/Business-Analyst-c92e2b72fb8b21f4?fccid=ce5abc71fd02accd&vjs=3
Data Analyst,,MP Materials,"Las Vegas, NV",,,"Minimum 3 years work experience with quantitative and qualitative data interpretation and analysis.
Identify uniform data points for analysis.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=87669c61583433be&fccid=e55f5c5597fa458e&vjs=3
"SAP Data Analyst @ Los Vegas, Nevada. Please share profile ASAP",,iknowvate technologies,"Las Vegas, NV",,,"Has dealt with data generation tools and data strategies to deploy training needs.
Ability to take data requirements and mine for training data based on…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=a2a8f5f6ad3a05b7&fccid=9ace5aa4e4fa6ce2&vjs=3
