job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
Data Warehouse Analyst,$48 - $50 an hour,Dash technologies,"Madison, WI",Temporarily remote,,"Comfortable in a complex data environment and understanding of data structures.
Client is looking for a strong practitioner with 5 or more years of business…",Just posted,2021-01-15,https://www.indeed.com/company/Dash-Technologies/jobs/Data-Warehouse-Analyst-f871f4f76d2e2410?fccid=b6561651b22819c1&vjs=3
Business Analyst,"$85,000 - $90,000 a year","TeamSoft, Inc - a Peoplelink Company","Madison, WI",Temporarily remote,4.4,"TeamSoft offers a suite of full health & wellness benefits to all of our W2 consultants, which includes a 401k plan with up to a 4% match, as well as, 5 weeks…",30+ days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CDnM5sd8xm-oblXveha-6FtfcH0FCVtGhSv4X_eUJIAbaka4M7RIcz5DzKvXwWouVc9pfXJDGq_u_dYiS9LOSX4hgGJmpJir2xzytregmrZM7Jj5wX-2SlXH6PbyaZPBpoC3bEwDbC9fNu0PYVt4hzVsE9WBwLNpNP3OdgPcHBKUflgmvp6JyBie8rkwlrBHwrhXdEA2C4Naqap8TBZbHKBu_Qy_N0bDdyf6YV5DNKEJn147lX9OMQC5yievMJ8BIjKAsS_MFyBiU68K2fJhilKknabw6-eOd_rpq3xYlFIat_U-uZljznKI3aP7XBixfZUzerXuAupMvcGVrBAWjWJ_MZKlhkrIV6l5E-oYlRKqK6GMenXH7khnkIGoluD6aViLuItsczSfxJptTov3RgiquZXJH_qyDCZKLkp05LCZ6SLpVkI_htFlyq1MOgW0gpA19lJSS8CQ==&p=1&fvj=1&vjs=3
Data Analyst,"$58,000 - $113,441 a year","PavCon, LLC",United States,Remote,5.0,"Is willing to roll up their sleeves alongside other analysts and engineers, developing data-driven processes to improve customer decision making.",2 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AcvyScSzxGX9e7tF2yOlgVOj93Rn6ts4Nhq9obcZl5__6xF54nqZyXQl0oo5T0znWbCn_T5bJ2yDPbHzpPr67qvSHPbPxh4NEeJsWx8CaMGTJAWVEp45jPmOgYfowgoW-pwMbwpZvMNIvIMxcUN4Bb78-lO6eftz2Ob6p_ja2KicHrs-yoLx6__XA2UW1LGSvEnXiRKBhhaeRu--qOmuqhm1cRNnVRehJmns2AboxLNf2FLgGbF3a0FMfYSKGy8x_dzd4AKLAQxebhPvYmivxjbONifJ6BboLr4IVRuK9etHKb25TzUH8KsMfIYzNT2zz_OjwkZyiL08TJ78GlJJse0Qj1b4nz8XilPre1bbMDK0NJITdD0pppSxZTfB7GNrVim9-18dP1VKikPWo9nRLKE5bYcmapt6rAT2z-XDMARU0DrxtTsWN65-JNmRH7O-tyFqzNu7gnew==&p=2&fvj=1&vjs=3
Business Analyst - Data Analytics,"$45,000 - $70,000 a year","Culver Franchising System, LLC","Prairie du Sac, WI",Temporarily remote,,"Has a bachelor’s degree in an analytics related field and a minimum of 3 years of relevant experience.
Has a high level of attention to detail.",30+ days ago,2021-01-15,https://www.indeed.com/company/CFS/jobs/Business-Analyst-c49d81fb0f73f6ab?fccid=e2d1421c66bb80b0&vjs=3
Data Analyst,,Forward Health Group,"Madison, WI",,4.3,"1+ years of related data management, analysis and/or programming experience.
The Data Analyst develops, validates, and supports the accurate and timely delivery…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=6369f35213095737&fccid=f76019c7f8c12bad&vjs=3
Associate Data Analyst,,ST genetics,"Middleton, WI",,2.5,"Assist with data entry and reporting test data.
As a data analyst this position will perform genotyping analysis and will be involved with the SNP transfer…",2 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=5e1b0237fff087f4&fccid=3e04aa1efaf91e55&vjs=3
Outreach and Data Analyst LTE,,State of Wisconsin,"Dane County, WI",Temporarily remote,3.5,This position requires a creative thinker and self-starter with the ability to implement new data collection tools and the ability to analysis the results and…,1 day ago,2021-01-15,https://www.indeed.com/rc/clk?jk=0347d1fe686dda4b&fccid=382b064faa12254d&vjs=3
BUSINESS INTELLIGENCE AND DATA ANALYST,,University of Wisconsin System,"Madison, WI",,4.2,"Experience processing and analyzing data.
Understanding of data warehousing concepts.
Familiarity with data governance principles.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=6ee5b9b3497e9827&fccid=8c5aa2ae8175327f&vjs=3
Business Analyst Intern,$22.10 an hour,Wisconsin Department of Children and Families,"Madison, WI",,3.5,"Direction will come from the business analyst leads currently on the team, as well as general oversight by the Child Welfare Section Manager.",7 days ago,2021-01-15,https://www.indeed.com/company/Department-of-Children-and-Family-Services/jobs/Business-Analyst-Intern-a59417ae81642a8d?fccid=cbb92747e321bdf6&vjs=3
Data Analyst and Reporting Specialist,"From $71,322 a year",Forward Service,"Madison, WI",,3.5,"Acquire data from primary or secondary data sources and maintain databases/data systems.
Technical expertise regarding data models, database design development,…",24 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=22e50c596a5e1c04&fccid=d6f82f94410a4bae&vjs=3
Data Analyst or Data Engineer,"$70,800 - $90,624 a year",State of Wisconsin,"Dane County, WI",,3.5,"Improve data quality and fix data issues in dashboards, reports, data warehouses, operational data stores and other disparate data sources.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=e05ac81c613baad6&fccid=382b064faa12254d&vjs=3
Business Analyst,,AE Business Solutions,"Madison, WI",,4.2,"Conduct data analysis and report on the findings.
Write SQL queries or utilize Excel in complex data analysis.
5+ years performing business analysis.",1 day ago,2021-01-15,https://www.indeed.com/rc/clk?jk=186c52d582e4b614&fccid=f4ee9e15bf5bd57b&vjs=3
DATA SCIENTIST- PROGRAMMER ANALYST,,University of Wisconsin–Madison,"Madison, WI",Remote,4.4,This individual will also serve to oversee the data management team that includes other staff analysts and data managers and other research team members who may…,8 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=b7a296cb8e0ff5fa&fccid=22b1d1aaa50a1a45&vjs=3
Data Analyst,,INOC LLC,"Madison, WI",,,"You will need to see through the data and analyze it to find conclusions.
Data analysts should be able to work with clients, supervisors, and managers to meet…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=f2ecdde5f9b1d8eb&fccid=19e8671ca89faa50&vjs=3
Associate Professional Business Analyst,,Gainwell Technologies,"Madison, WI",,,Assists in analyzing and documenting client's business requirements and processes; communicates these requirements to technical personnel by constructing basic…,1 day ago,2021-01-15,https://www.indeed.com/rc/clk?jk=81bb97e3658e47a4&fccid=fc5050a2f66dd83b&vjs=3
DATA SCIENTIST- PROGRAMMER ANALYST,,University of Wisconsin–Madison,"Madison, WI",Remote,4.4,This individual will also serve to oversee the data management team that includes other staff analysts and data managers and other research team members who may…,8 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=b7a296cb8e0ff5fa&fccid=22b1d1aaa50a1a45&vjs=3
Data Analyst,,INOC LLC,"Madison, WI",,,"You will need to see through the data and analyze it to find conclusions.
Data analysts should be able to work with clients, supervisors, and managers to meet…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=f2ecdde5f9b1d8eb&fccid=19e8671ca89faa50&vjs=3
Associate Professional Business Analyst,,Gainwell Technologies,"Madison, WI",,,Assists in analyzing and documenting client's business requirements and processes; communicates these requirements to technical personnel by constructing basic…,1 day ago,2021-01-15,https://www.indeed.com/rc/clk?jk=81bb97e3658e47a4&fccid=fc5050a2f66dd83b&vjs=3
Logistics Analyst,,Aprilaire,"Madison, WI",,,"Merge internal and external sets of data to build a logistics and distribution database for KPI reporting.
Solid analytical and problem solving skills, accurate…",9 days ago,2021-01-15,https://www.indeed.com/company/Research-Productions-Corp/jobs/Logistic-Analyst-1aaa3684c5c0d7a5?fccid=837cafde9594accb&vjs=3
Business Analyst Intern,$22.10 an hour,State of Wisconsin,"Dane County, WI",,3.5,"Direction will come from the business analyst leads currently on the team, as well as general oversight by the Child Welfare Section Manager.",8 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=558a04bae6afa70c&fccid=382b064faa12254d&vjs=3
Business Analyst,$35 - $55 an hour,Comcentia,"Madison, WI",Temporarily remote,,"EHR HL7 Interface Support: 3 years (Required).
Reviews, analyzes, and evaluates business systems and user needs for Electronic Medical Record (EMR) software.",30+ days ago,2021-01-15,https://www.indeed.com/company/Comcentia/jobs/Business-Analyst-36969c3a28647a14?fccid=3112c165b5d0465e&vjs=3
Business Intelligence Developer / Data Analyst,,Agrace Hospicecare,"Madison, WI",,3.2,"Agrace is hiring for a business intelligence developer / data analyst position to assist in the design, development and support of the reporting data warehouse.",10 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=06db108b6cc13c6f&fccid=ae29b3db85104d55&vjs=3
Business Analyst,,Johnson Health Tech,"Cottage Grove, WI",,3.6,"Under the direction of the Sr Director of Global Customer Service, the Business Analyst is someone who acts as a representative to lead and/or participate in…",6 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0D0ff9e8Lfwlpl5zGbQmpn59AL71QmFd7VKOAnfyjZzp30iMMN3yCwMIJm4qOcYKaWGAsKuL3yxe1XrXdswGPw083pj3hlFB0xZxn62UG8SnG5cv9HCfPypuxwWPnOO54OlHWoo_ieFDCgBIxtcwtItEKzUflGWX0eO1LPQN2fZjOI9R6Q1ykaUYBNXkJGcODRaqu1xOy_oWZRH9ktVm9C8cHa7a7jzyLpI58wDXirA-A8_Pavxex3QOsYnTCSbpNBOHnwtXhO5dIjQusAgpSaRoEJBnCTC8WIBSe1nP5PI8gi3iwalgCgUCelxNpjKLFC5AMAFdJ9zXBQH5G4OiIHxO8kFY9R7eLaPI1ScimcY7XjIK_aCTOt4Mmqj5kj-Y3B2DLEPrK9SjJtQa5ML8I7lDijw4eGOlrg=&p=7&fvj=0&vjs=3
Business Analyst - Data Warehouse Team with Business Objects,,Gainwell Technologies,"Madison, WI",,,"As part of Long Term Care Data Warehouse (LTC-DW) team, this Business Analyst will research, elicit, analyze, validate and document business requirements, and…",24 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=6439d9aee9030581&fccid=fc5050a2f66dd83b&vjs=3
Data Governance Analyst,,Exact Sciences Corporation,"Madison, WI",,3.0,This role is data-centric and requires analysis and demonstrated knowledge in data governance and data quality to aid in building an enterprise data-driven…,30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=07ee7d04740df9ac&fccid=dd73ad6992d82d48&vjs=3
Insurance and Liability Analyst,"$59,592 - $82,472 a year",Madison Metropolitan School District,"Madison, WI",,3.8,"Bachelor's degree from an accredited college or university in Risk Management, Public Relations, Business Administration or other related field or minimum of 5…",30+ days ago,2021-01-15,https://www.indeed.com/company/Madison-Metropolitan-School-District/jobs/Insurance-Liability-Analyst-17e3536f543047ab?fccid=fa7bd5fdbb3aadf3&vjs=3
IS Business Analyst - Senior,"$59,280 - $67,600 a year",State of Wisconsin,"Dane County, WI",,3.5,"Full Time (40 hrs/week).
Pay for current State of WI employees will be based on the compensation plan in effect at the time of the appointment.",10 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=5a3222a0389652f5&fccid=382b064faa12254d&vjs=3
SEO Analyst-REMOTE,,Pearson,"Madison, WI",Remote,3.7,"Collects and analyzes data on established and prospective customers, competitors, and marketing channels/sources.",10 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=d9e8d6cbf417be96&fccid=915b1c0ee87e5e8a&vjs=3
Program Analyst,"$64,649 - $84,049 a year",US General Services Administration,"Madison, WI",,4.1,Knowledge of financial and/or acquisition data collection systems and their interfaces with other IT data and reporting systems.,9 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=ac480a195e8b4440&fccid=80df9342aa52eba6&vjs=3
HEDIS Data Analyst Senior,,SSM Health,"Madison, WI",,3.7,"Participates in enterprise-wide data governance and master data management activities.
Frequent keyboard use/data entry.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=6d51fe10999f0a04&fccid=b00c5e088999b49c&vjs=3
"Data Warehouse Analyst - W18018 5.8 Madison, WI",,CapB InfoteK,"Madison, WI",,,"Comfortable in a complex data environment and understanding of data structures.
Experience in requirements gathering for data warehouse.",28 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=660a35b2c859c1f1&fccid=5033463af3c58699&vjs=3
Business Operations Analyst,,Covance,"Madison, WI",,3.2,Preferred : Masters in Business Administration and/or experience with IT systems within Covance/CPS environment Experience: 5 - 8 years of experience in the…,3 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=2a7238a0f705b61e&fccid=8c8fa600b6a5fdd5&vjs=3
Business Analyst,,Johnson Health Tech,"Cottage Grove, WI",,3.6,"Under the direction of the Sr Director of Global Customer Service, the Business Analyst is someone who acts as a representative to lead and/or participate in…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=4760f37d2ea0759d&fccid=be5344ad7b3c8b15&vjs=3
Business Analyst with Healthcare & Insurance,$60 an hour,ibrain Technologies Inc,"Madison, WI",,,"Direct : 571-464-0596 / 678-765-1678 EXT: 109.
Title: *Business Analyst with Healthcare & Insurance.
Job Type: C2C / W2 / 1099*.",30+ days ago,2021-01-15,https://www.indeed.com/company/ibrain-Technologies-Inc/jobs/Business-Analyst-Healthcare-Insurance-64297d20996c28d0?fccid=007aebf599ab5183&vjs=3
Business Analyst (eCommerce),,Wesco International,"Madison, WI",,3.3,"The business analyst specify various strategies for completing the project and identifies the data flow.
The business analyst also undertakes designing and…",3 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=6e675b964fe6fa1e&fccid=80fa24e3e94a3473&vjs=3
Data Warehouse Analyst II,,TechNet Inc.,"Madison, WI",,,"Experience working with data warehouses and dimensional data models as a data source for dashboard development.
Oracle, DB2 and SQL Server.",18 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=76b37d57c2eccde4&fccid=a763917df8576927&vjs=3
Business Analyst/ Consultant,,CapB InfoteK,"Madison, WI",,,"The Business Analyst / Quality Assurance Tester position participates in documents business flows and processes, analyzes requirements, and participates in…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=0f123b9022dbc998&fccid=5033463af3c58699&vjs=3
Senior Professional Business Analyst,,Gainwell Technologies,"Madison, WI",,,"Analyzes and documents client's business requirements and processes and communicates these requirements by constructing conceptual data and process models,…",9 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=13b23fa825b9d755&fccid=fc5050a2f66dd83b&vjs=3
"Business Analyst W17958 5.0 Madison, WI",,CapB InfoteK,"Madison, WI",,,"Reviews, analyzes, and evaluates business systems and user needs for DOC's Electronic Medical Record (EMR) software.
Experience with EHR HL7 Interface Support.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=aa131382002493f7&fccid=5033463af3c58699&vjs=3
