job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
Senior Business Analyst,,FedEx Express,"Memphis, TN",,3.9,"Five (5) years related experience in business planning, systems analysis or project management including use of business modeling and measurement systems…",3 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CKgl-Hk2MXkUWPnMq8357fMGz8n-mOPvKenEHbrQch3pMSyXx7eEmE5h6jAz8ZCc_XLIRrFoXc3KThpEtx8Dg-fIQWaIMwp2VpBfdabu2iJzx6E3MOpC8ggMJ_1-SgIAXHH-oVRHwb1C17PaWQVRSV8tUmgozQKnGiMI3LQiN4tI5Y66dDSVO4Rvi-gUZ-PIqReRr1iXvnNP0FvUPYzFA42Bb0ekFppvTNAAuLRziJkBZ5ApBmmJBeQbOxQVv5-9kF2xRYcJ8k9gtonooN83jH8AIIbBEtAQ3AkXbmm1dYtidL-FB4IQ0wI38KwRHGV1f2WQxEcDqAjioqLnVNqGxXv9mei_EK0JywWEVycF8ylJ1DXfhl8XjYQVp3om-4YSxlizhzY0ti7ZjMWI00FI_90lgEU51TkYoF3hGhVTBHuz5r-8jCAJpaP1hxi9ssPN_qFg1VCHARlbzb8fyY2XBppRryvfIAjtAFDKcOQZ--PkZJMtatoEUNH-TPr4npQDO5r2uBKcDsV7KBKJ7lPdiThWZUg2J-vWo4-UFXs2mOEYaMgZuLGmrBJ4f_OqcYD0xHms3nWEtobg==&p=0&fvj=0&vjs=3
Data Analyst,$25 - $55 an hour,Terminix,"Memphis, TN",Remote,3.0,"Ensures data integrity; develops and produces reports utilized in measuring data accuracy.
Extracts data and analyzes information based on plan and…",1 day ago,2021-01-15,https://www.indeed.com/company/Terminix/jobs/Data-Analyst-ad58c93f3cb33a16?fccid=e4058469dacc7d38&vjs=3
Data Analyst,"$58,000 - $113,441 a year","PavCon, LLC",United States,Remote,5.0,"Is willing to roll up their sleeves alongside other analysts and engineers, developing data-driven processes to improve customer decision making.",2 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AcvyScSzxGX9e7tF2yOlgVOj93Rn6ts4Nhq9obcZl5__6xF54nqZyXQl0oo5T0znWbCn_T5bJ2yDPbHzpPr67qvSHPbPxh4NEeJsWx8CaMGTJAWVEp45jPmOgYfowgoW-pwMbwpZvMNIvIMxcUN4Bb78-lO6eftz2Ob6p_ja2KicHrs-yoLx6_egzMrVpJPbodDpP-Eyrrh5RYyxeQymWnuFkou0ge8ThIIuZUdRpHkAuzURRsKcy5Iq-Cx7aHXYB_btmB6-r2Ig7agwdY1jiOIE8lbte6JkuxvUm9m9wQvl4LT1gPWcgUy2CfO-c4QkqBqynuDaJXYkpsJ63ulsoArMT18kyLe0kjQh88nvbREclUDcDPXHGgt-WBa2sJWl269b6NRIpZAL7mFAq6plCxvBxrW5wZMmlXM4D66GSJxjncKn2Q8SfkV3TOrhT5r14m4kcKPGTNxg==&p=2&fvj=1&vjs=3
Data Analyst - All Levels,,FedEx Services,"Collierville, TN",Remote,3.9,"Five (5) years work experience in measurement and analysis,quantitative business problem solving, operations analysis,marketing analysis, simulation development…",9 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=8f68ecd505b848d0&fccid=2ae04b97d8829e58&vjs=3
Data Analyst,,FedEx Services,"Memphis, TN",,3.9,"Under general supervision, designs and implements processes and solutions associated with a wide variety of data sets used for data/text mining, analysis to…",2 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=f40c365738b1bf72&fccid=2ae04b97d8829e58&vjs=3
Business Data Analyst,,DHL | Supply Chain,"Memphis, TN",,3.7,Uses knowledge of business and data structure to discover and/or anticipate problems where data can be used to solve the problem.,Today,2021-01-15,https://www.indeed.com/rc/clk?jk=601f4a02083317e5&fccid=5b8d10630cb111eb&vjs=3
Public Health Data Analyst - EPIDEMIOLOGY (Health Services),"$3,287 a month",Shelby County Government,"Memphis, TN",,3.6,"Provides data support and technical assistance to epidemiology program staff including database design, data entry, data management, GIS mapping, and basic data…",1 day ago,2021-01-15,https://www.indeed.com/rc/clk?jk=db9e4b374c73bb42&fccid=29dc09830d2f5c69&vjs=3
Report Analyst,,Williams-Sonoma-Supply Chain,"Memphis, TN",,3.5,"Ability to analyze data and organize reports.
Ability to analyze data and organize reports.
The Report Analyst will generate and review LM reporting utilized to…",1 day ago,2021-01-15,https://www.indeed.com/rc/clk?jk=76883e96c5fe1cb9&fccid=cdd85c4d445cce0f&vjs=3
Data Security Analyst,Up to $29 an hour,Vision,"Collierville, TN",Temporarily remote,,"Data security: 3 years (Required).
Experience with data security (encryption, DLP, help tickets).
Experience with data security (encryption, DLP, help tickets)…",2 days ago,2021-01-15,https://www.indeed.com/company/Vision/jobs/Data-Security-Analyst-8a2090eaa858732a?fccid=c803b4b45f85b24e&vjs=3
Data Visualization Analyst,,Southwest Tennessee Community College,"Memphis, TN",,4.1,"Creating data dashboards and visualizations using industry packages.
Candidates who are called for an interview must notify Human Resources in writing at least…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=4af571f6c6c62d0c&fccid=1563139184a7b8f1&vjs=3
Budget & Performance Analyst,"$52,042 - $65,042 a year",City of Germantown,"Germantown, TN",,3.8,"Knowledge of performance measurement systems and ability to analyze performance measurement data.
Ability to gather pertinent facts and data, make thorough…",7 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=c91ea3444c99a860&fccid=046d6e9f5cf57703&vjs=3
Business Analyst I,,Hope Enterprise Corporation,"Memphis, TN",,3.8,"Technical expertise regarding data models, database design development, data mining and segmentation techniques preferred.",3 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=aa9339f7bafb35a7&fccid=c89d9589656000f9&vjs=3
Business Analyst,,SLK Software,"Memphis, TN",,3.4,"Ensure all the non-functional requirement is captured.
Assist PO / Architect in developing detailed project plan.
Learning initiatives as per the plan.",2 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=93e40e80a59f31b0&fccid=834b14d4c5d44165&vjs=3
Business Analyst,,DHL | Supply Chain,"Southaven, MS",,3.7,"Trend analysis including coordinating with data engineer to analyze trends in data in preparation for monthly, quarterly and annual program presentation and…",1 day ago,2021-01-15,https://www.indeed.com/rc/clk?jk=ae59136533c79ff3&fccid=5b8d10630cb111eb&vjs=3
Analyst-Data Reporting Intermediate,,Baptist Memorial Health Care Corporation,"Memphis, TN",,3.6,"Manages large and small data sets.
Capture, develop, and document data definitions, business rules, and data quality requirements.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=97e0c00312f930bf&fccid=74545c1a569cd494&vjs=3
PROGRAM ANALYST,"$92,143 - $119,787 a year",US Department of the Navy,"Millington, TN",Remote,4.3,"You will design data collection techniques, data analysis methodology, data integrity tools, and data automation tools for improvements to processes and to…",Today,2021-01-15,https://www.indeed.com/rc/clk?jk=7d69c5a7120e11c5&fccid=302c62dc6627d2d4&vjs=3
RPA BUSINESS ANALYST,,First Horizon,"Memphis, TN",,3.7,"Comfortable working with data and reporting tools.
Support the Robotic Process Automation (RPA) Center of Excellence (CoE) by identifying processes that can be…",1 day ago,2021-01-15,https://www.indeed.com/rc/clk?jk=823244fb6b23c733&fccid=e4ad7be5c01907fb&vjs=3
Product Data Analyst,,Orgill,"Collierville, TN",,3.2,"You will have a minimum of 3- 5 years’ experience in data analytics, hardware merchandising, and/or product data management in an eCommerce environment.",16 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=bb0fa26cf92cd256&fccid=2a79f1c01bd7e810&vjs=3
Senior Data Analyst,,VMLY&R,"Memphis, TN",,3.9,"Extract data from various digital tools.
Manage data accuracy and integrity for client marketing programs.
Implement, collect, and analyze natural language data…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=a62d01c60b9c65a7&fccid=3001b6ad1dad0a92&vjs=3
MANAGEMENT AND PROGRAM ANALYST,"$64,649 - $84,049 a year",US Department of the Navy,"Millington, TN",,4.3,Specialized experience must demonstrate the following: 1) Developing solutions to military pay and personnel service delivery issues; 2) Obtaining data needed…,Today,2021-01-15,https://www.indeed.com/rc/clk?jk=12cc39b807da782d&fccid=302c62dc6627d2d4&vjs=3
Bilingual Business Analyst,,Tech IT Solution,"Memphis, TN",,,General ability/proficiency with gathering and/or documenting technical requirements for application development/implementation efforts.,1 day ago,2021-01-15,https://www.indeed.com/company/Tech-IT-Solution/jobs/Bilingual-Business-Analyst-dbf13d8b1d268203?fccid=72b7e1233ab3f726&vjs=3
IT Data Analyst,,MAA,"Memphis, TN",,3.5,"3 to 5 years of experience in a business intelligence or data analysis role required.
Formats data visualizations and presentations which adhere to data…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=3d032366febcac60&fccid=f7c43e03a8463f33&vjs=3
Business Analyst,$25 - $35 an hour,SynMeta,"Memphis, TN",,4.6,"Develop and analyze business performance reports (e.g. for claims data, provider data, utilization data) that identify performance deviations and anomalies and…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=b72c7f33766d1601&fccid=799ec701595180c6&vjs=3
"Senior Data Analyst, Warehouse Operations",,Helen of Troy,"Southaven, MS",,3.4,"The Senior Data Analyst will be responsible for analyzing warehouse inbound, outbound, sales, forecasting, and purchasing data to support warehouse operations…",8 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=c06dc12525c48346&fccid=6ff64ca2c1146e61&vjs=3
"Management and Program Analyst (Manpower Requirements), GS-0343-13","$92,143 - $119,787 a year",US Department of Homeland Security,"Millington, TN",,3.8,"Interpreting data and presenting findings, issues, and recommendations to management.
Providing guidance to workload data collection teams in the measurement of…",2 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=f756b017f11b7738&fccid=e3977494b2ebf993&vjs=3
Sr. Pricing Analyst,,FedEx Services,"Memphis, TN",,3.9,"Demonstrates excellence in computer aided modeling and decision support utilizing advanced programming languages (E.G.C, SAS, SQL, VB.",10 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=75985be0be4af335&fccid=2ae04b97d8829e58&vjs=3
Business Intelligence Analyst,,Corkys Barbecue Inc,"Memphis, TN",,,"Write ad hoc BI reports from data tables in Great Plains, Quickbase, Oracle, and other data repositories.
Demonstrated ability in data mining, data analysis,…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=4435e5eebf39a464&fccid=7abf21839060a75c&vjs=3
SUPERVISORY PROGRAM ANALYST,"$108,885 - $141,548 a year",US Department of the Navy,"Millington, TN",,4.3,"Within the Department of Defense (DoD), the appointment of retired military members within 180 days immediately following retirement date to a civilian position…",1 day ago,2021-01-15,https://www.indeed.com/rc/clk?jk=39a77eda38fe3621&fccid=302c62dc6627d2d4&vjs=3
Business Analyst,,Unique Key resources,"Collierville, TN",,,"JOB TITLE AND EXPERIENCE REQUIRED: Business Analyst(Collierville, TN): Bachelors Degree in Business Administration with 5 yr of Business Analyst Exp Develop…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=68888f25949113f1&fccid=8cde05bcf3c3cb39&vjs=3
Business Analyst,,Conch Technologies,"Memphis, TN",,4.3,"Requires Bachelor’s in Business Administration, Computer Science, or related and 3 years experience.
Analyze business problems to implement and improve computer…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=d82b54d13b98609c&fccid=10165c8a7298a7dc&vjs=3
US Data Protection Senior Analyst,,Deloitte,"Memphis, TN",,4.0,"Cyber Security vigilantly protects Deloitte and client data.
You work closely with management, leads, peers, development teams, business analysts, and end users…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=d06b5687bfe2521f&fccid=9e215d88a6b33622&vjs=3
Data Science Analyst,,St. Jude Children's Research Hospital,"Memphis, TN",,4.5,"Five (5) years’ experience and expertise in data analytics and visualization preferred.
Experience with survey/data collection platforms and data (e.g.,…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=c37c992581fcca16&fccid=f74a75b45328cae2&vjs=3
IT Application Analyst - Business,,Regional One Health,"Memphis, TN",,3.7,"EXPERIENCE: A minimum of five (5) to six (6) years’ work within Healthcare systems, Information Technology, or components system and a deep understanding of HIT…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=f1e2b13acec66809&fccid=30dda94ffba9fc5e&vjs=3
Board Certified Behavior Analyst,$50 - $75 an hour,Pathways Pediatric Therapies,"Memphis, TN",,," Create ongoing data collection system to establish baseline and programmatic efficacy for all consumers, and to analyze data on a frequent and ongoing basis…",30+ days ago,2021-01-15,https://www.indeed.com/company/Pathways-Pediatric-Therapies/jobs/Board-Certified-Behavior-Analyst-2ec3e87450f49e65?fccid=f8dfe81730ac75b1&vjs=3
Product Information Management/Data Management Analyst,,Assa Abloy,"Memphis, TN",,3.6,"Minimum 3-5 years' experience in managing ecommerce websites, product information management (PIM) or product management.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=63fc1d4a7465346f&fccid=0a4ad7ebd9b0c8ee&vjs=3
Business Analyst - Manufacturing,,Milwaukee Tool,"Olive Branch, MS",,3.7,"As an IT liaison for business units, collaborate and partner with department management and leadership to identify, prioritize, document requirements, and…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=d8268a782a3c87c8&fccid=1fbfd3eaafc27ad2&vjs=3
Route Optimization Business Analyst,,TruGreen,"Memphis, TN",,3.2,"Perform ad hoc fleet and network-related projects in support of senior leadership.
Extensively research potential new routing opportunities to improve service…",28 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=424d4c6f98913b47&fccid=7ea3e5d64893e38e&vjs=3
(Clinical) Sr Business Analyst I,,St. Jude Children's Research Hospital,"Memphis, TN",,4.5,"Five (5) years' experience in business analysis which includes system requirements, systems training, application support and/or development, business process…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=9ffd87d14128d0c0&fccid=f74a75b45328cae2&vjs=3
Business Intelligence and Analytics Consultant,,KiZAN Technologies,"Memphis, TN",Remote,4.0,"The Consultant works both independently and as part of a project team on a variety of solutions, such as database design, data integration, data warehousing,…",4 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=80d6e4c26b36cb99&fccid=751fc0c03cf9f3f4&vjs=3
WCS Business Systems Analyst - 2nd Shift,,Milwaukee Tool,"Olive Branch, MS",,3.7,"Industrial electrical hands-on experience and troubleshooting, including 480V 3-phase, 110 VAC, and 24 VDC systems.
Must have the ability to work 2nd Shift.",23 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=a43fdbff05ab4f9a&fccid=1fbfd3eaafc27ad2&vjs=3
Sr Business Analyst - Manufacturing,,Milwaukee Tool,"Olive Branch, MS",,3.7,"As an IT liaison for business units, collaborate and partner with department management and leadership to identify, prioritize, document requirements, and…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=52bcbc380d8cf50e&fccid=1fbfd3eaafc27ad2&vjs=3
Clinical Lead-Data Analyst,,St. Jude Children's Research Hospital,"Memphis, TN",,4.5,"Eight (8) years' experience in a related position or IT area including five (5) years of data analytics experience building data visualization, scorecards,…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=18ec6c3bb4eadf6d&fccid=f74a75b45328cae2&vjs=3
Senior Medicaid Datawarehouse Analytics SME,,Deloitte,"Memphis, TN",,4.0,"Implement data warehouse for a States Medicaid agencies.
Interpret the rules for data integration and conversion.
Perform Data analysis and profiling.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=7338830c564a30bb&fccid=9e215d88a6b33622&vjs=3
Lead Business Intelligence Consultant,,Unique Key resources,"Collierville, TN",,,"Ensure accurate and secure methods to extract data.
Analyze big data to discover trends and patterns.
Establish procedures for data sharing with internal and…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=e22d430b937aef2a&fccid=8cde05bcf3c3cb39&vjs=3
