job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
Data Analyst,,DHL eCommerce,"Weston, FL",Temporarily remote,,"Ability to translate large data sets to key business messages.
The Data Analyst is responsible for data analytics around customer profile and profitability…",7 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BRKh2YbrJvU3cwyCnunlOggSbwWF3i2satu3Hp4rzdsR_I9awX-1AJVzqeDJkPt8y-sZl4s4iJCTQPvY8UdXzrNeo39bmURA08JgTuXTARpM0l6FYtA6BxDoF2FjBAkdqr7EOr9z0GVG5-ebns-cbiZwnu1lrMCgQWktE1DNVQarY91Bs19arAsDnwBhBiaKxwkm1sZCSWdLFGW_avd3aRsxhvf0q-OOSEzTliiO-wBf0QmCIJDVExKrrwPry9HHqNdj-110nwK7xX6v3C8WPLBVbeO9fmHy9XuXEeMhJyTN-oUruN1te2_Ht7tRfAGXaoeCLGKIXlzVIh6dCs1EA-Pf5dwRkW3rj5TrfIFD2t_LsYVmgTyq4HqeUaq1uy4Vuh3v-BoXBHVBpX4Zvl0g9GlPFsHeO1q1M7V_TIQjLW7Wj4rDQG62tYIBDhoT4_I8s=&p=0&fvj=1&vjs=3
Data Analyst,,Cornershop,"Miami, FL",Temporarily remote,3.7,"2+ years of relevant experience in business intelligence, research, data analytics, data science, or a related field.
Proficiency with Google Sheets and Excel.",9 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CDg2PyOvLM5WFHaY3mOgSqyeWxPLwD-9Oy4oGnHKxnHB82L0JPb81JBwdgkPUDqNWURnntmgrmIeHtLHPMAETJrGAmZPDxT2hfTVvKLICTwWPkWCxwStKiFd_PIEIinHzVpEAHHguIZ6MoR5BQfkK6sWkt69LDyfGen8i9R7gaUx8rCCVxFZ9bJw9w6G8TX9Aasj5NQZiYz9EifuOF_q9ZKNRPc43dx5KdXYf-izx7uP9B0qZUVtMq_UEkTXpfN9yXxxk9t677umAUAMJh1hryg7C7OSEv3oVSPqpKLS20sfdHSqv08eLpY5UfRjs9b-qV2llkKy00M8nYXFBEBpys2boGGH6W2oobraPEAV7PLW9DrVI0TykWu4kwqev0lDAcPc5GitFeM7TRI4JdZFcD3DVe-Xe0JFxCuLLYJcwDHsmmsJsbSbgN_xeYM-PZWkMLVQmjBTlHG4G-pkC2Xq_n&p=1&fvj=1&vjs=3
Jr. Data Analyst,"$52,000 - $58,000 a year",International Law Firm - Miami area,"Miami, FL",Temporarily remote,,"Maintaining data in confidence and protect operations by keeping data confidential.
Processing source data and related information, and reviewing data for any…",1 day ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BXvfcqsbi_FU5_PJm9mKUZu8dwTBhL-eYxj2nSeUHD0mgl8XzzCe9doEkm1L-AFVfLOpkdpqb53-VUm3sQGLXz48wDQAnW2gnwVBdsFG5XVv61RjpoMJzz8gSCYfM3rqYToxkIegzqMuv3GF3_33S2xmyJ9N81H6ke9QG_wtdBl0zFCfu4zzn9SC8FPCJRMMuywgDTA8PKZaqL2i3gQoiZK0queE6vHPiMU0tpZoLOZOytGPFuf6SRGgcyg3nJ47oeKa6XrwoGLDA8eU7Q6M9yxNWcmXVHN7PHElDPsWclEXrIJM7wyS1LPC7LjOSDnd-pAUbdNBiE1IHZ_Bnf1tTCTKNGV87_Zi7PVlrJekaWdR8ihdpfZlUd4WBRYK3M3mTEVYie7pqkekbWGCzkG6DzyNhJiX8W9QqhOjtGHe8cqHmij1i2VchJlxV5StiPHTJXYo-rRleIeMIz3Qhfmhr8&p=2&fvj=1&vjs=3
Business Data Analyst,,Recovco Mortgage Management,United States,Remote,3.0,"Build and monitor data validations and reconciliations to ensure the quality of data and reporting.
Create and complete data mapping and translation between…",Today,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BsP0bh-gP0Ksp9L4YI_2D7FE7E8Ko-sMqCKBfsZr-hldP1cnN3LXm69Vns2LcRfH1OgRj1mPp9E0c0QOEVcG2vKiwPreU0b9j-bQhw1RbRTQjfIjhCVb5AZAIEmGhWEAGeY4HRcYSl24eLPYj3j_fn-f_J-Uwwk8Fvm3T2vlAA7H_3YPvNk7k6UDIC-AJWRLgiq1aK9-0rxD7GfwT9-Q7506BUUhiJi6DmK9IbLkqV-eiWUUGeucRtidHYj4T8Uq1x6ViUfdg6I1C7oTazHtdMKm855kHz1K3nhErPitLeV4Cd9aGwwLDrHv9D4bPAZypnpGJqGjWU8XkaiXSZtIRyZKx0lLOU6pB3F057zFgtSm13AhtbJUgMho-A_P3bYA_80-wJl6cQlyaL3dEC8GlhiEwVH6b2paB38jiqFwbTgOh9Hn5Gh0uqmnkxj50V3tkVHXensR-MfQ==&p=3&fvj=1&vjs=3
Data Analyst,,"Healthcare Retroactive Audits, Inc","Doral, FL",,,The data analyst will be responsible for identifying and recovering underpaid hospital claims received from Commercial (Third Party) insurance companies.,30+ days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CgnM1SVVPe2VFHyXh7ZqhHVPXZeMDSL6GfdAyADo4mX2UYkbwIUPST_xn1xSqRVQaPyetkyHAeCEztE5iuR1Lic8ls0njFTFBE89kTPLpKR_8E5OAW-Ev-jgczO-XBKFSIF8dqacMSBEjoqx0vcIm3npnGvbX7NdXq1hx4E3KTlG5BxDMU3bP5E9tq7-ths9BfqMso3YuoDnab_sCXhWvpmkG2zMvJRqkejC2X_F12v8K34F1oNq05b7GeXNsyKUcU3OxR4t2BIEJPXN4NOIDiELhtL0dRPwb23uX8BfsNpq17Ksv1iVh9DXwSLjDtA_XU-63uPu0Cv4UQlzZk8pUjs_o75c4mSzcHsBEgr4talNw2CKStZDHBgCuvGEWHDxyqG2eqLOzn3gezOhd2ZoqcwWnYMKIeeXNgy3xEIWVgawOll7kONNubXe5gcguytyc=&p=4&fvj=1&vjs=3
Data Analyst,$12.35 - $14.30 an hour,Robert Half,"Doral, FL",,3.9,"If you're looking to build your career in accounting, there's currently a Dat entry position through Accountemps that you may want to check out.",1 day ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CpzDdaQkua3np5pkmj49lKioZwmwxQ-yx5plwbYmV_M2e9xjhU-93uhk_oT5M1J01epYhBhdX5Z5zVurCzBN3tnAqyncvAPqCpMRITWOKTMvM_2dr7uvIL2XsjZJOwoQWieXPlL9gm5-b_LsDpYCE7qLxuLTE-3vef6n568x6zkkL2_3k-tlUB6EUi7TN7LHhBKWXGLwDXuoSVucmLpZmb2UI0J0oOTkoN5w3tzUm0kKYoFyr3htaG_MbbdQq1Cr8RLbbwkfX91rA281tFVMYNJJAzim4jBLWaTxeo72sO8nj8V7VT7Q6FUOZZn6aAsqIOzOy_QBXT7LuTH3ZoY_lgMAWRyi1cZzd0uTo9nceYhyTB6oEhJk7CbrSNKgxOFYZjNmNlypMpuLJWXwQTcLpXA6tkUsPPFKkpS0oKRTwL4gSHJPeVmUGb76z8YgAOVD7AytO-UQKbidPcQr3TZe6qaCON8uNiMOYOLZlAhPPW4A==&p=5&fvj=0&vjs=3
Data Analyst/Specialist,,Q Link Wireless,"Dania, FL",,,"Monitor, evaluate and improve the quality of data; prepare reports, charts and tables of data for marketing team.
Only full-time employees eligible.",Today,2021-01-15,https://www.indeed.com/company//jobs/Data-Analyst-Specialist-10397aaaaebaa1bf?fccid=438618c0e7d970b1&vjs=3
Data Analyst,"$35,000 - $40,000 a year","Selling Simplified, Inc.","Miami, FL",,,"Collect data from business directories, networking portals and company websites.
Contact data cleaning and updating using excel and online/internal tools.",8 days ago,2021-01-15,"https://www.indeed.com/company/Selling-Simplified,-Inc./jobs/Data-Analyst-4147d74c2d05253f?fccid=7d470bd15c1b8b0a&vjs=3"
Data Analyst I - Moss Construction Management,"$45,000 a year",Florida International University,"Miami, FL",,4.3,"Experience analyzing financial and statistical data.
Verifies accuracy and looks for discrepancies in system data.",8 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=00c22adea3e6d388&fccid=9d7d68aaaf164604&vjs=3
IT Data Analyst,,University of Miami,"Coral Gables, FL",,4.1,"Maintain an understanding of the DAR data architecture and data availability.
Interpret data, analyze results using statistical techniques and provide ongoing…",3 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=233fbd69489c305a&fccid=ec40e650131b4ee3&vjs=3
