job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
Healthcare Data Analyst,,Ascension,"Nashville, TN",,3.7,"3-5 years of experience in data analysis management and/ or decision support analytics strongly preferred.
1-3 years of project management experience preferred.",Today,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AksBVzSfSmSnzyyU09-g488_m6x3LXEFJ0P7KQwIh4kZfLS-yhmbpsNgZTEOrkQznWAqw00xtSAt6QHiO2Uliy5677Lptj73Ll3tjTDygUrEPNVVND_gSIcQ4i2qKbxGJMrUDJmOnwzGgDKBBzf0eMQ1V6VHq7sB5hESl6O_o9V1xr43oOnF13uF6l2UsekM2T-bi1x4e5fDrfCpQuGnT0eNZNr_XC4nVGsLhXmLToCCwWrDbl4x3v5t55WFzyICmZM5L38U968evy15fUsjFuScUloF0EHmmHwIoOyCWQIMbvKX-aElF53cePULjKF5WKkTtZ5BDgzmcitqODcziaqEMObvFJK_hQltBzgBpr6cbza7W5X_WwLgqQUR_jmajjvbbUnktoZGaiJYvzeH62Vt2Ey1B-s2dTuLs25zQ74-y5JxmsCZ8TsfC4libEFx375ZuVgNicunmnnLj6G-ls-XhFg9wA-v5xSlb5sNKN6LQRs1BO1CRS7mb4pdJ6Qjigefp-AFVBtglzofXF7F0ElmFwHJ4NhZbEZqvUzNj2e8H9X7SvF_QwKUYMF_kAjns_gOt4fY-SApYsstJlQ1I2ygrPMAmPRjywplD7lJqCcGUZDGqzkuERAebQcMW3hyd81CMJyOvmouuVnOFn2HktyI1eIhnc0KnuQZTHUk8rTKtsVYwFai6byOr0F5DZ6viHePsmpCldbJfeE5dliX4gBlfKY7wM-Dudr_vQwAJVrfaTy8i3W3OOdo8NWXS2rHDSJ46OG5JLd7Zp8sGQJkUgMXtrSseZMudnkLKaEmmZGWmkiwWx31bUz8jFDmV_vm6jaSCHivvcnuKmQDeOT_kkjEE8V9Yw_0Pq9hSjK_Vtchpd6yuvky-iQiF2xYH4zHbW_MvlC0g0VCmz_bd7r8tZq3YuKSr4oyo=&p=0&fvj=0&vjs=3
Data Analyst - Sales Performance,,GEODIS,"Brentwood, TN",,3.5,"Experience working with large data sets and sourcing data from BI tools or CRM tools.
Analyzes data and key metrics to make recommendations to management on…",30+ days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0COfhFmRtsgKWZoiHBXTX4Tc02smXb_khHTnKOEBKpgjITi237fq6rYDJf1dMaw1pD5fq4QygSKRqC_69XJCwG_lXixhAlQCSbMEhQPSu27mzbksXctftMjyQBj4u_SJ4xj-aDb3MPaOzrNc5hHhoHU6vgjgnMtBexnBs_ciFO6XN6KaqWGArNHPz4rJ_sK9ob_p92yUxkOG-00Tk1FPQ5MHQkyxP-CPSeWGUmJn58o2lgYqcNd38Ydex_AJb64o6GoYgguQN0YolTGDWaLxLEN9drn12Gf8oTnU1OfS6d_2t0ITkRKfjieqTm0ipVuFwerRCoFkbBagTKSP6eirHxGUl6G5EmbUB2b2rUySUCe9AyaQAhfZseFia2mNYHG1FiFA2rPN4lKu7juRhzUXyrHmO_-PeK88Akq9n6c27v4AS4WVZ_7-6KeZxuJWrW07LE5h60O_Fr6RAgHEA0PYjWdi0Rbr1zTuc__yXvA73-Gp7cGq4cr6Xt7RW0OqC3uGLF9d4-mnOVWnS8Njx5Vz7gdc1HiEhSmX-v9Ao1t7StB_OacFttva990TXdSvBzTEJx74h4ebAazsyBf8i0qapMmXYfH9jdrktt6PvPXay4J_zzheIhndDH2LTXyqapC_b-GMXHP-zq19II4JWzRhwq2&p=1&fvj=0&vjs=3
Sr. Business Analyst - Business Analytics,"$78,000 - $90,000 a year",A. O. Smith Corporation,"Ashland City, TN",,3.7,Experience with data storytelling and presenting data to a non-analytical audience in a clear and concise manner; proven ability to find insights in data.,3 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Bb4ZFitTjniGAgHWh10W3TeqUgmHD9ab1uUtLcNXt52gNIarBs5-rAcmVMxWoGexNU5VtNMKlREHEONc-0O-PIUNfWB61tXMLDb0FjqcykmY79KWRdm4pZ1DF9XEE5db6lrODEoq7O7aQd6mCcp8rstcJaaBSindVSFNDHoyevKzSciMRHXNfWNy_DqGklAngvfPI7A1DsQgcyPweks0X-dglu-Z0ooBMHxBP-GxqCGBduA_o8aNcauF_Y06eClAi-Xwc1pkuqi9WHkNl4RKoYnpiuCqQ70C0oFKRaiTUWgqRfIdAoRZmohjpt95zEEJMzK2Mwf4x3CZrh4Gc3xNBwHXkmm8Oz5PejUY_Tv9L1Pa4vJsVgryffWjqiXOKG7P0epEWi2V26Wojl9ChRP_8H0PD_h3grf_Oyq9ZLJ3gnwiwIpovhrf5G5y7MJpPxXLWn_qOCyWD3nJ5HV4_1Txx_3bDxCV_0-a56p42NtFvV5Q==&p=2&fvj=1&vjs=3
Data Center Logistics Analyst,,Facebook,"Gallatin, TN",,4.2,"Experience in a data center environment.
Generate metrics highlighting performance and trends within the data center field and warehouse operations.",26 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0C_1G4MOf4l_p8Xwb6gxqXskJGh74Fij0qpfj-k8BoCzOUq538c_CUqb9V8ztFatybvfhIB0TYT703AiHo75tZuvWnD6GPg1NyyTKC0qpXi5EkMQ5m-JX3O4GxBOc1WJ2o85sGHiB2cTutmL6dKL_MlEpZH2pBcHaw0hcJRW56X9ec2i-hT_zegMUBMxiecX7o5GXis8fgL8_kXGvei37Qi6mtJSJmqKBCrxUKDslR3JNvI9U3SB6EMUBbXiQPboKrj7vHh5vZm5b3RwKg6aUHPliFMF4SbTW19QeL4HjYVB7EehI0HutBh7xQaQ_UEtAuwp2BcOeqbLXgtnl-_k5rlZxDFzEpG33TFMR1AN9Z9Iyg0eSjakvbLiyLQCFkU5kRo4R4eIXqG4VUbCv5I54cNyGfBzU1vbBrZ-bLFXCs5_iW5TtUrXFdRyVCH_MRxnoaGDq2mMG6lDvgypc3JkOYYxl2R2gbs0rxvO46SN4J6Oayh5xATCX8Ol8uFbqEvsstsg9NVPnT79dnRDE3aeWixb_WUm8eGEkrJLsE5t6AbnNQThhlzO0vE9Mfh1Mvwa2QwuqIzqOr9DcMYOCbPGae8NPje2zgenjmFCSg8x-liJD6rk02u8oC5lJcJReQZovF_NULf9TVCydpd2ki_P4BZwGC0jymj0uNXUo61flrfUmV6aAOCP9tSsIiU426cf8GQ8_Q3cKfw3oMaELka02sgGKcJRRXyAo1heuuIzqHKaDUxDh-XIFcLQDueJ_Wgoo0z61MStE_ezOyU8AqptLknF1PUJmUG1YdfEJaEzVXH6PnW-irs630HiTC7vkgxrmsd6qMoRtZ8i1Ui-tndCTmn3-YJbTZ4TEwSnsoedSgc5tlB1w0NFh2tVtt31lJpIVDe50xyk3YbpHLkMAL6kwxwD7zBiLrRrGsJmcSlxub7LO1TLW603RE1WfiIUEHJVX65xnUj6Tj19hClhsBEqec5TLmpizmhS-oCVu0NYFtBMH5LXCsCMT65uQkAJvAL35FwU5aSmobQI4zCPss4lRRS88VeSLo_FWlIvldouBhiY5sJYcRxVU90CqSECWBY0_LwJZDpwpMJh88_I5NXvICisGyJp8bm7G2UwIV-Y2mfdA==&p=3&fvj=0&vjs=3
Data Specialist,$19 an hour,Vaco,"Nashville, TN",,3.7,"Tracking and entering data in Excel, Ariba, and SAP.
Ensuring accuracy and validity of all maintenance requests.
Quick and accurate typing skills needed.",11 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0D_sybMACCpf9B-677oK5j6rPldVB6BlrVvFjO_o-GJZet1Iu-YO5-j99a4gl-QyPuStganQTGDlyBFxkO3z_X6Z4AsiHLVA5u8ks5VqlS8kL-CFgbOx4R0nBAbekxS0p1EukaTP1kWgE3FJRa3uKAm1GlP40lEy5vtGd1sGPXaQ9dY6q58VjkXNdSS8bNtka1ZTDhmEV9_pwQ_5rMfplW2EzNu9FskaqXBlvDwRpwNyDLpBgQWodHGvMixMhgnokFT2cYe7BanJCDs_1G28O3GxlScwgeDsltmoWLRltQ-1PYAmDeJBMyLgLGPlXHQr--x8ofT2WQMFda36c18oaj_l1cZemFk0vWcrMqvEefvPZbMJiD2KKIN61XQ3lic-08KbqXd9I8CzKsXJ8bpxJk47bJGFhtgQ63Hhuw5SZzZzvtbgN554rRCk_GumCAEkTguQs6UONOe4WVKjjHEzJh-fNWPPY5OyW2HJbh4DkJ1J9j0NJvj4XV_&p=4&fvj=0&vjs=3
Data Analyst,"$58,000 - $113,441 a year","PavCon, LLC",United States,Remote,5.0,"Is willing to roll up their sleeves alongside other analysts and engineers, developing data-driven processes to improve customer decision making.",2 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AcvyScSzxGX9e7tF2yOlgVOj93Rn6ts4Nhq9obcZl5__6xF54nqZyXQl0oo5T0znWbCn_T5bJ2yDPbHzpPr67qvSHPbPxh4NEeJsWx8CaMGTJAWVEp45jPmOgYfowgoW-pwMbwpZvMNIvIMxcUN4Bb78-lO6eftz2Ob6p_ja2KiS94wFFLQCWB06FeBQa8-opTUl-okkjLi9ApZX6rng38bbWKgxKiljWML_1cDrZIl0YYTdORlX6tDviMY3uzSXED-SNpA1RvZYWjZl9pPXLbcNIn4o_ks_QHWy3BE7JIzKsof0YUqbHQf3H7T9fvhM4fFCk5CtdzCR6RVbttCz2Wb9vfsrfDo_mYNYyklTDdp9GJIdM3sYT2jih298nyLP5kcbT77GonAaXv-5_OQxJB7hXqvHEJqU6HGcJFY_Ph8DJbMWzWgS0u_h7SbdX4skvjp9KAbTOukQ==&p=5&fvj=1&vjs=3
Social Data Analyst - Social Services,"$83,417 a year",Metropolitan Government of Nashville & Davidson Co...,"Nashville, TN",,3.5,"Support and provide technical assistance to MSS data team.
Design web surveys, administer surveys, and analyze data using SPSS and produce summary reports with…",2 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=52c3ae17f75c44ae&fccid=aff09751bad0b86a&vjs=3
Associate Health Policy Data Analyst,,Vanderbilt Health,"Nashville, TN",,3.0,"Under general supervision, the analyst will work from PI's specifications to undertake some or all of the following tasks: 1) determine the best source(s) of…",5 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=1d82e5c4bda2d767&fccid=bd1101d6c47a53b1&vjs=3
Pharmacy Data Analyst,,Ascension,"Nashville, TN",Remote,3.7,"Review information for accuracy and reconcile data on a regular basis.
Collect and analyze Pharmacy-related data to develop reports and statistical information.",Today,2021-01-15,https://www.indeed.com/rc/clk?jk=918cda14e4fb30ff&fccid=ae24f29d22570194&vjs=3
SQL Data Analyst,"$60,000 - $100,000 a year",J. Graham Inc.,"Brentwood, TN",Remote,,"Healthcare claims data experience preferred.
Adept at importing/exporting data via SSMS.
At least 3 years of SQL experience are required.",23 days ago,2021-01-15,https://www.indeed.com/company/J.-Graham-Inc./jobs/SQL-Data-Analyst-ad774a9aeac4e821?fccid=844eaa838cd1f74a&vjs=3
