job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
Data Analyst,,Woolpert,United States,,3.7,"In conjunction with data owners and department managers, develop data models and protocols for mining production databases.
Strong ability in TSQL Programming.",Just posted,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Bz2g0gOmBYdJt2qF4aozE3h3VbIO4lBaiiwQOPd_CjSg-0-2voyDjwb9yjbsu36LmDpaKQKqaNu94tcuA4_o4QKoDOncweqYi2Yymi9DlCnZxagJe3setlOooyzi-31nQHr_zD2h1UUy2Uxfb-XZdp4wJjO7HWKcgA8yXBdRrB8TQQRDYkVTrIG2SEy0FDsGnAAs5u9OdMdsUeC5w1GVE8lQA7uy3CIMDR_qEB6ytiLID_vs5zeYiXftUOd9ZksM_Fo1NKPmgfv4pinFjZlM9DNFn3mT2m_y17xGG4wXGPO9wJxup1eo5-CvKdikdD28YWsSfQ_EjkogmjCLch0yTeJBfjK1xvsy7rwu3dF-grhou4KQH5pKp_eAy8s7Wsi8GZYIy2qFJIgrXT64WK6h2vNqCQ5grX-yPbbhaKut3mZLkxVRz2ZKR6YQPmX5oyMGr05IzwDZxvBlwzbHScNl296oy_z4gALkk=&p=0&fvj=1&vjs=3
Data Analyst / IT Support,"From $42,000 a year",Pittsburgh Based Company,"Pittsburgh, PA",,,"Provide IT/data analysis assistance throughout projects.
Perform maintenance on published data sets and internal IT processes.
PTO (paid time off) accrual.",1 day ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0D9t28LPO08g7cx3D53mIm8DM8wDzUrkzJn2d5719owWi8dcbOIag6HEj5yA0WTdc7KQzERzI2wBYIMcg2d4izt8paxAiv_J_PpjIgPuXAgAmxC4Fcp-k0KXFki6GzevkP92N4rJRkyQ189Sn-hF9es-hJmB27Ona4sde_ffGbXY0OkQQSbAy0OYp9G7nhI6qxQ3zLSkiYczzOadN52h2SNqRtc-wuSHEW7r-i2mNsoKGazgVqTQCIC9IyCkjZwVirCNQPIHisahf6Mt2n0f3Z7VpEAHSwxzbU4ghjIZu1uA8iDgfQyR4UIn4RKVAJAJ-TWb6tsrV7ik7mBijJWSpxeDBByxpnM1enroUdJrpchXNOQU1nkROMEhsKmXdyFvWxEK_2s7W927BfhebhPJoGwU0OuT0M8F3mJ1V4gKsamfBk4ZgOtZmFPRaXiBB2oglJprM2_ATKAISv-FDPfr1ZY&p=1&fvj=1&vjs=3
Data Analyst,,Dedicated Nursing Associates,"Delmont, PA",,3.3,"Analyze financial data for errors and discrepancies.
Prepare linear charts and pie graphs using financial data as directed by management.",4 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0D1Dnc4vZGw98WEpciYdgkgIiBUxQ_-CwQSCiwQkdF-HeYC8FZ-lSv28pcp8a7sUtTprBHSNXwvz7bR4Q_Q0yvIQIA4qJc9COuLJPQBuOPt7DSwicxfGvAX-LzzEgMP1pTlaD-pSnrJmMwIiJ222jj9uyB_Al5zFV4HEh16Ni_RHo1BsTk7nzATNL0LyakGxVX2xdOl0Z-e4E9mBymaFk8ppp4h0WaBNLBty1fIhTtmvqkLDcl_2qa7FU6oR9b46DvoORBefk0FkYmPEyVqaq-dcW-pTewTWjvZ4YaUWl7zGymP1eu6bZgHcYy7I4_HPRS66t2YMI4tuzo521-aidEvWjt9-oBDtbExA7nJuLLkpTvl04uFG1-IFQD6Mws1ZdaMgc7sW-K7aE5Lc6MwcTfr1R2PNTHGjKGuhglQY9pBKtaEWUUS40pdkfFRRXVcnjLMq9YDYsPetSdZFrsNQSq1&p=2&fvj=1&vjs=3
WMS/ERP Business Analyst (Remote),"From $70,000 a year",ParityFactory LLC,"Pittsburgh, PA",,,"Minimum of 5 years professional experience.
Professional Work: 5 years (Preferred).
Solid Analyst level SQL (views, joins, data pulls).",3 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0C1uCLsKvSPv2C25Mk7nQADb0PWkbDXumgDiNC9sa3p5qLtcdXM7AmQZZR2VBZ8_Vb1Gv5dC35v4KofVdR-Ee4TfmwCzYcdB7moXldU3nVynCGKynSsyeIgAhZyyrTX1obQkUfgIdXaHqvHQZmgj7aCiVB1Y37YOAihwLOZWyZE4sh8suChIjlIsucAhahoHewtYPFmLgk--Aie4LEiOJwUk4MwVc2E-VVuaI-nEMn8AM5_QSFnmx-jY6VMLZTGUsd4Cd-rmpSFffwOF_biLc4o8UYwUsYsEhBENWnoLMFBy7RgeupPtJpv6JX6hrxITCeul7vxZtxc_zJX5tbI4pxHuLo7D5EiGi9MSPUwtulbvRK5s9BVQZgjw4G-Mphg1qZJriFNK5r6xsFl0qmjvMGfB_f8i_Dif4S3q4dlDAckwjJ1eHMwZeln_PpLOuZhQ48O2NEEZdY_VNCro4cOrPjtWu9zUlDjKL4=&p=3&fvj=1&vjs=3
Data Analyst - All Levels,,FedEx Services,"Pittsburgh, PA",Remote,3.9,"Five (5) years work experience in measurement and analysis,quantitative business problem solving, operations analysis,marketing analysis, simulation development…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=40f227175d358a18&fccid=2ae04b97d8829e58&vjs=3
Data Analyst,,"Innovation Associates, Inc.","Pittsburgh, PA",,,"Provide technical expertise on data storage structures, data mining and data cleansing.
Must have experience in data cleaning, data merging, data verification…",6 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=b459d5d3decd0ae3&fccid=ef0d9e49a58757ca&vjs=3
Data Analyst,,"Othot, Inc.","Pittsburgh, PA",,,"Integrate data from multiple data sources or functional areas, ensures data accuracy and integrity, and updates data as needed.",7 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=e67ca16e0f326c82&fccid=503cb05e7675e46f&vjs=3
Senior Data Analyst,$40 - $55 an hour,Systems Inc,"Pittsburgh, PA",Remote,3.0,"Ensures data integrity and compliance by performing data cleansing, data audit and/or data validation.
Provides business process, system support and data…",Today,2021-01-15,https://www.indeed.com/company/SYSTEMS-INC/jobs/Senior-Data-Analyst-0efa4283233b9e37?fccid=30ec95f249fece83&vjs=3
Data Analyst,,Argo AI,"Pittsburgh, PA",,3.4,"Work with cross-functional teams such as engineering, product management, various data teams to deploy data quality across critical pipelines and to set up…",2 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=168bdb8215b75040&fccid=fb74c70e196043bc&vjs=3
Data Analyst - Ethics,,"Adviser Compliance Associates, LLC","Pittsburgh, PA",,,"Reviewing clients’ personal trading and code of ethics data and drafting reports.
Strong organizational and problem-solving skills with attention to detail.",3 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=10c482110ea67ccc&fccid=dd616958bd9ddc12&vjs=3
