job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
Data Analyst,"$50,000 - $60,000 a year",Majoris Health Systems,"Lake Oswego, OR",Temporarily remote,,"Analytical and data driven with excellent attention to detail.
Convert large amounts of data into informative reports, provide analysis and recommendations…",3 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DtcQgrUypm88FFa19mMl2Smdk9Jt31BGGiD42_RpqFbX5F2aiDnoHUPu2D_yL_Qgtx6aaBAYA9EPERpuELyxmTRo0kUjUCWx2VCv785EFN0OmOUVoa5mI5gyiFF71X7kND07PabUOu8uAMJly_WX4xT0QSyP5ly8d2ofgcSEhau8Ju4WPIqip7E6ixwNNHgxO8iJvaVmybjV24gBJJrXPWXfspUAD8ToXK27Apu_7-gMlQFigv1yWIN7c4IF4d8DHGY4hTXHL4Kgma1h3P68K2EcoWFvXtGTBU3lpFLQRuS4UXg9gzpEMiJxDyjSoXtwbHDSsSBq-TSH6S0db-G3B2JnRzBCgwIMf83-UIPn6N9jPcFz-BUnPI2fIm9eu1HkmJlsPDnXdduNQaEBAOSlsaA778HAlmwVCm5AEsBQh5itpfJ3mEgF0XuhOzYt7tr3Y=&p=0&fvj=1&vjs=3
Data Analyst,$26 - $28 an hour,Orchid Health,"Portland, OR",Remote,,"3+ years experience working as a healthcare data analyst.
The data analyst position’s primary goal is to turn data into information, information into insight…",30+ days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Almsh3G1xC2skUMBYS36f6JaAgwss9n56-bnqUNyY_SYM3Uua7MiDqMuTZW_PjT9BAKbOIajCrfpk7uEr1_Y2CeNOjBwR71rzyF8bpbFiyiGUG_CaDi9qsfXbqZBzaUmUqi1KEM8zwQr_alb9_hLiiBn-skSBEtD-TeW8IVNnzH1ynpuxneyPfxlNTGFXF5sOjQujL1Ym1AAoDQA0Y5gnSmDc0j-qzZltExFeWsn2sBXbVDx33X28Au9KbGRoTV_ue1A06ZE7GJ9R1lcJkDcRSU7L9B5fDnfIa6bx8PpLE5RssFDx0-Vf8BSiWEGhXbHS_PIHVDIzpADXdG33BaswRvhelGkQVuakaTSzjYYZ-IU-MfLxqj_uRjLjN2vjTcWNRZfRRCAprJ-JL3zk4v3IyNa1Tm7xdFI2MNleeYl4ev3eFPXLH7wwKWCnTzEv2fJY=&p=1&fvj=1&vjs=3
Data Analyst,"$80,000 - $110,000 a year",CyberCoders,"Portland, OR",Remote,3.3,"If you are a Data Analyst with experience, please read on!
Complete automated reporting and analysis.
Brainstorm ways to contribute to UX and conversion.",Just posted,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CpFJQzrgRR8WqXWK1qKKEqALWJw739KlKqr2H-MSI4eh4ZOxqVaUrhNSyjVEAq5t4K8gMGiuc7SVcB55nrep3FZ__mQJPowXYbt2FCdrLDCv5-_zIOTZu-xuf9dwfRKB8hR1KatnxLfW7ujcQ-dEBCprDUkNIVoih6wOlXr8mzlfwlUJksRl1CXtIz7aqnGrb1FzdC7Yk_lsw1wQeS03CtRAb1DOc92mDKnXWGhILqSVfZH_H5KNRmWQOVBSGYb49dwSwLkOnyVzSFAVpF6AS8IHmhs2ww51LXB1j0XTAZq-thmoQB8LN_cgu2hlMs18CKuc0HuK88hPT5mWqhANjQa0MZyWz4LUifVoAs7gGwjXg_DZQ70W1EghsaF3QPMLqqPqRdap40Q6T98dn5CVAhpeUqWB46Mdua0hQtWN5fctbq23Vp2UewziIn_JIqxvt65FB7wGZPworNepKOFLArf4JqPM2N8JcSmQb06aoUvG1r04eBG1V8COfdeYOg8VXkX4e56rjjfzwIwyy6jnUVLC6ATi69iUv4DmST--mCoPHEQTJNx1YuwO3xsW6EIsYO62IStA_oXj_oUZxFPOC8UYm_D3DZ5vaM-V9csztxXlpR92JVUZBVBX4WNjeQpSwY41wVnGtSTX-5RYbrSvrk4JyvutvmjvndjZKA9FtNqVpFOq4FXR49HMfnO1YTM1FIS5laRHpwTO-xAzW2MUN7dL_zLzJGbV3qLlKG_hCdRlenQO3oTjt0GRHso6QB_qWGa-KC9HrXksRYIYLEMZk8erss50NfLL7M4RfUPQICChU9nzHa_4iCyVGFzb5a6tnfMxNqAmQ9CYW8UrIndDOwMJc9mlkEZ_50kUQEpENoTSLvSk9RQJZBZNVA96WErJqG_IxVu5nff6lJLtd06cjmvN_2dU7s0nYL71HwpQfgVdXBo3Vz8VSBtZXRx9MS2U-x2X5ihmLiRw==&p=2&fvj=0&vjs=3
Senior Data Insights Analyst,$50 - $55 an hour,Motus Recruiting and Staffing,"Portland, OR",,3.2,"Performing foundational data quality assessments of ingested data to ensure alignment w/ requirements and source systems.
Job Types: Full-time, Contract.",9 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DdPAAW0JUg3rPbYGSM1UHoQ1-S3jcjqhx4Qa7jWgotqFLDcCVuJ3bU79JiZunq77dKaweDSf3th0cbWA0SlRAutA6TbxGpkcGcKMmm4MEZaw3vc9yO0IneZWPsAx1tXKcrm3c3RBdsG9uLIKvd1h7nR0MxkaZwVMTDCoRxkTvq_rUyCRO-tewJ2FXDCQ8ERdckQnaVxSNys5q9-caVsbbkgv6V9FuFAtCyw6FoyXIL1gULxA71DRcDrDpzvRJtGLdLdAgMFJXyBfa3B09m6fTEs_SrHRu1Ay15-Q7zSk8ifqboYRtEO32iK-4CVsTfxH1ZmNdOy7m0c-enR1xaFYI6JwZCbxGny2MsmFlNvUJeIy-N0Np2rGVHpUd7l37-HXigqtrllp2gFlEMArk0EnYwTN0U_jzeAtSQDzQw22C4UZ1q5vH7nbPf9vtZnQYhy3JcYzT2THHgrD3lOY9ddJxvgQld6evMlNk=&p=3&fvj=1&vjs=3
Data Analyst,"$58,000 - $113,441 a year","PavCon, LLC",United States,Remote,5.0,"Is willing to roll up their sleeves alongside other analysts and engineers, developing data-driven processes to improve customer decision making.",1 day ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AcvyScSzxGX9e7tF2yOlgVOj93Rn6ts4Nhq9obcZl5__6xF54nqZyXQl0oo5T0znWbCn_T5bJ2yDPbHzpPr67qvSHPbPxh4NEeJsWx8CaMGTJAWVEp45jPmOgYfowgoW-pwMbwpZvMNIvIMxcUN4Bb78-lO6eftz2Ob6p_ja2KiT9Zxt6HwjOWf9bu59PITpeWy2cHeeOtvDqg1Bzc3mGpNJebvtQtVjUmWTbnCNdfg6yhvzHpxS7ncg4IbLZvwMAS8MLpvbMNcwzF_YBepmzYEOGpET9YBW37lpgzf_RteRwh6d2E5yzVQHwVMH7UzkC7XbMtCjrvoGS8AXW4NkFut7ikOjUKpLxQskbX-sxE9lrYyaGHP-fXKF9oAvH0hrkiOEeJAyPLj4fkLdo6WFr3ixlugzECZcOf9e3WQ0x2VhhfvZ92fMR_cLquXrKv1BPAFRRGPNAl1Q==&p=4&fvj=1&vjs=3
Data Analyst/Scientist/Engineer,"$65,000 - $120,000 a year",Cascade Data Labs,"Portland, OR",Temporarily remote,,"Build data pipelines to aid analysis and/or reporting.
We believe strongly that the difference between analytics success and failure comes down to practitioner…",30+ days ago,2021-01-15,https://www.indeed.com/company/Cascade-Data-Labs/jobs/Data-Analyst-Scientist-Engineer-32812ae6e0c7078d?fccid=d9a2e6caf751bd78&vjs=3
Data Analyst,,Vacasa,"Portland, OR",,2.8,"3-5 years experience with data visualization & BI tools (Looker, Tableau, etc.).
Experience working with data engineering teams to clean/streamline data…",2 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=11cc8531b8f745be&fccid=22f7ba07f9b31a96&vjs=3
Data Analyst,"$50,000 - $65,000 a year","Go, Inc.","Portland, OR",,,"Proven working experience as a data analyst, researcher, statistician, data architect, or data engineer.
Understanding of open and closed data sources, legal…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=88c385d588caa466&fccid=b0bbd996cc67dcab&vjs=3
Data Analyst,"$65,000 - $75,000 a year",Graphic Products,"Beaverton, OR",,1.7,"At least 2 years of experience working as a data analyst.
Perform data cleansing, ETL processes, and data imports.
Produce scheduled KPI reports for management.",7 days ago,2021-01-15,https://www.indeed.com/company/Graphic-Products/jobs/Data-Analyst-551f726644484cba?fccid=ecaf9e7c7d8aefbf&vjs=3
Business Analyst,$25 - $38 an hour,Insight Global,"Portland, OR",Temporarily remote,4.0,"Business or systems analysis: 3 years (Required).
Requirements gathering: 3 years (Required).
3+ years of Analytical Skills: Requirements gathering, Business…",1 day ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BKkHZu3wF05EeDimN_p6sYpKCMArvwa95YdH7UpkaBCiPadoOw6FI3BqXIfyyn5OF8uqYQk8LejzWvW0xR8ukPLa4KPH_4BwGnb_ju_DccfBEDeO3dmTSt-zhQMw1coxVr1Zh_aesmYiwLcufARI3LD2qNRVtyb3FZei26CZStekZ3WL2uV9SskI4OA0fauvagXdIBBu_MxNduIfZ_-AaatqTWmscY_PgmEheuiEmQPKJceAuSIgba1lvu5vscyWVfZZJYjs9BGrBiQ8o4hfQouC7kRMpk8ywIurrHMxa1YTmXUvrs9X_ITC_Z3aOdaeEMaLaL1TuyyT-ZJK9PGf39s_PdB5lWqZvnBENJ95TNGCuWcranfpPoPZgdNgnBjOTwVNCQkgfZM3NFbU16SXOBGvxY82qPTNApfu27JdaJZO47i4TNK0V0BEzPqHriw25TIB8WzBTqpA==&p=9&fvj=1&vjs=3
