job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
Data Analyst,,"Trimark Associates, Inc.","Folsom, CA",,3.6,"Understand comparative data trends and integrate benchmark data into analysis and reports.
You will provide support to external data services customers ranging…",Just posted,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CwbONruixfV1Evbx7FWz40660Jtq6oh6rtikGbAIKngeHl97IU8OzR6laf77bToJbW5_Xphf189-6HEkcugAxAfuJLkuqP3fJlfsk4N2Njo7JIPJmPeSRofF8De52h31Cy6nGgVvjTj0yh1ZkcC4UKkNBC3eV75waE-2ekP0ppa55mxdNX1uY1lYsX6afQh0VFtrpVHbIjCMh440MqHrH33CAE2QmUHD8y86B8ckN6r-KoF_9JJ-gBC5U-nZ2u08ctFIMdNARjehfZBhxnM5oZGV7Jr9Nzcs9516PH_RqV2Ht8Xz_xUoJfursDv-X0THH6CGoVxJbPNjXxeoiYkj9f6OhOti5ZiM9KAP-kuTy7WMftXTuCj0ej3K7pDzA45ghfVCutB2y-I-XWLuA40DrCyhpSZ5SrWgtRA8pUKBloQ5id-RTQ_HgcnM3gB1Gg1MYXIt1SsH_TGUNdjJ5wKI0h&p=0&fvj=1&vjs=3
HEDIS DATA ANALYST,,River City Medical Group,"Sacramento, CA",,2.9,"Collect and organize information obtained from various sources to recognize trends in HEDIS and other quality data, performing and managing tasks in all phases…",30+ days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0D_glKJiZypgqA9o4Rsbx1aQNSWqccLTqANDr5AGlSxm5Q6gtb7IVLMSifJj3q6KxhNNfTBOM-V_v0Vfa3cPJlaMoAqehS7Rtk3GkDSpVbAGQgcQmDyhc2zQZOJ1gCnskFzE-7zcg3pR4jLnZ06SP0dV9ZWyx28XEio5ZWYdbGpXRJ8hMipQM_eTmGSBwBd_zJAf3GFGwZs2ba45YuHjhtLDYiF5fyHIEZ6a3A41Sp5YSmyFAYFrIEyCzwPON2z4QbW0ayAqsGfhem4WmTskNw1s_ULnCvJJtdCGh5SgysXlQvRwiGtlYSybv5_MdiUcdd3ncCRz16rE_vqmx0Dx7gGBtEOTdjRP2feWbSz9DWQmlH94MWNs1uy5Cy04Mai8ZOgRUiG307Dpf-_GpZdDkjrLvaFvJQU3n3C-xuyEh9FgpQWTuaiLw5X7xGjQTu-VQMu6w7wmmLgoj3jYvtXHcgqAnfcHkXLpY7IFPUdHPYmIkzS_P3RIw5Rh2qEPg2tIvwX-0KTY9wmFqP6fvRDzL44rUc6KNLS5yynd4TBJmTf7MgL8_DbsQXJpYlDrz9m7QKMrskVlM3j8sPwrzK2l1P5ikhtUl6CGaEMSw1jbATGaxKiFRmxFM2SeeptNcz4VjsWKkd-scDLp8TBzjY875WELcitttDrVtobxq6fDsdXQs10DTgwtesUsXZX50z0WHQxJu7mAKRmoxTZvEvAD-tH&p=1&fvj=0&vjs=3
Business Analyst,"$5,425 - $7,714 a month",Visions In Education Charter School,"Carmichael, CA",,5.0,"Analyzes and audits financial data related to marketing initiatives.
Disaggregates, simplifies, and then communicates data to stakeholders so that they can…",10 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CgexCOmVt2enSUJaXKULxu78cqHdqSkDfmRiSMmr053fJosHZgNSKEJyxDHLLUaVzi0QD6vwPPo-lUlFG9UsaXUG6SANb-W0GMMWsdB95uEMpGvolJEI9oEMFddqiktwWMAKWnNNhwbsXj1MMGEUDLdkohG9ih5SzRGhR0A2jRswEUzAVd9qq0DwYygc2lt2sOmyTe6etupqsX8eXyb_BPr7fzXlY2iVQRTzIv_0_fHIHNSO3i132tNzPqPcwDSjUaajNbwfCHUmsbEcOVQC5x87OhhJK9Nc88v9bgYQ2uFKTq9rij_238I114K7XOm3MOH38RTUbBsijhiUBDqEV-G-vSw9vaZxpwsc6ssFJtghQYmEDLUzB9nX0VmaCie86Of7hU9lDEhAaWzd-fsZFhqWwZQnWoWb3HXoZJgmB_IYLo9w7UjIqe6mBMaI3lB_BMvTrFW0xpuA==&p=2&fvj=1&vjs=3
Data Analyst,,Woolpert,United States,,3.7,"In conjunction with data owners and department managers, develop data models and protocols for mining production databases.
Strong ability in TSQL Programming.",Just posted,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Bz2g0gOmBYdJt2qF4aozE3h3VbIO4lBaiiwQOPd_CjSg-0-2voyDjwb9yjbsu36LmDpaKQKqaNu94tcuA4_o4QKoDOncweqYi2Yymi9DlCnZxagJe3setlOooyzi-31nQHr_zD2h1UUy2Uxfb-XZdp4wJjO7HWKcgA8yXBdRrB8TQQRDYkVTrIX4sglm-aXPVw0bo6PxOoqnrdVxH5RjrNalbS2T6uFhZynuo7uEG_OJCW48z7MAiMqiHcUUYDcADSUS_w5r2YTpeB6c8Odrv5vkTi2032hclEjDsGlrkEVoqTGt-NMF-nzyohxjYY8uPFe4G9uEtANJpnix3nH44k4DqPh7rCIOd3mfonMFU_dEaNBQSGGNGQpKcYhFiH4FrZaw0g1xE1Rbg00RkO-dQdee4QkNZGB_N6LDPkg2uFbCiy-UxEYTvSueVDSU7OU_pp-njJ48hd4AxC4MBi1BFqgV2xzWydJ3o=&p=3&fvj=1&vjs=3
Data Analyst needed ASAP!!,"$60,000 a year",AppleOne,"Folsom, CA",,3.8,"?Bachelor's degree in mathematics, accounting or economics, a master's degree would be an added advantage.",30+ days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Akmm0SHSm6KXMG3PLe28cvsql5ALZY-VGg2iXYcU3b0-T4N_D2rn7pJUf0R1ZmFqLiz4zRjBLhGZXtu8woy97OzGRqrOe8dlyXDF85xiWM1gCNx3dR6BEgH3AFJ8p4FeIPJ4wrB1nTz9WJQEX8cTZs_0Llo3SnzM8A_7pR3GEeiCP5qJawVTTnve5oJeGDqika_LLjk4X1sEQQveWL6Qif-VnBXcqkCKv3p2I8D8PMdiXycMtXbfx0p1O_fgJg4BSEDlRgY7ElBhsC77Zmcc1Wo_9_fR25A_LcNmSSd6zvS-5gOH_OW04pWKO_1MZoiLflDgUY3Rnwtp16GyOjBBsrKByF2u3cj0SdjYw1vBOzhfFZrP_14BWYDAOxlZkx9VB_fMIsl-E-G5fSLYIncDoXw0edKdF6th4HgeQQoHa4wgdMlJ8rH5xE8rbTFesMywMfvPsrkQuMZIOeH4Y_ByyqY_rx0M5_5iHTxFizGsdvhmUW-t7vedhkAsBHklxwZPq6VK6uLqfJrP1Jko_jeKFWRjJ-g_zhPMtQTzilEnA-8EHSarodr3S8GOF2YpmV_5Uf_Lyf9VsckcSEJzO0aSW34HtGDkfyAvqm0JX3RjZMEY9_MASrlW6B&p=4&fvj=0&vjs=3
Data Analyst,$35 - $40 an hour,Global IT Family,"Sacramento, CA",,,"Data Analyst share profiles with more focus on Business data analytics with stakeholders collaboration.
Job Types: Full-time, Part-time, Contract.",1 day ago,2021-01-15,https://www.indeed.com/company/Global-IT-Family/jobs/Data-Analyst-8368d9a8533c5adf?fccid=757d44d97e75b09e&vjs=3
Transplant Data Analyst,$26.05 - $52.30 an hour,UC Davis Health,"Sacramento, CA",,4.0,"Prior experience in the review and abstraction of clinical data from hospital medical records.
Ability to analyze data from a variety of sources and present…",1 day ago,2021-01-15,https://www.indeed.com/rc/clk?jk=b75d633531afb12c&fccid=f2bbc2a882eaed7c&vjs=3
Data Analyst,,VSP,"Rancho Cordova, CA",Remote,3.7,"Improve data quality, data collection and analysis processes; develops data analysis methodologies and reporting.
Experience using ReportCaster and WebFOCUS.",Today,2021-01-15,https://www.indeed.com/rc/clk?jk=26526c8c04a57047&fccid=b20b4d8b1a5c1ab6&vjs=3
RESEARCH DATA SPECIALIST I/RESEARCH DATA ANALYST II,"$5,656 - $7,080 a month",Office of Statewide Health Planning and Developmen...,"Sacramento, CA",Temporarily remote,4.2,"Your experience presenting research findings to various audiences (e.g. management, public hearings, legislature, etc.).
Only full-time employees eligible.",7 days ago,2021-01-15,https://www.indeed.com/company/Office-of-Statewide-Health-Planning-and-Development/jobs/Research-Data-Specialist-Research-Data-Analyst-33916a86da1c35b6?fccid=a9dc099bfda38f60&vjs=3
Data Analyst Internship,,Red Hat Software,"Sacramento, CA",Remote,4.0,"Experience analyzing data for particular trends and insights to guide improvement plans.
Be responsible for analyzing operational and sales data to ascertain…",28 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=b91e76fc1c904f68&fccid=e24a60f01d1882d1&vjs=3
