job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
Data Analyst,"From $50,000 a year",Graduation Alliance,"Salt Lake City, UT",,3.5,"Acquiring and abstracting primary or secondary data from existing internal or external data sources.
Technical expertise regarding data models.",3 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AyjYg213xu0QHsUiNzAZUiM2ibHJKc-QlU4lHZQYfnnZkhNqHLyfgYPIrOO14atHvv3n3zIt-a2FMIaKz2nW3XvzMSEonj6eXzJ7n2ZeHyqfgWgWsUOI-kBVN4UrDgyV8FkXJBiYojY1t7yfKxGb4pNvU9WszipSYIzCJZvs_oCE_9ETKTstbiRg-I8I2BoOMzfVqVkqZWu-poyFSFHA5AfxwfzI-vs_Fxq5aVh14ozzfgcipuRUGjT4Iu8SSdlwazpwcUMTgSNCQLg0gaQSxf02dYE1Z_WPljqEAQ_qF1UPxw9c1p7OYgR2Ue_PTIyx0iL8z7OVg-EZigkuobU0jcQVvH80TcioDB7-IpP0RSC8d4d-iKwuIh6iArkiJ1A2wOFqJtRF_WmA7d5qwihlkpaRDldBDZiuODVJo13c-WYod9lssXpt0pesk2PFKrmSPiDbM2pw1LQg==&p=0&fvj=1&vjs=3
Data Analyst (Financial Data Management),,Zions Bancorporation,"Salt Lake City, UT",,3.6,"Test, validate, and reconcile data attributes based both on source data and results from financial reports to assure the data accurately reflects the source…",9 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DnCE_apoYBHXLBX11EHqdtjQRV4RdPAZX2pv_Q3P4OoVID5MdznKMcCLMNymXlrLS0dMa-SdeTyHUR8B_b3-wq7NZL4Ofle-XZZ8cIQxnMNq0ga6bc1jBqsSq1Im7WEjoZTwGKU291Dwj4U6DuGn13Ui_iiQa33Kq2-fNlqMHLQ4bDbn20gFdETwtMA95JO3raStzdMhtpKrnbJ6vrQtBINGFbsrj510lD1NACFK4gH0r7K2Upf_qNz1tVYtb1EuuVbGwKs9g4MzB0Gah0uTATWAYHV8w9Ap6a2UpLGMCyxxILA93UxAKV-uKnKyEGkSCkafNTmhpwo1YWxVtQ3YkWKal9T5IYpntTABVIEa6iJtXRYjWE67xnzyUbP-7IsLBZntxYFQ3vzX4NZe0P_Ery2TRoq57-aAxGXg7v9kG1E5JlAchdC5KYPPkTgAHRtilfmuh-N5zZ2G6tgeUedNTQeAAYSvueQw-m1s9N30E4bXkwsR9pjcjYOCmwcEMLykbwdETrBVpUCTKrcNoIJrqRj2G5c69lYAJzTrWQziYLVcmDxhMt8prU&p=1&fvj=0&vjs=3
Consumer Insights Data Analyst,,Traeger Wood Pellet Grills,"Salt Lake City, UT",,3.2,"Successfully find insights in disparate sets of quantitative and qualitative data.
2-5 years of full-time relevant work experience.",30+ days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0ASCLQ5_frmJDXLvgmumXWe6JQlmaemmbuEum26JwFlhSUt0-gA5pzClZq7Sj7O_2jVqdpVVmbzZSQ_ea6UYJ3-unXBv07RHOQb07WOPR67Yf_IYhLlskA9XUEX_fxOEuvXT9ce8aPH5ZftK4OSU81Qc1a0BwnxozALeKpPNR3DXLJavREj2DViaSRPQXlSb4ROmSox7FQV7gj5rxLzpbWLpYx8125V630a-HWWyXeMo_8nyOIENi8NLXk_gTLdyEzzb0R0KGua-zimgc3bRZMtm7zQ2GijUnkK24CxDgO6lOU_386on2icTDpixpzMJmPoXWOztYIBEzWrzKQunZaFzC6pOYGUZn2kvd92zC4inXqQftg12KVcEr2HOksvvNma4P9Offc9GmNDAwSiAwUiIn3QKG6YeZ4=&p=2&fvj=0&vjs=3
Data Analyst,"$58,000 - $113,441 a year","PavCon, LLC",United States,Remote,5.0,"Is willing to roll up their sleeves alongside other analysts and engineers, developing data-driven processes to improve customer decision making.",2 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AcvyScSzxGX9e7tF2yOlgVOj93Rn6ts4Nhq9obcZl5__6xF54nqZyXQl0oo5T0znWbCn_T5bJ2yDPbHzpPr67qvSHPbPxh4NEeJsWx8CaMGTJAWVEp45jPmOgYfowgoW-pwMbwpZvMNIvIMxcUN4Bb78-lO6eftz2Ob6p_ja2KicHrs-yoLx6_Cs6UgZRX-Hus2dVTd6Kd5y137aX14rrxcu_cCMF-kUXXo5r_DqB_rO_uetVLZKh-5_Cy1nLn_tavEgz4-l_jYYJoCKpzJDwFP7QFTJdxkHMZZFnALZRbfvoU3vl9nB5v1Yfvix12lSMHjEXTGp3Wj40Y0vw8qa-Y_9iUFrtn_KB3lyDtparPA4W8M6lXRZYxot8XDAbJGI9HihhDTGAC5mDdBXzLfv5U5p27j-7Ff7z-7Qw64Opz-PCHimc4eUKClqZm8-ldc4AJATRpXkcvD93Efsv76Gr6&p=3&fvj=1&vjs=3
Data Analyst,,Traeger Wood Pellet Grills,"Salt Lake City, UT",,3.2,"Implement and support data security within the data warehouse.
Troubleshoot problems with data models and data warehouse deployments as they arise.",6 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=c80718f687290b93&fccid=954abafc167729b6&vjs=3
Marketing & Audience Data Analyst,,DNP - Deseret News,"Salt Lake City, UT",,,"Have two+ years of SQL data extraction experience.
You will find established and novel ways to measure reach, engagement and user journey on various platforms…",4 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=44df9d10cd5e8977&fccid=67bbe5ca91a5c4bd&vjs=3
Data Analyst,,"CAO Group, INC","West Jordan, UT",,4.0,"Conduct end-to-end analysis that includes data gathering and requirements specification, processing, analysis, and effectively communicate findings and provide…",6 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=76ad0d8ab11560e0&fccid=46fb957f94d905c9&vjs=3
Data Analyst,"$55,000 - $64,000 a year","Lumbee Tribe Enterprises, LLC (LTE)","Salt Lake City, UT",,4.5,"401(k) Savings Plan – 100% match for the first 3% contributed; 50% match up to 5% contributed (no vesting period).
Train end users on new or modified processes.",28 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Dsrz846iv8fFfU2NsczKUvGxcsSAxuBtep805K-KfR73_FXaXllcL4EgZ32GXYlbxverOWmiXurgYFhYyArqFkF2Ad-nCV5qa_l2fTel_oMzNomX19-M_nZagRn7NRckwHf45VvuqYv9YYFBYvnIj-91vOeqW3K5JXO81qehndIxzs6qZH3hcGOn8RhqnFU6imaWV8X4mH6752YJK1EQRh7yxqv72td1cMN7pfeMLrcSjE_vRklmagGPcIyLG_uBoYfJSWQ-Sd0Iy2NbtPm5g2bU599aX-yQW19EakmAXsZZn4gnR40sSMxBQW9Il-KlI5qp5a0Et-Z_MidkJpvxNXHgd8hoxFyG3pLAbVMK4PNZwMXHcIn_EcGXUiSj8l77-9sKX5s6jDxeoA8PhsvoR-zIKeiHUPkwIkzZnVbH4UeAvbMJIS2EQ6rt72GEfEmXHtA8ju34DFOb_1pxwDoEFJ&p=7&fvj=1&vjs=3
Data Analyst,,f5,"Draper, UT",,3.9,"This role has an engaging mix of data analytics and customer/business engagement.
Provide ad-hoc data analysis for customers on an as and when basis.",3 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=4ea758cc4ab51e48&fccid=9b3ae8c6fdf5bade&vjs=3
Data Analyst- Learning Analytics,,Western Governors University,"Salt Lake City, UT",,3.6,"While under the guidance of leadership, the data analyst extracts, processes, analyzes, and reports on a variety of data related to WGU degree programs.",Today,2021-01-15,https://www.indeed.com/rc/clk?jk=4ed049a4ab73077f&fccid=6a2a37a1ed914f66&vjs=3
Data Analyst Intern,,PayPal,"Draper, UT",,3.9,Aggregate data from various sources to construct streamlined data pipelines and integrate data from multiple PayPal systems.,30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=2dc906aa413923a8&fccid=978d9fd9799d55a8&vjs=3
Data Analyst,,Ascential,"Salt Lake City, UT",,3.2,"Ownership of data quality and parity across data collected online, in stores and sensitive data provided by the client.
Data transformation and quality checks.",29 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=cb5183835c9e104c&fccid=206f464dc90cc539&vjs=3
Legislative Data Analyst,$28.99 - $35.96 an hour,State of Utah,"Salt Lake County, UT",,3.7,"Collect and combine data from multiple sources using data joins, data preparation techniques, and validation of data integrity.",6 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=09df371d06d5658e&fccid=a9dfcf89bb8a97bb&vjs=3
Data Analyst I,,Myriad Genetics Inc.,"Salt Lake City, UT",,3.5,"Performing proficiency testing in the same manner as routine samples.
Following the laboratoryâ€™s policies and procedures whenever test systems are not within…",11 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=1c66213c7c269bde&fccid=4ce6055db23402d5&vjs=3
Data Analyst,,DigiCert,"Lehi, UT",,4.0,"2-5 years of strong SQL skills to query data.
Learn existing data structures and how and where to source data.
Identify meaningful analyses to perform.",11 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=a2a841cecc931c34&fccid=a9e65846c0a6c220&vjs=3
Research Assistant/Analyst,$12.02 - $21.63 an hour,University of Utah,"Salt Lake City, UT",,4.2,"Collects and compiles data from a variety of sources; may enter data into a PC or computer terminal.
Prepares format for final disposition of data; maintains an…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=47117da6e9bcea29&fccid=6328b27691d3fdc3&vjs=3
Business Intelligence Analyst,$31.26 an hour,State of Utah,"Salt Lake County, UT",,3.7,"Facilitate data auditing and data quality improvement processes.
As a Business Intelligence Analyst you will coordinate with executive staff, division directors…",2 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=2574984d79b41de4&fccid=a9dfcf89bb8a97bb&vjs=3
Data Analyst,,"DigiCert, Inc.","Lehi, UT",,,"2-5 years of strong SQL skills to query data.
Learn existing data structures and how and where to source data.
Identify meaningful analyses to perform.",11 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=96e6221fa25b5464&fccid=3021910c3311bda0&vjs=3
Senior Data Analyst,"$80,000 - $100,000 a year",Analytic Index,"Sandy, UT",,5.0,"Data Analyst: You understand and implement best practices around designing dashboards, fundamentals of data visualization, and has strong expertise in SQL,…",1 day ago,2021-01-15,https://www.indeed.com/company/Analytic-Index/jobs/Senior-Data-Analyst-62865f7418c37493?fccid=2a995fa39ff02561&vjs=3
Data Analyst,$9.62 - $12.00 an hour,University of Utah,"Salt Lake City, UT",,4.2,Participates in the planning and design of data reporting forms and formats to establish data record systems and documents.,30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=690280bead761573&fccid=6328b27691d3fdc3&vjs=3
Research Analyst,"$40,000 - $50,000 a year",University of Utah,"Salt Lake City, UT",,4.2,"Enters data into the computer system.
Compiles data from a variety of sources.
Maintains files and records of research data.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=06ae6deb7898c10f&fccid=6328b27691d3fdc3&vjs=3
Data Governance - Analyst/Associate (DE - Governance) - Governance,,Goldman Sachs,"Salt Lake City, UT",,4.0,"Experience of data governance or data management.
Work with data consumers and producers to negotiate ownership of data.",7 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=7a701fef5a03c58c&fccid=16a97ed26c75bf2d&vjs=3
Senior Games Data Analyst,,Red Games Co.,"Salt Lake City, UT",,,"Translate game data into actionable insights and recommendations to help inform marketing, user acquisition and product strategies.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=c2238ced0426f8ea&fccid=eb084ce9f818e567&vjs=3
Product Analyst,,Finicity,"Murray, UT",,3.9,"Analyze data sets to assist in data quality efforts.
3+ years business analyst or product related experience.
Manage story creation in JIRA.",3 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=97eb3fc47293d735&fccid=1b5156e08ba865e1&vjs=3
Technical Business Analyst,,iPipeline,"Salt Lake City, UT",,3.3,"Solicit requirements by conducting interviews, performing data and document analysis.
An understanding of SQL scripts and be able to effectively query data for…",Just posted,2021-01-15,https://www.indeed.com/rc/clk?jk=b6e5559526c912de&fccid=61ac60b37346cf51&vjs=3
Senior Data Analyst,,Progrexion,"Salt Lake City, UT",,3.3,The Senior Data Analyst is also responsible for gathering data from multiple sources and performing complex data analysis.,30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=a230fcadf88f05ff&fccid=cd6eec4917553286&vjs=3
Business Data Analyst - Finance,,Progressive Leasing,"Draper, UT",Temporarily remote,3.6,"The analyst will be key in architecting data solutions, constructing financial models, and integrating data into comprehensive reports.",2 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=41cde3fc60b8ec3c&fccid=ca6dcd2772155db0&vjs=3
Intern- Data Analyst/ Salesforce Admin,,"Packsize, LLC","Salt Lake City, UT",Remote,3.3,"Collect, organize, and merge data/records and maintain data integrity within Salesforce.
The Intern - Data Analyst / Salesforce Administrator will work in the…",6 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=1b17d77b06183070&fccid=2702aea035c2e7f9&vjs=3
Data Specialist,,Rocky Mountain Care,"Woods Cross, UT",,3.0,"O Build data models with multiple data sources.
This position is part SQL developer, part data centric developer, part report and dashboard creator, and part…",24 days ago,2021-01-15,https://www.indeed.com/company/Rocky-Mountain-Care/jobs/Data-Specialist-3db79efaea5d5986?fccid=0ab438c7fe0c6a36&vjs=3
Business Analyst,,Finicity,"Murray, UT",,3.9,"SQL experience or data base knowledge.
Develop and monitor data performance and ensure business data and reporting needs are met for key products and clients.",7 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=b081a112468b6faf&fccid=1b5156e08ba865e1&vjs=3
Data Analyst (Financial Data Management),,Zions Bancorporation,"Salt Lake City, UT",,3.6,"Test, validate, and reconcile data attributes based both on source data and results from financial reports to assure the data accurately reflects the source…",9 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DnCE_apoYBHXLBX11EHqdtjQRV4RdPAZX2pv_Q3P4OoVID5MdznKMcCLMNymXlrLS0dMa-SdeTyHUR8B_b3-wq7NZL4Ofle-XZZ8cIQxnMNq0ga6bc1jBqsSq1Im7WEjoZTwGKU291Dwj4U6DuGn13Ui_iiQa33Kq2-fNlqMHLQ8qioSZJ-TEduh43OCvRM14Vlqm1sj9PR63QEYRzt96mC8U4DtJkO0MD0ambxu_cbknPeDbzzmo6mRakxCBUJWj8Ya1tcLmrD3vpYLMA3j1KCdaoE9lZfhhg1ycMcEpP4psd5M44qe8TY_vp5YyzQb95G6_HcUEtGeaYaLsGzoAxMtMwmRISU-l6YCbMuykB3Ea4al2S8dFasYMf78srKjlD5U5F9X9CutVo8-A1of1jpCubJQR3tnuM8z2prvH6FUIMK6t_M_pe8XnCmnIcONu_anAJCryB0rvEWdOkqltzCdTZnP2IsagJe-jG_b9atGwGMbPy6YNeCRK_jRBk-IvCC5WVynAg-sACl8m08lgTeJvuW720QeI78-aE8evL8dJaBiMHvzb0PLwgMSr_4i0=&p=0&fvj=0&vjs=3
Consumer Insights Data Analyst,,Traeger Wood Pellet Grills,"Salt Lake City, UT",,3.2,"Successfully find insights in disparate sets of quantitative and qualitative data.
2-5 years of full-time relevant work experience.",30+ days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0ASCLQ5_frmJDXLvgmumXWe6JQlmaemmbuEum26JwFlhSUt0-gA5pzClZq7Sj7O_2jVqdpVVmbzZSQ_ea6UYJ3-unXBv07RHOQb07WOPR67Yf_IYhLlskA9XUEX_fxOEuvXT9ce8aPH5ZftK4OSU81Qc1a0BwnxozALeKpPNR3DXCYaQKb75hAG0KmeLHo13jXX5EQbj1VYaO4e7DLvBd8IewHQ9fFFMLq8yFWiOpa10udhg4fUTuPj9X5-BFfI9fdexbXlpcmieqeKSfIHBxwBZk0rtpLmnw-yxZvNEgwpa9OFGbvjjb-ZDZGjxveBAooPUyl_BMasq5WVHI1t6Dd71t2OhhrYVfRA8HB8jNqcnu7p20j-A6aKn6CUdlGNoyCPw8z_UunyZ_wEabpGCKddY1F5bM_qcBw=&p=1&fvj=0&vjs=3
Technical Business Analyst,,iPipeline,"Salt Lake City, UT",,3.3,"Solicit requirements by conducting interviews, performing data and document analysis.
An understanding of SQL scripts and be able to effectively query data for…",Just posted,2021-01-15,https://www.indeed.com/rc/clk?jk=b6e5559526c912de&fccid=61ac60b37346cf51&vjs=3
Senior Data Analyst,,Progrexion,"Salt Lake City, UT",,3.3,The Senior Data Analyst is also responsible for gathering data from multiple sources and performing complex data analysis.,30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=a230fcadf88f05ff&fccid=cd6eec4917553286&vjs=3
Business Data Analyst - Finance,,Progressive Leasing,"Draper, UT",Temporarily remote,3.6,"The analyst will be key in architecting data solutions, constructing financial models, and integrating data into comprehensive reports.",2 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=41cde3fc60b8ec3c&fccid=ca6dcd2772155db0&vjs=3
Intern- Data Analyst/ Salesforce Admin,,"Packsize, LLC","Salt Lake City, UT",Remote,3.3,"Collect, organize, and merge data/records and maintain data integrity within Salesforce.
The Intern - Data Analyst / Salesforce Administrator will work in the…",6 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=1b17d77b06183070&fccid=2702aea035c2e7f9&vjs=3
Data Specialist,,Rocky Mountain Care,"Woods Cross, UT",,3.0,"O Build data models with multiple data sources.
This position is part SQL developer, part data centric developer, part report and dashboard creator, and part…",24 days ago,2021-01-15,https://www.indeed.com/company/Rocky-Mountain-Care/jobs/Data-Specialist-3db79efaea5d5986?fccid=0ab438c7fe0c6a36&vjs=3
Business Analyst,,Finicity,"Murray, UT",,3.9,"SQL experience or data base knowledge.
Develop and monitor data performance and ensure business data and reporting needs are met for key products and clients.",7 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=b081a112468b6faf&fccid=1b5156e08ba865e1&vjs=3
Digital Product Analyst,,"Medifast, Inc.","Salt Lake City, UT",,3.4,"Understanding of common data science toolkits.
Analyze data and translate insights into new product features or process improvements with a measurable ROI.",6 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=4b9a54e844be5a1a&fccid=e77c6e227f3f5486&vjs=3
"Intern - Data Analyst, Compliance Risk Management",,Zions Bancorporation,"Salt Lake City, UT",,3.6,"Assist to maintain data quality controls and ensure that appropriate data structures are in place.
Zions Bancorporation is currently seeking a data analyst…",1 day ago,2021-01-15,https://www.indeed.com/rc/clk?jk=45f89f87640908f5&fccid=f48844f8f6150eee&vjs=3
Genomics Data Analyst,"$39,300 - $55,000 a year",University of Utah,"Salt Lake City, UT",,4.2,"Create and modify scripts to align and parse data generated by high throughput sequencing experiments (e.g. ChIP-seq, RNA-seq, bisulfite sequencing, and…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=78f362cf9e154006&fccid=6328b27691d3fdc3&vjs=3
Data Analyst (Impact Planning and Analytics),,Thumbtack,"Draper, UT",,4.3,"Ability to detect and debug anomalies in complex data processes.
We collaborate with various groups across the company on a wide variety of projects; everything…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=ca30a6761e18060b&fccid=7a4ceaf20cd03b82&vjs=3
Data Analyst,"$58,000 - $113,441 a year","PavCon, LLC",United States,Remote,5.0,"Is willing to roll up their sleeves alongside other analysts and engineers, developing data-driven processes to improve customer decision making.",2 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AcvyScSzxGX9e7tF2yOlgVOj93Rn6ts4Nhq9obcZl5__6xF54nqZyXQl0oo5T0znWbCn_T5bJ2yDPbHzpPr67qvSHPbPxh4NEeJsWx8CaMGTJAWVEp45jPmOgYfowgoW-pwMbwpZvMNIvIMxcUN4Bb78-lO6eftz2Ob6p_ja2KicHrs-yoLx6_1BYRHdgMYelL8UBwMpWRUhHuBrCk2VFcz5Oj-6qJzLk6YiOeFxqrx7RmpWWOUK2Epj95Khvl0yTIl3ATN9OCJ5bKa6rVNVq6BZ2x9uB95IxNy46tg19oLtLHWRsO7w3az69MThaknL3PNFk9HsOd_SwqoKEHkIYAkz_REiEgv2gW5FHulEOteM2-PUlFua3HMVygVHJY1pNxvOU3jdCT3V0RFPvF74LocDjiQhWng6_Qs9RPwA1tR5EsIwr6A5sb_t6ZaqXgxvBFlgrkUjCJaZBPlGTdGE8m&p=12&fvj=1&vjs=3
Sr Financial Analyst,,"Myriad Genetics, Inc","Salt Lake City, UT",,3.5,"Excellent communicator who is clear and concise in explaining complex data sets or analysis.
Demonstrated ability to structure problems, analyze data, and…",2 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BwHo893EIjDf9EF9shCdegbD97wN3a7mFl_PzBha-mk4yyuMpGpF7ndfkUVShgc6SPhMxDKuAdmsgMYgIO_S8MFxeUO-a5MX9N8JWxCJ6AfDQ585_LgEGG7wbdEh5XzCFORxHYrh6fQpfCSMDuOw9b16k7S3wu9x7at9JAgqft-BXmQSSpfkhMrVFmoNi0TKRh3JHYsjdGX4uCtSbVwh3IDavOa5LBHXbOxCCNolqMeYusaj5SJ6j2f0G6E6u19s8c9SgZRGI30kfVkZyDuWuNxqojaB4IaRpnQlHFa--KBvuIAzlcljXfDImMypfnwdr9cwmhPVvrLWrQfN3BxqdwusJn4wXnxTRIcrcvcHkiaKHu3nRa8YQ-sojk5KgaeVcMjg85VmJ7YOBErAmzVyqQ26ngABvCX-_iq8cnQPq30ey0ThAw4L-K&p=13&fvj=0&vjs=3
