job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
Senior Data Analyst,,Big Fish Games,"Seattle, WA",,3.6,"4+ years’ data analysis (work) experience.
Use descriptive & inferential statistics in analyzing data to answer business questions.",1 day ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Baal0bOrkb_5xg5EhVVljMnluLJ7oAvqv0XmFdju8Hj9wfiZQ4whWHb4ZU6OqpRid4qXyzkGAWsYTiGWrL1Z7wnmt05TaT5q2p9gFqW1bEsVVs0vB6wqilXaW8Co8D1KQJwDBuWll0xxlo44YpD4HC-gKmLGuA3g6mjF5nh7jmwnH0RqImTq2KDMo2YNr5hcNAyJu6UHEfvfWrhPV3NEY5HvXxTd3I5TogPpAH4dXHkBowoyFBiJS7FSf5AgX_OFFESDPKSzkwEhoGFnEAQmD14WGlQIqxLWPRU2RJaCZkpd1hvBLSQSYD9L7dcO3UkdywyHaXR0qgHBBfCFBMivNQIuFoscs45KpKjAzlr7MhraHkBaNs2-rJ79y_6fa7D7OE0NPbSpOe8PIhv5_WMjyFM-sRo9zokWHRN9I7eJRK5H6YkNcNYJ82NtsUp7bupKIOhj9884sywJrAT-byg8y35ZALI6TFfRktJG5eNlXJH_iQpAoAnK20YRXuU2oEVEAusrbHasCSJifDM3ehxukzZ_4XlV94qFDY8OdQil6kTgiUASfRy66eTju4Kru751bQcGUZyJtkkw6isiLl7HjHsgKXHHnOn6bcObo9D1rifg==&p=0&fvj=0&vjs=3
Data Analyst,"$55,000 - $70,000 a year",Advana,"Seattle, WA",Remote,,"Collaborate with data engineering to ensure data is readily accessible.
1-3 years of business/data analysis experience; digital advertising or business…",30+ days ago,2021-01-15,https://www.indeed.com/company/Advana/jobs/Data-Analyst-50f873502e29235a?fccid=e0b053b31528f9dc&vjs=3
Data Analyst Intern,,PayPal,"Bellevue, WA",,3.9,Aggregate data from various sources to construct streamlined data pipelines and integrate data from multiple PayPal systems.,30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=bb84cc79df198a1a&fccid=978d9fd9799d55a8&vjs=3
Data Analyst,,Brightloom,"Seattle, WA",Remote,,"You are storyteller who uses data and insights to communicate clearly and precisely through written documents, presentations, spreadsheets, and data…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=defcc0a00d9c3287&fccid=4bdb48685f79c210&vjs=3
Business Data Analyst,,"Amazon Dev Center U.S., Inc.","Seattle, WA",,3.6,"3+ years of relevant experience in a business analyst, data analyst or statistical analysis role.
The Business Analyst will own the creation of representative…",Today,2021-01-15,https://www.indeed.com/rc/clk?jk=a5b12e1c268ce538&fccid=fe2d21eef233e94a&vjs=3
DATA ANALYST,,University of Washington,"Seattle, WA",Remote,4.1,"Bring together data, analytic engines, and data visualizations in one seamless computational process.
Create and document efficient, effective, and replicable…",24 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=60ff883043784fed&fccid=142783ac2edbe56b&vjs=3
Contract Analyst,,Providence Health & Services,"Renton, WA",,3.9,"2 years experience working in contract management, supply chain, data analyst.
Synthesize large data sets into clear metrics and dashboards/reports to drive…",Today,2021-01-15,https://www.indeed.com/rc/clk?jk=2b5a57c1ec355a9c&fccid=84c8ed4c8205d753&vjs=3
Quality/Data Control Analyst Associate,,LOCKHEED MARTIN CORPORATION,"Silverdale, WA",,4.0,"O Assessing data from completed shop processing records.
O Maintaining data systems that record the processing, test and delivery of components.",1 day ago,2021-01-15,https://www.indeed.com/rc/clk?jk=d233ce1479568f42&fccid=aeb15e43a6800b9d&vjs=3
DATA EXTRACTION ANALYST,,University of Washington,"Seattle, WA",Temporarily remote,4.1,"Experience analyzing and/or manipulating spatial data and survey data.
Publications, presentations, and data requests.",3 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=cc2e569bd9c6092a&fccid=142783ac2edbe56b&vjs=3
Data Visualization Analyst,,Amplify Consulting Partners,"Bellevue, WA",,,"Strong data visualization skills using Tableau.
This position will work with stakeholders to develop and build reports/dashboards with supporting data models…",7 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=181ea250aee0a8fd&fccid=5c10e426c0ae71ba&vjs=3
