job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
Data Reporting Analyst,,SNI Financial,"Tampa, FL",,2.9,"Employee Type: Full-Time Location: Tampa, FL Job Type: Research Experience: Not Specified Date Posted: 1/14/2021 Job ID:…",1 day ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CS32Ln2hY9dzAXNFagdtdQAMm9yz-2VIM9EXx3MI2ptgC3ZfGCTJ2eVSDFkjtPicpR6a7ie-XDyoGo21CD3EVDhEewGsDkpCnbjn166bPc1K1R3yM2qHXBq7v-vWS1xJRgIvWgMIwWOcQgp9RbNypZZEp6qy5StzqgoQDOw22N6q7VJ7LYu2sahqEekkrw4e_DWEPK3vgJwqNKIziespa8H_LZqO1kTW-9Zs_Knza7empmLQjgoFG5cyvlBn1g5MF7Erf620_RAQ1_eYBztk7wzXYS-ALb28BBfjdaABWHOo5ShKMmMj4KYBwH73TIYE43uh8HJlKg1ImDhSh7sPX2v3gJYz_oNQxt260mooy8IVSttGnSHf5TU7DRBZqjcc3v_4VYUj04oKzRoyTO9K2pz2eu-DjIFwQyVj_PUY1arVj2g9hMlq7HnLQmJth3in9OyCMIbgBMtNPepAsR1G75ij1ZipXrtCBDtALiCWnoWhRs2lRF-MdqY1zACLN87ap-2FvaKqjp8llAmb9hE8f09YS4EDpPBE8=&p=0&fvj=0&vjs=3
Data Analyst,,Kforce,"Tampa, FL",,3.8,"Creating data models and data architecture including data transformations, writing scripts and selecting best schema that suits the data using ETL, Python, SQL…",15 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0C5IatSLh_Ak1q39eQQoPIxD737RW9NeiYGvIRXkrLjEBNGhZvRfJ822RSR1sk8CpQhu7IwrMf9mbdyyTWairlShNWwaXlOL4Oxa2yR3n_tlLYCfEwBKc8skKBq8QrL6TlZZKwvboyp5LjNap4RMcITN0Aynd_Yr2QBxc3Q5Sa5nCyIdeqBPxnvX5WAY-99FD2jBXRS3laDNf7nAaIcyDW-KEeri7_pid0t4rQ8E0iwgKGp0_BmWK7WOpzjpdCwCukoTHkRl-Gbxzv16TmY6MLMgoF6nFpjJicyqejz_C9gSY5r-NEQ4P8fNeywXtaLJD7QJmvSTCcuvhxcZ0jDgqwoUwv92ypy2JxF63ChVnfaASrhrBS041Q7z9Uvpx-fwcS_Relb4lDBHXpoBqaRAuFa0Z3hrs3aIpQEikUvbt5sd6V6pTXEIjLDc4ZYrEZXn7Jr8WwJP5ZLnHvRfF8g49o0F47wulLOivJR7V5Y-5kuBxd62ZM8QLNTvNwFPInV5hMnF2KI20lWwZa1fGGg6qZRg-G9tLMa8e4hng6XfbDNAu0DUB6y8Xft&p=1&fvj=0&vjs=3
Quality Control Analyst - Football,"$40,000 a year",University of South Florida,"Tampa, FL",,4.2,Continue on-going analysis of team data and tendencies from previous season and in preparation for Spring Football and the upcoming football season.,3 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=5b308acc2fae7f48&fccid=b9a5944ce9a9d944&vjs=3
Data Analyst - Data Scientist,"From $52,000 a year",Dynamic Staffing Solutions,"Tampa, FL",,3.2,Performs statistical analyses of primary and secondary data sources to synthesize research data into logical conclusions in support of the Airport’s strategic…,2 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0B49oSJ47KoFvcDNdx1c-WCjQasTAmooBBYp8ekfeZkBWTp4sdw0ez4V0tgXpRoXyK101tHxh6IPImyrN_pUqZZN4cx821MgGpbbu755ToskXiVHBwoYwjPLAsEkQE-inRkXhoXkQvrv4gTOPJhtJAdWgWr7XGEvjDoKjua_fAkV_7wA4N9p8W5ww_OPj_fO2J9SEizcJfAKnVKvt27_jqMCc8Pckb4OUfW397Y8ab2xOwdZac3sPs9GuY8E0uhZC0ddyeLcNLEckj_OWsBI4rDL4hPwKO6laG5t2KlZBNCJzhKClbHGDx7Voj0gRWky73kS-bzOCo_4H15oOVYuQrGuvEeUfIQuzIofOMI4gV6PzHfwckfiBcKg2tFItA509X6RzAyj6As66_1xhU-QSdeBaef8DuqUXcX5DqFnDGTnkuqocVShO2Y6mIsdG2nzbXzDbnKDW_9oQ==&p=3&fvj=1&vjs=3
Data Analyst,,Elutions,"Tampa, FL",,,"Perform statistical data analysis and statistical modelling with high quality data handling techniques.
Incorporate process of continuous improvements into day…",6 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=2df6ee8898264fbb&fccid=e459f9c9a038dba6&vjs=3
Data Analyst,"$58,000 - $113,441 a year","PavCon, LLC",United States,Remote,5.0,"Is willing to roll up their sleeves alongside other analysts and engineers, developing data-driven processes to improve customer decision making.",2 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AcvyScSzxGX9e7tF2yOlgVOj93Rn6ts4Nhq9obcZl5__6xF54nqZyXQl0oo5T0znWbCn_T5bJ2yDPbHzpPr67qvSHPbPxh4NEeJsWx8CaMGTJAWVEp45jPmOgYfowgoW-pwMbwpZvMNIvIMxcUN4Bb78-lO6eftz2Ob6p_ja2KiYEZpVTsmRc-pN3MaNNAEETxtP8JmT7MTi_CFowS0I1QVqbAlPMda04Z1b1GYq9jHv5QkU6Os7ML-gxNtmFld_1tZzis7Mb3iw8n5SuP0rl8K6cXNtO4bTwE899R2V7NBpx6nxLmDTBVF-ljyZlfCvzSg5yQo67Nt5tZe_9mwkCTIfjRG58laLynhmM42F4OGCFFYRn1lDHhtjygOL0JXuAwBaAbWlS_wJOSfoeQbkyp98hL9ywC-v1Zjs0GOzydw9lBDHdrAu0DsZWz0sbFblRliGz81Jp2Rw==&p=5&fvj=1&vjs=3
Systems and Data Analyst,$25 an hour,Northside Behavioral Health,"Tampa, FL",,3.0,"Responsible for preparation of all monthly reports for data and invoice reconciliation, meeting requirements of Managing Entity contract dashboard.",16 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=a4c5400118d46811&fccid=e7faf11772769017&vjs=3
Data Management Analyst,"$55,000 - $65,000 a year",University of South Florida,"Tampa, FL",,4.2,"Experience with institutional/academic data.
Systems Management, Analysis, and Development: Design integrated solutions such as applications, databases,…",3 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=879b394e6d49116b&fccid=b9a5944ce9a9d944&vjs=3
Junior Marketing Data Analyst,,"Webstaurant Store, Inc.","Tampa, FL",Remote,2.7,"Opportunity to grow skills as you work alongside experienced digital marketers and data analysts.
+1 Year performing Analysis in marketing data.",6 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=77a0c2365938ef6e&fccid=15c26b2f7c7309c1&vjs=3
Business Data Analyst,Up to $50 an hour,Procom,"Tampa, FL",Temporarily remote,3.6,"Background in reference data with a focus on securities and pricing.
Data analysis and mapping (able to query data, analyze and map).",4 days ago,2021-01-15,https://www.indeed.com/company/Procom/jobs/Business-Data-Analyst-aa949d0ab6041f1b?fccid=39d1c8076d23beb5&vjs=3
