job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
Data Analyst,"$58,000 - $113,441 a year","PavCon, LLC",United States,Remote,5.0,"Is willing to roll up their sleeves alongside other analysts and engineers, developing data-driven processes to improve customer decision making.",2 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AcvyScSzxGX9e7tF2yOlgVOj93Rn6ts4Nhq9obcZl5__6xF54nqZyXQl0oo5T0znWbCn_T5bJ2yDPbHzpPr67qvSHPbPxh4NEeJsWx8CaMGTJAWVEp45jPmOgYfowgoW-pwMbwpZvMNIvIMxcUN4Bb78-lO6eftz2Ob6p_ja2KifpX5iIKZYyx9KmOZPCiq7FoGrKflTs1Gv3YUUAjOj7fWYYv4Fj7TQTneK7R18MWj23j-VtNmbc4oAEiW_caS4OuM0Dcg2mE-eteyKaIDxX2VnG-k0mrTAdr8wbYkb_CkZSBnCwcJ9DpPtW5V1LZwP1tCHnWdhJiSEvmLwBO5DsQc6evYU3lYAxDCjE6wfSoqusLK4bgjgzKdle8YbvjvOkzhNibmKjwS4cAOUede4pQEoBsHcKQOvNnIeB2dXV-hhhOBIutAOgv2JR0KP9cYmNshEQUdb8hzw==&p=0&fvj=1&vjs=3
Business Analyst,,Central Point Partners,Ohio,Remote,4.7,"Monitors loss trends and partners with engineering on any necessary changes Using data querying and presenting tools, determines optimum way to present data to…",1 day ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0C7S9erXqx7onWRBVnfrkvHoJft5r7GnmLgqRoqw23W0SZ1WD3W_d9En3Dt35tYnGY8H75e9Fci9Xp6uHzVNLjuuWF5QUmp9AWM_SvBwq3_FfcZz8w7LzR9i0xBeq9srzUlVOayVUUVSnE1UOQ_WHitJ24Aysz8gelvDjrKRbYt4Vffr2UH_n6sHz8rucSob5C55mJZvPJTwSVZXi59GitMze41rMMVBKyyHnjmYc-C-vbmK44Tyn_2kaRaY_nQijRLv4K8GHYGmiwATLI_2NL5uMhK_HfgVv8qnJeDj8K98womIxpvkLWOrez1gj4F5wGhj3OeQZMRzbPfvZrhypR2jJejkwuUFBZDBnFFVEowVPVaksQLYT7oWCe8wCwMzTXF4g_ilLi2mrvErwEIsdtTksubjdRTFy8zKeSSfVNgvuDX8b9gwn0zxnkFADMVR9UbyRM7TFesag==&p=1&fvj=1&vjs=3
Data Analyst,,Lucas County,"Toledo, OH",,3.9,"5% Attends a variety of meetings, conferences and activities.
Conducts basic assessment and analysis of data and reports as requested.
May be asked to provide.",9 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=f680b39391c7e2fa&fccid=f72fc15e4e9cbd70&vjs=3
Procurement Operations Analyst,,Amazon.com Services LLC,"Rossford, OH",,3.6,"1+ years’ experience using Microsoft Office, particularly Excel and analytical platforms, including but not limited to the ability to analyze data using pivots…",1 day ago,2021-01-15,https://www.indeed.com/rc/clk?jk=e7ccf9b3c81a7aa8&fccid=fe2d21eef233e94a&vjs=3
Data Analyst - Registration (Req2477),$20.98 - $24.97 an hour,University of Toledo,"Toledo, OH",,4.2,"Minimum five years experience with data analysis, Microsoft Excel and coding software applications.
Demonstrates ability to analyze data, find root cause and…",24 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=f4a8b9cef20587d3&fccid=92a4ed0543ba9a6a&vjs=3
Data Specialist,,Midwest Tape,"Holland, OH",,3.5,"Monitor changes in data.
3 years previous data entry.
Gather data for review and entry.
Maintain scheduled transmissions of data to various users.",10 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=3e6551f811e8b5f9&fccid=28960d4f27c942b2&vjs=3
IT Business Analyst,,University of Toledo,"Toledo, OH",,4.2,"3 – 5 years’ of business systems analysis/data modeling, application development work.
1 – 3 years’ experience with Reporting, Business Intelligence, and/or…",Today,2021-01-15,https://www.indeed.com/rc/clk?jk=3d72962cb2fdd8d2&fccid=92a4ed0543ba9a6a&vjs=3
Trauma Data Analyst - Trauma Services - Full Time - Days - Remote - must be within 100 miles of Toledo,,ProMedica,"Toledo, OH",Remote,3.6,"Generate statistical analysis on trauma data for research purposes.
Demonstrated experience in data base management/analyzing programs.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=e305ff2b824d6955&fccid=3ae95b84ecdd8482&vjs=3
Data Analyst,,Tech Group International,"Toledo, OH",,,"Client data loads into SQL database.
Design reports in web-based analysis tools, Crystal Reports, and label systems.
ETL (extract, transform, load) skills.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=59e1e1043297597d&fccid=67c2861211c61c4d&vjs=3
"Data Analyst, Retirement Benefits - Human Resources - 50% remote",,ProMedica,"Toledo, OH",Remote,3.6,"Researches and addresses complex requests and questions from members, vendors, attorneys, authorized family members and internal staff on the topics of benefits…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=e91c7444696dc229&fccid=3ae95b84ecdd8482&vjs=3
