job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
Data Analyst-Health Policy Research (part-time),$26.61 - $32.81 an hour,American College of Emergency Physicians,"Washington, DC",Temporarily remote,4.7,"Locate, extract, collect, and/or compile quantitative data and other information, reformatting and standardizing data from different sources and data sets as…",2 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AZpVXvGkFv4bkTBzCj_ZAgoZ-SrsRrWlMrdeS1YUIPUP8yUXDKfBLS1u5RYmWvCJIgQjbuiBzGlYpvrOhMXyb75V77Vq900sLIUgFaYpq7IVPfw-s_HJ0tAQtrpbrCnnL6Ng_Mn7FZ21MFRES0GExbOsA2F2-hSyccKYNuxrGhFwytZMuXPgvb2D7HtolHhYCldqRMHxHj882ld0F7ZedsZ37k-YQ8LUeCxK-Gj06RnTNCnt4pvQ6l1YCzx1LX9bDvWtXWhox6BNus48HBOfuOpl0qZyX4f4Cked80JQAP1h3IWl41Do7jGNE9MBWJdypfcOxk3r3gsiz-tatr51t9RKj1oefzlUILkN6mdrGcfiYhoVr8z6CRoUMXsarSP0SewFyhgbdT-Jcfi1BGGbSQAfcVJlO7SOkHqmd9Czk_cDw_7KlbfA6jUuF9WFhx0CQkyIan_RY_FDm0hms07y0SkzCkfiHWRmU7PORQA2SUKYvCJnB40X4a&p=0&fvj=1&vjs=3
Data Analyst,"$55,000 - $100,000 a year",Enovational,"Washington, DC",Temporarily remote,,"Support solutioning teams in data-driven prototyping with a foundation of understanding and directional information.
Temporarily due to COVID-19.",7 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CplKOGTiqfIw1iVrPYiMGzDfcEuIlb5qkMdSn_LIlDaqJkC6yKF0KMtPtxKkmWM49eaHy1KVIMHAp2QyXjO4X_qoNfXF8SfG-WyNK5tPJPbJ4TvkO9iHw3DkiSycJRvjjx8vsABuYm4GGMBrS0V24I5nN3ayO0An5sDiLpCuWrzYkPV-swTsHZW15JarTELrl59MgSOnriiXHxZI7v4WVRxWaRw4F5WgNXpDeWsQlddl_AM_kH8lzuzh_bHpuKZow7pl7HW-uRzE4v6SzS7Gv5OjasJC-xyj57sNaWqbSYBsQFvcUDjhpBgd8iGrjMlLKrnz1TJZ3XpoGvviwkwqrliZolIgY-USYYeap56xefv-aI35DnNJXLTGpgNiRvx0eAhEj1vrX7VetaD4OkyAR3j0ndWi2ZZj4MZEwClWcSB3lpTDz587QBsEGGwXZP-jk=&p=1&fvj=1&vjs=3
Data Analyst,"$90,000 - $95,000 a year",ProSource360,"Arlington, VA",,,"The data Analyst will support the project team members in the planning, tracking, analysis, and reporting of projects of varying contract type, size, complexity…",1 day ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DNUAVdkdH-k-o4d6MnhpyND_hjQopMEIofh5QUVhLG8KgSQg_QFO7UojeoIoWQdksZvLBj8Q1wqmBnxRdNt1uZO1AgQCxqrSc1jP2PYxQpug8hI8IQBpc-_4AHP7691ewg0rGKAnDdtHrkJAh3yyGNgHwRo-syHsR25IrAnmaJikV5d4LWgtrFolNWmLkWQ0c1vmGE41KbfBKM9EOrDVOW0XanQSFehhny32ZmwK2OM-C6giZ3O-WZ5kNKWt2w6L3vul_i1P01Q_J_lXimOFvYOSteugxMcaBsxElfQOTer7gOFr_oaKefT_jaBFnL4OSv6RIQbG2PnQ7hwKlAt_Lg6a2GtjQ7-T-Kawc_cOdtkI-LHqx-DdIns1p8Tr03MHoS8te5Qk-raTHp91Ti-6tZxKfMGjBwxzEUZq1X-NPrmViFPchDXpRw81bjsIVyqL-t_DW9cIh_gRwa3rEFFvo8&p=2&fvj=1&vjs=3
Data Entry Clerk/Data Analyst REMOTE 100%,,The Admiral James J. Carey Foundation,"Alexandria, VA",Remote,,"Ensuring data is backed up.
Storing hard copies of data in an organized manner to optimize retrieval.
The Data Entry Clerk will capture the data into relevant…",4 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=4edbe3e9dfb1ba21&fccid=dd81c8f3d9ea9742&vjs=3
Entry Level Business Analyst,"$65,000 - $75,000 a year",Dhatronictech,"Washington, DC",Temporarily remote,,"We are looking for Entry Level Business Analyst*.
Develop and evaluate procedures, controls, user requirements and functional specifications to identify gaps…",Just posted,2021-01-15,https://www.indeed.com/company/Dhatronictech/jobs/Entry-Level-Business-Analyst-ea342bd2ee5728fa?fccid=2ab83a6f82c0e82b&vjs=3
Business Analyst,"$65,000 - $130,000 a year",Enovational,"Washington, DC",Temporarily remote,,"Our ideal candidate is has earned a bachelor’s degree and has at least 5 years of experience in business-oriented analysis, as well as some experience in or…",30+ days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CplKOGTiqfIw1iVrPYiMGzDfcEuIlb5qkMdSn_LIlDaqECmqVqAYjQdZdgnjGagXGRPnTfkMAIsUYehBN78Tw2SjPu44Lxe_2G4UIZ_TqKu2dEb5e7Q9oRYp1MfOm5-0p6AohScFqAPP5pE9v2lzgl8JxFMLX5pj_Nkae0yQ6FW6yOb2YE7BNsHnHPuYRZf4XaO8QKUd-2s70VLZpU2VfNNCnX0FOv93xrU5ykWewwvmZW8fRZ4TN7ijGIZ3nCP9EIt-MDLMKaw1jIRnCh7qsmfFCgCOtpH2VH38HvQ_kAU8t_-pnJSAIv-YA9pzKX2SCc8XyMh4WAJWcqRP4EnGrYyvzdOh9ESLDR95BQm-iiDHiE3spgNvS0uUV0D7CDyhLnlFUWwT_IJQDsSajgtyiSKOqq2Rw0QGuoY3Sdtn5CJdyNCEzI-3lC8qnRIHkkuVNKehKdYXZj4w==&p=5&fvj=1&vjs=3
Data Analyst,"$94,858 - $122,227 a year",Government of the District of Columbia,"Washington, DC",,3.6,"Specifically, the incumbent ensures coordination and consistency among health care and reimbursement policies developed by various Administrations within DHCF,…",3 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=1ca34a428ee2da10&fccid=cb8355041fe4a920&vjs=3
Junior Data Analyst,"$65,000 - $70,000 a year",Amivero,"Washington, DC",,4.8,"Identify new ways of using client data.
You'll conduct statistical analysis to develop assessments for customers, identify new ways of using client data, and…",2 days ago,2021-01-15,https://www.indeed.com/company/Amivero/jobs/Junior-Data-Analyst-108b74ba623cdf48?fccid=d1e1a60407a446e5&vjs=3
Data Analyst,"$107,000 - $124,000 a year","Zane Networks, LLC","Washington, DC",Temporarily remote,4.3,"2-5 years’ experience in business/data analysis.
The data analyst will collaborate with customers at all levels of the organization to define objectives…",27 days ago,2021-01-15,"https://www.indeed.com/company/Zane-Networks,-LLC/jobs/Data-Analyst-a33ca7e981ab20b4?fccid=8cf7ff6faac3408b&vjs=3"
Data Entry Analyst,,Sanford Federal,"Washington, DC",,,"Experience with databases, ability to understand relational data, as well as interpretation of related data.
Supervise interns to assist with data entry.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=d6473bd0a2dcf740&fccid=e60cb8fc5af3821e&vjs=3
CLINICAL DATA ANALYST,,University of Maryland Capital Region,"Cheverly, MD",,,"Three (3) years of experience in healthcare related data analysis including Electronic Health Records is preferred.
Produces standardized and ad hoc reports.",Today,2021-01-15,https://www.indeed.com/rc/clk?jk=69eeb40f1f97d846&fccid=cf0b6cdbc07b69a6&vjs=3
Data Analyst,,Ukpeagvik Iñupiat Corporation/Bowhead Family of Co...,"Washington, DC",,3.2,"Developing new and improved techniques for data query and data mining.
Providing data visualization support in analyzing motor vehicle traffic crash data and…",2 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=11963af24282583a&fccid=396fb449eccffdb9&vjs=3
Program Analyst (Data Analyst),"$122,530 - $159,286 a year",US Department of Housing and Urban Development,"Washington, DC",,4.1,"Developing data-driven analytical reports and presenting that data to management; OR.
Developing solutions and analyzing data to answer critical policy and…",2 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=7542805ee068179f&fccid=2f40b91d797b59b5&vjs=3
Data Analyst,Up to $70 an hour,Capitaltechsolutions Inc,"Washington, DC",Temporarily remote,,"Understanding of data structures and experience with MS SSIS, MS SSRS, ETL processes and working with large datasets.
Data analysis and SQL Development.",2 days ago,2021-01-15,https://www.indeed.com/company/Capitaltechsolutions-Inc/jobs/Data-Analyst-bc623a2c2d41259a?fccid=87bf90f469fc884a&vjs=3
Data Analyst/Legal Assistant Supporting the FBI,,Forfeiture Support Associates,"Washington, DC",,3.7,"Accurately enters required data into one or more databases, documents, or spreadsheets.
Attention to detail and the ability to read and follow directions is…",Today,2021-01-15,https://www.indeed.com/rc/clk?jk=30a20eafae97329b&fccid=8ce3cf8e1e3ddd14&vjs=3
Data Analyst,,Ukpeagvik Iñupiat Corporation/Bowhead Family of Co...,"Washington, DC",,3.2,"Developing new and improved techniques for data query and data mining.
Providing data visualization support in analyzing motor vehicle traffic crash data and…",2 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=11963af24282583a&fccid=396fb449eccffdb9&vjs=3
Program Analyst (Data Analyst),"$122,530 - $159,286 a year",US Department of Housing and Urban Development,"Washington, DC",,4.1,"Developing data-driven analytical reports and presenting that data to management; OR.
Developing solutions and analyzing data to answer critical policy and…",2 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=7542805ee068179f&fccid=2f40b91d797b59b5&vjs=3
Data Analyst,Up to $70 an hour,Capitaltechsolutions Inc,"Washington, DC",Temporarily remote,,"Understanding of data structures and experience with MS SSIS, MS SSRS, ETL processes and working with large datasets.
Data analysis and SQL Development.",2 days ago,2021-01-15,https://www.indeed.com/company/Capitaltechsolutions-Inc/jobs/Data-Analyst-bc623a2c2d41259a?fccid=87bf90f469fc884a&vjs=3
Data Analyst/Legal Assistant Supporting the FBI,,Forfeiture Support Associates,"Washington, DC",,3.7,"Accurately enters required data into one or more databases, documents, or spreadsheets.
Attention to detail and the ability to read and follow directions is…",Today,2021-01-15,https://www.indeed.com/rc/clk?jk=30a20eafae97329b&fccid=8ce3cf8e1e3ddd14&vjs=3
