job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
Process Data Scientist- Upstream Investigations,,Regeneron,"Rensselaer, NY",,3.7,"Application of machine learning, deep learning and advanced techniques while performing Data Analysis engagements with structured and un-structured data sets…",3 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=869b9103a3e795fd&fccid=f042b91ff3f82696&vjs=3
Early Careers | Financial Modeling & Research | Albany,,Goldman Sachs,"Albany, NY",,4.0,"0-3 years of prior work experience in a relevant field.
Accounting and financial planning teams across the firm embody strong analytical skills, attention to…",7 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=2bd89b55097f6505&fccid=16a97ed26c75bf2d&vjs=3
Data Scientist - Shipboard IT,,Naval Nuclear Laboratory,"Niskayuna, NY",,2.8,"Understanding of machine-learning and its applications.
Experience with data visualization packages, such as Tableau, SAS, and Rstudio.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=e584ad673095d6eb&fccid=b5ff6a9d6acf7028&vjs=3
Data Scientist,,Sourceability,United States,Remote,5.0,"We are seeking a hands-on Senior Data Scientist to skillfully apply mathematics, statistical analysis, machine learning, prediction, and other data science…",30+ days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0ADvRi4Fhzo6Lhixq24Efpt7RwpjKDyUQihLKB9436vvhUCqFEm-nkW0la8YnoGNEFh8i3JW6ZTXhE4DkVrso5T3Vz8yXJdq2dJLsgTANS_yKbR-JYOMuO2e5aBVxks2k6rMMP9qB20LAKyRlZvk7-84WO46AyQ2moZGjxCJmldcEsitmXLLHDrBdi2KQ03ba1Z9f3tAQ1kA940dI9-Om9IXikOlJi-JJkYk_0biCEKJ1UNkUtou702hg53mZ-DpepKo7SocFAto3bjjEI8ca0Wi8KlDIc0NZcoYip8Wtnms90AYO9RDJSahQN7YjKsg-7O2ek0QMeiwSHOx2AMRJxB6oUFIy23Ocif-zslDjr43NqVfxrF06EU1rcMaSvCcPAkrJ1bMB1txuZaiEf5kYvfcMiqikJaYqstitkFM-u1v7JnOK4I0erlQorpikdvgyIipiSUZThcFWpLK8xf8IiX&p=3&fvj=1&vjs=3
Statistician,,Naval Nuclear Laboratory,"Niskayuna, NY",,2.8,Provides leadership on statistical issues through collaboration with engineers and scientists across the laboratory.,8 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=0667270508df2f6b&fccid=b5ff6a9d6acf7028&vjs=3
Senior Medicaid Data Analyst,,SVAM International Inc.,"Albany, NY",,,"Minimum of a bachelor’s degree with 6-10 years of relevant experience in a technical, scientific, or related discipline with relevant experience in the…",29 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=6f145720790c1f1c&fccid=bd15841e0fe96325&vjs=3
Data Science Interface Analyst/Engineer (Acuitas Health),,CDPHP,"Albany, NY",Remote,3.7,"Implementation, and maintenance of efficient systems used in delivery of health care within a clinical, operational, or support-service domain; also supporting…",24 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=1c4749b8adf42e40&fccid=aa78349c929d97f5&vjs=3
"Sr. Data Scientist, Institutional Intelligence",,Pearson,"Albany, NY",Remote,3.7,"Extensive knowledge and experience with database development, statistical techniques, data collection, data warehousing, data mining, data modeling, statistical…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=ba0fc1870baac932&fccid=915b1c0ee87e5e8a&vjs=3
Machine Learning Software Developer,,Kitware,"Clifton Park, NY",,,"Design and develop system architecture and workflows for machine learning, including APIs, and software toolkits to run end-to-end machine learning systems.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=3fbbf99da1c34840&fccid=ffd98152d5e973b6&vjs=3
Data Science and Engineering Team Lead (Acuitas Health),,CDPHP,"Albany, NY",Remote,3.7,"You will step into a multi-faceted position which will include the design, development, implementation, and maintenance of efficient systems used in delivery of…",22 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=e754d619e4145561&fccid=aa78349c929d97f5&vjs=3
Senior Statistician,,CDPHP,"Albany, NY",,3.7,Methods include evaluating the comparative effectiveness of existing and emerging initiatives (including ROI); analyzing and mining clinical and administrative…,30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=4da119dafb5db8dc&fccid=aa78349c929d97f5&vjs=3
