job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
Data Scientist,,Sourceability,United States,Remote,5.0,"We are seeking a hands-on Senior Data Scientist to skillfully apply mathematics, statistical analysis, machine learning, prediction, and other data science…",30+ days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0ADvRi4Fhzo6Lhixq24Efpt7RwpjKDyUQihLKB9436vvhUCqFEm-nkW0la8YnoGNEFh8i3JW6ZTXhE4DkVrso5T3Vz8yXJdq2dJLsgTANS_yKbR-JYOMuO2e5aBVxks2k6rMMP9qB20LAKyRlZvk7-84WO46AyQ2moZGjxCJmldcEsitmXLLHDrUKfVVCSSEC3oZ-gL5uF3Rk5QmeeFQNoh8aGLSv-jYujMql3IAwlIXGIuHhhmWyxmbO_1Qc7oG9rISkpPtsl3-wyW56V3PeM3DJi6J_DLSnwGM9sQRWxOOwwp5IP9iEFPxwr-8Fhk4XUN7Bwqg87jNo9GkWvU1RC8pssipy_tsAu0HA0ZeLrxupTyTBpdvPoUEE_e2nAMnJq7DM7C8Wxi3aGXzJ2h2aljKSyLxteHZLm7PazhyoxcJ259y3RfyoISEudhnIjF0Qs=&p=0&fvj=1&vjs=3
Data Scientist,,"Alteryx, Inc.","Ann Arbor, MI",Remote,3.9,"Deliver and drive model/analytics insights throughout organization, helping to support data-driven decision making at all levels of the organization.",10 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=569c966037a1309c&fccid=dd3b0a1fc99fe359&vjs=3
Data Scientist,Up to $65 an hour,X-IS Tech Inc,"Farmington Hills, MI",Temporarily remote,,"Perform machine learning, text analytics, and statistical analysis methods, such as classification, collaborative filtering, association rules, sentiment…",Today,2021-01-15,https://www.indeed.com/company/X--IS-Tech-Inc/jobs/Data-Scientist-767d3df8ee959752?fccid=3611df9725d68089&vjs=3
Data Science Internship,,KLA-Tencor,"Ann Arbor, MI",,4.0,The successful candidate will work with a team of engineers to establish and improve tools maintenance through innovative solutions that include data…,30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=2dcfce41b44e45a8&fccid=c8fc142c28286059&vjs=3
Data Scientist - Weather Data,,Waymo,"Ann Arbor, MI",,3.1,"Collaborate with engineers and other data scientists on evaluating and improving core Waymo technologies, with a focus on bringing statistical depth, general…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=bff2204ec0bf55f2&fccid=73ceef0a2153d2b8&vjs=3
Intern – Data Scientist,,Soothsayer Analytics,"Livonia, MI",,3.5,"Collaborate with other engineers, data scientists.
During the course of the internship, the intern will learn such techniques as data pre-processing, data…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=a3e7bd673fe275ce&fccid=7eea1f754f48fabf&vjs=3
Senior Data Scientist - Duo Security,,Cisco Systems,"Ann Arbor, MI",,4.1,"Mentor junior data scientists while continuing to learn and expand your own skill set.
Strong communication skills with other data scientists and with partners…",3 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=5374c3c088a3f4ed&fccid=dfc44f3b8c44a6db&vjs=3
Data Scientist II,,Ryder,"Novi, MI",,3.4,"The Data Scientist II will use their skills as an expert of machine learning and artificial intelligence algorithms, by utilizing the perfect blend of data with…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=243c838d6cc55461&fccid=22f3171d623451cc&vjs=3
RESEARCH FELLOW / DATA SCIENTIST,,University of Michigan,"Ann Arbor, MI",,4.3,"The platform collects real time streaming data from Michigan Medicine units, including electronic health records, clinical waveforms collected by patient…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=45afb22d8dfea6b6&fccid=46c847dc877cedc2&vjs=3
Senior Statistician,,University of Michigan,"Ann Arbor, MI",Temporarily remote,4.3,We are bringing together arthroplasty practices across the state of Michigan to collaborate and share data regarding processes of care and clinical outcomes in…,2 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=526bc76f2fa54995&fccid=46c847dc877cedc2&vjs=3
Manager-Data Science,,Domino's,"Ann Arbor, MI",,3.6,"Mentor team members in machine learning methodology.
Work with internal clients and the data science team to solve problems.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=2212b30cde69a212&fccid=788a7fd79eec1d60&vjs=3
