job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
Data Scientist,"$103,690 - $159,286 a year",National Security Agency,"Fort Meade, MD",,4.2,"Relevant experience must be in designing/implementing machine learning, data mining, advanced analytical algorithms, programming, data science, advanced…",30+ days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AC5S5KfpcrE62cRuYLg6qW_HWiPjKHP06qk-AGfbwYtGlr3wcSMURH9oqKq1q2FCeNO4H8xVbG39Y1JyMzF-2gnp7S6SvNKvywqXgw74WJKEUM17Y-XvlQMnyRxp6nf7dDAp06axWWvkGsNo46d0p_bnZSiu-xhfsroa-Zd_8LD1j_MLjSpS4_wbo2MqQcBSAVKiQCpOlBtpBeM3wSmlnLVa70LY5ugQGrJTTblGuBJR99HrxdSrjgyqfT-QiQhmICKiup81R9_I8wlYTDeuvHIeqU3tcOOKHlC4VdLSkRUwhE8yQ3OdGzErioPDtklK0Rr1oEBvXclRHzLZk1o50bUYKBSCZjxiNF9Ba752-i5oePfXKzHxVv6FlO_cSyOTR4fYymWtUToVxMC89hZ5nfeEdsCYwUt5KM72pYkRvnUbR7-EgxRwkA6_7iR6z1QMU=&p=0&fvj=0&vjs=3
"Acoustic Signal Processing Engineer - Data Scientist, Machine Learning",,Signal Systems Corporation,"Columbia, MD",Temporarily remote,,"Can design and build state-of-the-art machine learning and deep learning algorithms.
Comfortable working in closed areas and being mindful of customer and…",4 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0A2NX-yk-5saWumjHCeW1U7wjRG-yaZl6appTnwIWK0f0j4yN2ZzSx2dhxoGkkKUc4oHx9AVk35NZ-yAvwgpz-2CSTAURRcWk54sSv_p7tDiDiB-ZK4umuf4xTngB195bh54zLkr09Ed6JkfEUNYkqedvQCx64lLlbyWrro6XkkeyByv8zKDZ1Gb-b0P6cAh7pQT1bHPCvnMLZSa34HNd_kU9rlDr3m8TePP7AV2DJAuLh7i5bPnsiL65WwNwzr0bF8Qx9jHnJROxMHtsjNpoB-Ca0EckiQw0MjgdQFXhoaxeb4WkpHfWzr-W4bB5WRdydBOx5C70GeciD5MefttzighSE2mj2x6B7ib1EJ7GnTyIqI_Jbr4-ApdqoQe8ne3MhXBXIy673OyFSeTBK09lC2S5wkV4xrehfC17IUBRjeYy6Gunx0mnv9gs5SwQgQpanIu3DcUpw6ON3J-UkVHx9IsQ27SYXzTkuLjYG99GMjSC3Ya3FJN2rlQGk_gJ15Y8VOL44Vrc0rJA==&p=1&fvj=1&vjs=3
Mathematical Statistician,"$72,351 - $90,157 a year",National Security Agency,"Fort Meade, MD",,4.2,"Entry is with a Bachelor's degree plus 3 years of relevant experience or a Master's degree plus 1 year of relevant experience, or a Doctoral degree and no…",18 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AC5S5KfpcrE62cRuYLg6qW_HWiPjKHP06qk-AGfbwYtGlr3wcSMURH9oqKq1q2FCd1T7WosCpHM8mgvKUVCw7dmCawLNYVhjNI7qH51w55kjVV3ilnv1naYyWhnFxyt8kMeTDa8e0g51iO5npZci91fYYQkzuhfhM6on-YfnfevMyXb_4gXViH6oQgQQofpj-7xkud0a60ge9dT2asVzfgScqVPc_1eDc53hfGZrhdsVgXWWsLUphSBFULdEPzqeP7TskMbA6DMi1KGKxax7sOJ8BYoefZ4mI_rovcX9C34SuoL89XSNM-nQ778PyAGr-uafiLCkSjvIDOJnpk7aIlLyYIhFI2xB1B7Kra3-osihHhvjdiC3MOu4WvFH9bleN4koOyE-FCEjNX9mSsOHOApcxgPedITeMff7NTu2RqlQdbDQvhErfFxUejdQwUfNE=&p=2&fvj=0&vjs=3
Mathematician,"$72,351 - $90,157 a year",National Security Agency,"Fort Meade, MD",,4.2,"Entry is with a Bachelor's degree plus 3 years of relevant experience or a Master's degree plus 1 year of relevant experience, or a Doctoral degree and no…",18 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AC5S5KfpcrE62cRuYLg6qW_HWiPjKHP06qk-AGfbwYtGlr3wcSMURH9oqKq1q2FCd1T7WosCpHM8UWZw1Ce19H09blGNleRRKl6op3ae5GXdnYzLbBOHNmBpDSEH_aVPShkD0taL6752BVXg7lAyiMeGoSFXcEA9PtVOQBiiqUf7cFmuPUNc4ZDw98yWJTe4IvwC8GMburXqfv_zrfaU7x_SHb1Z-489qTOZqgKH6mrLl6nRcK2qOsy-JCrPhCiRqitLV_pGbnHyxVQRwoMnhdtahmL7eF9XqPd3h3ez3FJzXmtqpFYXrtA_AEju1p5aIHxbgWMBtIG5MPDybzFTB6ZehIB6dIiqV7SXM6_fERcNO0uFArHdaljOgNjnaHymzhxTGS3XTiBaHK6ydXfjDu-VxlLGQWZgv-s1RbRXEuvx_YtXnudSnm-0YVC6EgHDE=&p=3&fvj=0&vjs=3
Data Scientist,,PayPal,"Timonium, MD",,3.9,"Proficiency in data analytics tools such as Python, Teradata, SQL, SAS.
Analyze portfolio trends and communicate concise and actionable business strategies from…",15 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=a06e0e4c5f30e581&fccid=978d9fd9799d55a8&vjs=3
Strategic Analytics – Data Scientist,,Deloitte,"Baltimore, MD",,4.0,"1-2 years of relevant work experience as a data scientist is preferred.
Our project-based team is looking for a Data Scientist who will be responsible for…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=929d3a9a08e5befc&fccid=9e215d88a6b33622&vjs=3
Lasker Data Science Fellowship,,Space Telescope Science Institute,"Baltimore, MD",,3.8,"Applicants are expected to hold a PhD in astronomy, physics or a related field at the time of arrival, but there are no further restrictions on the date of PhD…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=f18d1c14eed2ac97&fccid=c055c394954535f1&vjs=3
"Data Scientist, Junior",,Booz Allen Hamilton,"Columbia, MD",,3.9,"You’ll provide your customer with a deep understanding of their data, what it all means, and how they can use it.
TS/SCI clearance with a polygraph.",Just posted,2021-01-15,https://www.indeed.com/rc/clk?jk=edee030725bf10d0&fccid=4e041af1d0af1bc8&vjs=3
Data Scientist (all levels),,IAMUS Consulting,"Linthicum Heights, MD",,,"Some knowledge of machine learning concepts a plus, but must be able to do analysis and analytics without ML frameworks.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=2d1637221eaf56f9&fccid=39d48d418e60cd3f&vjs=3
Data Scientist - Risk Analytics,,PayPal,"Timonium, MD",,3.9,Having a strong sense of accountability coupled with a passion for delivering crisp data insights and the ability to tell stories through data are essential.,30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=ae215415a88b74e7&fccid=978d9fd9799d55a8&vjs=3
Senior Data Scientist,,Amobee,"Baltimore, MD",,4.1,"Dig deep into high volumes of data, engineer features for improved forecast performance.
The successful candidate will utilize advanced mathematical,…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=eb5d43f1901f727a&fccid=ebaa8a50df7c2d2f&vjs=3
"Lead, Data Scientist",,"Under Armour, Inc.","Baltimore, MD",,3.8,"Collaborate with other data scientists, data analysts, and business stakeholders throughout the lifecycle of each project to ensure the technical implementation…",6 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=1c1ed6c70693f04b&fccid=f5d526c81b4033de&vjs=3
Data Scientist,,"Visionist, Inc.","Columbia, MD",,,"Knowledge of machine learning methods (neural networks & deep learning) and platforms (TensorFlow, H20).
Strong familiarity with data science applications such…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=110dec636010a005&fccid=e087572700b24086&vjs=3
Data Scientist,,eureka strategic consulting,"Columbia, MD",,,Requires strong understanding of statistical analysis and mathematical analysis; knowledge and understanding of data modeling and visualization; understanding…,30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=22d7cfc1cea25b36&fccid=8af6205f85b14080&vjs=3
"Data Scientist, AWS Security- Baltimore",,"Amazon Dev Center U.S., Inc.","Baltimore, MD",,3.6,"Hands-on professional experience with applying machine learning and other data science techniques to identify anomalous behavior patterns (e.g., user or machine…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=aa5b3c75be1db9a6&fccid=fe2d21eef233e94a&vjs=3
Data Scientist,,"Visionist, Inc.","Columbia, MD",,,"Knowledge of machine learning methods (neural networks & deep learning) and platforms (TensorFlow, H20).
Strong familiarity with data science applications such…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=110dec636010a005&fccid=e087572700b24086&vjs=3
Data Scientist,,eureka strategic consulting,"Columbia, MD",,,Requires strong understanding of statistical analysis and mathematical analysis; knowledge and understanding of data modeling and visualization; understanding…,30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=22d7cfc1cea25b36&fccid=8af6205f85b14080&vjs=3
