job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
Data Scientist,$30 - $60 an hour,"Willowview Consulting, LLC","Eagle, ID",,,"Present information using data visualization techniques.
We want to see a passion for machine-learning and research.
Combine models through ensemble modeling.",2 days ago,2021-01-15,"https://www.indeed.com/company/Willowview-Consulting,-LLC/jobs/Data-Scientist-39d19afde261f16b?fccid=636747636db072b3&vjs=3"
DATA SCIENTIST,,Kount,"Boise, ID",,3.3,"3+ years project experience (or Masters + 2 years or PhD + 0 years) including data processing and statistical analysis techniques (e.g. Bayesian analysis,…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=9d751c81f550a63c&fccid=b753516f652ae47b&vjs=3
Business Intelligence Analyst - Enterprise Analytics and Data,,Micron,"Boise, ID",,3.8,Constant communication with Business area subject matter experts to learn the data and understand how it is used by various areas supporting business process…,Just posted,2021-01-15,https://www.indeed.com/rc/clk?jk=2ed41ec7f7f9657c&fccid=be240c643a8631c5&vjs=3
Intern - Sales Data Scientist,,Micron,"Boise, ID",,3.8,"Backed by more than 40 years of technology leadership, our memory and storage solutions enable disruptive trends, including artificial intelligence, 5G, machine…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=fb7b813720af0569&fccid=be240c643a8631c5&vjs=3
Data Scientist,,Blue Cross of Idaho,"Meridian, ID",,3.7,"Use health insurance claims data to build models for the identification and prevention of fraud, waste, and abuse.
Coordinates and advises on special projects.",25 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=288ae33aac4e00d7&fccid=319f7086428cb041&vjs=3
"Data Scientist, Technology and Products Group",,Micron,"Boise, ID",,3.8,"Collaborate with functional engineers, data scientists, data engineers, business areas engineers to develop well-defined problem statements to challenging…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=c7161a98470b635b&fccid=be240c643a8631c5&vjs=3
Lead Data Scientist,,Vacasa,"Boise, ID",,2.8,"As a machine learning lead at Vacasa, you will provide day-to-day technical leadership and direction to a small team of hard-charging data scientists, machine…",9 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=93801f2c96b85b12&fccid=22f7ba07f9b31a96&vjs=3
Intern - Photomask Data Scientist,,Micron,"Boise, ID",,3.8,"Backed by more than 40 years of technology leadership, our memory and storage solutions enable disruptive trends, including artificial intelligence, 5G, machine…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=d02235221e001171&fccid=be240c643a8631c5&vjs=3
Data Engineer,,Micron,"Boise, ID",,3.8,"Backed by more than 40 years of technology leadership, our memory and storage solutions enable disruptive trends, including artificial intelligence, 5G, machine…",9 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=0af82653149d0d69&fccid=be240c643a8631c5&vjs=3
Intern - Data Science,,Micron,"Boise, ID",,3.8,"Backed by more than 40 years of technology leadership, our memory and storage solutions enable disruptive trends, including artificial intelligence, 5G, machine…",29 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=550d54b6968bac70&fccid=be240c643a8631c5&vjs=3
Data Management Specialist,,Micron,"Boise, ID",,3.8,Be a domain expert in the data assignment and in the systems used to manage the data in assigned functional area.,30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=fd17ea709f6d5853&fccid=be240c643a8631c5&vjs=3
NAND Cell Reliability Data Engineer,,Micron,"Boise, ID",,3.8,"Backed by more than 40 years of technology leadership, our memory and storage solutions enable disruptive trends, including artificial intelligence, 5G, machine…",3 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=a03c107e915bfcda&fccid=be240c643a8631c5&vjs=3
"Sr. Data Scientist, Institutional Intelligence",,Pearson,"Boise, ID",Remote,3.7,"Extensive knowledge and experience with database development, statistical techniques, data collection, data warehousing, data mining, data modeling, statistical…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=75e08e4432c8a13f&fccid=915b1c0ee87e5e8a&vjs=3
"IT Artificial Intelligence/Machine Learning Research Intern - Opportunity for Working Remotely Boise City, ID",,VMware,"Boise, ID",Remote,4.0,"The team pursues research & development in the areas of machine learning (ML) with particular focus on deep learning (DL), computer vision (CV), Natural…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=afd7a9f3f06d5563&fccid=c762a27145bd166e&vjs=3
