job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
Data Scientist,,Sourceability,United States,Remote,5.0,"We are seeking a hands-on Senior Data Scientist to skillfully apply mathematics, statistical analysis, machine learning, prediction, and other data science…",30+ days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0ADvRi4Fhzo6Lhixq24Efpt7RwpjKDyUQihLKB9436vvhUCqFEm-nkW0la8YnoGNEFh8i3JW6ZTXhE4DkVrso5T3Vz8yXJdq2dJLsgTANS_yKbR-JYOMuO2e5aBVxks2k6rMMP9qB20LAKyRlZvk7-84WO46AyQ2moZGjxCJmldcEsitmXLLHDrDNI9DZ0FmndJjb3Crfnttl80eWxtNT_zZB0e_IAX-FcAXpO2GOSXRtmopiW7qnhG6xpfskx4I_gXbfN0nwvqxGkDunTYUGUd8yaqlUUk47F8cArnV6eS9n0p8i7zpiX75t2cOtmRJC3vEoEsi1aC1x7HxcssljhnWKfDm0eH7ZEfq21DPJvug4QY6ap8gVM89BoWcBTrjL7hGVTGiC11FyEu7mSoEXSemVNhZxyBXvNLxaXJQ1Sk-ky9ZuJA2_YDOEfuK6a51o7Hq2H8kpBmTcbuhlQ9jLG3&p=0&fvj=1&vjs=3
2021 EPIC Analytics and Data Science Intern,,Trane Technologies,"Davidson, NC",,3.4,"Deliver results on a self-governed project, using business data and analytics tools to deliver final data product.",1 day ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Da44vtOp6gikr8DZH0EXuV_TqGL9GOBsYLC_HWBST2HHQE6ZuzaTGDbVST771JDcenC_2XIXX0w8loLpsghaL7BowAukIvWQ-ZXozAPbPUuPwJOI3ScAbUyoI46Y4qxccnjRCT1zsGBufIHLxJKPBtNELkO4H98lM8g00O6mR2FWzeUxLYRapTr41RfVeWoFKfmhTA-6l45SMe0l2phjlB97SdujsBhczSfY7ywHVTUebaSoecwbBi2dRKQgNH3brkBQ494vgeGc-uz9DDMEK6m6NU9DlNt4c8TwyIRfYJDaBR5PHzpMcAkXb1ZzckvJaVh74EZVYGCc1lPWZOEWzodTE-7KSj37nXjcUMzvHPY-Q2vkRlWPnxo5RPjGQSA9-OMwoQ0qjSmjs6AB70UFlPTUP79EHohieKIigQpx7Gx0sqxO--9Y4N6aX8VrOWR6xrGmpKUMStcCCp0Cq4EqZGiP1NvuGpNoNkGK4PIrQM7COFuPEeg5I5p_668Tmb07WubMnzoJnQ5ffn6CZBpkJJM7u24xiHfyS4u62xtF2tpLzAmmTvYpBNAkChcH60g81uCPQvop_JH1ZRPjZnSPJPNDmHIYxoVPWOuWBY8_Eg0_17cFgSWvWbQutY5pgQGMPNTx8kdCDvt62NGY6yUUlUrtbTpWtkeXXxRl1rWfBdKhqtzspyH8VCmSYGfV6WW2ePJhWjUo8ZgcI-138IxunGVm-87hDE-DDtXFbKHd0NifYDkqrDKJef-v8OCdDd4CXNK4v9Fov9xMp8k7bbZnALrtPQn9vUsifSVaFVfZLEJSTU5GcNcjbPdyu8aRB2w4grQ776FdzLse2B3Ifix7WUcpJFWjoLJaPvqafLhIgpaMyUJJj36h4Da_Avnd2huDJ8oOK-O-vd_KeZBgBM_0TDGKjLz4VyrZOj4CbE9jbRx83HmoffrkuuCFEt1vPhS_QPTBqO-QLcYG630tdElwhEuLkLBDcnz1hrEQZzdSI5Rz4DYmlDNGf9RxrFUWNYmuVkJvNopZY5ecJhp-uZ1zKXiLDbLbnhS9Zl7VGs1FD1Qyj78lbA6XguMHIumXB2z4uWZzjLcdjubPODKnSnhwezosL7by4v5C0=&p=1&fvj=0&vjs=3
Data Scientist,,AccruePartners,"Charlotte, NC",,3.8,"Opportunity to analyze various sets of data to help identify various trends along with optimizations.
3-5 years of experience sourcing cleaning and validating…",30+ days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Cmq1pj5Dwku4j-j-jMxiR3p8DjIx5wPgrGZP7N5_dynGcPrp9S6jFT9rQaxa2Xft6ZhfuCJ3nISOVyKdn6K_hPODsRhi1N-a_TAHK2MwRO8kgnDnXpKmCk-Lwe7DNQ-KwPzj_l15CTlcMEFbGAvWQEDLFnZbQO_qMm5WSEH4OVbQYG8p_FWC3tanupaodCfOnpjgQOSUEZL8HkYkkbd_gYi112OQ1ihFGQjaFUPL67XYYOjNor-zkVjc8mnHmLxSBeL8JUBWmZSPR2N_1CHFa6aEof7rQJ3UdCMPXxHzl2Qcwal87b9Oe3GGzEagCgmjxyUC2FkLRUnkCGJ-WUnvVoWFrw3Dkz-5oU8-DFPIrISZNeJRw6wnhuWlI114L_V0BxHryxGfByrtxe3LGN19q3HDOq25Q_YQ5pbmDGlFaEyK_v_0Dv0kbh4gjY4ziWPEQlEtefO84MMg==&p=2&fvj=0&vjs=3
Life Actuary/Data Scientist - PR11512,,Pryor Executive Search,"Charlotte, NC",,,"Build and maintain data analytics tool-kit to improve Life insurance and reinsurance assumptions and research analysis; partner with Valuation, Pricing, and…",30+ days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DpVEdlrwuDFvIuWjBAOONQveDvrB0NyxCXtTnWl2YzqxNcfufXvWXdMgpF_aueooQDVQo6vuvjzn9td7xUxHsm_yiR33YcI3_k-7R66peCk2BGvYYpEFb4VeA-m6eMLqlFfJ8dF2HIxNpAzrhEsg56pkjqZ-uxcAsg2zl2xxnEKOp6e-f-K6aQ7nx5R_BLyGs7MCADTRXwQdFiSKe5y6SEE_FFhdbNoifNjClZDqe6TzVzb2DITgxRUH_b7HK1cdecajMwFWy4nSEWoFi5mTyjxTX0tvLpToWQNariYhPR6Idw0Rr2TqvkwMWntdaVD22BnldzDVL-qoQM2lXINeZB7UA2lvKL2P2aJbm3efsA0PUGTVBHXrz8NoZcAMZhHO0jiIFqwaVwtDECwFxqCd5d4vM9iEdAzJ5pBnt2XjvRkKEqAtt8lSEEcF09YHdfjH0bb9Acz1Yx3zR8y0bUrdWma-zFNet-qS0=&p=3&fvj=0&vjs=3
Data Scientist,,Lowe's,"Charlotte, NC",,3.6,"2 years of experience in data science or advanced analytics in industry.
Works with more senior level scientists on the team to translate requirements into an…",8 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=8c099682e4393d5c&fccid=9a55d5dc8c10ef41&vjs=3
Strategic Analytics – Data Scientist,,Deloitte,"Charlotte, NC",,4.0,"1-2 years of relevant work experience as a data scientist is preferred.
Our project-based team is looking for a Data Scientist who will be responsible for…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=dbca3f92a4d6bbab&fccid=9e215d88a6b33622&vjs=3
Data Scientist,,Sealed Air Corporation,"Charlotte, NC",,3.6,"Design, build, and extract large and complex data sets while thinking providing insights into uses of data and how data use interacts with data design.",27 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=33ed38beb2843cdd&fccid=66c010dc97a69d7c&vjs=3
Data Scientist,,"Driven Brands, Inc.","Charlotte, NC",,2.5,"Candidate must have a Master’s degree in Computer Science, MIS, Statistics, Mathematics or related field and 3 years of data science - analytics (descriptive,…",10 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=0eea28c9afa9e057&fccid=6b546763f210bf41&vjs=3
Data Scientist - OPR Levine Children's Hospital,,Atrium Health,"Charlotte, NC",,3.8,We are hoping to find a flexible thinker who is able to explain data science to clinical teammates not familiar to data analytics.,1 day ago,2021-01-15,https://www.indeed.com/rc/clk?jk=b74577b881df8f14&fccid=b533ab2927d30db7&vjs=3
Data Scientist,"$100,000 - $120,000 a year",Data Bridge Consultants,"Charlotte, NC",,4.5,"3+ years experience in machine learning, data science, data engineering, and/or computational software development.",26 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=f2f7876be2abbdc5&fccid=eb7bcec5d5284bf2&vjs=3
