job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url
Data Scientist I,,ReaderLink,"Oak Brook, IL",,3.3,"Deploy standard data mining protocol to be sure all subsequent analytics, modeling, A.I., and machine learning algorithms operate on unbiased and relevant data.",24 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CpnWAuaBEjzSXKR9xVKYfGYLTK2AW8FY35eyYzsezENH_ZfwMCOJYB9BQ_VOFUP9jOnOiYCHiTyQclNFXX2ogsbnxzsiQ6a63b2U7g0xCJsQw6rIJuS7YgVF6GIXnHEK9d7km5pKurBuhWg_G4qpZZUIh-lpUGxoGtOEmx2HJUQbszS4JuKzxWIjJvWWXn91auXKq-3tD0v1vzPTpIr3OKwoVUXKeqPPfWqe_sxK7wWvyfLQSSHSRdRLdBiBJxKeHgskwMJxo59TFdI4loQquqwb3czzmEIwgsGoCEp7pR_eVtLG38PzXYo3RvVv7qOf62J9urokE7R_rj-vf0Pd-yIp3G4tcqNhiRIAwb_nZ-sMrXfhjFnl6kExWbmNTH211F7t8mT4KlQAfvx83371fdFE2T8rERyyVBOVfFKoE7cd_QYWUzDJ_H-5howT8_uJNXFWSkoAHmx-RnnvlE3lVgXrVU9S8LPxxN1KhwKly0h-P1IWdCuXdvTYVNiia-D21vz2yuOy-k9KLNT87bfTTwKsfrj7ZNgSUVAKX12kHrdA==&p=0&fvj=0&vjs=3
"Data Scientist, Climate Change Solutions","$75,000 - $80,000 a year",Environmental Law & Policy Center,"Chicago, IL",Temporarily remote,,"Projects may include geospatial analysis of air pollution trends and flood risks throughout the Midwest, generating and analyzing data on agricultural impacts…",30+ days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DGinElso71GRsbB5UHNgiaaIzp37xy9LJ3YvrBD4apYl9er-TXWwj7zqW9dpgNXM47HqdcTA3tNc8-3S94kD0r24dh0Z3gt5Ea6c0_4N-JesfZg_w21M6m34aVhcir1nqZdJNbue0rApeZpdgJ4PuyJ-dWtnRyPiUyUlALkV5-5zixypxR1ngTKSTwe-4cwsPPWKaLh8XV4_IwsAinUkue5e9El7OcMc_aB8tqBdn9v3H9jfd3QYaC_KTAy0TG0gQaP2aB53IL4LjKVKwkyP4_6vFU_pmJP3U5JmCWeVG_pem3Q0O5_1HK9Q3Gyfm7zpFGK0EidiAGNPS9BprjdQn64CsfFWTSGZlfqH47zhMN94Sx3vJqNlofE_cb4PxSXnDaNGEVnMZCESbGBsK4iCEURomrGkMUz8JfUp6tBo33Qcc2KJF1e15SjIK07-R_26s3UlLCk6CUEuX2lk1wQXQfGnsIv1COyZX1KeI-FV9cmg==&p=1&fvj=1&vjs=3
Data Scientist Summer Intern,,#TeamGoHealth,"Chicago, IL",,2.9,"Strong desire to enhance data science programming skills; experience in data and analytics programming languages such as Python, R or MATLAB preferred.",9 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=04dd33f25e21117f&fccid=2a4fe3a1dadb70c2&vjs=3
Sr. Data Scientist,,Kar Global,"Chicago, IL",,3.2,Own the development of predictive modeling and machine learning for data products helping to optimize the value and efficiency of our business.,Today,2021-01-15,https://www.indeed.com/rc/clk?jk=ab2ba3b25ecb61ff&fccid=bf43832ebb455ed2&vjs=3
Data Scientist - First Team,,Chicago Fire FC,"Chicago, IL",,,"Proven track record of establishing and delivering a robust performance analysis system around data collection, data management and data dissemination.",2 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=3e449cbe4913ebf1&fccid=425a85f5eb0064c9&vjs=3
Data Scientist,,Change Healthcare,"Lombard, IL",Remote,3.0,"Understand drivers for health & wellness for both individuals and the health ecosystem at large.
Healthcare billing and/or clinical data experience highly…",1 day ago,2021-01-15,https://www.indeed.com/rc/clk?jk=cfd08ea7f4b27d21&fccid=b1bd9b34a39d5dcd&vjs=3
Strategic Analytics – Data Scientist,,Deloitte,"Chicago, IL",,4.0,"1-2 years of relevant work experience as a data scientist is preferred.
Our project-based team is looking for a Data Scientist who will be responsible for…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=22bf1cec002f0943&fccid=9e215d88a6b33622&vjs=3
Data Scientist,"$79,645 - $160,861 a year","Vertical Trail, LLC","Chicago, IL",Remote,,"Experience analyzing large scale enterprise-level data, financial analytics experience is highly preferred.
Deploying, developing, and maintaining data models…",8 days ago,2021-01-15,https://www.indeed.com/company/Vertical-Trail/jobs/Data-Scientist-e5d7dea5a57d6ffd?fccid=20945f2f86a6c53a&vjs=3
Senior Data Scientist (Machine Learning),,SpotHero,"Chicago, IL",,3.0,"Be part of a cross-functional data organization that includes data science, infrastructure and data engineers.
AWS data tools (Redshift, S3, EMR).",Just posted,2021-01-15,https://www.indeed.com/rc/clk?jk=9f67bea1aa74cc92&fccid=74684538b2d4605e&vjs=3
DATA SCIENCE INTERN (M/F/D),,Kinexon GmbH,"Chicago, IL",,,The intern will also work continuously on a summer internship project that will utilize statistical modelling to discover key insights regarding performance…,2 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=83e7a65417f929fb&fccid=d98339883f3eac3b&vjs=3
Data Scientist,,Aspen Dental,"Chicago, IL",,2.6,"Develop, and implement data-driven applications and advanced analytical solutions that leverage predictive analytics, data mining techniques, machine learning,…",4 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=7bec2dafd6a8eccc&fccid=8fbd2fb43ca6132e&vjs=3
Data Scientist,,IRI,"Chicago, IL",,3.6,"Experience with supervised and unsupervised machine-learning techniques including bagging, K-means clustering, random forests.
Data Integration and Data Fusion.",11 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=32c0543f14f0604f&fccid=62d5a343c489baf2&vjs=3
Data Scientist,,CNA Insurance,"Chicago, IL",,3.6,"A collaborative data science team with diverse skills and experiences, combined with deep expertise in statistical modeling, machine learning, and applications…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=daca504c9ffb396d&fccid=811f2cdeeb2808d9&vjs=3
Data Scientist,,Avant,"Chicago, IL",,3.0,"Develop machine learning models, select features, build and optimize classifiers using various machine learning techniques.
As part of our data science.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=531ea3458e83448d&fccid=7b93726661f04aa4&vjs=3
Data Scientist,,Alliant Credit Union,"Rolling Meadows, IL",,3.7,"Is responsible to lead the development, validation, documentation, and implementation of statistical and advanced machine learning models that are used for…",3 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=5a672016126e4f4f&fccid=90522bc4da128705&vjs=3
Data Scientist,,Aspen Dental,"Chicago, IL",,2.6,"Develop, and implement data-driven applications and advanced analytical solutions that leverage predictive analytics, data mining techniques, machine learning,…",4 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=7bec2dafd6a8eccc&fccid=8fbd2fb43ca6132e&vjs=3
Data Scientist,,IRI,"Chicago, IL",,3.6,"Experience with supervised and unsupervised machine-learning techniques including bagging, K-means clustering, random forests.
Data Integration and Data Fusion.",11 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=32c0543f14f0604f&fccid=62d5a343c489baf2&vjs=3
Data Scientist,,CNA Insurance,"Chicago, IL",,3.6,"A collaborative data science team with diverse skills and experiences, combined with deep expertise in statistical modeling, machine learning, and applications…",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=daca504c9ffb396d&fccid=811f2cdeeb2808d9&vjs=3
Data Scientist,,Avant,"Chicago, IL",,3.0,"Develop machine learning models, select features, build and optimize classifiers using various machine learning techniques.
As part of our data science.",30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=531ea3458e83448d&fccid=7b93726661f04aa4&vjs=3
Data Scientist,,Alliant Credit Union,"Rolling Meadows, IL",,3.7,"Is responsible to lead the development, validation, documentation, and implementation of statistical and advanced machine learning models that are used for…",3 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=5a672016126e4f4f&fccid=90522bc4da128705&vjs=3
"Data Scientist, CLM",,DocuSign,"Chicago, IL",,3.8,"5 years of relevant experience with machine learning, data science, or data analysis, solving real business problems.
Joining data from disparate data systems.",9 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=adc370edc83c5179&fccid=9dd30dd046d9ac7a&vjs=3
Research Data Scientist,,The University of Chicago,"Chicago, IL",,4.1,"Communicates with various agencies and partners to apply for and manage data access.
Develops, maintains and supports text analysis pipelines that include data…",24 days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=c86f5d374d244211&fccid=5cb727313a823dd6&vjs=3
Data Scientist - Nationwide Opportunities,,"Amazon Web Services, Inc.","Chicago, IL",,3.6,Experience in an ML engineer or data scientist role building and deploying ML models or hands on experience developing deep learning models.,30+ days ago,2021-01-15,https://www.indeed.com/rc/clk?jk=8e609f44ddccb45c&fccid=fe2d21eef233e94a&vjs=3
